Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,46.0,47.9,45.7,47.5,47.55,36282.0,17.19
2010-01-05,46.1,48.15,46.1,47.5,46.8,40478.0,19.21
2010-01-06,47.5,47.75,46.15,46.7,46.4,49991.0,23.47
2010-01-07,47.55,47.55,45.75,46.15,46.4,9252.0,4.28
2010-01-08,47.5,53.0,46.1,48.35,48.95,215985.0,106.91
2010-01-11,49.1,52.5,49.05,50.15,50.65,169892.0,87.03
2010-01-12,51.0,52.5,49.0,49.8,49.7,55181.0,28.17
2010-01-13,50.5,50.5,48.05,48.7,48.55,23147.0,11.29
2010-01-14,48.5,51.0,48.45,48.75,48.65,30726.0,15.23
2010-01-15,49.6,51.5,48.0,49.0,49.35,79858.0,40.2
2010-01-18,50.5,50.5,47.9,48.0,48.3,25543.0,12.47
2010-01-19,47.35,50.3,47.35,47.7,48.05,27945.0,13.54
2010-01-20,49.5,49.5,47.0,47.8,47.2,31234.0,14.99
2010-01-21,49.95,49.95,44.0,46.0,45.65,28046.0,13.08
2010-01-22,46.5,46.5,43.3,46.1,45.25,17728.0,7.91
2010-01-25,46.45,46.5,44.65,46.0,45.5,11723.0,5.33
2010-01-27,47.0,47.0,44.0,45.35,45.45,29618.0,13.44
2010-01-28,44.2,47.1,43.2,45.0,44.65,24037.0,10.75
2010-01-29,44.0,53.6,42.05,53.6,53.6,253055.0,132.06
2010-02-01,55.3,56.9,49.6,50.5,50.4,886516.0,472.69
2010-02-02,51.85,52.5,48.9,49.35,49.6,104732.0,53.37
2010-02-03,50.95,51.95,48.0,48.5,48.85,81779.0,40.96
2010-02-04,48.25,49.0,46.1,46.4,46.75,32729.0,15.58
2010-02-05,43.05,46.0,43.05,44.5,44.55,44141.0,19.86
2010-02-06,44.3,46.0,44.3,46.0,45.25,7694.0,3.48
2010-02-08,46.9,46.9,44.55,44.55,44.8,20014.0,9.06
2010-02-09,43.55,45.85,43.55,44.8,44.7,12472.0,5.58
2010-02-10,44.3,45.4,43.0,44.6,44.1,23079.0,10.19
2010-02-11,44.0,44.45,43.25,43.5,43.8,13895.0,6.08
2010-02-15,43.6,44.2,40.1,42.0,42.0,11562.0,4.91
2010-02-16,41.3,43.45,41.3,42.3,42.2,7199.0,3.05
2010-02-17,44.9,44.9,42.0,42.0,42.3,9666.0,4.13
2010-02-18,41.45,46.0,41.45,43.05,43.5,42733.0,18.9
2010-02-19,42.15,43.45,41.5,42.0,42.7,13243.0,5.63
2010-02-22,43.0,43.8,41.05,41.1,41.35,19119.0,8.12
2010-02-23,41.0,41.1,39.25,39.25,39.6,11864.0,4.76
2010-02-24,37.55,41.0,37.55,39.7,39.4,9399.0,3.73
2010-02-25,40.35,40.35,38.2,38.5,38.7,3324.0,1.29
2010-02-26,39.5,41.9,38.15,41.9,40.55,24323.0,9.81
2010-03-02,42.0,42.0,40.0,40.0,40.05,7102.0,2.88
2010-03-03,41.0,41.85,40.4,41.8,41.65,12535.0,5.16
2010-03-04,40.25,43.0,40.25,41.1,41.35,7516.0,3.12
2010-03-05,43.9,43.9,41.0,41.8,41.65,6705.0,2.8
2010-03-08,41.6,45.95,41.6,43.7,43.25,31800.0,13.84
2010-03-09,44.8,44.8,42.05,42.9,42.35,9348.0,3.99
2010-03-10,43.45,43.45,41.1,41.1,41.55,5139.0,2.16
2010-03-11,41.2,42.0,38.0,38.8,38.6,34597.0,13.72
2010-03-12,39.85,40.9,38.4,38.7,38.9,18361.0,7.17
2010-03-15,39.9,46.5,39.9,43.2,44.2,374578.0,166.23
2010-03-16,44.7,44.7,42.15,43.0,43.15,46147.0,19.87
2010-03-17,43.75,43.8,42.0,42.0,42.15,22151.0,9.44
2010-03-18,42.0,42.6,41.15,42.5,41.8,8844.0,3.7
2010-03-19,42.8,44.45,40.8,41.05,41.15,15001.0,6.26
2010-03-22,40.25,42.75,40.25,41.55,41.9,14953.0,6.28
2010-03-23,41.6,42.0,40.3,40.45,40.6,11708.0,4.78
2010-03-25,40.65,40.9,39.7,40.5,40.1,7792.0,3.14
2010-03-26,40.55,40.6,39.0,40.2,39.95,28103.0,11.22
2010-03-29,40.9,42.25,39.5,40.25,39.7,19725.0,7.97
2010-03-30,40.95,40.95,38.8,39.0,39.1,10328.0,4.08
2010-03-31,40.5,40.5,39.0,39.0,39.05,8510.0,3.35
2010-04-01,39.5,41.85,39.5,41.0,40.75,23593.0,9.66
2010-04-05,40.75,42.8,40.75,41.5,41.7,39324.0,16.45
2010-04-06,42.0,42.8,41.55,42.05,41.95,24708.0,10.43
2010-04-07,42.1,42.35,40.5,40.55,40.8,15050.0,6.22
2010-04-08,39.5,42.3,39.5,40.9,40.95,30809.0,12.79
2010-04-09,40.75,41.95,40.4,40.55,40.9,10713.0,4.39
2010-04-12,42.1,42.15,40.2,40.5,40.95,17047.0,7.03
2010-04-13,40.6,41.85,40.6,40.7,40.85,12706.0,5.24
2010-04-15,42.0,42.0,39.9,40.2,40.55,17016.0,6.94
2010-04-16,40.55,41.4,40.1,41.2,41.0,20611.0,8.44
2010-04-19,42.9,43.9,39.9,40.0,40.05,14097.0,5.71
2010-04-20,40.3,41.2,40.3,40.7,40.95,12468.0,5.09
2010-04-21,41.1,43.3,41.0,42.2,41.95,36797.0,15.55
2010-04-22,42.55,42.55,40.6,41.0,41.45,10293.0,4.29
2010-04-23,41.0,42.2,41.0,41.0,41.7,13026.0,5.41
2010-04-26,40.2,43.9,40.2,41.55,41.6,10811.0,4.55
2010-04-27,40.85,42.5,40.85,41.25,42.0,9107.0,3.81
2010-04-28,42.0,42.0,40.5,40.8,40.75,6568.0,2.7
2010-04-29,40.8,41.75,40.5,40.6,40.8,2868.0,1.17
2010-04-30,40.85,41.8,40.85,40.9,41.05,4107.0,1.69
2010-05-03,41.0,41.35,40.45,40.65,40.65,5305.0,2.17
2010-05-04,39.15,44.85,33.85,41.35,41.6,149169.0,64.63
2010-05-05,40.2,43.25,40.2,41.45,41.55,33247.0,13.81
2010-05-06,41.75,42.1,40.7,40.9,41.2,8669.0,3.59
2010-05-07,40.05,41.0,38.5,38.95,38.8,16062.0,6.33
2010-05-10,43.0,43.0,40.0,40.1,40.3,17346.0,7.04
2010-05-11,43.0,43.0,39.7,40.2,39.85,11150.0,4.47
2010-05-12,40.45,40.45,39.25,39.35,39.65,6604.0,2.63
2010-05-13,39.65,41.0,39.3,39.3,39.5,9332.0,3.7
2010-05-14,40.8,40.8,38.5,38.5,38.85,5996.0,2.36
2010-05-17,38.5,38.85,37.5,38.0,38.35,6109.0,2.33
2010-05-18,39.0,39.0,38.0,38.6,38.6,5665.0,2.19
2010-05-19,38.8,38.8,37.5,37.55,37.6,8435.0,3.2
2010-05-20,37.55,38.5,36.85,37.95,37.75,14128.0,5.33
2010-05-21,37.25,39.35,37.25,38.15,38.4,16847.0,6.51
2010-05-24,40.0,42.6,38.5,39.5,39.8,133928.0,54.83
2010-05-25,39.8,39.8,38.0,38.6,38.35,12098.0,4.69
2010-05-26,39.25,39.5,38.05,38.25,38.45,6840.0,2.64
2010-05-27,39.55,41.0,38.75,40.2,39.8,8401.0,3.32
2010-05-28,39.15,41.5,39.15,40.5,40.3,15117.0,6.13
2010-05-31,42.2,42.2,40.75,41.55,41.45,21900.0,9.07
2010-06-01,42.25,44.5,41.15,41.55,42.2,118035.0,50.96
2010-06-02,41.2,42.5,41.2,41.55,41.8,30586.0,12.83
2010-06-03,41.3,42.7,41.3,41.8,41.7,11331.0,4.77
2010-06-04,42.0,42.35,41.55,42.2,42.0,7544.0,3.16
2010-06-07,40.1,41.25,40.1,40.6,41.05,3352.0,1.36
2010-06-08,40.8,42.0,40.75,40.8,40.95,7502.0,3.08
2010-06-09,40.65,41.9,40.35,40.5,40.55,11309.0,4.6
2010-06-10,41.45,41.75,40.65,41.15,40.9,2055.0,0.84
2010-06-11,41.0,42.5,40.8,40.8,41.25,9797.0,4.05
2010-06-14,41.0,42.0,40.6,40.7,40.75,4461.0,1.82
2010-06-15,40.75,41.5,39.15,41.1,41.05,5989.0,2.45
2010-06-16,40.85,43.2,40.8,41.8,41.95,18490.0,7.79
2010-06-17,41.5,42.0,40.85,40.85,41.05,3032.0,1.26
2010-06-18,41.75,41.75,40.8,40.8,40.8,3252.0,1.33
2010-06-21,42.0,42.0,40.15,40.3,40.45,9969.0,4.06
2010-06-22,41.15,41.35,40.2,40.4,40.4,4473.0,1.81
2010-06-23,40.15,41.7,40.15,41.15,41.3,7664.0,3.14
