Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-05-04,14.0,15.0,12.3,13.95,13.85,6083.0,0.83
2018-05-07,13.2,14.9,12.55,14.85,14.85,7071.0,1.0
2018-05-08,14.5,14.65,13.65,13.85,14.0,2002.0,0.28
2018-05-09,13.2,14.3,13.2,14.05,14.15,634.0,0.09
2018-05-10,14.25,14.25,14.0,14.0,14.0,1341.0,0.19
2018-05-11,14.0,14.0,13.8,14.0,14.0,741.0,0.1
2018-05-14,13.15,14.5,13.15,13.5,13.5,1987.0,0.27
2018-05-15,14.25,14.25,13.2,13.2,13.2,860.0,0.11
2018-05-16,14.6,14.9,13.25,13.3,13.3,590.0,0.08
2018-05-17,13.35,14.3,13.35,13.4,13.45,1974.0,0.27
2018-05-18,14.0,14.15,13.0,13.0,13.05,3292.0,0.43
2018-05-21,13.3,13.8,13.1,13.3,13.3,2472.0,0.33
2018-05-22,13.7,14.0,13.45,14.0,13.95,3700.0,0.51
2018-05-23,14.0,14.25,12.65,12.75,13.15,6339.0,0.84
2018-05-24,13.0,13.6,12.75,13.2,13.2,301.0,0.04
2018-05-25,13.75,14.4,13.35,13.8,13.6,5848.0,0.81
2018-05-28,13.8,13.9,13.15,13.5,13.9,959.0,0.13
2018-05-29,15.4,15.4,13.0,14.2,14.2,570.0,0.08
2018-05-30,14.0,14.0,13.2,13.4,13.45,316.0,0.04
2018-05-31,13.45,13.75,13.15,13.75,13.7,1127.0,0.15
2018-06-01,13.9,14.5,12.65,14.05,14.05,12482.0,1.78
2018-06-04,14.05,14.05,12.3,12.5,13.15,861.0,0.11
2018-06-05,12.75,14.0,12.3,14.0,13.95,11825.0,1.65
2018-06-06,13.95,14.25,12.9,14.25,13.35,2375.0,0.32
2018-06-07,14.55,14.55,12.4,13.25,13.25,1505.0,0.2
2018-06-08,13.2,13.9,13.2,13.3,13.4,2546.0,0.34
2018-06-11,13.0,14.1,13.0,14.1,14.1,4833.0,0.67
2018-06-12,14.1,14.1,13.7,14.0,14.0,196.0,0.03
2018-06-13,14.35,14.35,13.55,14.0,13.95,17620.0,2.47
2018-06-14,13.55,13.55,13.5,13.5,13.5,876.0,0.12
2018-06-15,14.0,14.3,13.65,13.65,13.65,3728.0,0.53
2018-06-18,13.45,14.05,13.45,13.5,13.5,356.0,0.05
2018-06-19,14.0,14.55,13.7,13.7,13.7,7458.0,1.04
2018-06-20,14.0,14.55,12.5,14.0,14.0,8505.0,1.16
2018-06-21,14.5,14.5,13.3,13.6,13.6,1368.0,0.19
2018-06-22,13.9,14.0,13.4,14.0,13.55,5335.0,0.75
2018-06-25,14.5,14.5,13.3,13.35,13.35,760.0,0.1
2018-06-26,13.9,14.55,13.25,13.25,13.25,2003.0,0.29
2018-06-27,13.0,14.25,12.05,14.0,13.95,6789.0,0.91
2018-06-28,14.0,14.45,12.0,14.45,13.9,935.0,0.13
2018-06-29,14.4,14.4,13.05,13.3,13.35,3084.0,0.43
2018-07-02,13.5,13.5,13.3,13.3,13.3,808.0,0.11
2018-07-03,14.4,14.4,13.3,14.0,14.0,2169.0,0.3
2018-07-04,14.4,14.55,12.55,14.5,13.75,6954.0,1.0
2018-07-05,14.5,14.6,13.55,13.55,14.35,7494.0,1.08
2018-07-06,13.25,15.7,13.25,14.45,14.45,1850.0,0.26
2018-07-09,14.4,15.1,13.65,13.65,14.45,3422.0,0.51
2018-07-10,15.25,15.25,14.25,14.3,14.9,4594.0,0.68
2018-07-11,13.5,15.25,13.5,13.8,13.8,92.0,0.01
2018-07-12,15.1,15.1,14.1,14.6,14.45,1121.0,0.16
2018-07-13,12.5,14.7,12.5,13.55,13.55,760.0,0.11
2018-07-16,15.0,15.1,13.55,14.7,14.7,1115.0,0.16
2018-07-17,15.0,15.0,14.0,14.0,14.0,1334.0,0.19
2018-07-18,13.55,13.55,13.5,13.5,13.5,514.0,0.07
2018-07-19,12.8,13.95,12.8,13.45,13.45,6063.0,0.79
2018-07-20,15.0,15.0,12.65,13.1,13.15,2517.0,0.34
2018-07-23,15.45,15.45,11.0,13.85,13.85,3418.0,0.49
2018-07-24,14.7,14.7,13.2,13.8,13.8,1529.0,0.21
2018-07-25,14.4,14.4,12.55,13.9,13.5,2323.0,0.3
2018-07-26,14.25,14.25,12.65,13.85,13.85,619.0,0.08
2018-07-27,13.5,13.95,11.55,13.9,12.15,1887.0,0.25
2018-07-30,12.4,14.05,12.1,13.95,13.95,4805.0,0.66
2018-07-31,15.5,15.5,11.2,13.55,13.55,2430.0,0.34
2018-08-01,14.0,15.0,13.05,14.95,14.95,9446.0,1.38
2018-08-02,13.2,15.3,13.2,14.0,14.0,711.0,0.1
2018-08-03,13.5,13.5,13.5,13.5,13.5,10.0,0.0
2018-08-06,12.9,14.15,12.9,14.15,14.15,757.0,0.11
2018-08-07,13.45,14.35,13.45,14.0,14.0,710.0,0.1
2018-08-08,13.35,14.6,13.35,13.4,13.4,892.0,0.12
2018-08-09,12.8,14.05,12.8,14.05,14.05,924.0,0.12
2018-08-10,13.35,14.2,13.35,13.35,13.4,1713.0,0.23
2018-08-13,12.8,14.0,12.8,14.0,14.0,601.0,0.08
2018-08-14,13.3,13.3,13.3,13.3,13.3,25.0,0.0
