Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-12-31,17.4,17.9,17.0,17.25,17.15,83595.0,14.4
2015-01-01,17.1,18.0,17.05,18.0,18.0,215038.0,38.57
2015-01-02,18.7,19.5,17.5,19.0,19.05,360505.0,67.81
2015-01-05,19.7,20.95,19.45,20.95,20.95,305699.0,62.87
2015-01-06,21.45,22.4,19.8,20.7,20.95,860706.0,181.17
2015-01-07,20.9,22.4,20.9,22.0,21.95,369283.0,80.98
2015-01-08,23.15,23.15,21.6,21.8,21.8,236391.0,52.65
2015-01-09,21.2,22.15,20.8,20.9,21.1,159730.0,34.39
2015-01-12,22.0,22.0,19.2,20.1,20.05,248086.0,50.63
2015-01-13,20.5,20.9,19.6,20.3,20.15,191015.0,38.82
2015-01-14,19.75,20.85,19.75,20.15,20.15,141740.0,28.72
2015-01-15,20.15,21.0,18.3,20.1,20.1,273346.0,55.42
2015-01-16,20.0,20.4,19.1,19.7,19.7,240775.0,48.24
2015-01-19,19.85,20.4,19.3,19.35,19.4,122695.0,24.33
2015-01-20,19.2,19.45,18.8,18.95,18.95,209315.0,39.88
2015-01-21,18.9,19.25,17.8,17.8,18.0,239953.0,43.71
2015-01-22,17.9,19.5,17.85,18.25,18.45,184772.0,33.98
2015-01-23,18.65,18.65,17.7,18.15,18.1,134881.0,24.49
2015-01-27,19.3,19.3,17.45,17.7,17.75,847158.0,153.41
2015-01-28,17.95,18.0,16.4,16.65,16.65,273508.0,46.52
2015-01-29,17.0,17.0,15.9,16.0,16.0,286657.0,46.44
2015-01-30,16.0,17.0,15.5,16.2,16.05,474387.0,76.53
2015-02-02,16.35,16.5,15.9,16.05,15.95,322846.0,51.84
2015-02-03,16.15,16.3,15.8,15.9,15.95,251114.0,40.24
2015-02-04,15.8,16.25,15.7,15.8,15.8,304321.0,48.67
2015-02-05,15.95,16.15,15.55,15.7,15.75,115020.0,18.26
2015-02-06,15.9,15.95,15.1,15.1,15.15,304975.0,46.72
2015-02-09,15.5,15.5,14.9,14.95,15.05,197455.0,29.88
2015-02-10,15.0,15.25,14.75,14.75,14.85,115520.0,17.31
