Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1289.0,1343.8,1285.9,1338.0,1332.1,1302036.0,17083.71
2010-01-05,1342.0,1374.6,1335.45,1357.15,1359.55,1399037.0,19010.61
2010-01-06,1351.0,1368.4,1325.9,1351.0,1348.2,910979.0,12266.04
2010-01-07,1348.5,1452.65,1339.9,1441.0,1443.95,3563305.0,50437.66
2010-01-08,1450.0,1517.4,1448.95,1479.0,1478.45,3458115.0,51476.12
2010-01-11,1491.0,1525.0,1478.0,1520.0,1518.65,2076711.0,31273.35
2010-01-12,1510.0,1529.0,1462.05,1471.0,1471.9,1574860.0,23399.4
2010-01-13,1451.1,1519.7,1431.0,1515.8,1511.45,2113911.0,31269.82
2010-01-14,1515.1,1526.45,1476.25,1496.15,1491.75,1167151.0,17510.96
2010-01-15,1499.95,1539.0,1477.35,1502.25,1507.35,2027103.0,30706.6
2010-01-18,1495.0,1524.9,1478.25,1481.0,1484.5,1357733.0,20385.01
2010-01-19,1491.0,1511.8,1451.1,1461.6,1458.1,1236908.0,18349.36
2010-01-20,1486.0,1486.0,1441.1,1451.0,1451.2,940200.0,13729.11
2010-01-21,1440.0,1462.8,1373.25,1391.0,1382.7,1440933.0,20423.7
2010-01-22,1365.0,1365.0,1287.0,1328.8,1327.85,1823453.0,24283.71
2010-01-25,1321.0,1338.0,1288.65,1307.6,1308.1,1026308.0,13430.56
2010-01-27,1298.0,1312.0,1201.0,1208.0,1233.65,1526914.0,19528.95
2010-01-28,1265.0,1293.65,1057.7,1135.9,1131.05,7112216.0,82506.84
2010-01-29,1138.0,1215.0,1086.3,1203.0,1205.05,4863118.0,56230.15
2010-02-01,1195.0,1231.0,1182.3,1199.0,1198.2,2579820.0,31132.53
2010-02-02,1217.0,1228.9,1158.55,1168.25,1167.15,2096441.0,24981.91
2010-02-03,1166.9,1212.35,1166.9,1199.0,1200.55,1906910.0,22772.56
2010-02-04,1197.0,1224.9,1171.0,1177.1,1177.25,2541289.0,30460.42
2010-02-05,1116.65,1150.0,1105.0,1125.25,1127.85,1824483.0,20570.58
2010-02-06,1140.0,1156.0,1135.0,1155.0,1148.05,257319.0,2950.63
2010-02-08,1154.85,1186.85,1130.05,1179.0,1177.05,2107915.0,24470.93
2010-02-09,1180.0,1186.0,1159.0,1172.0,1170.8,1327634.0,15585.92
2010-02-10,1188.0,1204.9,1160.0,1162.0,1169.6,1415190.0,16783.65
2010-02-11,1178.0,1196.5,1173.0,1184.15,1185.05,977500.0,11607.91
2010-02-15,1186.0,1202.0,1178.4,1186.0,1189.25,1089655.0,12979.56
2010-02-16,1199.0,1216.9,1180.8,1213.3,1208.2,935495.0,11199.28
2010-02-17,1221.95,1279.85,1220.65,1266.9,1273.15,2218026.0,27780.51
2010-02-18,1273.15,1283.0,1234.05,1238.9,1240.45,1276651.0,16002.08
2010-02-19,1230.0,1230.0,1170.2,1183.3,1192.05,1871251.0,22406.34
2010-02-22,1213.0,1228.0,1175.1,1178.75,1181.8,1273820.0,15280.46
2010-02-23,1180.9,1188.15,1151.55,1171.1,1171.0,1007600.0,11846.41
2010-02-24,1165.0,1179.9,1151.15,1166.95,1167.45,936094.0,10899.38
2010-02-25,1170.0,1185.0,1154.2,1159.5,1161.65,951177.0,11130.08
2010-02-26,1170.0,1202.0,1138.65,1185.9,1183.1,1395057.0,16397.89
2010-03-02,1198.0,1224.3,1191.05,1219.0,1216.25,1087600.0,13163.7
2010-03-03,1224.0,1244.0,1204.75,1217.0,1218.6,1202927.0,14726.83
2010-03-04,1218.0,1252.0,1192.0,1247.0,1246.6,1875847.0,22884.96
2010-03-05,1255.0,1259.6,1232.35,1243.0,1243.8,1273683.0,15878.06
2010-03-08,1270.0,1312.0,1251.25,1296.5,1303.4,2701522.0,34814.85
2010-03-09,1305.1,1309.0,1273.1,1277.0,1283.1,1489249.0,19168.37
2010-03-10,1285.0,1313.45,1272.0,1291.0,1295.0,1573616.0,20451.78
2010-03-11,1298.0,1298.0,1255.3,1259.25,1259.9,1228159.0,15659.78
2010-03-12,1270.0,1277.0,1238.8,1243.7,1244.9,1346217.0,16887.51
2010-03-15,1239.0,1252.9,1196.0,1218.5,1219.65,1870415.0,22844.24
2010-03-16,1208.0,1258.9,1205.25,1253.6,1253.6,1474763.0,18224.62
2010-03-17,1264.95,1274.5,1232.0,1234.0,1237.7,1235674.0,15480.53
2010-03-18,1247.65,1247.65,1220.0,1229.45,1230.2,946451.0,11656.37
2010-03-19,1230.0,1244.7,1207.7,1219.0,1220.65,1050362.0,12869.84
2010-03-22,1200.0,1217.95,1189.65,1194.8,1194.85,896173.0,10798.07
2010-03-23,1200.0,1213.8,1175.1,1190.4,1191.2,1082658.0,12934.52
2010-03-25,1187.9,1204.0,1180.0,1188.0,1187.3,1065324.0,12672.69
2010-03-26,1194.05,1214.0,1190.8,1202.15,1202.05,908564.0,10944.92
2010-03-29,1209.95,1210.4,1182.0,1185.0,1187.45,727869.0,8678.2
2010-03-30,1190.0,1201.5,1162.0,1165.0,1167.0,1009783.0,11903.95
2010-03-31,1175.0,1175.0,1148.5,1169.8,1162.55,1180853.0,13697.06
2010-04-01,1170.0,1206.4,1160.05,1197.4,1199.45,1787783.0,21251.65
2010-04-05,1216.3,1232.0,1209.5,1222.0,1223.1,1172478.0,14331.15
2010-04-06,1226.5,1249.95,1222.4,1236.0,1231.05,1150530.0,14244.5
2010-04-07,1235.05,1259.0,1233.7,1251.0,1251.95,1333261.0,16654.34
2010-04-08,1252.0,1269.8,1241.0,1247.0,1249.05,1413613.0,17776.85
2010-04-09,1245.0,1264.85,1245.0,1251.0,1252.25,671308.0,8432.73
2010-04-12,1265.0,1280.0,1252.2,1257.0,1259.0,944875.0,11957.2
2010-04-13,1250.0,1265.0,1231.5,1236.0,1236.55,706692.0,8798.69
2010-04-15,1245.15,1263.0,1237.5,1247.0,1243.35,770130.0,9643.19
2010-04-16,1240.0,1245.0,1212.1,1223.0,1220.1,771110.0,9434.83
2010-04-19,1190.0,1207.0,1176.1,1192.35,1189.75,687398.0,8171.39
2010-04-20,1204.0,1223.0,1193.1,1218.0,1213.0,665512.0,8039.03
2010-04-21,1224.0,1241.9,1221.0,1235.5,1234.5,788167.0,9714.6
2010-04-22,1229.0,1243.8,1205.05,1214.9,1217.45,788740.0,9709.21
2010-04-23,1225.8,1239.35,1208.0,1215.0,1212.1,1035989.0,12674.63
2010-04-26,1223.0,1229.2,1210.2,1224.0,1221.55,529258.0,6452.24
2010-04-27,1216.0,1232.95,1211.0,1218.0,1219.45,496175.0,6062.24
2010-04-28,1191.0,1215.0,1166.05,1175.4,1172.95,677920.0,8018.38
2010-04-29,1178.0,1190.0,1172.05,1181.05,1181.75,948348.0,11224.62
2010-04-30,1195.5,1209.0,1191.0,1200.0,1197.05,484382.0,5816.48
2010-05-03,1200.0,1200.0,1161.1,1165.0,1166.3,591557.0,6937.46
2010-05-04,1170.0,1181.5,1135.0,1142.0,1140.65,847246.0,9807.15
2010-05-05,1152.0,1152.0,1073.3,1108.0,1099.2,1959771.0,21384.09
2010-05-06,1081.05,1095.0,1054.05,1065.2,1067.9,1247504.0,13379.76
2010-05-07,1058.45,1058.45,996.05,1013.65,1011.8,1499250.0,15247.84
2010-05-10,1025.1,1075.0,1025.1,1071.65,1072.1,1060918.0,11159.09
2010-05-11,1080.0,1090.0,1037.0,1037.0,1040.95,1002605.0,10526.2
2010-05-12,1040.0,1047.0,1013.7,1031.0,1033.95,1105101.0,11379.58
2010-05-13,1087.0,1228.35,1009.0,1015.0,1017.05,1438593.0,14895.83
2010-05-14,980.0,980.0,810.0,828.35,832.25,12208079.0,102686.98
2010-05-17,802.35,846.5,775.0,788.0,792.75,8199314.0,65970.68
2010-05-18,793.0,807.0,770.0,771.8,774.9,3000484.0,23680.52
2010-05-19,770.0,770.0,695.35,698.0,703.3,4426467.0,32299.17
2010-05-20,710.0,722.7,682.35,695.1,689.8,3871493.0,27317.48
2010-05-21,670.0,686.7,650.05,681.1,681.0,3843796.0,25714.7
2010-05-24,690.0,724.9,690.0,701.0,700.5,3257272.0,23096.36
2010-05-25,700.0,717.5,675.0,686.85,688.0,3862996.0,26918.7
2010-05-26,688.0,717.8,672.0,687.0,683.9,3160019.0,21730.07
2010-05-27,680.1,695.0,668.7,693.0,685.1,3509195.0,23987.81
2010-05-28,694.9,718.8,693.3,716.7,716.45,3276455.0,23201.29
2010-05-31,724.05,725.0,705.1,708.5,711.55,2057380.0,14705.71
2010-06-01,712.0,721.4,684.4,688.95,691.15,2116502.0,14895.44
2010-06-02,685.0,701.35,682.5,695.55,694.9,1562815.0,10821.51
2010-06-03,710.0,712.0,691.0,695.65,695.45,1611832.0,11292.72
2010-06-04,697.0,709.5,690.0,698.6,699.95,1913959.0,13420.56
2010-06-07,684.1,685.0,668.5,674.0,674.45,1082988.0,7326.79
2010-06-08,675.0,679.95,652.5,661.0,658.5,1659202.0,11044.32
2010-06-09,653.0,664.7,644.0,647.8,647.9,2530186.0,16525.9
2010-06-10,650.0,652.0,636.05,646.95,645.6,2208011.0,14182.83
2010-06-11,651.1,664.65,645.1,656.45,657.9,2183264.0,14358.81
2010-06-14,664.0,670.4,655.25,664.0,662.85,1162121.0,7718.37
2010-06-15,666.8,692.0,656.0,676.8,678.95,1840820.0,12422.71
2010-06-16,688.8,718.6,688.8,707.0,708.65,3604550.0,25635.2
2010-06-17,712.0,737.45,707.0,732.75,730.8,4007011.0,29163.74
2010-06-18,735.0,750.9,727.0,727.0,731.0,2200160.0,16278.68
2010-06-21,728.0,750.0,728.0,745.6,744.85,1354375.0,10085.96
2010-06-22,745.0,759.95,740.0,748.0,749.05,1799160.0,13538.07
2010-06-23,746.0,752.0,735.55,740.5,741.25,1351602.0,10039.46
2010-06-24,741.25,748.75,735.0,743.4,744.5,1197829.0,8883.41
2010-06-25,731.0,759.9,731.0,757.0,753.7,1979857.0,14926.8
2010-06-28,759.7,799.95,756.0,798.0,790.7,2695779.0,21048.68
2010-06-29,798.8,829.45,794.0,817.5,821.25,5480437.0,44694.18
2010-06-30,818.1,848.9,812.4,848.0,842.45,4418624.0,36706.46
2010-07-01,840.0,854.3,836.0,848.0,849.25,3167653.0,26848.26
2010-07-02,845.5,855.0,828.45,833.0,834.3,2385501.0,20067.89
2010-07-05,836.0,840.8,809.15,813.0,812.8,1527209.0,12523.76
2010-07-06,817.0,832.4,797.45,827.5,828.9,3042637.0,24844.18
2010-07-07,831.0,848.9,821.0,843.15,844.55,3315779.0,27835.86
2010-07-08,850.0,869.1,850.0,859.0,862.15,2565492.0,22143.7
2010-07-09,873.0,875.95,865.05,866.8,868.2,1467876.0,12781.11
2010-07-12,873.4,877.3,857.0,865.9,863.25,1162143.0,10061.42
2010-07-13,862.0,881.85,860.05,878.3,879.4,1341889.0,11737.47
2010-07-14,882.0,892.5,864.6,868.0,868.3,1105834.0,9702.51
