Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-01,250.0,255.0,237.5,237.5,237.5,4658997.0,11302.67
2017-09-04,225.65,225.65,225.65,225.65,225.65,309923.0,699.34
2017-09-05,214.4,214.4,214.4,214.4,214.4,192377.0,412.46
2017-09-06,203.7,203.7,203.7,203.7,203.7,267160.0,544.2
2017-09-07,193.55,213.85,193.55,208.5,206.95,34241770.0,68632.98
2017-09-08,201.0,205.1,198.4,202.0,201.25,5412431.0,10948.85
2017-09-11,202.9,204.7,192.4,192.6,193.85,5588615.0,10976.7
2017-09-12,195.0,198.0,184.45,193.3,187.05,36566461.0,68746.36
2017-09-13,194.7,196.4,192.7,196.4,196.4,4592680.0,8996.16
2017-09-14,205.9,206.2,201.4,206.2,206.2,6454750.0,13281.12
2017-09-15,209.5,211.55,202.25,202.35,203.25,19039812.0,39343.98
2017-09-18,206.45,206.45,199.05,199.65,199.95,6389800.0,12881.28
2017-09-19,200.0,203.9,197.7,198.05,198.65,4287615.0,8617.02
2017-09-20,199.0,200.2,195.0,195.3,195.4,2925035.0,5755.27
2017-09-21,196.2,197.5,190.6,194.95,195.45,3559653.0,6904.32
2017-09-22,193.25,198.75,189.05,189.7,190.25,5176182.0,10035.42
2017-09-25,190.0,191.5,183.6,188.65,188.25,3928855.0,7350.22
2017-09-26,190.25,193.3,188.5,189.6,189.55,3647262.0,6938.14
2017-09-27,191.0,191.0,180.0,180.0,180.45,4276411.0,7862.69
2017-09-28,181.9,182.5,173.5,176.0,175.9,6803935.0,12079.62
2017-09-29,177.65,190.9,177.45,184.9,183.75,4999893.0,9266.1
2017-10-03,186.7,187.0,182.65,184.4,184.35,1759816.0,3252.36
2017-10-04,184.8,189.0,184.0,185.8,185.15,2034157.0,3791.17
2017-10-05,185.0,186.0,180.25,181.65,181.15,2710481.0,4967.62
2017-10-06,182.3,182.95,180.25,180.6,180.6,2760329.0,5009.04
2017-10-09,181.5,182.9,179.5,179.9,179.9,2038990.0,3687.98
2017-10-10,180.0,184.4,179.3,181.25,180.25,5116910.0,9261.81
2017-10-11,182.0,183.1,178.1,178.4,178.7,3896403.0,7040.56
2017-10-12,180.05,180.8,178.0,178.05,178.1,1867823.0,3340.67
2017-10-13,180.0,187.75,179.2,183.8,183.25,9303982.0,17100.45
2017-10-16,184.85,188.0,180.05,181.15,180.8,4999594.0,9175.68
2017-10-17,181.7,184.7,181.15,182.0,182.05,4001669.0,7314.86
2017-10-18,182.35,182.9,179.5,180.4,179.95,3401693.0,6142.21
2017-10-19,181.0,184.45,180.9,183.9,183.5,2362093.0,4330.04
2017-10-23,184.85,185.25,179.6,179.8,179.85,3370600.0,6104.75
2017-10-24,180.75,182.65,179.85,180.5,180.3,2694052.0,4878.31
2017-10-25,181.8,182.6,173.7,176.7,175.9,5183142.0,9148.05
2017-10-26,176.55,178.9,174.0,174.35,174.45,3455465.0,6060.46
2017-10-27,175.4,176.85,174.5,174.8,174.9,2618383.0,4588.38
2017-10-30,175.8,181.5,175.8,178.75,178.8,4085826.0,7315.93
2017-10-31,179.75,179.75,177.55,177.85,177.9,1587498.0,2829.51
2017-11-01,178.55,183.6,177.3,178.4,178.15,4175241.0,7522.59
2017-11-02,179.05,191.45,178.5,187.6,186.9,15438592.0,28912.27
2017-11-03,188.9,194.75,187.0,193.6,193.3,9083391.0,17351.75
2017-11-06,194.6,210.0,194.5,207.5,207.2,20016574.0,41017.33
2017-11-07,209.75,213.8,198.0,202.55,202.55,16877244.0,34783.01
2017-11-08,203.0,205.0,195.1,196.0,196.1,8367167.0,16665.31
2017-11-09,197.5,201.75,196.25,200.0,199.5,4612496.0,9173.89
2017-11-10,199.5,199.9,193.5,194.9,194.85,3865941.0,7589.97
2017-11-13,195.7,198.15,193.25,193.8,194.0,2981764.0,5823.82
2017-11-14,194.5,194.9,189.55,190.0,190.15,3777259.0,7232.21
2017-11-15,190.0,194.0,187.3,189.4,189.25,4203443.0,8015.31
2017-11-16,190.5,199.6,190.0,199.5,198.9,6098738.0,11936.34
2017-11-17,201.9,202.9,197.1,197.4,198.2,4351915.0,8684.07
2017-11-20,198.5,205.0,198.05,204.75,204.05,6421487.0,12979.43
2017-11-21,205.0,208.8,202.0,205.3,205.0,6641932.0,13660.16
2017-11-22,205.75,205.75,200.5,201.8,201.75,3738514.0,7574.61
2017-11-23,202.3,205.6,200.55,202.0,202.15,3487521.0,7079.66
2017-11-24,202.75,205.5,202.25,202.65,202.8,2820801.0,5743.14
2017-11-27,202.5,205.4,201.0,204.8,204.6,2791373.0,5692.35
2017-11-28,205.0,207.05,199.1,200.55,200.95,3649749.0,7430.91
2017-11-29,201.3,202.8,197.3,197.9,197.9,3802629.0,7588.28
2017-11-30,197.5,197.75,193.6,193.9,194.5,4826787.0,9441.87
2017-12-01,195.5,196.8,191.7,191.95,191.95,3117840.0,6060.0
2017-12-04,192.75,192.75,188.8,189.65,189.65,2843066.0,5404.58
2017-12-05,189.0,191.0,188.3,189.85,190.15,3093576.0,5875.49
2017-12-06,189.5,189.75,186.4,186.6,186.65,2332029.0,4379.86
2017-12-07,187.0,190.85,186.65,189.65,189.25,2447727.0,4637.98
