Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-06-18,30.0,31.5,28.5,31.5,31.5,7006229.0,2108.44
2018-06-19,32.7,33.05,31.0,33.05,32.6,2895692.0,942.64
2018-06-20,31.5,32.2,31.0,31.0,31.0,1115553.0,346.28
2018-06-21,29.45,30.0,29.45,29.45,29.65,2854524.0,845.24
2018-06-22,28.2,29.8,28.2,29.8,29.45,1612972.0,466.85
2018-06-25,30.0,30.0,28.5,28.8,28.95,365859.0,105.94
2018-06-26,28.8,29.4,27.55,29.0,28.8,493868.0,139.09
2018-06-27,28.3,28.3,27.4,27.4,27.4,133412.0,36.88
2018-06-28,26.05,26.05,26.05,26.05,26.05,61587.0,16.04
2018-06-29,24.75,27.35,24.75,27.05,26.8,1158865.0,303.18
2018-07-02,27.2,27.25,22.8,25.4,25.2,1369795.0,341.57
2018-07-03,26.95,26.95,24.5,26.6,26.35,519628.0,134.17
2018-07-04,26.0,29.95,25.8,29.8,29.6,1033451.0,290.38
2018-07-05,29.8,31.95,28.6,29.75,29.8,1546192.0,472.21
2018-07-06,29.0,30.9,28.85,30.45,30.35,523472.0,158.72
2018-07-09,30.45,31.4,29.55,30.65,30.95,616718.0,190.58
2018-07-10,30.55,31.85,30.25,31.0,31.1,492511.0,153.39
2018-07-11,31.05,33.4,30.6,31.85,31.95,1610144.0,520.34
2018-07-12,31.8,32.9,30.95,31.15,31.1,524503.0,167.8
2018-07-13,32.5,32.7,31.2,31.3,31.45,770830.0,243.99
2018-07-16,32.4,32.4,30.85,31.25,31.1,696778.0,220.09
2018-07-17,31.65,31.85,30.95,31.5,31.45,557931.0,175.66
2018-07-18,31.5,31.75,29.55,29.7,29.75,497514.0,151.6
2018-07-19,29.8,30.4,28.1,30.15,29.7,469529.0,137.46
2018-07-20,29.95,35.6,29.5,35.6,35.4,5891772.0,2049.86
2018-07-23,37.9,42.45,37.1,42.45,42.45,2766587.0,1132.53
2018-07-24,45.85,46.65,45.0,46.65,46.65,1510186.0,702.77
2018-07-25,50.7,51.3,47.1,51.3,51.3,868232.0,438.2
2018-07-26,55.8,56.4,48.0,53.2,52.9,6847468.0,3670.61
2018-07-27,54.5,54.8,51.15,52.25,52.35,1425686.0,759.25
2018-07-30,52.8,57.55,52.8,57.55,57.55,2011508.0,1132.48
2018-07-31,60.4,60.4,58.6,60.4,60.4,3461295.0,2085.16
2018-08-01,62.7,63.4,62.3,63.4,63.4,1023345.0,647.51
2018-08-02,66.55,66.55,66.55,66.55,66.55,162902.0,108.41
2018-08-03,69.85,69.85,69.85,69.85,69.85,116347.0,81.27
2018-08-06,73.3,73.3,73.3,73.3,73.3,66210.0,48.53
2018-08-07,71.3,73.0,69.65,69.65,69.65,1031500.0,725.91
2018-08-08,66.2,66.2,66.2,66.2,66.2,71603.0,47.4
2018-08-09,62.9,62.9,62.9,62.9,62.9,130477.0,82.07
2018-08-10,61.55,66.0,60.1,66.0,66.0,3789655.0,2424.51
2018-08-13,62.7,62.7,62.7,62.7,62.7,262033.0,164.29
2018-08-14,59.6,59.6,59.6,59.6,59.6,117253.0,69.88
2018-08-16,56.65,56.65,56.65,56.65,56.65,82087.0,46.5
2018-08-17,53.85,59.45,53.85,54.9,54.7,4325129.0,2462.94
2018-08-20,54.7,57.4,54.7,57.4,57.4,585571.0,334.43
2018-08-21,59.0,60.25,56.0,57.05,57.1,2223954.0,1309.02
2018-08-23,58.7,59.95,56.55,57.3,57.2,946929.0,548.07
2018-08-24,58.5,58.5,54.9,55.0,55.55,544872.0,307.16
2018-08-27,55.2,57.4,53.25,55.0,55.5,1065753.0,588.76
2018-08-28,56.1,58.25,55.35,58.25,58.25,895093.0,514.03
2018-08-29,60.0,61.15,58.0,61.15,60.9,3048560.0,1845.51
2018-08-30,62.6,62.8,58.7,59.2,59.05,927625.0,563.69
2018-08-31,59.0,59.4,56.9,57.15,57.4,611779.0,355.32
2018-09-03,57.8,58.6,55.7,56.2,55.9,444735.0,253.18
2018-09-04,56.8,56.8,53.25,53.9,53.5,528265.0,288.2
2018-09-05,53.5,54.5,51.0,52.4,52.25,476641.0,247.72
2018-09-06,53.25,54.85,52.45,54.85,54.85,773528.0,422.41
2018-09-07,56.0,57.45,55.0,55.75,55.7,470728.0,265.96
2018-09-10,56.0,56.0,53.75,54.35,54.05,277861.0,151.87
2018-09-11,54.35,55.4,52.0,53.15,52.5,281671.0,150.9
2018-09-12,54.0,54.0,51.2,52.5,52.65,248721.0,130.35
2018-09-14,54.4,55.25,53.35,55.25,55.25,335372.0,184.18
2018-09-17,55.5,56.2,52.9,54.2,53.75,383467.0,206.68
2018-09-18,53.4,54.75,53.15,53.35,53.3,190458.0,102.73
2018-09-19,54.0,54.2,51.4,51.7,51.8,242903.0,127.51
2018-09-21,52.5,52.8,49.25,49.25,49.25,871518.0,435.85
2018-09-24,48.8,48.8,46.8,46.8,46.8,298844.0,140.19
2018-09-25,44.55,46.65,44.5,44.9,44.55,554878.0,247.94
2018-09-26,46.45,46.75,44.6,45.3,45.2,757920.0,348.55
2018-09-27,45.95,45.95,42.95,42.95,42.95,370953.0,162.32
2018-09-28,42.95,43.3,40.85,40.85,40.85,241990.0,99.27
2018-10-01,38.85,40.75,38.85,38.85,39.2,715774.0,279.88
2018-10-03,40.0,40.0,37.25,37.25,37.25,610429.0,230.9
2018-10-04,35.4,35.4,35.4,35.4,35.4,103762.0,36.73
2018-10-05,33.65,33.65,33.65,33.65,33.65,80519.0,27.09
2018-10-08,32.75,33.1,32.0,32.0,32.0,1125121.0,362.87
2018-10-09,30.4,32.1,30.4,30.4,30.4,1129990.0,348.59
2018-10-10,29.1,31.9,29.1,31.9,31.9,310963.0,95.59
2018-10-11,32.9,33.45,32.05,33.45,33.45,351022.0,116.3
2018-10-12,35.1,35.1,35.1,35.1,35.1,170930.0,60.0
2018-10-15,35.9,36.85,35.25,36.85,36.85,2501987.0,915.57
2018-10-16,37.6,38.65,37.3,38.65,38.65,1241610.0,477.86
2018-10-17,40.55,40.55,39.1,39.6,39.35,2436836.0,978.15
2018-10-19,39.5,39.5,37.4,37.4,37.4,633110.0,239.2
2018-10-22,37.45,38.85,35.55,35.7,35.75,421538.0,156.53
2018-10-23,35.75,35.75,34.0,35.5,35.25,498569.0,172.83
2018-10-24,35.55,37.0,35.55,37.0,37.0,856135.0,315.61
2018-10-25,36.9,37.95,35.5,36.75,36.2,539990.0,197.42
2018-10-26,36.7,37.3,35.5,36.05,36.2,276450.0,100.78
2018-10-29,38.0,38.0,37.9,38.0,38.0,1008595.0,383.26
2018-10-30,39.9,39.9,38.45,38.95,39.3,3882939.0,1542.26
2018-10-31,39.3,40.5,37.35,39.7,39.65,2857119.0,1104.38
2018-11-01,38.3,41.4,38.0,40.9,41.05,1500492.0,602.5
2018-11-02,41.95,42.8,41.1,41.3,41.3,948252.0,398.47
2018-11-05,41.85,43.35,41.85,43.35,43.35,664924.0,287.74
2018-11-06,45.0,45.5,42.5,43.5,43.1,1558886.0,695.02
2018-11-07,44.15,45.25,44.0,45.25,45.05,1009337.0,453.51
2018-11-09,45.9,46.35,43.6,45.05,45.25,728245.0,328.93
2018-11-12,45.25,45.9,43.0,43.0,43.1,488369.0,215.61
2018-11-13,42.5,42.7,41.45,42.1,42.1,435533.0,182.96
2018-11-14,42.35,43.8,42.3,42.55,42.7,412768.0,177.82
2018-11-15,42.9,44.2,41.25,43.6,43.35,367324.0,159.64
2018-11-16,44.4,44.4,41.7,42.3,42.35,499103.0,212.35
2018-11-19,42.4,42.75,40.7,41.2,41.25,294550.0,122.14
