Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-01,93.8,93.8,89.0,92.5,92.05,55939.0,50.5
2016-07-04,93.0,94.0,85.1,93.0,93.7,36488.0,33.57
2016-07-05,94.0,97.5,93.0,94.5,97.1,31022.0,29.2
2016-07-07,97.5,99.5,93.6,98.55,98.55,31102.0,30.36
2016-07-08,96.0,98.5,93.6,98.0,97.75,32636.0,31.64
2016-07-11,98.0,98.75,92.0,92.0,92.8,30463.0,29.2
2016-07-12,94.0,102.0,93.0,101.0,99.8,36154.0,34.3
2016-07-13,99.1,100.0,93.0,93.05,93.05,30912.0,30.43
2016-07-14,95.0,97.85,93.0,93.05,93.55,34040.0,32.75
2016-07-15,94.0,98.5,93.0,93.0,93.6,32649.0,30.9
2016-07-18,94.0,98.95,92.0,93.0,94.95,30685.0,29.04
2016-07-19,95.0,95.8,90.0,90.0,91.7,30489.0,28.9
2016-07-20,93.0,97.0,91.15,92.0,92.0,30829.0,29.12
2016-07-21,92.5,96.0,90.0,90.0,91.35,31070.0,29.48
2016-07-22,92.0,96.0,91.4,95.5,95.35,31219.0,29.39
2016-07-25,94.5,95.9,94.0,94.0,94.0,30754.0,29.23
2016-07-26,94.6,97.0,92.8,92.8,92.8,32586.0,30.92
2016-07-27,94.5,96.0,94.05,95.65,95.65,41384.0,39.49
2016-07-28,95.25,95.3,92.9,94.1,94.1,42857.0,40.49
2016-07-29,94.2,98.5,93.05,93.05,93.05,41741.0,39.98
2016-08-01,95.0,96.2,93.75,93.8,94.4,44304.0,42.25
2016-08-02,96.0,97.0,88.2,92.1,92.1,43115.0,40.49
2016-08-03,98.0,101.3,98.0,101.3,101.3,52995.0,53.55
2016-08-04,111.0,111.4,108.35,111.4,111.4,715.0,0.8
2016-08-05,123.7,133.65,123.7,133.65,133.65,3811.0,5.07
2016-08-08,154.0,160.35,140.1,160.35,160.35,64639.0,99.58
2016-08-09,175.0,176.35,173.15,176.35,176.35,15736.0,27.67
2016-08-10,193.8,193.95,160.1,177.0,177.65,44028.0,78.48
2016-08-11,179.95,182.0,159.9,159.9,160.2,35217.0,58.79
2016-08-12,160.0,160.2,144.2,144.2,144.2,35029.0,51.81
2016-08-16,131.5,136.7,129.8,131.1,132.95,28328.0,37.38
2016-08-17,127.15,146.2,123.05,146.2,146.2,12270.0,17.46
2016-08-18,159.9,160.8,145.0,147.25,149.25,58379.0,90.38
2016-08-19,152.0,159.0,150.0,150.1,151.95,33186.0,50.86
2016-08-22,142.05,157.65,136.8,142.4,141.3,35334.0,50.46
2016-08-23,140.05,140.05,130.15,136.75,135.85,29448.0,40.48
2016-08-24,132.25,148.0,132.25,146.0,143.6,35522.0,50.95
2016-08-25,144.6,145.0,136.5,138.0,139.5,33824.0,47.48
2016-08-26,140.5,144.45,135.05,139.4,138.75,18127.0,25.13
2016-08-29,138.75,138.75,132.0,133.9,132.55,15135.0,20.32
2016-08-30,128.2,133.55,124.0,124.0,124.95,17722.0,22.52
2016-08-31,121.1,128.85,116.5,120.3,122.75,14504.0,17.98
2016-09-01,122.3,124.8,117.7,122.0,120.45,32762.0,39.91
2016-09-02,121.0,122.45,117.0,119.9,119.5,18048.0,21.73
2016-09-06,116.2,122.45,115.6,118.75,117.95,13069.0,15.45
