Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-08-11,434.75,434.75,350.05,388.0,397.2,777748.0,3030.79
2010-08-12,394.5,394.5,372.05,387.0,383.4,50308.0,192.25
2010-08-13,384.9,390.0,380.0,387.0,384.95,19141.0,73.85
2010-08-16,382.0,390.05,372.0,375.2,375.35,3855.0,14.59
2010-08-17,367.05,374.0,331.6,335.5,340.2,16546.0,58.01
2010-08-18,330.0,374.0,330.0,351.05,355.55,11068.0,39.3
2010-08-19,364.0,374.0,362.1,365.0,365.05,4684.0,17.27
2010-08-20,350.0,414.95,350.0,399.0,395.05,18016.0,70.14
2010-08-23,397.9,444.0,393.0,393.0,398.05,49603.0,209.97
2010-08-24,395.0,409.8,375.0,383.0,380.35,7702.0,30.12
2010-08-25,378.0,378.0,346.0,347.0,349.6,10185.0,36.57
2010-08-26,351.0,419.55,349.7,419.55,419.55,107779.0,434.06
2010-08-27,435.55,459.0,406.0,415.9,415.15,161196.0,709.9
2010-08-30,423.0,459.0,401.6,416.0,415.35,103894.0,446.28
2010-08-31,420.0,436.0,411.65,417.0,422.9,34360.0,146.11
2010-09-01,431.0,441.9,420.25,437.0,437.0,28198.0,122.24
2010-09-02,439.5,448.0,433.1,445.0,444.85,24542.0,109.06
2010-09-03,440.0,447.8,427.55,440.0,437.55,14036.0,61.33
2010-09-06,410.0,490.0,410.0,478.1,480.55,60968.0,283.29
2010-09-07,479.9,484.0,440.0,465.0,466.1,33628.0,153.27
2010-09-08,469.2,476.0,415.0,447.0,437.05,91514.0,398.45
2010-09-09,439.0,453.95,425.0,438.95,431.9,110635.0,478.98
2010-09-13,440.0,450.0,421.0,448.0,431.65,70494.0,303.89
2010-09-14,437.05,455.95,425.1,448.95,444.3,97596.0,426.82
2010-09-15,440.0,449.0,427.1,441.0,442.05,50823.0,220.84
2010-09-16,441.0,457.0,430.15,449.0,438.2,67614.0,297.25
2010-09-17,435.5,451.5,431.0,435.5,439.3,49912.0,218.64
2010-09-20,438.9,445.9,435.0,440.0,440.75,20292.0,89.24
2010-09-21,442.3,442.3,412.25,425.0,432.95,59096.0,252.83
2010-09-22,430.9,430.9,397.95,406.15,411.3,60011.0,246.4
2010-09-23,411.5,427.5,406.0,412.55,411.55,69618.0,289.1
2010-09-24,422.0,430.5,415.0,427.0,427.2,24378.0,103.44
2010-09-27,423.0,450.0,423.0,445.0,440.85,9056.0,39.81
2010-09-28,440.0,444.8,435.0,436.0,439.45,29515.0,129.61
2010-09-29,434.25,448.7,431.0,437.1,438.8,54010.0,236.1
2010-09-30,436.8,468.0,436.8,460.0,454.75,16780.0,76.1
2010-10-01,447.05,459.0,441.0,446.0,444.95,14115.0,63.65
2010-10-04,441.3,460.0,431.1,431.1,437.4,2783.0,12.37
2010-10-05,441.0,446.0,431.5,446.0,440.05,4303.0,18.8
2010-10-06,445.0,445.0,432.25,432.25,436.5,939.0,4.1
2010-10-07,432.5,438.65,425.1,425.1,427.7,1291.0,5.58
2010-10-08,421.0,437.0,421.0,426.05,428.35,1798.0,7.76
2010-10-11,432.0,433.85,418.0,418.3,425.05,2838.0,12.05
2010-10-12,420.3,440.0,414.2,425.0,417.9,6540.0,27.74
2010-10-13,422.2,430.0,413.0,425.0,422.2,3551.0,14.97
2010-10-14,420.0,434.95,410.3,426.05,430.15,14056.0,60.22
2010-10-15,420.6,438.9,420.55,426.15,435.75,1784.0,7.7
2010-10-18,422.6,428.5,422.0,422.0,423.05,1575.0,6.68
2010-10-19,421.05,427.3,418.0,420.0,420.0,1059.0,4.47
2010-10-20,416.0,429.8,412.0,415.9,415.9,934.0,3.88
2010-10-21,417.6,438.0,405.5,438.0,423.4,3885.0,16.29
2010-10-22,425.0,430.0,412.0,412.05,414.85,962.0,4.04
2010-10-25,434.0,438.0,410.0,435.0,431.8,8960.0,38.58
2010-10-26,430.0,435.75,425.0,435.0,433.8,4449.0,19.27
2010-10-27,422.05,440.0,420.15,432.0,432.3,3712.0,15.95
2010-10-28,423.2,433.0,416.55,420.0,422.75,1021.0,4.33
2010-10-29,417.2,438.0,416.55,430.0,434.3,8596.0,37.0
2010-11-01,421.25,433.1,421.15,421.7,423.3,1036.0,4.39
2010-11-02,430.0,435.0,420.0,420.0,421.0,2169.0,9.24
2010-11-03,429.85,444.6,426.15,436.9,432.5,9048.0,39.37
2010-11-04,437.0,452.0,427.0,452.0,443.25,10716.0,47.07
2010-11-05,430.3,452.0,430.3,431.2,443.25,711.0,3.16
2010-11-08,431.7,446.0,431.7,441.5,441.5,899.0,3.96
2010-11-09,433.85,442.85,428.0,430.0,431.1,966.0,4.22
2010-11-10,440.0,440.0,424.4,428.6,426.5,2029.0,8.68
2010-11-11,425.25,434.45,421.0,428.0,426.75,1357.0,5.84
2010-11-12,421.1,430.0,417.1,418.5,418.5,470.0,1.98
2010-11-15,424.8,424.8,413.8,417.55,417.5,1072.0,4.49
2010-11-16,430.0,430.0,396.8,403.05,404.95,1492.0,6.1
2010-11-18,410.0,413.9,403.4,413.7,409.95,953.0,3.91
2010-11-19,405.0,413.5,386.2,386.6,390.85,1286.0,5.12
2010-11-22,397.05,410.0,376.1,408.0,405.6,4694.0,18.98
2010-11-23,439.0,439.0,391.0,410.0,408.45,2374.0,9.65
2010-11-24,407.0,408.0,396.0,408.0,398.3,449.0,1.8
2010-11-25,394.0,422.2,394.0,395.35,400.6,1292.0,5.21
2010-11-26,471.1,471.1,363.0,365.0,385.95,2405.0,9.35
2010-11-29,370.0,388.0,370.0,379.5,377.85,4114.0,15.54
2010-11-30,358.2,379.9,358.2,378.9,378.7,3629.0,13.38
2010-12-01,368.0,393.4,364.0,382.8,384.45,1973.0,7.45
2010-12-02,372.75,399.85,369.0,375.85,381.9,4518.0,17.18
2010-12-03,394.0,394.0,365.5,365.5,373.4,1395.0,5.19
2010-12-06,374.0,375.0,362.0,362.0,373.35,853.0,3.16
2010-12-07,360.0,372.5,351.0,353.5,363.9,1516.0,5.48
2010-12-08,360.0,367.8,345.0,347.2,347.55,37457.0,131.13
2010-12-09,347.75,350.0,323.1,339.0,338.9,3097.0,10.41
2010-12-10,339.0,355.0,324.0,338.05,348.25,1480.0,5.14
2010-12-13,335.0,357.85,335.0,350.0,350.0,187.0,0.64
2010-12-14,328.1,352.0,328.1,352.0,352.0,911.0,3.12
2010-12-15,333.55,359.9,333.55,350.0,352.85,241.0,0.84
2010-12-16,334.0,365.0,334.0,345.0,356.4,578.0,2.05
2010-12-20,340.55,353.95,339.0,342.0,344.3,2439.0,8.34
2010-12-21,348.0,348.0,327.1,331.0,337.8,1043.0,3.51
2010-12-22,352.0,368.0,346.05,354.0,354.3,5212.0,18.43
2010-12-23,359.9,360.0,343.0,353.5,351.85,1253.0,4.46
2010-12-24,327.0,344.0,327.0,344.0,342.5,1173.0,4.0
2010-12-27,327.0,350.0,326.65,350.0,345.3,3417.0,11.49
2010-12-28,350.0,350.0,338.0,338.0,341.8,331.0,1.14
2010-12-29,333.35,358.0,330.55,352.0,355.45,973.0,3.39
2010-12-30,351.0,352.0,341.65,352.0,351.95,1792.0,6.27
2010-12-31,330.05,369.5,330.05,360.0,359.6,5129.0,18.38
2011-01-03,345.55,358.9,345.55,357.0,356.95,509.0,1.8
2011-01-04,357.0,365.0,356.0,363.9,359.7,14311.0,51.85
2011-01-05,350.05,368.0,350.0,350.0,350.0,299.0,1.06
2011-01-06,355.9,356.0,341.15,341.25,341.7,2589.0,9.08
2011-01-07,341.25,348.9,335.05,339.0,335.4,1259.0,4.32
2011-01-10,335.05,345.7,335.05,345.7,339.75,18.0,0.06
2011-01-11,353.0,353.0,335.05,335.5,335.5,592.0,2.01
2011-01-12,335.5,335.5,335.5,335.5,335.5,44.0,0.15
2011-01-13,330.05,348.0,330.05,344.0,341.55,1189.0,4.05
2011-01-14,338.0,341.9,332.3,339.0,337.55,841.0,2.83
2011-01-17,339.0,339.0,325.2,339.0,335.0,273.0,0.91
2011-01-18,345.0,345.0,311.0,338.9,332.4,2446.0,8.07
2011-01-19,317.0,336.4,317.0,334.95,334.95,39.0,0.13
2011-01-20,334.85,334.9,334.85,334.9,334.9,83.0,0.28
2011-01-21,330.15,345.0,318.0,345.0,340.3,857.0,2.9
2011-01-24,335.0,343.8,326.1,330.0,335.05,781.0,2.61
2011-01-25,331.1,335.0,320.0,334.45,332.0,1356.0,4.44
2011-01-27,337.0,337.0,324.8,334.0,334.0,262.0,0.87
2011-01-28,332.95,332.95,312.0,312.0,316.45,534.0,1.69
2011-01-31,300.0,333.0,298.0,310.25,324.1,907.0,2.86
2011-02-01,312.05,320.0,312.05,318.95,318.95,185.0,0.58
2011-02-02,312.0,312.0,305.0,305.0,310.9,80.0,0.25
2011-02-03,311.0,314.9,300.05,305.0,305.0,184.0,0.57
2011-02-04,319.1,319.1,295.0,317.0,313.05,2757.0,8.4
2011-02-07,300.35,320.8,300.35,320.8,317.8,440.0,1.37
2011-02-08,321.0,321.0,291.25,296.2,297.85,424.0,1.28
2011-02-09,301.0,301.0,288.0,300.0,288.95,219.0,0.64
2011-02-10,282.25,295.0,278.25,278.25,278.25,211.0,0.59
2011-02-11,305.0,305.0,276.0,300.0,300.0,24.0,0.07
2011-02-14,301.0,308.95,301.0,308.95,302.5,260.0,0.79
2011-02-15,288.5,310.7,288.5,297.0,299.15,685.0,2.08
2011-02-16,287.0,313.0,287.0,310.1,311.65,593.0,1.82
2011-02-17,313.9,313.9,293.0,295.0,296.55,952.0,2.86
