Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,14.0,14.55,13.75,14.25,14.15,556322.0,79.23
2010-01-05,14.45,14.45,13.5,13.85,13.7,320352.0,44.59
2010-01-06,13.95,14.0,12.75,13.25,13.3,207333.0,27.91
2010-01-07,12.85,14.85,12.85,14.55,14.55,1092359.0,156.21
2010-01-08,14.75,15.0,14.3,14.35,14.4,552515.0,81.27
2010-01-11,14.75,15.4,14.55,15.0,14.95,759794.0,114.34
2010-01-12,15.0,15.5,14.4,14.7,14.6,385874.0,57.97
2010-01-13,14.5,14.8,14.2,14.65,14.55,219033.0,31.72
2010-01-14,15.0,15.25,14.65,14.75,14.75,240049.0,35.88
2010-01-15,14.95,15.25,14.5,14.5,14.6,182565.0,26.96
2010-01-18,14.85,15.0,14.25,14.4,14.4,183009.0,26.85
2010-01-19,14.65,14.7,14.15,14.2,14.25,152714.0,22.14
2010-01-20,14.6,14.6,14.0,14.0,14.05,112253.0,15.95
2010-01-21,14.4,14.5,13.25,13.6,13.65,289822.0,40.26
2010-01-22,12.8,13.85,12.5,13.3,13.3,268057.0,35.3
2010-01-25,13.3,13.4,12.75,12.9,13.1,101288.0,13.27
2010-01-27,12.8,13.2,12.1,12.1,12.3,172044.0,21.79
2010-01-28,12.5,12.5,12.0,12.05,12.05,177054.0,21.69
2010-01-29,11.95,12.25,11.55,12.05,12.1,136555.0,16.24
2010-02-01,12.0,13.0,12.0,12.75,12.85,175176.0,22.33
2010-02-02,12.9,13.3,12.25,12.3,12.4,138177.0,17.72
2010-02-03,12.8,13.0,12.45,12.6,12.65,100526.0,12.8
2010-02-04,12.75,12.8,12.1,12.15,12.25,78626.0,9.79
2010-02-05,12.0,12.3,11.5,12.15,12.05,162116.0,19.08
2010-02-06,12.25,12.25,11.95,12.25,12.15,12380.0,1.5
2010-02-08,12.4,12.4,11.5,12.0,11.95,100484.0,11.98
2010-02-09,12.9,12.9,11.8,11.95,11.9,37456.0,4.52
2010-02-10,12.5,12.5,11.8,11.8,11.8,66807.0,8.07
2010-02-11,12.1,12.25,11.8,11.95,11.95,44336.0,5.36
2010-02-15,11.95,12.25,11.75,11.85,11.8,46478.0,5.55
2010-02-16,11.85,12.15,11.8,11.9,12.0,62371.0,7.49
2010-02-17,12.35,12.35,11.9,12.0,11.9,59919.0,7.19
2010-02-18,12.25,14.0,12.25,12.8,12.85,819582.0,108.76
