Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,144.5,147.5,140.15,142.2,141.6,17149.0,24.67
2010-01-05,144.5,152.7,141.5,147.9,146.45,27742.0,41.26
2010-01-06,150.5,150.5,143.25,144.0,143.75,4111.0,5.97
2010-01-07,144.0,148.0,143.65,144.1,144.9,3360.0,4.9
2010-01-08,145.1,150.6,144.4,145.5,145.25,6988.0,10.29
2010-01-11,145.0,151.5,145.0,147.7,147.25,10160.0,15.01
2010-01-12,146.6,149.0,143.1,143.1,143.1,3587.0,5.23
2010-01-13,142.5,145.4,141.35,144.5,143.7,1719.0,2.45
2010-01-14,142.0,146.9,142.0,144.0,145.5,2224.0,3.22
2010-01-15,145.0,146.0,142.3,143.8,143.9,1821.0,2.63
2010-01-18,142.2,146.0,140.2,140.5,141.7,3158.0,4.51
2010-01-19,142.5,144.75,135.15,137.0,136.15,7984.0,11.01
2010-01-20,137.1,142.0,137.0,139.0,137.75,5224.0,7.27
2010-01-21,137.0,138.0,135.0,135.0,135.45,4317.0,5.89
2010-01-22,132.55,134.8,130.0,133.5,133.5,3993.0,5.29
2010-01-25,132.15,135.35,132.15,133.5,134.5,234.0,0.31
2010-01-27,132.0,133.8,119.2,119.2,121.3,8959.0,11.4
2010-01-28,126.1,126.4,117.1,120.0,118.9,5148.0,6.24
2010-01-29,120.0,124.5,114.0,121.1,123.85,1669.0,2.02
2010-02-01,126.0,148.65,126.0,146.95,146.05,39638.0,57.11
2010-02-02,155.0,156.0,141.0,142.3,142.0,23974.0,35.45
2010-02-03,143.0,149.95,140.2,142.2,142.7,4240.0,6.11
2010-02-04,136.5,143.7,131.4,138.0,137.1,3112.0,4.31
2010-02-05,127.5,136.0,125.0,126.2,126.75,10731.0,13.65
2010-02-06,134.9,134.9,134.9,134.9,134.9,5.0,0.01
2010-02-08,130.75,138.8,127.0,128.95,128.2,5545.0,7.23
2010-02-09,129.1,133.6,129.1,131.0,131.45,1221.0,1.61
2010-02-10,131.0,138.1,130.7,133.1,134.8,7130.0,9.64
2010-02-11,133.0,136.0,130.7,135.95,135.8,2282.0,3.05
2010-02-15,133.9,140.0,133.9,134.35,136.6,2331.0,3.2
2010-02-16,135.1,140.0,135.1,137.7,137.1,2989.0,4.13
2010-02-17,140.1,147.65,139.0,140.15,140.2,18049.0,25.92
2010-02-18,137.6,142.95,137.6,138.95,138.1,2824.0,3.91
2010-02-19,139.0,140.0,132.7,134.9,134.35,2432.0,3.29
2010-02-22,140.5,140.5,130.4,130.6,132.3,3362.0,4.53
2010-02-23,132.0,148.8,132.0,142.25,142.7,144206.0,207.17
2010-02-24,141.0,142.0,135.2,138.0,138.0,17441.0,24.3
2010-02-25,137.9,139.45,136.1,139.45,138.45,5567.0,7.68
2010-02-26,136.6,142.0,136.25,138.0,139.15,5289.0,7.37
2010-03-02,139.0,140.0,138.0,140.0,139.0,1009.0,1.4
2010-03-03,137.05,141.15,137.0,139.65,139.7,2862.0,3.98
2010-03-04,138.0,140.0,137.45,139.95,139.95,1174.0,1.63
2010-03-05,139.0,142.0,136.2,139.4,139.6,4493.0,6.24
2010-03-08,141.95,149.8,138.8,144.7,145.05,39528.0,58.3
2010-03-09,147.45,157.5,142.15,147.05,147.85,69243.0,105.42
2010-03-10,148.0,153.95,142.6,145.05,144.65,7671.0,11.35
2010-03-11,146.0,146.0,140.25,141.0,141.3,5735.0,8.18
2010-03-12,145.0,145.0,138.0,139.0,139.1,4050.0,5.68
2010-03-15,138.2,142.0,137.2,137.2,139.7,1207.0,1.69
2010-03-16,138.0,142.0,136.1,138.8,137.55,1027.0,1.42
2010-03-17,138.3,148.8,137.1,139.2,139.95,11512.0,16.48
2010-03-18,143.75,151.9,138.75,148.3,146.15,158255.0,235.25
2010-03-19,150.95,150.95,145.1,147.35,147.4,11408.0,16.85
2010-03-22,146.2,146.9,141.25,143.5,142.75,2298.0,3.31
2010-03-23,145.75,145.75,142.25,142.75,142.6,3541.0,5.07
2010-03-25,142.6,145.8,142.05,143.9,143.9,2972.0,4.26
2010-03-26,142.55,155.0,142.55,150.35,150.45,33385.0,50.37
2010-03-29,148.25,171.7,148.25,160.1,162.35,265186.0,438.04
2010-03-30,162.0,163.3,153.15,154.0,155.4,28822.0,45.13
2010-03-31,156.85,160.9,154.0,156.0,156.3,14282.0,22.48
2010-04-01,151.3,173.5,151.3,164.35,166.3,196591.0,332.49
2010-04-05,170.0,170.0,162.0,165.0,165.3,22320.0,36.9
2010-04-06,165.3,167.9,162.3,164.25,163.4,9096.0,14.99
2010-04-07,164.25,164.95,160.0,161.0,161.05,6063.0,9.84
2010-04-08,160.3,183.9,159.0,173.0,174.2,196047.0,346.36
2010-04-09,175.0,176.8,168.0,172.5,172.3,19258.0,33.33
2010-04-12,171.0,175.0,167.15,169.95,169.7,18464.0,31.72
2010-04-13,170.3,182.8,170.1,171.05,172.0,80239.0,142.51
2010-04-15,173.9,185.9,173.0,177.75,177.1,160272.0,290.71
2010-04-16,178.0,178.0,169.0,170.95,171.9,19903.0,34.47
2010-04-19,171.5,171.9,165.5,167.3,166.8,8502.0,14.29
2010-04-20,168.55,178.45,168.55,171.65,172.6,35571.0,62.13
