Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-19,31.0,32.35,28.8,29.3,29.35,116954.0,36.13
2018-01-22,30.0,30.0,27.55,27.9,27.85,24361.0,6.83
2018-01-23,27.9,27.95,26.15,26.4,26.35,36081.0,9.8
2018-01-24,26.5,26.65,24.95,26.3,25.65,32341.0,8.35
2018-01-25,25.35,26.5,25.35,25.75,25.75,41290.0,10.63
2018-01-29,25.75,26.85,25.6,25.7,25.75,11544.0,3.02
2018-01-30,25.2,25.5,25.0,25.3,25.15,16143.0,4.06
2018-01-31,24.8,25.8,24.8,25.55,25.55,22372.0,5.66
2018-02-01,25.45,26.45,24.85,26.35,26.1,21868.0,5.65
2018-02-02,26.05,26.05,24.5,24.65,24.75,30303.0,7.57
2018-02-05,23.3,25.5,23.3,24.5,25.05,22053.0,5.33
2018-02-06,24.0,26.0,23.6,24.7,24.5,24530.0,5.93
2018-02-07,24.0,26.5,24.0,25.5,25.35,11026.0,2.76
2018-02-08,26.0,26.9,24.2,25.1,25.2,9646.0,2.49
2018-02-09,25.5,25.95,24.5,25.35,25.4,22850.0,5.81
2018-02-12,26.6,28.85,26.5,28.15,28.3,40261.0,11.25
2018-02-14,28.5,29.7,27.9,28.35,28.45,23111.0,6.64
2018-02-15,28.95,29.3,28.0,28.1,28.15,9925.0,2.83
2018-02-16,29.2,29.2,27.35,27.75,27.8,19052.0,5.28
2018-02-19,27.75,27.9,26.05,27.55,27.5,10392.0,2.85
2018-02-20,28.5,28.5,26.7,27.8,27.8,1913.0,0.53
2018-02-21,28.9,28.9,26.35,26.5,26.65,7030.0,1.88
2018-02-22,27.5,27.5,25.8,25.85,25.9,4513.0,1.18
2018-02-23,26.25,27.65,25.8,27.0,27.2,19857.0,5.28
2018-02-26,27.2,27.3,26.75,26.75,27.0,9052.0,2.45
2018-02-27,27.9,27.9,26.3,26.55,26.4,20252.0,5.36
2018-02-28,26.0,26.35,25.9,25.95,25.95,19485.0,5.06
2018-03-01,26.3,26.75,26.25,26.25,26.3,6152.0,1.62
2018-03-05,26.05,26.6,25.95,26.1,26.1,10906.0,2.84
2018-03-06,26.1,26.95,25.8,25.8,25.85,6657.0,1.73
2018-03-07,25.8,25.85,24.8,24.9,24.9,12952.0,3.27
2018-03-08,24.8,25.0,24.4,24.45,24.55,8102.0,2.0
2018-03-09,26.0,26.0,24.3,24.4,24.5,3217.0,0.8
2018-03-12,24.55,26.95,24.55,26.3,26.05,12602.0,3.21
2018-03-13,26.4,27.0,24.75,25.35,25.55,15036.0,3.82
2018-03-14,25.0,26.35,24.55,25.25,25.75,5672.0,1.43
2018-03-15,25.15,25.65,24.85,24.95,25.1,12618.0,3.17
2018-03-16,25.1,25.9,24.7,24.7,24.8,6474.0,1.61
2018-03-19,24.65,25.3,24.25,24.25,24.3,16121.0,3.99
2018-03-20,24.5,25.15,24.2,24.2,24.35,11861.0,2.89
2018-03-21,24.2,24.95,24.2,24.35,24.35,4544.0,1.11
2018-03-22,24.45,25.0,23.65,23.65,23.85,12528.0,3.02
2018-03-23,22.3,24.0,21.05,23.5,23.4,7289.0,1.67
2018-03-26,24.85,24.85,22.25,23.0,23.2,14672.0,3.4
2018-03-27,24.65,24.65,23.1,23.55,23.75,4385.0,1.05
2018-03-28,23.15,23.7,22.75,22.75,22.95,8805.0,2.05
2018-04-02,22.75,23.95,22.75,23.2,23.25,4670.0,1.09
2018-04-03,23.6,24.6,23.6,24.15,24.2,4511.0,1.09
2018-04-04,24.55,25.5,23.35,23.65,23.75,8549.0,2.09
2018-04-05,23.75,24.9,23.75,24.75,24.4,14503.0,3.55
2018-04-06,24.0,24.65,23.7,24.15,24.15,8509.0,2.04
2018-04-09,24.15,25.0,24.0,24.1,24.1,5935.0,1.44
2018-04-10,23.75,24.75,23.75,24.45,24.45,6276.0,1.52
2018-04-11,25.4,26.4,24.3,24.3,24.35,6250.0,1.54
2018-04-12,24.3,24.3,23.8,24.3,24.0,6286.0,1.51
2018-04-13,23.6,24.5,23.6,24.0,24.0,10197.0,2.46
2018-04-16,23.5,24.3,23.45,23.5,23.45,2194.0,0.52
2018-04-17,23.55,24.0,23.55,23.6,23.6,6062.0,1.43
2018-04-18,23.6,23.85,23.1,23.5,23.45,7038.0,1.64
2018-04-19,23.1,28.1,23.1,28.1,28.1,334522.0,91.82
2018-04-20,29.4,31.0,26.15,26.5,26.9,211791.0,62.43
2018-04-23,27.4,27.4,25.5,25.65,25.75,32443.0,8.5
2018-04-24,25.65,26.45,25.4,25.7,26.0,14287.0,3.72
2018-04-25,27.85,27.85,25.5,26.35,26.65,34116.0,9.1
2018-04-26,26.15,28.7,25.25,27.2,27.15,78491.0,21.87
2018-04-27,28.2,29.15,27.0,28.75,28.75,59059.0,16.86
2018-04-30,29.5,29.5,26.65,27.25,26.95,18156.0,5.02
2018-05-02,26.1,27.5,25.65,26.3,25.85,17848.0,4.72
2018-05-03,27.0,27.0,25.75,26.7,26.2,3663.0,0.97
2018-05-04,28.75,28.75,26.05,26.15,26.25,8366.0,2.23
2018-05-07,26.15,27.0,25.3,25.5,25.55,24686.0,6.48
2018-05-08,26.9,28.8,25.5,28.25,28.25,149253.0,41.7
2018-05-09,29.75,29.9,27.6,29.15,29.65,227756.0,67.05
2018-05-10,29.3,34.3,29.0,32.8,33.25,797149.0,259.4
2018-05-11,33.0,34.6,32.5,33.4,33.55,397031.0,133.81
2018-05-14,34.45,35.3,29.4,29.4,30.05,250698.0,81.43
2018-05-15,29.25,31.95,27.65,28.0,28.25,89423.0,26.83
2018-05-16,28.1,29.9,27.15,29.1,28.8,252201.0,71.86
2018-05-17,28.3,29.5,27.55,29.0,29.3,67999.0,19.84
2018-05-18,28.7,29.25,27.85,29.0,28.5,16247.0,4.63
2018-05-21,28.5,28.8,27.45,27.75,28.1,21362.0,5.97
2018-05-22,27.8,28.5,26.75,26.8,26.95,17460.0,4.74
2018-05-23,26.9,26.9,24.85,24.95,25.05,61594.0,15.76
2018-05-24,25.35,25.35,24.4,24.4,24.45,22239.0,5.48
2018-05-25,24.3,29.3,24.05,27.8,27.95,257051.0,71.99
2018-05-28,27.7,27.7,25.6,26.4,26.25,49324.0,12.91
2018-05-29,26.0,26.15,25.05,25.15,25.4,31606.0,8.12
2018-05-30,25.15,25.85,24.5,25.45,25.2,10747.0,2.73
2018-05-31,25.3,25.45,24.05,24.45,24.45,26536.0,6.52
2018-06-01,24.45,24.9,24.05,24.85,24.65,14040.0,3.44
2018-06-04,24.45,25.1,23.5,23.55,24.15,14806.0,3.59
2018-06-05,23.8,24.5,22.3,23.25,23.1,32735.0,7.64
2018-06-06,23.1,26.8,22.3,25.85,25.55,66348.0,16.29
2018-06-07,25.0,25.6,24.05,25.15,24.65,16107.0,3.99
2018-06-08,25.0,25.15,24.15,24.7,24.5,1538.0,0.38
2018-06-11,24.3,25.5,23.2,25.2,25.05,3278.0,0.81
2018-06-12,24.7,27.25,24.05,25.0,24.9,18427.0,4.64
2018-06-13,25.0,25.95,25.0,25.2,25.55,8681.0,2.21
2018-06-14,25.0,25.9,24.5,25.1,25.35,11935.0,3.03
2018-06-15,25.0,25.65,24.85,25.3,25.25,3344.0,0.84
2018-06-18,25.05,25.35,24.55,25.3,25.15,6601.0,1.66
2018-06-19,25.0,25.5,24.7,25.0,25.25,5381.0,1.35
2018-06-20,25.6,25.6,24.4,24.8,24.85,8881.0,2.2
2018-06-21,25.95,25.95,24.3,24.5,24.5,6020.0,1.48
2018-06-22,24.55,24.55,23.65,24.35,24.3,16224.0,3.91
2018-06-25,24.2,28.8,24.05,27.5,28.0,248940.0,68.27
2018-06-26,27.8,29.7,27.0,28.75,28.9,210127.0,60.52
2018-06-27,28.5,30.4,26.6,28.0,28.2,204139.0,59.03
2018-06-28,27.9,28.85,26.5,27.3,27.8,138592.0,38.25
2018-06-29,27.35,33.35,27.35,29.5,32.0,1121627.0,349.07
2018-07-02,32.5,35.5,28.5,29.9,30.2,1836805.0,596.24
2018-07-03,29.9,29.9,26.5,27.2,26.75,339672.0,94.37
2018-07-04,27.0,27.3,25.3,26.3,26.4,193723.0,50.71
2018-07-05,26.5,27.7,25.5,26.85,27.1,166515.0,44.47
2018-07-06,26.5,27.65,26.5,27.0,26.95,73649.0,20.04
2018-07-09,26.95,28.3,25.3,26.15,26.75,69195.0,18.76
2018-07-10,26.85,27.45,26.45,26.5,26.7,54841.0,14.75
2018-07-11,26.4,27.35,25.75,25.85,26.05,52157.0,13.85
2018-07-12,26.4,27.1,26.0,26.35,26.25,56192.0,14.9
2018-07-13,26.05,26.5,25.6,25.7,25.9,52975.0,13.81
2018-07-16,26.2,26.2,24.6,24.8,25.05,45557.0,11.67
2018-07-17,24.8,26.1,24.8,24.9,25.1,42656.0,10.78
2018-07-18,25.9,25.9,24.5,24.55,24.8,31025.0,7.81
2018-07-19,24.5,25.3,24.0,25.1,24.7,22037.0,5.44
2018-07-20,25.0,25.0,24.5,24.7,24.65,11316.0,2.79
2018-07-23,25.0,25.5,23.85,24.0,24.1,34966.0,8.49
2018-07-24,24.15,25.45,24.15,25.45,25.35,34297.0,8.58
2018-07-25,25.5,26.9,25.2,26.5,26.45,75682.0,19.89
2018-07-26,26.5,28.0,26.05,27.85,27.55,72734.0,19.62
2018-07-27,27.2,28.4,27.1,27.7,27.95,93817.0,26.11
2018-07-30,28.5,28.5,27.5,27.65,27.6,88114.0,24.63
2018-07-31,27.95,28.3,27.5,27.95,27.75,65701.0,18.29
2018-08-01,28.35,28.45,27.5,27.5,27.6,57929.0,16.17
2018-08-02,27.9,27.9,27.1,27.75,27.55,14344.0,3.95
2018-08-03,27.75,28.9,27.1,27.95,28.3,75885.0,21.32
2018-08-06,27.55,28.45,26.65,27.8,27.65,25511.0,7.07
2018-08-07,27.3,27.7,26.85,27.6,27.5,28767.0,7.87
2018-08-08,27.5,27.75,26.75,26.8,26.95,14656.0,4.0
2018-08-09,26.95,26.95,25.6,25.8,25.9,32932.0,8.64
2018-08-10,25.8,27.45,25.8,26.5,26.4,25529.0,6.86
2018-08-13,26.5,26.75,25.5,26.7,26.45,8110.0,2.12
2018-08-14,26.7,26.7,25.65,25.65,25.9,22132.0,5.8
2018-08-16,25.9,26.3,25.15,25.15,25.25,19128.0,4.9
2018-08-17,25.5,25.85,25.0,25.4,25.2,22383.0,5.68
2018-08-20,25.2,25.9,25.2,25.2,25.35,19754.0,5.03
2018-08-21,25.2,26.0,25.2,25.4,25.25,33130.0,8.44
2018-08-23,25.6,25.6,25.0,25.0,25.1,9798.0,2.47
2018-08-24,24.85,25.0,24.6,25.0,24.75,16748.0,4.16
2018-08-27,24.8,25.1,24.65,24.95,25.05,7619.0,1.9
2018-08-28,24.9,25.25,24.55,24.55,24.8,11376.0,2.84
2018-08-29,24.8,25.15,24.4,24.75,24.75,18463.0,4.6
2018-08-30,25.45,29.0,24.9,27.2,27.3,146392.0,40.41
2018-08-31,27.9,27.9,26.1,26.1,26.3,20561.0,5.47
2018-09-03,26.15,26.6,25.9,26.25,26.0,14349.0,3.76
2018-09-04,26.0,26.45,25.3,25.3,25.4,7491.0,1.93
2018-09-05,25.5,25.5,24.25,24.75,24.55,34528.0,8.5
2018-09-06,24.55,25.15,24.2,24.8,24.8,37570.0,9.27
2018-09-07,24.75,26.25,24.75,25.3,25.3,29890.0,7.67
2018-09-10,25.1,26.3,25.1,26.3,26.05,18388.0,4.76
2018-09-11,26.3,26.4,25.3,25.8,25.6,13741.0,3.54
2018-09-12,25.3,25.3,24.55,24.55,24.75,29118.0,7.21
2018-09-14,25.8,25.8,24.65,25.0,24.9,9533.0,2.38
2018-09-17,24.85,25.8,24.3,25.5,25.5,23888.0,5.95
2018-09-18,25.2,25.45,24.15,24.35,24.45,45807.0,11.28
2018-09-19,24.9,24.95,24.5,24.75,24.55,14586.0,3.63
2018-09-21,24.6,25.95,23.15,23.75,23.55,40434.0,9.83
2018-09-24,24.0,24.0,21.25,22.7,22.45,42900.0,9.52
2018-09-25,21.65,22.95,21.65,22.0,22.1,15695.0,3.47
2018-09-26,22.25,22.65,21.8,22.2,22.05,15930.0,3.53
2018-09-27,22.95,22.95,21.65,21.65,21.7,3777.0,0.83
2018-09-28,21.55,22.0,20.75,20.9,21.05,30283.0,6.52
2018-10-01,20.5,20.5,19.5,19.75,19.85,35211.0,7.01
2018-10-03,19.55,20.95,19.2,20.95,20.7,6954.0,1.43
2018-10-04,20.3,21.0,19.6,19.6,19.75,7337.0,1.47
2018-10-05,20.3,20.3,18.5,18.65,18.7,17422.0,3.33
2018-10-08,19.0,21.4,18.6,18.95,18.95,26862.0,5.31
2018-10-09,19.5,22.7,19.3,22.7,22.5,81960.0,17.75
2018-10-10,23.5,23.5,22.3,22.85,22.8,22739.0,5.23
2018-10-11,22.65,22.65,20.45,21.95,21.65,16389.0,3.56
2018-10-12,22.0,22.5,20.8,21.9,21.9,9105.0,1.99
2018-10-15,21.5,22.55,21.2,22.5,22.35,6527.0,1.45
2018-10-16,22.5,22.7,21.55,22.1,21.95,2953.0,0.65
2018-10-17,22.0,22.9,21.65,22.6,21.9,6702.0,1.47
2018-10-19,22.6,22.6,21.2,22.0,21.75,5822.0,1.26
2018-10-22,22.0,22.5,21.55,22.4,22.05,40638.0,8.97
2018-10-23,21.55,22.25,21.35,21.5,21.5,8176.0,1.77
2018-10-24,21.6,22.15,21.25,21.3,21.4,16784.0,3.63
2018-10-25,21.2,21.75,20.6,21.2,21.15,7958.0,1.67
2018-10-26,21.45,21.75,20.85,21.45,21.35,6928.0,1.47
2018-10-29,22.0,22.4,21.1,21.2,21.5,25216.0,5.47
2018-10-30,21.3,21.65,21.25,21.6,21.6,10501.0,2.26
2018-10-31,21.55,22.4,21.4,21.95,22.25,18227.0,4.02
2018-11-01,22.0,22.5,21.25,21.4,21.7,10165.0,2.22
2018-11-02,22.0,23.0,21.75,21.8,22.0,27420.0,6.18
2018-11-05,22.0,22.6,21.7,22.5,22.35,14492.0,3.23
2018-11-06,22.45,22.5,22.0,22.5,22.3,4308.0,0.96
2018-11-07,22.5,22.9,22.45,22.9,22.65,516.0,0.12
2018-11-09,22.0,23.55,22.0,23.15,23.3,5650.0,1.3
2018-11-12,23.35,23.9,22.6,23.35,23.35,12632.0,2.94
2018-11-13,23.45,23.9,22.55,23.2,22.85,8818.0,2.06
2018-11-14,22.85,22.85,21.6,22.0,22.35,34922.0,7.7
2018-11-15,22.2,23.5,21.25,23.05,23.35,26868.0,6.09
2018-11-16,23.0,24.0,22.1,23.4,23.35,58462.0,13.78
2018-11-19,23.0,23.0,22.15,22.6,22.5,4444.0,1.0
2018-11-20,22.5,22.6,22.3,22.55,22.45,686.0,0.15
2018-11-21,22.55,22.55,21.65,21.8,21.9,4833.0,1.06
2018-11-22,22.15,22.25,21.2,21.55,21.65,4799.0,1.05
2018-11-26,22.5,22.8,21.55,22.25,22.1,3284.0,0.74
2018-11-27,22.1,23.0,22.0,23.0,22.75,1465.0,0.33
2018-11-28,23.0,23.1,22.7,22.75,22.7,1289.0,0.29
2018-11-29,22.7,22.75,21.5,22.3,22.25,4530.0,1.01
2018-11-30,21.55,22.5,21.55,22.0,22.0,5235.0,1.16
2018-12-03,21.6,22.5,21.55,21.6,21.75,3810.0,0.83
2018-12-04,22.0,22.1,21.5,22.0,21.8,5061.0,1.1
2018-12-05,21.65,21.7,20.3,21.45,21.3,9754.0,2.06
2018-12-06,21.35,21.35,20.6,21.3,21.3,1423.0,0.3
2018-12-07,21.0,21.15,20.55,20.8,20.75,2133.0,0.44
2018-12-10,20.55,20.65,20.1,20.15,20.3,4844.0,0.99
2018-12-11,20.2,20.65,19.55,20.25,20.25,2931.0,0.59
2018-12-12,20.8,21.5,20.8,21.1,21.1,3331.0,0.7
2018-12-13,21.05,21.45,20.8,21.0,21.0,1855.0,0.39
2018-12-14,20.7,21.0,20.1,20.4,20.5,9916.0,2.05
2018-12-17,20.95,21.25,20.5,21.25,21.05,7007.0,1.46
2018-12-18,20.85,20.9,20.35,20.35,20.75,5016.0,1.04
2018-12-19,20.85,21.1,20.5,20.5,20.6,5522.0,1.15
2018-12-20,21.4,21.5,20.1,20.6,20.7,5807.0,1.2
2018-12-21,20.5,20.95,20.5,20.5,20.55,3433.0,0.71
2018-12-24,20.8,21.1,20.3,21.1,20.9,4263.0,0.89
2018-12-26,20.6,20.6,20.1,20.45,20.45,1799.0,0.37
2018-12-27,20.5,20.7,20.25,20.25,20.4,3836.0,0.78
2018-12-28,20.55,20.75,20.4,20.7,20.7,1168.0,0.24
2018-12-31,20.7,20.7,19.5,20.0,20.2,10019.0,2.03
2019-01-01,20.45,20.6,20.0,20.6,20.4,6388.0,1.3
2019-01-02,20.45,24.45,20.45,24.45,24.35,229079.0,55.25
