Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,134.0,135.0,133.1,134.95,134.65,187187.0,251.62
2010-01-05,135.15,136.0,132.3,133.2,132.95,252368.0,337.95
2010-01-06,134.0,144.6,132.8,144.0,143.15,1232231.0,1725.02
2010-01-07,145.15,145.75,138.5,139.3,139.95,476221.0,675.27
2010-01-08,141.5,148.0,140.25,143.25,143.9,1083761.0,1568.38
2010-01-11,145.1,151.95,144.1,147.25,147.85,1280004.0,1902.78
2010-01-12,148.0,148.65,143.1,145.0,144.5,617864.0,898.44
2010-01-13,143.8,144.9,138.5,143.9,144.1,212787.0,303.94
2010-01-14,145.2,148.9,144.5,148.0,148.15,453556.0,669.67
2010-01-15,149.2,155.6,147.0,152.65,152.9,1279257.0,1950.35
2010-01-18,151.4,158.25,151.4,153.05,153.75,836439.0,1304.03
2010-01-19,151.0,155.0,148.6,149.8,150.1,472716.0,712.34
2010-01-20,151.0,156.5,150.1,152.75,153.7,785007.0,1206.2
2010-01-21,151.0,154.8,141.5,146.55,146.2,753713.0,1116.8
2010-01-22,140.0,148.4,138.75,144.8,144.25,416306.0,598.15
2010-01-25,142.0,145.85,137.0,140.0,139.9,554277.0,780.04
2010-01-27,141.4,141.4,131.4,133.0,133.05,290670.0,391.99
2010-01-28,134.1,139.4,130.3,131.0,131.9,280552.0,378.21
2010-01-29,133.0,137.1,128.4,134.8,135.2,444492.0,595.25
2010-02-01,134.9,138.4,133.5,135.0,135.75,568839.0,774.52
2010-02-02,137.4,138.0,126.75,128.0,128.7,414563.0,549.25
2010-02-03,131.0,137.5,129.7,133.45,133.75,521948.0,694.93
2010-02-04,133.1,133.6,128.0,129.9,129.2,159744.0,209.59
2010-02-05,128.0,128.0,121.3,122.55,123.2,223866.0,277.19
2010-02-06,125.4,131.45,125.4,131.0,129.3,81374.0,104.53
2010-02-08,131.0,133.8,128.05,131.0,131.9,419261.0,551.3
2010-02-09,133.4,133.4,129.9,130.6,130.5,271846.0,356.92
2010-02-10,133.7,134.15,129.6,131.0,130.4,214352.0,282.52
2010-02-11,132.5,132.5,128.6,129.25,129.5,196297.0,255.06
2010-02-15,130.05,132.0,122.4,123.8,123.55,292424.0,368.69
2010-02-16,127.0,130.4,123.65,129.25,129.4,432267.0,551.09
2010-02-17,131.4,134.0,130.25,133.5,132.75,393678.0,520.58
2010-02-18,133.0,136.8,132.05,134.25,134.0,261050.0,352.11
2010-02-19,133.1,134.5,128.05,129.0,128.85,174142.0,226.83
2010-02-22,131.0,131.7,125.2,126.0,126.1,105864.0,135.92
2010-02-23,126.7,129.0,124.2,126.0,125.3,147337.0,185.7
2010-02-24,125.0,126.8,123.2,123.8,124.5,95137.0,118.71
2010-02-25,122.0,125.9,121.65,122.0,122.3,127864.0,157.63
2010-02-26,123.0,129.8,122.5,122.5,122.9,390364.0,489.72
2010-03-02,123.0,125.8,123.0,123.7,123.75,189041.0,234.58
2010-03-03,123.7,126.6,123.7,124.0,124.15,232196.0,290.51
2010-03-04,125.0,126.9,124.3,125.3,125.1,316581.0,397.55
2010-03-05,126.0,129.5,126.0,127.1,126.8,314618.0,401.98
2010-03-08,128.25,133.5,128.25,132.0,131.9,460677.0,606.03
2010-03-09,132.7,142.3,132.7,138.55,139.4,1659685.0,2298.83
2010-03-10,139.9,141.8,136.25,138.3,138.2,729528.0,1017.37
2010-03-11,138.95,142.45,138.5,139.95,140.5,515925.0,727.44
2010-03-12,140.0,142.8,140.0,141.25,141.85,550409.0,780.03
2010-03-15,142.0,142.0,135.45,140.0,139.6,203553.0,282.4
2010-03-16,139.6,140.45,136.8,136.8,137.85,175552.0,242.23
2010-03-17,138.5,138.9,135.5,135.5,135.85,125651.0,172.07
2010-03-18,136.0,139.0,135.5,136.7,136.6,133048.0,183.01
2010-03-19,136.95,138.35,134.0,134.5,134.85,83638.0,113.63
2010-03-22,134.5,135.4,131.0,131.05,131.65,83694.0,111.16
2010-03-23,132.9,133.8,129.0,130.5,130.2,130325.0,170.2
2010-03-25,130.0,140.05,130.0,136.5,137.4,355402.0,481.82
2010-03-26,139.0,139.0,134.0,134.15,134.7,90530.0,122.61
2010-03-29,134.6,135.75,133.3,134.0,134.25,110533.0,148.82
2010-03-30,134.5,135.15,132.0,133.95,133.55,98024.0,131.31
2010-03-31,134.0,134.6,132.55,133.4,133.05,62160.0,82.92
2010-04-01,134.0,136.95,134.0,136.95,136.1,106486.0,144.76
2010-04-05,137.0,141.9,136.5,137.3,137.9,246817.0,344.78
2010-04-06,139.3,139.3,136.5,137.15,136.95,81258.0,111.62
2010-04-07,137.0,144.9,136.3,141.6,141.45,1401595.0,1984.03
2010-04-08,140.4,144.85,140.15,140.35,141.5,409334.0,584.86
2010-04-09,142.0,143.5,139.5,140.0,140.35,154421.0,218.58
2010-04-12,139.35,141.3,135.9,136.35,136.7,128149.0,177.25
2010-04-13,137.1,139.35,136.0,136.05,136.5,231006.0,316.67
2010-04-15,137.55,142.9,137.55,139.15,139.25,334526.0,469.58
2010-04-16,139.5,140.45,134.8,136.5,136.5,205392.0,282.15
2010-04-19,135.4,136.95,133.65,133.75,134.4,209186.0,282.48
2010-04-20,135.4,138.6,133.05,135.1,136.2,476194.0,647.83
2010-04-21,136.9,137.95,133.3,134.2,134.45,339882.0,458.72
2010-04-22,134.45,136.05,133.1,133.6,134.1,124325.0,167.93
2010-04-23,134.9,136.4,132.55,133.1,133.1,185439.0,247.85
2010-04-26,134.8,136.6,133.0,133.5,133.4,131320.0,176.64
2010-04-27,132.4,134.4,132.4,132.5,132.8,124399.0,165.76
2010-04-28,131.7,132.05,128.3,129.65,129.55,180463.0,234.45
2010-04-29,130.75,131.9,125.5,126.0,126.1,433265.0,551.12
2010-04-30,127.55,130.5,126.15,126.8,127.25,289528.0,371.64
2010-05-03,130.0,130.0,123.9,125.8,124.9,377389.0,479.12
2010-05-04,125.5,128.45,124.2,125.2,125.1,329569.0,416.13
2010-05-05,124.0,124.0,115.0,123.3,123.0,241166.0,295.02
2010-05-06,123.0,124.25,120.8,122.8,122.75,109006.0,133.69
2010-05-07,122.0,122.0,118.25,120.2,120.05,168264.0,201.6
2010-05-10,121.0,124.95,121.0,124.0,123.6,214549.0,264.03
