Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,120.0,129.5,118.2,128.55,127.85,126108.0,158.64
2010-01-05,129.85,133.0,127.0,127.05,127.7,119823.0,156.03
2010-01-06,130.25,134.25,128.55,131.8,132.15,105532.0,139.75
2010-01-07,134.5,135.4,129.5,130.0,130.45,90234.0,119.88
2010-01-08,130.35,133.0,128.0,129.5,128.8,58839.0,76.86
2010-01-11,130.8,132.7,130.1,130.25,130.6,45361.0,59.56
2010-01-12,131.4,138.5,129.0,134.5,134.1,322540.0,436.71
2010-01-13,134.3,134.6,131.15,132.5,132.65,44522.0,59.22
2010-01-14,134.0,134.0,130.6,131.0,131.3,31504.0,41.57
2010-01-15,132.85,132.95,129.75,130.5,130.35,53717.0,70.3
2010-01-18,129.35,132.0,128.6,129.8,129.3,31296.0,40.85
2010-01-19,130.95,130.95,117.3,125.05,125.05,74529.0,93.91
2010-01-20,125.5,128.45,123.7,125.0,124.1,34853.0,43.67
2010-01-21,124.4,125.75,120.75,120.75,121.55,33672.0,41.38
2010-01-22,120.0,123.0,117.1,121.0,120.6,41190.0,49.37
2010-01-25,122.9,132.0,122.9,127.5,127.15,143808.0,185.1
2010-01-27,129.5,129.7,121.55,124.5,123.1,53938.0,66.63
2010-01-28,126.95,128.0,121.05,123.85,122.3,60130.0,75.28
2010-01-29,121.75,126.75,120.8,125.2,125.1,67513.0,83.42
2010-02-01,126.75,129.5,122.85,127.0,127.1,61195.0,77.91
2010-02-02,128.0,129.85,125.3,126.0,125.95,29324.0,37.47
2010-02-03,120.1,127.5,120.1,124.75,124.25,22751.0,28.56
2010-02-04,124.3,126.8,122.25,122.95,122.6,15918.0,19.71
2010-02-05,120.25,120.25,117.0,119.8,119.25,31954.0,38.05
2010-02-06,120.0,121.9,119.0,120.5,120.7,6772.0,8.16
2010-02-08,117.5,122.7,117.5,120.5,119.95,10551.0,12.75
2010-02-09,118.1,123.7,118.1,122.85,122.35,19763.0,24.01
2010-02-10,120.25,124.7,120.0,123.0,122.25,17908.0,21.96
2010-02-11,120.5,125.5,120.5,124.0,123.35,19506.0,24.04
2010-02-15,125.0,125.0,121.25,121.5,121.6,12774.0,15.75
2010-02-16,118.2,122.85,118.2,120.4,120.7,27485.0,33.22
2010-02-17,121.25,123.5,120.7,123.0,122.05,41023.0,50.08
2010-02-18,120.25,124.0,120.2,122.35,121.55,38412.0,47.07
2010-02-19,120.35,122.65,119.45,120.8,120.5,24001.0,28.99
2010-02-22,121.15,124.0,119.1,120.5,119.95,13352.0,16.16
2010-02-23,117.15,120.0,117.15,118.35,118.3,21095.0,24.97
2010-02-24,117.0,119.75,116.55,118.85,118.5,30946.0,36.39
2010-02-25,117.3,121.0,117.3,118.0,118.05,10927.0,12.93
2010-02-26,116.25,119.6,116.25,118.95,118.7,17680.0,20.97
2010-03-02,116.1,120.6,116.1,117.85,118.2,11743.0,13.93
2010-03-03,117.2,122.0,117.2,121.0,120.95,28456.0,34.26
2010-03-04,121.05,121.7,118.95,119.45,119.4,19805.0,23.76
2010-03-05,118.1,121.45,118.1,120.5,119.85,24015.0,28.86
2010-03-08,120.2,123.0,120.2,120.5,120.65,13690.0,16.59
2010-03-09,118.05,120.55,118.05,120.0,120.0,40726.0,48.52
2010-03-10,118.4,120.2,118.4,119.35,119.1,19696.0,23.52
2010-03-11,123.9,123.9,116.45,116.95,116.65,47933.0,56.6
2010-03-12,117.95,118.4,112.3,113.9,113.6,78601.0,90.0
2010-03-15,113.0,116.65,110.6,114.55,114.9,58604.0,67.16
2010-03-16,112.15,124.85,112.15,120.0,120.75,88458.0,106.33
2010-03-17,116.1,121.1,116.1,119.35,119.7,26145.0,31.39
2010-03-18,113.15,120.9,113.15,119.0,120.1,18420.0,22.04
2010-03-19,116.4,120.1,116.4,119.0,119.0,17572.0,20.98
2010-03-22,117.3,120.75,117.3,118.15,118.5,19506.0,23.28
2010-03-23,117.85,120.5,117.85,118.0,118.1,15762.0,18.76
2010-03-25,116.05,119.5,116.0,117.0,117.05,18022.0,21.15
2010-03-26,116.05,117.85,115.6,115.95,115.8,19838.0,23.17
2010-03-29,113.0,117.0,113.0,115.6,115.55,13727.0,15.87
2010-03-30,115.0,124.0,115.0,123.0,119.45,26028.0,30.92
2010-03-31,119.0,123.6,119.0,119.0,119.65,54539.0,66.39
2010-04-01,116.05,120.5,116.05,118.0,118.2,9214.0,10.96
2010-04-05,117.05,122.0,115.15,120.4,120.05,34362.0,41.01
2010-04-06,119.0,122.8,119.0,122.0,121.45,38682.0,47.15
2010-04-07,121.0,125.5,121.0,123.0,123.15,40644.0,50.36
2010-04-08,122.1,125.25,122.1,125.0,125.05,57679.0,71.76
2010-04-09,123.0,127.8,121.95,126.0,126.25,46110.0,58.48
2010-04-12,123.0,129.75,123.0,128.5,128.0,57060.0,73.2
2010-04-13,126.0,133.5,126.0,129.7,129.6,100801.0,130.4
2010-04-15,128.0,131.25,128.0,128.55,128.35,40357.0,52.24
2010-04-16,129.0,129.0,127.15,127.4,127.4,21894.0,28.01
