Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,49.05,51.9,48.75,51.45,51.4,5797115.0,2956.64
2010-01-05,51.95,53.75,51.75,53.4,53.55,4891846.0,2586.75
2010-01-06,53.55,53.9,51.45,52.6,52.35,3129980.0,1642.69
2010-01-07,52.5,52.8,51.2,51.4,51.5,1721641.0,891.55
2010-01-08,51.8,52.8,51.65,52.05,52.05,1389998.0,726.33
2010-01-11,52.75,53.5,52.05,52.35,52.4,1128199.0,593.45
2010-01-12,52.7,53.0,51.6,51.95,51.9,2368573.0,1236.25
2010-01-13,51.75,52.75,50.25,52.65,52.15,1574718.0,807.19
2010-01-14,52.2,54.95,52.2,54.95,54.65,6123054.0,3309.09
2010-01-15,55.25,56.35,55.0,55.8,55.7,4721425.0,2639.54
2010-01-18,55.95,57.25,55.0,57.0,57.0,2917043.0,1651.14
2010-01-19,55.55,57.4,55.0,55.6,55.5,1396294.0,776.05
2010-01-20,56.0,56.0,54.0,54.2,54.35,1700205.0,927.01
2010-01-21,54.2,56.0,53.0,54.0,53.65,3067576.0,1673.45
2010-01-22,53.65,55.5,50.4,54.2,53.85,3331744.0,1795.34
2010-01-25,53.5,54.1,51.9,51.9,52.0,1664412.0,873.58
2010-01-27,51.8,52.35,50.65,51.6,51.5,1497250.0,770.31
2010-01-28,51.75,52.5,50.15,51.3,51.25,1161585.0,593.87
2010-01-29,51.3,53.8,49.75,53.7,53.05,2634925.0,1365.85
2010-02-01,53.4,57.25,52.55,56.6,56.65,4342557.0,2422.78
2010-02-02,57.0,58.1,55.1,56.05,56.45,4279863.0,2413.63
2010-02-03,57.0,57.0,55.5,56.35,56.3,2636714.0,1477.42
2010-02-04,56.0,56.45,55.05,55.5,55.2,1612500.0,900.25
2010-02-05,52.0,53.5,50.9,52.35,52.05,3058328.0,1585.06
2010-02-06,53.0,53.25,52.5,52.85,52.95,185901.0,98.41
2010-02-08,53.1,53.1,51.0,51.15,51.25,1431180.0,741.71
2010-02-09,51.6,52.45,51.4,52.05,52.05,1110319.0,576.67
2010-02-10,52.85,59.2,52.35,56.3,57.4,5990512.0,3340.06
2010-02-11,57.8,58.0,55.1,56.0,55.75,3297232.0,1864.65
2010-02-15,56.0,57.25,54.35,55.0,54.8,1429375.0,798.35
2010-02-16,55.15,57.1,54.9,56.25,56.25,1650101.0,926.48
2010-02-17,58.0,59.95,57.6,58.8,58.75,6841750.0,4012.6
2010-02-18,59.2,59.65,57.75,59.3,59.15,3521803.0,2064.35
2010-02-19,59.0,59.0,57.2,58.25,58.3,2805800.0,1635.97
2010-02-22,58.5,59.6,57.45,57.7,57.75,3137105.0,1827.87
2010-02-23,57.95,57.95,55.5,55.6,56.0,1649848.0,930.73
2010-02-24,55.5,55.6,54.5,55.1,54.95,1900366.0,1044.84
2010-02-25,55.6,57.2,55.05,56.2,56.35,1857553.0,1043.02
2010-02-26,56.9,58.9,55.85,57.8,58.15,2053040.0,1181.29
2010-03-02,59.15,61.85,57.85,61.25,61.05,5426247.0,3278.03
2010-03-03,62.3,62.8,60.85,61.15,61.4,4234959.0,2606.77
2010-03-04,61.6,66.75,61.0,65.1,65.25,10601712.0,6833.16
2010-03-05,65.95,65.95,63.55,64.0,63.85,5669073.0,3634.75
2010-03-08,64.7,66.7,63.85,65.25,66.05,7255074.0,4740.38
2010-03-09,66.25,66.7,63.25,63.6,64.05,5124260.0,3352.66
2010-03-10,64.0,64.9,62.8,63.65,63.75,2360017.0,1507.07
2010-03-11,63.8,64.75,63.2,64.0,63.95,3104294.0,1988.53
2010-03-12,64.55,64.6,61.2,63.2,63.2,7916823.0,4971.72
2010-03-15,64.5,67.5,63.15,64.55,64.3,3220847.0,2065.49
2010-03-16,64.75,70.5,64.5,69.75,70.05,22581642.0,15528.4
2010-03-17,70.4,71.3,69.05,70.85,70.55,10554550.0,7407.97
2010-03-18,70.7,75.35,69.5,74.45,74.45,13389729.0,9796.32
2010-03-19,74.8,79.8,73.15,77.4,78.0,15951613.0,12255.45
2010-03-22,77.0,78.5,72.8,73.3,73.25,8891437.0,6708.7
2010-03-23,74.5,75.2,72.55,73.0,73.05,10119426.0,7467.71
2010-03-25,73.05,73.5,70.85,72.75,72.65,5819605.0,4195.64
2010-03-26,73.3,74.9,73.0,73.55,73.65,4848244.0,3576.11
2010-03-29,75.0,75.0,70.45,70.85,70.85,2427084.0,1756.67
2010-03-30,71.0,72.6,70.25,71.0,70.85,4058783.0,2898.65
2010-03-31,71.5,71.8,70.3,71.1,70.9,4379952.0,3109.76
2010-04-01,71.4,73.25,71.2,72.45,72.25,5267673.0,3803.75
2010-04-05,73.0,74.3,72.4,74.0,73.85,4584021.0,3375.36
2010-04-06,74.9,75.0,72.7,73.0,73.05,5747834.0,4240.93
2010-04-07,73.85,82.6,73.4,80.65,81.3,25776617.0,20247.54
2010-04-08,80.9,81.75,76.8,78.0,77.65,9795007.0,7774.55
2010-04-09,77.9,79.25,75.7,78.55,78.05,6073408.0,4716.94
2010-04-12,78.6,79.0,76.5,76.95,76.9,2450746.0,1898.19
2010-04-13,77.0,80.25,76.5,77.55,77.75,10100354.0,7936.5
2010-04-15,78.6,79.45,74.5,74.7,75.15,5734764.0,4442.32
2010-04-16,75.2,75.5,72.9,73.1,73.25,5167117.0,3811.03
2010-04-19,71.9,74.95,71.0,74.05,74.2,4526931.0,3298.93
2010-04-20,73.0,76.0,73.0,74.7,74.55,4398170.0,3283.84
2010-04-21,75.9,78.25,74.6,76.0,75.95,5189202.0,3965.33
2010-04-22,76.0,76.4,74.4,74.9,74.8,3248548.0,2452.87
2010-04-23,61.5,75.5,61.5,73.45,73.4,2259801.0,1669.34
2010-04-26,73.6,75.5,73.45,74.5,74.2,2117600.0,1576.73
2010-04-27,74.7,74.7,72.55,72.75,72.9,2218795.0,1634.99
2010-04-28,71.0,72.6,70.6,71.2,71.15,2200029.0,1574.6
2010-04-29,71.9,73.15,71.05,71.8,71.5,2716614.0,1952.84
2010-04-30,73.0,73.0,69.1,69.6,69.6,4847470.0,3418.23
2010-05-03,69.5,69.5,67.65,68.25,68.15,2585032.0,1764.54
2010-05-04,69.5,69.5,65.5,66.2,66.15,3089719.0,2090.6
2010-05-05,64.5,69.7,63.15,69.5,69.5,6670943.0,4507.33
2010-05-06,69.0,69.5,66.5,68.0,67.85,3422530.0,2330.29
2010-05-07,67.0,67.0,64.0,65.4,65.35,2301494.0,1508.37
2010-05-10,66.0,69.75,66.0,68.75,68.85,4672251.0,3195.71
2010-05-11,69.7,69.7,66.6,67.7,67.8,2910122.0,1973.93
2010-05-12,67.8,71.1,67.8,69.5,69.65,5633538.0,3924.24
2010-05-13,70.05,71.75,69.65,70.85,70.8,5045546.0,3562.68
2010-05-14,71.4,71.55,68.1,68.5,68.6,3815321.0,2682.85
2010-05-17,68.7,70.2,65.0,69.8,69.75,2489676.0,1693.35
2010-05-18,69.05,70.95,68.5,69.25,69.2,2430717.0,1697.45
2010-05-19,69.05,69.05,65.0,65.1,65.55,2169791.0,1453.16
2010-05-20,63.5,66.95,62.65,63.8,63.9,2117296.0,1374.21
2010-05-21,63.0,63.9,61.3,63.75,63.35,2060949.0,1292.11
2010-05-24,64.85,65.2,62.8,63.05,63.2,1723574.0,1107.74
2010-05-25,62.5,64.45,62.0,63.8,63.75,1925189.0,1211.04
2010-05-26,65.0,66.7,64.5,66.45,65.5,3210679.0,2096.71
2010-05-27,66.25,67.3,64.6,65.9,65.85,4620985.0,3061.68
2010-05-28,66.45,71.4,66.0,70.1,70.5,7052527.0,4873.89
2010-05-31,70.9,72.75,69.8,71.3,71.4,3995091.0,2854.16
2010-06-01,71.5,71.9,69.1,69.85,69.55,3056852.0,2142.99
2010-06-02,69.6,70.2,67.4,69.4,69.4,4450492.0,3049.42
2010-06-03,70.0,72.1,70.0,72.0,71.6,2672586.0,1904.83
2010-06-04,72.0,72.45,69.4,69.55,69.55,4854336.0,3401.48
2010-06-07,68.6,71.0,65.5,70.2,70.05,2740152.0,1901.34
2010-06-08,70.0,71.0,67.8,68.15,68.3,3512877.0,2445.45
2010-06-09,68.7,69.3,67.85,68.4,68.25,2418492.0,1660.67
2010-06-10,68.0,68.9,67.45,68.45,68.05,2382475.0,1622.48
2010-06-11,69.0,69.45,67.35,67.65,68.15,3999469.0,2726.66
2010-06-14,68.2,68.45,66.7,67.15,67.1,2512457.0,1688.8
2010-06-15,67.5,67.8,64.6,65.35,65.45,6889272.0,4538.69
2010-06-16,66.0,66.7,64.5,64.8,64.8,3384338.0,2217.38
2010-06-17,65.0,65.6,64.25,64.5,64.5,3374938.0,2184.5
2010-06-18,65.0,65.85,64.25,64.55,64.4,3771442.0,2443.89
2010-06-21,65.0,67.95,64.5,67.6,67.6,8192667.0,5455.99
2010-06-22,68.0,68.8,67.1,67.2,67.3,6078022.0,4120.91
2010-06-23,66.3,68.5,66.3,68.25,68.05,3868336.0,2621.01
2010-06-24,67.9,69.65,67.9,68.45,68.4,5331286.0,3676.63
2010-06-25,68.25,69.1,66.85,67.2,67.2,2611570.0,1774.8
2010-06-28,67.5,67.65,65.75,66.55,66.55,3331870.0,2211.36
2010-06-29,66.6,67.45,65.55,65.9,65.95,1841462.0,1224.78
2010-06-30,64.5,65.9,64.4,64.9,64.9,4647161.0,3020.92
2010-07-01,64.3,65.7,63.85,64.0,64.1,4185580.0,2700.47
2010-07-02,64.7,65.35,64.2,64.3,64.4,2298189.0,1488.66
2010-07-05,64.9,65.4,64.45,64.8,64.85,1981479.0,1284.53
2010-07-06,64.9,65.7,64.65,65.45,65.35,1162247.0,759.36
2010-07-07,65.4,68.25,65.2,67.6,67.6,5712256.0,3825.96
2010-07-08,67.9,69.8,67.85,68.9,69.05,5339020.0,3685.29
2010-07-09,69.3,69.55,68.2,68.65,68.65,3030106.0,2082.1
2010-07-12,68.75,69.4,67.0,67.35,67.45,1953476.0,1327.0
2010-07-13,67.5,68.85,67.15,67.55,67.35,1513077.0,1024.85
2010-07-14,67.5,67.9,66.9,67.1,67.25,2296306.0,1547.46
2010-07-15,67.45,67.6,64.5,65.0,64.85,3609191.0,2360.86
2010-07-16,64.5,65.35,64.2,64.45,64.6,2339356.0,1516.46
2010-07-19,65.2,65.2,62.8,63.5,63.45,3241691.0,2057.56
2010-07-20,64.0,65.15,63.0,63.65,63.75,1874661.0,1205.33
2010-07-21,64.5,64.5,63.35,63.6,63.6,1959702.0,1249.55
2010-07-22,63.4,64.5,63.25,64.0,64.0,1421833.0,910.71
2010-07-23,64.5,64.85,63.4,63.5,63.6,1359919.0,867.83
2010-07-26,64.4,64.4,61.45,61.85,61.9,1942615.0,1214.75
2010-07-27,62.1,62.3,60.5,60.65,60.8,2521719.0,1542.54
2010-07-28,61.0,62.4,59.55,59.95,59.8,3051342.0,1862.36
2010-07-29,60.4,63.4,59.1,63.35,63.0,10051038.0,6187.19
2010-07-30,62.9,65.2,62.0,64.1,63.9,4782979.0,3078.63
2010-08-02,64.8,66.2,64.2,65.9,65.9,4042604.0,2642.44
2010-08-03,66.0,66.9,65.1,65.9,65.95,2717361.0,1791.8
2010-08-04,66.7,67.0,66.0,66.65,66.75,3277957.0,2181.64
2010-08-05,66.75,67.15,65.55,66.0,65.95,3216914.0,2129.15
2010-08-06,65.25,66.45,63.85,64.35,64.2,3133703.0,2031.87
2010-08-09,64.05,65.6,63.2,65.35,65.2,2295861.0,1479.75
2010-08-10,65.5,65.65,64.2,64.8,64.9,2799558.0,1818.59
2010-08-11,64.95,65.4,63.9,64.2,64.35,2042524.0,1318.48
2010-08-12,64.0,64.35,61.2,64.05,63.95,1982165.0,1267.4
2010-08-13,63.5,65.2,63.5,64.4,64.15,3220190.0,2078.13
2010-08-16,64.5,64.7,62.4,63.05,63.05,2021273.0,1282.21
2010-08-17,63.85,65.9,63.05,65.75,65.5,2377711.0,1540.58
2010-08-18,67.0,69.4,65.9,69.3,69.1,8873238.0,6046.98
2010-08-19,69.4,69.9,67.55,67.95,68.2,3310766.0,2269.64
2010-08-20,68.0,72.5,67.5,71.45,71.85,9605747.0,6837.5
2010-08-23,73.0,78.4,72.0,75.75,76.35,15983929.0,11999.82
2010-08-24,76.25,78.8,75.0,75.3,75.4,9123881.0,7007.49
2010-08-25,75.0,75.4,72.5,73.6,73.75,4226222.0,3123.87
2010-08-26,73.1,75.65,72.5,73.55,74.0,5233067.0,3894.08
2010-08-27,74.0,74.75,71.35,72.0,71.8,3485924.0,2550.52
2010-08-30,73.0,75.2,72.05,73.0,72.75,2548641.0,1862.94
2010-08-31,72.5,72.9,70.3,71.95,71.55,2553399.0,1824.34
2010-09-01,73.05,74.3,72.0,74.15,73.75,3223224.0,2356.54
2010-09-02,74.8,83.8,74.65,82.2,82.35,33870188.0,27280.82
2010-09-03,83.0,84.25,81.0,81.8,81.75,15494360.0,12812.74
2010-09-06,82.45,88.8,82.45,86.4,87.3,24367196.0,21087.46
2010-09-07,89.0,89.0,84.15,86.5,86.55,21468378.0,18589.78
2010-09-08,86.0,87.9,84.85,85.95,86.0,6805084.0,5893.48
2010-09-09,86.75,87.6,84.6,85.5,85.0,5241023.0,4493.1
2010-09-13,86.0,87.2,83.85,84.1,84.3,8305910.0,7091.13
2010-09-14,85.0,87.0,82.1,82.5,82.65,8570769.0,7150.33
2010-09-15,82.75,85.25,82.2,84.6,84.75,6366266.0,5362.4
2010-09-16,84.35,86.8,83.25,85.85,85.25,7581426.0,6457.79
2010-09-17,86.0,87.7,85.7,86.0,86.1,4903336.0,4244.88
2010-09-20,87.0,87.0,83.6,85.3,84.85,4473896.0,3811.08
2010-09-21,85.0,85.85,83.6,83.9,83.85,4541309.0,3829.46
2010-09-22,84.2,84.4,80.75,81.4,81.4,4602930.0,3776.95
2010-09-23,82.0,82.0,80.0,80.7,80.6,2837560.0,2290.59
2010-09-24,80.95,84.0,80.55,83.65,83.55,4158450.0,3443.42
2010-09-27,84.45,84.65,81.8,82.2,82.2,2692435.0,2223.86
2010-09-28,82.2,83.6,81.6,82.15,82.25,1718721.0,1418.34
2010-09-29,82.7,83.0,80.6,81.05,80.9,1964981.0,1604.4
2010-09-30,81.65,82.45,80.7,81.0,81.1,3824831.0,3122.91
2010-10-01,81.3,84.7,81.3,84.2,84.3,4586665.0,3840.02
2010-10-04,84.75,85.15,82.05,82.2,82.35,3306808.0,2750.32
2010-10-05,82.4,83.95,81.5,83.25,83.25,1864454.0,1551.95
2010-10-06,85.1,85.1,81.95,82.25,82.2,2888195.0,2392.64
2010-10-07,81.95,85.1,81.5,82.5,82.45,5001895.0,4193.35
2010-10-08,82.75,83.25,81.1,82.0,81.7,1540517.0,1262.02
2010-10-11,83.0,83.0,81.0,81.35,81.4,1948910.0,1589.1
2010-10-12,81.3,84.2,80.85,83.3,83.2,7658286.0,6357.92
2010-10-13,83.6,85.8,83.5,84.2,84.25,6969455.0,5916.78
2010-10-14,84.75,85.6,83.15,84.25,84.25,4135375.0,3490.71
2010-10-15,85.8,85.8,80.8,81.5,81.4,2482257.0,2052.89
2010-10-18,81.6,82.85,77.55,79.2,79.05,4300462.0,3413.53
2010-10-19,80.05,81.0,78.5,78.55,79.0,2966058.0,2369.01
2010-10-20,78.45,79.85,77.9,78.6,78.6,1666829.0,1313.53
2010-10-21,78.6,79.3,77.4,77.9,77.7,2926756.0,2283.73
2010-10-22,77.5,78.75,75.85,76.5,76.25,3185947.0,2449.49
2010-10-25,76.95,77.9,76.5,76.75,76.75,1874212.0,1446.04
2010-10-26,77.0,77.45,75.2,75.45,75.4,2433669.0,1850.71
2010-10-27,75.75,77.8,75.5,76.85,76.95,5977391.0,4602.89
2010-10-28,77.1,77.65,73.05,74.15,73.75,6548982.0,4928.9
2010-10-29,74.0,74.45,70.45,71.8,71.55,4053677.0,2927.48
2010-11-01,72.45,73.25,71.5,71.8,71.95,3682686.0,2654.7
2010-11-02,72.05,72.05,69.8,70.95,70.8,8893702.0,6282.85
2010-11-03,71.5,74.6,71.15,73.05,73.05,6586009.0,4832.31
2010-11-04,73.0,74.4,73.0,73.55,73.45,2035494.0,1498.16
2010-11-05,75.1,75.1,73.65,73.95,73.9,569357.0,421.08
2010-11-08,74.2,74.25,71.55,72.5,72.0,5556207.0,4023.77
2010-11-09,72.4,73.6,72.0,73.0,72.95,2626618.0,1914.71
2010-11-10,73.7,76.5,72.9,75.3,75.2,7245787.0,5466.83
2010-11-11,76.0,76.3,69.7,70.35,70.35,10788281.0,7817.28
2010-11-12,69.8,70.0,64.8,65.5,65.4,16390895.0,10862.02
2010-11-15,65.4,67.0,64.85,66.75,66.4,5499614.0,3628.32
2010-11-16,67.0,68.4,64.95,65.6,65.6,8272939.0,5504.36
2010-11-18,65.95,66.9,62.5,64.95,64.8,4015647.0,2608.65
2010-11-19,65.25,65.25,62.0,62.05,62.2,2638447.0,1666.48
2010-11-22,62.55,63.2,60.3,62.15,62.0,5474304.0,3360.68
2010-11-23,62.0,63.6,60.6,62.1,62.3,7630543.0,4740.69
2010-11-24,62.05,65.8,62.05,65.4,65.2,9491044.0,6145.15
2010-11-25,65.5,67.45,65.1,67.4,66.9,9285634.0,6162.65
2010-11-26,67.5,68.5,61.2,63.4,63.35,4210783.0,2719.53
2010-11-29,64.0,64.85,62.2,64.1,64.25,3113901.0,1987.51
2010-11-30,64.0,66.3,63.0,66.3,66.1,2881676.0,1881.74
2010-12-01,66.3,67.9,66.3,67.7,67.5,2789629.0,1879.74
2010-12-02,68.0,72.0,67.6,71.75,71.65,10411400.0,7322.15
2010-12-03,72.2,72.4,69.05,69.7,69.75,3992367.0,2810.66
