Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-14,249.55,249.55,217.1,234.95,234.95,407.0,0.97
2016-06-15,239.95,249.0,220.1,237.0,229.3,1216.0,2.91
2016-06-16,244.95,244.95,231.05,231.05,231.05,14.0,0.03
2016-06-17,240.0,240.0,229.5,229.5,229.5,139.0,0.32
2016-06-20,249.95,249.95,230.15,238.95,238.95,714.0,1.7
2016-06-21,239.0,239.45,234.95,238.95,238.95,519.0,1.23
2016-06-22,242.85,242.85,235.0,235.0,235.0,140.0,0.33
2016-06-23,230.3,248.95,230.0,237.95,237.95,862.0,2.01
2016-06-24,221.15,234.0,198.3,228.0,228.0,4043.0,9.08
2016-06-27,230.0,241.0,230.0,235.0,235.05,3857.0,9.09
2016-06-28,238.0,244.75,238.0,241.95,241.1,5888.0,14.17
2016-06-29,243.0,244.8,240.0,243.0,243.0,4177.0,10.11
2016-06-30,244.0,291.0,224.0,280.0,260.8,365789.0,910.11
2016-07-01,278.4,289.5,256.35,269.9,267.6,324207.0,872.46
2016-07-04,268.0,270.0,256.9,260.2,260.35,76073.0,201.1
2016-07-05,260.35,268.0,252.1,258.9,261.8,39972.0,102.9
2016-07-07,259.9,265.5,255.05,257.5,256.4,27671.0,72.78
2016-07-08,256.0,263.8,250.55,251.5,251.9,17054.0,43.62
2016-07-11,255.05,264.7,255.0,263.0,263.0,38010.0,99.15
2016-07-12,265.0,270.0,265.0,265.55,266.8,35832.0,96.0
2016-07-13,269.5,270.0,264.15,266.1,266.5,30540.0,81.67
2016-07-14,265.1,266.4,255.4,262.5,262.65,13955.0,36.46
2016-07-15,262.5,264.95,257.75,258.0,258.3,7398.0,19.27
2016-07-18,259.1,262.45,255.1,256.0,256.0,12492.0,32.41
2016-07-19,255.05,259.9,252.55,256.0,255.95,5632.0,14.38
2016-07-20,259.85,262.0,256.0,258.3,258.45,12862.0,33.35
2016-07-21,258.05,262.0,257.0,259.95,257.9,6009.0,15.56
2016-07-22,262.45,286.3,261.95,276.0,277.7,136513.0,377.01
2016-07-25,279.9,300.0,275.0,289.8,293.55,128241.0,372.91
