Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,44.1,46.0,44.0,45.0,44.95,3988.0,1.81
2010-01-05,44.8,47.95,44.8,47.95,47.5,20519.0,9.61
2010-01-06,51.95,51.95,46.5,47.0,47.0,3996.0,1.88
2010-01-07,46.25,46.75,46.0,46.05,46.4,2826.0,1.31
2010-01-08,47.8,48.0,45.0,45.5,45.95,25769.0,11.74
2010-01-11,47.0,47.85,46.0,46.45,46.45,5772.0,2.69
2010-01-12,46.5,47.45,46.35,46.35,46.4,1635.0,0.77
2010-01-13,47.0,48.45,45.2,47.4,47.8,11333.0,5.4
2010-01-14,49.95,49.95,47.55,49.75,49.6,8776.0,4.34
2010-01-15,49.15,53.0,48.6,48.6,49.2,31349.0,15.5
2010-01-18,51.65,56.0,48.5,49.55,49.75,12223.0,6.15
2010-01-19,50.05,50.05,47.05,49.4,48.5,7511.0,3.67
2010-01-20,49.4,49.4,47.0,49.2,48.85,8394.0,4.06
2010-01-21,47.45,48.2,47.05,47.05,47.1,6350.0,3.04
2010-01-22,44.6,46.95,44.6,46.0,46.0,628.0,0.29
2010-01-25,46.0,47.7,44.5,46.75,46.75,11724.0,5.45
2010-01-27,46.9,47.0,44.55,44.75,44.75,7974.0,3.69
2010-01-28,44.3,44.3,43.8,43.95,43.95,5186.0,2.29
2010-01-29,43.9,46.0,42.5,45.8,45.75,7729.0,3.47
2010-02-01,45.85,50.45,44.75,48.1,48.25,23800.0,11.48
2010-02-02,47.2,48.9,46.45,46.9,47.3,3102.0,1.47
2010-02-03,48.0,52.45,47.1,47.3,47.65,136145.0,68.55
2010-02-04,48.8,50.8,47.0,47.0,47.2,15862.0,7.64
2010-02-05,42.05,45.35,41.2,45.1,44.8,6161.0,2.73
2010-02-06,47.5,47.5,44.45,45.9,44.55,350.0,0.16
2010-02-08,44.2,48.0,44.15,46.0,46.45,8003.0,3.77
2010-02-09,44.6,45.25,44.1,44.4,44.4,3313.0,1.48
2010-02-10,48.0,48.0,44.4,45.0,44.6,2298.0,1.05
2010-02-11,43.05,45.8,43.05,44.0,44.2,4259.0,1.88
