Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,8.6,8.75,8.35,8.45,8.45,11993.0,1.03
2010-01-05,8.85,8.9,8.5,8.7,8.7,21106.0,1.84
2010-01-06,8.85,9.15,8.6,8.8,8.85,24787.0,2.22
2010-01-07,8.7,9.15,8.7,9.15,9.1,24148.0,2.17
2010-01-08,9.0,10.05,8.25,10.0,10.0,68195.0,6.67
2010-01-11,10.45,10.95,10.0,10.45,10.6,79669.0,8.38
2010-01-12,10.95,11.4,10.75,10.75,10.75,82685.0,9.12
2010-01-13,10.5,10.65,10.05,10.1,10.3,46128.0,4.76
2010-01-14,11.3,11.3,10.0,10.5,10.5,22393.0,2.34
2010-01-15,11.45,11.45,10.05,10.45,10.55,24018.0,2.55
2010-01-18,11.4,11.4,10.05,10.5,10.45,21062.0,2.18
2010-01-19,9.5,10.6,9.5,10.2,10.2,30299.0,3.11
2010-01-20,9.9,10.45,9.8,10.0,9.95,30818.0,3.09
2010-01-21,9.9,10.1,9.5,9.5,9.6,32061.0,3.14
2010-01-22,9.8,9.8,9.2,9.8,9.8,5120.0,0.48
2010-01-25,9.35,10.0,9.35,9.6,9.65,2750.0,0.27
2010-01-27,9.9,9.9,9.2,9.2,9.2,8090.0,0.75
2010-01-28,9.7,9.7,8.8,8.85,8.9,8853.0,0.81
2010-01-29,8.8,8.95,8.45,8.7,8.9,9204.0,0.81
2010-02-01,9.0,9.35,8.9,9.05,9.25,7855.0,0.71
2010-02-02,9.1,9.65,9.1,9.2,9.15,9287.0,0.87
2010-02-03,9.15,9.65,9.15,9.65,9.65,3253.0,0.31
2010-02-04,9.3,9.55,9.2,9.2,9.2,4529.0,0.42
2010-02-05,8.75,9.6,8.75,9.2,9.2,13620.0,1.21
2010-02-06,8.75,9.0,8.75,8.75,8.8,1631.0,0.14
2010-02-08,8.6,9.15,8.55,8.6,8.6,2587.0,0.22
2010-02-09,8.6,8.95,8.55,8.55,8.55,8562.0,0.74
2010-02-10,8.75,8.95,8.55,8.6,8.6,8518.0,0.74
2010-02-11,8.5,8.75,8.45,8.75,8.75,2030.0,0.17
2010-02-15,9.2,9.2,8.45,8.45,8.45,2950.0,0.26
2010-02-16,8.9,8.9,8.5,8.55,8.55,4200.0,0.36
2010-02-17,8.9,9.0,8.7,8.7,8.7,10427.0,0.93
2010-02-18,8.7,8.7,8.5,8.5,8.5,677.0,0.06
2010-02-19,8.8,8.9,8.55,8.55,8.55,1830.0,0.16
2010-02-22,8.3,8.8,8.15,8.45,8.45,2300.0,0.19
2010-02-23,8.55,8.7,8.3,8.4,8.45,3889.0,0.33
2010-02-24,8.3,8.75,8.3,8.75,8.75,882.0,0.08
2010-02-25,8.5,8.9,8.4,8.4,8.7,1466.0,0.13
2010-02-26,8.3,9.15,8.3,8.5,8.35,6242.0,0.53
2010-03-02,8.8,8.8,8.35,8.4,8.4,3060.0,0.26
2010-03-03,8.1,8.8,8.05,8.25,8.3,24674.0,2.08
2010-03-04,8.5,8.5,8.25,8.4,8.4,7414.0,0.62
2010-03-05,8.4,8.5,8.25,8.25,8.3,2400.0,0.2
2010-03-08,8.3,8.9,8.1,8.7,8.6,8629.0,0.73
2010-03-09,8.25,8.9,8.25,8.7,8.5,5748.0,0.49
2010-03-10,8.5,8.8,8.35,8.4,8.4,6633.0,0.57
2010-03-11,8.3,8.55,8.05,8.15,8.15,17786.0,1.46
2010-03-12,8.15,8.55,8.15,8.45,8.3,5263.0,0.44
2010-03-15,8.0,8.45,7.95,8.2,8.2,1437.0,0.12
2010-03-16,8.1,8.45,7.8,8.15,8.15,3974.0,0.33
2010-03-17,8.1,8.25,8.1,8.2,8.2,2565.0,0.21
2010-03-18,8.0,8.5,8.0,8.25,8.25,2481.0,0.21
2010-03-19,8.45,8.5,8.3,8.4,8.4,7710.0,0.65
2010-03-22,8.25,8.45,8.1,8.15,8.1,2713.0,0.22
2010-03-23,8.0,8.25,8.0,8.2,8.2,7893.0,0.64
2010-03-25,7.9,8.45,7.9,8.15,8.15,3772.0,0.31
2010-03-26,8.1,8.45,8.1,8.15,8.15,7302.0,0.6
2010-03-29,8.25,8.25,7.95,8.15,8.15,21424.0,1.72
2010-03-30,8.15,8.35,8.15,8.2,8.2,7589.0,0.62
2010-03-31,8.1,8.3,8.05,8.1,8.15,5736.0,0.47
2010-04-01,8.2,8.5,8.2,8.25,8.35,9784.0,0.82
2010-04-05,8.75,8.75,8.25,8.3,8.35,18941.0,1.6
2010-04-06,8.45,8.7,8.3,8.35,8.5,7270.0,0.62
2010-04-07,8.8,8.8,8.5,8.5,8.5,2095.0,0.18
2010-04-08,8.4,8.5,8.4,8.4,8.4,7954.0,0.67
2010-04-09,8.35,8.45,8.25,8.25,8.25,1487.0,0.12
2010-04-12,8.2,8.6,8.2,8.3,8.3,2380.0,0.2
2010-04-13,8.1,8.45,8.1,8.25,8.25,1188.0,0.1
2010-04-15,8.15,8.4,8.15,8.25,8.25,3965.0,0.33
2010-04-16,8.25,8.35,8.15,8.2,8.2,2787.0,0.23
2010-04-19,8.05,8.3,8.05,8.1,8.1,2179.0,0.18
2010-04-20,8.55,8.55,8.1,8.3,8.3,3211.0,0.26
2010-04-21,8.1,8.15,8.1,8.1,8.1,1025.0,0.08
2010-04-22,8.3,8.3,8.1,8.2,8.2,3470.0,0.28
2010-04-23,8.25,8.55,8.15,8.15,8.25,10476.0,0.87
2010-04-26,8.15,8.15,8.05,8.05,8.1,7306.0,0.59
2010-04-27,8.05,8.4,8.05,8.1,8.15,3238.0,0.27
2010-04-28,8.3,8.3,8.0,8.0,8.0,4777.0,0.39
2010-04-29,8.05,8.35,8.05,8.3,8.25,436.0,0.04
2010-04-30,8.2,8.35,8.1,8.35,8.35,3344.0,0.28
2010-05-03,8.05,8.35,8.0,8.1,8.1,2950.0,0.24
2010-05-04,8.1,8.45,8.1,8.25,8.25,3691.0,0.31
2010-05-05,8.2,8.5,8.0,8.0,8.05,13143.0,1.06
2010-05-06,8.0,8.25,7.8,7.95,7.95,10732.0,0.85
2010-05-07,7.7,8.1,7.7,7.7,7.75,7162.0,0.56
2010-05-10,7.3,8.3,7.3,8.3,8.3,3852.0,0.31
2010-05-11,8.4,8.4,8.0,8.0,8.0,2719.0,0.22
2010-05-12,7.75,8.3,7.75,8.2,8.25,3209.0,0.26
