Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-03-03,630.0,751.8,630.0,750.0,737.45,15759450.0,111078.97
2010-03-04,750.0,827.0,717.75,809.15,815.15,11574351.0,89234.61
2010-03-05,818.4,838.4,768.6,785.3,792.05,9008105.0,72668.47
2010-03-08,792.0,815.0,778.35,804.0,804.45,4123565.0,32937.44
2010-03-09,794.0,815.0,790.8,796.0,798.15,1936304.0,15551.37
2010-03-10,798.15,804.0,782.0,784.8,791.5,851763.0,6780.35
2010-03-11,785.0,796.4,761.3,765.2,767.45,638371.0,4952.04
2010-03-12,768.0,775.4,742.4,749.8,750.4,1292574.0,9840.7
2010-03-15,760.0,763.0,741.3,745.0,745.15,767051.0,5769.15
2010-03-16,749.7,792.0,747.0,782.0,783.2,1622792.0,12587.41
2010-03-17,783.0,939.85,781.0,939.85,926.75,6312737.0,54209.46
2010-03-18,960.0,998.8,878.0,911.0,901.2,9260329.0,86922.08
2010-03-19,910.65,933.5,890.0,919.0,919.65,2789208.0,25565.54
2010-03-22,902.0,982.7,893.7,907.0,908.9,5156670.0,48388.8
2010-03-23,915.0,949.75,912.0,927.0,931.4,2895788.0,27091.68
2010-03-25,915.0,940.8,911.4,923.0,923.2,1285930.0,11897.91
2010-03-26,920.0,967.9,920.0,928.0,936.4,2587908.0,24538.95
2010-03-29,935.0,947.7,916.15,916.15,922.8,835081.0,7789.45
2010-03-30,922.5,965.0,918.0,930.9,928.8,1594345.0,15002.94
2010-03-31,941.0,953.0,926.05,928.0,928.1,791000.0,7409.32
2010-04-01,935.0,1014.85,931.0,1014.0,991.75,3716545.0,36299.23
2010-04-05,900.0,1115.95,900.0,1114.0,1090.0,4144915.0,43792.1
2010-04-06,1100.0,1272.5,1095.1,1202.0,1194.5,8344903.0,99007.32
2010-04-07,1208.5,1254.5,1178.3,1224.0,1222.05,4988253.0,60683.96
2010-04-08,1221.0,1238.0,1203.3,1210.0,1219.2,1863264.0,22757.68
