Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,79.4,80.15,77.75,80.15,80.15,724103.0,574.94
2010-01-05,84.2,84.2,80.7,84.2,84.15,958085.0,800.9
2010-01-06,86.45,88.35,84.5,86.0,86.05,512514.0,444.0
2010-01-07,86.6,87.8,82.25,82.25,82.85,228210.0,192.14
2010-01-08,82.0,87.0,82.0,87.0,87.0,915934.0,792.34
2010-01-11,89.8,90.0,85.45,86.0,86.25,273620.0,240.69
2010-01-12,85.6,87.8,81.95,81.95,81.95,174979.0,147.49
2010-01-13,80.0,80.0,77.85,78.55,78.15,392224.0,307.17
2010-01-14,79.75,82.1,79.0,82.1,82.1,350391.0,287.38
2010-01-15,84.4,86.25,84.4,86.25,86.25,175820.0,151.47
2010-01-18,88.0,88.9,83.7,85.9,85.35,280093.0,242.97
2010-01-19,86.7,86.8,82.65,82.65,83.1,143803.0,121.55
2010-01-20,83.5,86.4,81.2,82.1,82.0,127208.0,105.93
2010-01-21,80.75,81.85,79.0,79.9,79.5,101185.0,81.06
2010-01-22,77.55,79.4,75.55,76.5,76.4,236660.0,181.57
2010-01-25,74.9,78.25,74.0,75.9,75.55,139002.0,105.17
2010-01-27,74.4,75.8,71.8,72.0,72.05,159236.0,116.96
2010-01-28,73.0,75.6,68.65,72.1,71.45,121131.0,87.24
2010-01-29,69.25,73.8,68.5,73.5,72.9,126076.0,89.9
2010-02-01,73.0,76.55,70.65,76.55,76.55,248737.0,186.56
2010-02-02,78.0,80.4,73.5,77.7,77.0,587086.0,467.6
2010-02-03,79.0,80.85,77.1,77.5,77.65,136114.0,107.14
2010-02-04,77.6,79.5,74.35,75.45,75.0,126287.0,97.12
2010-02-05,72.0,73.0,71.25,71.25,71.25,102659.0,73.55
2010-02-06,72.8,73.0,71.55,72.0,72.0,52547.0,37.88
2010-02-08,72.5,74.6,70.0,72.95,72.6,92071.0,66.71
2010-02-09,70.1,73.4,70.1,72.0,71.65,54709.0,39.57
2010-02-10,72.15,74.6,71.45,71.45,71.75,61418.0,44.67
2010-02-11,72.5,75.35,71.9,75.35,75.35,234411.0,175.54
2010-02-15,77.9,78.85,73.25,73.75,74.2,153997.0,117.77
2010-02-16,76.0,76.8,74.1,75.5,74.85,63033.0,47.48
2010-02-17,76.2,77.1,73.5,73.8,74.0,95134.0,72.07
2010-02-18,74.1,74.1,72.1,72.9,72.9,74569.0,54.45
2010-02-19,72.2,72.6,70.1,70.35,70.35,55251.0,39.24
2010-02-22,73.9,73.9,68.7,69.65,69.15,51359.0,36.16
2010-02-23,69.8,69.8,66.6,67.2,67.1,55765.0,37.7
2010-02-24,63.9,66.85,63.75,64.1,64.0,72175.0,46.58
2010-02-25,66.5,66.5,61.0,62.0,62.25,99225.0,61.96
2010-02-26,62.65,65.4,62.65,65.4,65.4,80163.0,51.54
2010-03-02,67.7,68.7,66.55,68.7,68.7,84370.0,57.3
2010-03-03,72.15,72.15,70.75,72.15,72.15,33930.0,24.42
2010-03-04,75.8,75.8,72.5,72.75,73.15,146898.0,109.01
2010-03-05,74.8,75.0,72.15,73.0,72.8,74242.0,54.58
2010-03-08,75.0,75.75,73.0,73.25,73.3,71172.0,52.77
2010-03-09,73.5,73.95,70.6,70.6,71.2,43059.0,30.98
2010-03-10,71.95,72.0,69.5,69.95,69.9,37915.0,26.84
