Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-02-26,183.0,188.0,176.3,181.0,181.55,10499965.0,19154.97
2018-02-27,180.0,182.45,173.1,174.15,175.2,1145778.0,2013.73
2018-02-28,171.5,177.3,170.1,171.4,173.1,650352.0,1129.24
2018-03-01,173.0,176.3,172.0,172.05,172.6,344030.0,600.14
2018-03-05,172.1,172.6,167.5,169.6,170.2,353807.0,601.17
2018-03-06,170.15,173.0,169.2,170.0,170.25,352589.0,605.3
2018-03-07,170.0,170.0,163.0,164.1,165.05,254408.0,426.51
2018-03-08,165.0,167.9,164.0,164.8,164.6,278456.0,461.72
2018-03-09,164.9,165.15,156.0,156.5,157.4,342351.0,543.13
2018-03-12,156.0,156.75,144.0,144.6,145.35,573969.0,845.37
2018-03-13,144.6,147.5,140.0,144.5,144.6,492289.0,709.47
2018-03-14,142.0,152.0,142.0,151.0,150.1,891774.0,1308.18
2018-03-15,151.2,156.5,151.0,152.5,152.85,270273.0,417.34
2018-03-16,152.0,154.55,151.05,152.5,152.35,151870.0,231.8
2018-03-19,152.5,166.95,152.4,160.0,160.35,862382.0,1390.9
2018-03-20,159.0,170.75,159.0,170.0,169.2,597672.0,998.08
2018-03-21,171.1,176.0,170.05,173.6,174.45,425159.0,737.14
2018-03-22,172.05,174.75,169.0,171.0,170.25,272659.0,469.28
2018-03-23,162.0,173.5,162.0,171.4,170.55,354286.0,602.83
2018-03-26,172.0,174.95,166.5,166.85,167.2,159823.0,270.89
2018-03-27,168.0,170.4,163.0,164.0,164.05,181346.0,299.5
2018-03-28,164.9,174.0,164.05,169.0,169.8,467744.0,796.82
2018-04-02,172.4,172.4,166.6,167.3,167.15,72536.0,121.84
2018-04-03,168.25,170.3,167.1,168.1,168.5,86796.0,146.1
2018-04-04,168.1,172.2,162.2,166.75,167.85,207962.0,354.51
2018-04-05,170.05,174.4,170.05,174.25,173.95,291817.0,504.57
2018-04-06,174.25,175.45,171.1,173.2,174.3,111608.0,193.53
2018-04-09,175.0,178.0,172.15,172.15,172.8,205038.0,357.47
2018-04-10,173.0,174.0,170.6,170.9,171.75,55293.0,95.5
2018-04-11,168.1,175.0,168.1,171.25,171.55,57323.0,98.71
2018-04-12,171.55,172.9,167.45,169.0,168.5,78444.0,133.74
2018-04-13,168.5,171.3,166.6,168.1,167.35,75301.0,127.35
2018-04-16,166.65,169.0,165.35,168.5,168.15,73412.0,122.46
