Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,281.0,286.2,281.0,282.25,283.9,7117.0,20.23
2010-01-05,286.6,289.8,282.0,282.0,282.4,9227.0,26.31
2010-01-06,281.25,289.5,281.25,287.2,287.35,9507.0,27.19
2010-01-07,288.95,289.9,278.0,281.95,280.7,11982.0,33.78
2010-01-08,287.6,288.0,280.65,288.0,286.15,8462.0,24.09
2010-01-11,289.8,289.9,281.3,283.0,282.15,6416.0,18.32
2010-01-12,263.1,286.9,263.1,280.5,282.15,3632.0,10.26
2010-01-13,282.0,285.9,276.1,281.0,280.6,5397.0,15.12
2010-01-14,294.9,294.9,280.1,282.0,282.3,10982.0,31.21
2010-01-15,285.25,288.0,281.0,281.0,283.2,5682.0,16.17
2010-01-18,282.5,286.4,281.05,281.5,281.5,1789.0,5.06
2010-01-19,286.5,286.5,276.0,276.5,277.35,3599.0,10.04
2010-01-20,278.0,283.9,276.0,282.1,282.6,8748.0,24.57
2010-01-21,283.0,291.0,270.25,271.0,271.95,20024.0,56.86
2010-01-22,269.95,278.0,260.0,275.05,276.1,20320.0,54.88
2010-01-25,275.0,279.0,273.6,275.0,275.05,11443.0,31.58
2010-01-27,275.0,275.0,261.1,263.9,264.7,17509.0,46.46
2010-01-28,263.9,271.0,255.05,264.5,260.15,6674.0,17.54
2010-01-29,265.0,268.5,251.5,267.5,267.65,4586.0,11.96
2010-02-01,248.9,289.65,243.0,283.5,283.65,17412.0,48.88
2010-02-02,283.65,289.7,266.3,266.3,267.95,18803.0,51.77
2010-02-03,269.5,274.5,268.55,268.55,270.6,2517.0,6.84
2010-02-04,265.0,289.0,265.0,270.0,271.1,3580.0,9.78
2010-02-05,265.0,268.0,262.0,264.0,263.9,6895.0,18.23
2010-02-06,262.0,268.8,262.0,266.9,266.9,953.0,2.52
2010-02-08,269.4,269.4,258.0,258.1,258.8,1105.0,2.91
2010-02-09,260.0,264.0,260.0,260.1,260.65,2239.0,5.84
2010-02-10,264.9,272.0,258.3,258.3,259.65,4795.0,12.74
2010-02-11,263.0,273.0,256.3,258.2,259.55,17223.0,45.59
