Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,293.0,300.0,285.0,300.0,299.3,1200.0,3.55
2010-01-05,295.0,295.0,292.0,295.0,294.5,2894.0,8.53
2010-01-06,295.0,303.0,292.0,303.0,299.65,2591.0,7.74
2010-01-07,300.0,303.0,295.0,303.0,303.0,13840.0,41.12
2010-01-08,295.0,303.0,295.0,303.0,301.05,14134.0,42.41
2010-01-11,295.0,295.0,295.0,295.0,295.0,273.0,0.81
2010-01-12,295.0,305.0,295.0,305.0,304.7,1551.0,4.7
2010-01-13,290.0,303.0,290.0,303.0,303.0,1925.0,5.83
2010-01-14,303.0,306.3,298.0,306.3,306.3,775.0,2.35
2010-01-15,300.0,311.0,300.0,311.0,309.75,4265.0,13.16
2010-01-18,313.8,313.8,310.0,311.0,311.0,233.0,0.73
2010-01-19,296.05,306.0,296.05,306.0,304.9,1100.0,3.35
2010-01-20,308.5,310.0,297.0,305.0,305.0,466.0,1.43
2010-01-21,295.0,300.0,295.0,300.0,300.0,165.0,0.49
2010-01-22,300.0,300.0,286.0,286.0,286.8,590.0,1.7
2010-01-25,299.0,299.0,274.0,290.0,290.0,26.0,0.08
2010-01-27,299.95,299.95,276.0,276.0,276.0,130.0,0.38
2010-01-28,271.0,272.05,271.0,271.0,271.0,249.0,0.68
2010-01-29,271.0,279.95,265.0,279.95,272.0,166.0,0.45
2010-02-01,282.9,284.5,260.15,284.5,283.0,220.0,0.61
2010-02-09,285.0,285.0,285.0,285.0,285.0,30.0,0.09
2010-02-10,282.9,287.0,271.0,271.0,283.6,357.0,1.01
2010-02-11,271.0,285.0,271.0,279.0,279.0,161.0,0.45
2010-02-15,267.35,267.5,267.0,267.0,267.0,74.0,0.2
2010-02-16,279.0,279.0,279.0,279.0,279.0,65.0,0.18
2010-02-18,280.0,280.0,280.0,280.0,280.0,1081.0,3.03
2010-02-19,284.0,284.0,284.0,284.0,284.0,200.0,0.57
2010-02-22,278.0,280.0,278.0,280.0,280.0,2519.0,7.05
2010-02-23,280.0,280.0,280.0,280.0,280.0,1700.0,4.76
2010-02-24,280.0,280.1,280.0,280.0,280.05,10232.0,28.65
2010-02-25,279.95,280.0,279.95,280.0,280.0,1083.0,3.03
2010-02-26,268.2,284.9,268.0,269.0,268.95,10650.0,29.21
2010-03-02,280.0,281.0,277.0,280.95,280.95,625.0,1.76
2010-03-03,277.0,285.0,269.0,285.0,285.0,2850.0,8.02
2010-03-04,275.55,276.1,275.55,276.05,276.05,3.0,0.01
2010-03-05,274.65,288.8,274.65,288.75,287.5,29810.0,83.54
2010-03-08,292.3,301.5,292.3,299.95,298.45,11646.0,34.85
2010-03-09,295.0,304.0,290.0,301.5,301.95,44286.0,128.97
2010-03-10,307.5,307.5,294.0,295.0,295.2,3219.0,9.64
2010-03-11,299.85,299.9,281.1,298.0,295.7,2977.0,8.74
2010-03-12,292.2,299.0,292.0,295.0,295.0,715.0,2.11
2010-03-15,293.0,298.0,283.1,287.0,287.6,2100.0,6.1
2010-03-16,295.0,295.0,285.95,292.0,291.4,51146.0,146.33
2010-03-17,290.05,293.0,286.0,286.0,286.2,419.0,1.21
2010-03-18,286.0,310.0,286.0,298.5,301.2,9096.0,27.41
2010-03-19,305.0,321.5,305.0,320.0,316.85,9496.0,30.03
2010-03-22,320.0,325.0,316.0,316.0,317.4,1509.0,4.87
2010-03-23,313.0,328.0,308.1,319.8,311.0,22120.0,69.19
2010-03-25,310.0,315.0,296.4,300.05,306.8,8069.0,24.71
2010-03-26,328.8,336.5,305.0,330.0,333.6,186285.0,586.43
2010-03-29,339.5,339.5,315.0,324.9,324.1,5891.0,18.93
2010-03-30,324.0,329.0,315.0,325.0,324.45,2456.0,7.93
2010-03-31,318.25,333.0,318.2,333.0,331.5,1027.0,3.37
2010-04-01,334.85,336.95,324.0,324.0,328.1,2589.0,8.63
2010-04-05,329.0,330.0,320.6,330.0,329.4,1438.0,4.7
2010-04-06,334.8,335.0,323.0,324.0,324.05,3463.0,11.35
2010-04-07,321.25,330.0,317.4,325.0,324.95,3672.0,11.97
2010-04-08,325.75,329.5,317.5,320.0,327.7,768.0,2.51
2010-04-09,325.0,330.0,321.25,330.0,329.95,2631.0,8.61
2010-04-12,324.0,330.0,321.25,321.25,321.25,270.0,0.89
2010-04-13,305.5,327.8,305.5,325.0,323.1,20100.0,64.19
2010-04-15,329.95,330.0,318.5,322.0,323.5,2635.0,8.54
2010-04-16,329.75,329.75,318.55,318.55,321.95,3718.0,12.0
2010-04-19,322.0,328.8,310.3,328.8,319.7,3048.0,9.7
2010-04-20,328.4,328.75,318.0,325.0,323.55,2794.0,9.03
2010-04-21,329.0,329.0,320.0,320.05,321.05,3765.0,12.16
2010-04-22,322.0,324.5,309.9,310.0,314.15,14174.0,44.64
2010-04-23,317.8,334.95,303.4,330.0,332.95,23090.0,75.06
2010-04-26,335.05,335.05,306.05,319.0,318.3,34900.0,110.12
2010-04-27,315.0,325.0,314.0,322.0,324.4,9365.0,30.09
2010-04-28,315.25,323.85,308.0,310.0,312.45,20228.0,63.76
2010-04-29,321.9,325.0,315.0,324.9,323.05,14040.0,45.2
2010-04-30,324.9,324.95,317.65,320.0,319.95,3631.0,11.64
2010-05-03,315.1,319.0,310.05,319.0,315.1,2196.0,6.9
2010-05-04,324.0,324.35,310.0,313.0,312.2,2685.0,8.41
2010-05-05,301.2,313.7,293.0,313.7,311.85,1640.0,4.97
2010-05-06,308.0,310.0,300.15,310.0,307.65,593.0,1.81
2010-05-07,298.1,300.0,290.3,300.0,296.9,1197.0,3.55
2010-05-10,295.0,300.0,293.05,295.1,295.25,1881.0,5.6
2010-05-11,296.5,299.75,292.2,298.7,298.65,256.0,0.76
2010-05-12,299.0,299.0,283.0,283.0,284.95,2140.0,6.12
2010-05-13,285.0,290.0,283.0,285.0,285.0,3740.0,10.67
2010-05-14,289.9,293.0,279.1,284.8,287.0,2943.0,8.49
2010-05-19,284.0,284.0,261.5,273.05,277.4,1734.0,4.74
2010-05-20,268.0,289.75,268.0,280.0,279.05,682.0,1.91
2010-05-21,270.0,278.0,270.0,278.0,270.15,366.0,0.99
2010-05-24,266.05,283.0,262.0,282.0,277.05,1211.0,3.25
2010-05-25,266.55,273.9,260.0,269.9,262.45,291.0,0.76
2010-05-26,273.95,285.0,260.0,280.0,274.95,172.0,0.47
2010-05-27,293.0,293.0,264.3,278.0,273.3,20.0,0.06
2010-05-28,270.0,290.0,270.0,290.0,287.95,59.0,0.17
2010-06-01,295.0,295.0,262.0,262.05,262.1,66903.0,175.35
2010-06-02,268.95,268.95,259.0,259.0,262.95,73248.0,192.08
2010-06-03,266.7,273.5,264.1,273.5,273.5,1931.0,5.15
2010-06-04,272.0,272.1,270.2,270.2,270.2,52.0,0.14
2010-06-07,270.2,271.4,263.0,270.0,270.0,2083.0,5.63
2010-06-08,275.0,275.0,265.0,265.0,265.0,126.0,0.34
2010-06-09,269.8,280.0,264.0,264.0,264.0,851.0,2.34
2010-06-10,265.0,265.0,258.3,263.95,263.85,1975.0,5.16
2010-06-11,266.45,267.75,263.2,267.75,267.75,2510.0,6.68
2010-06-14,265.0,265.0,260.4,260.4,260.4,2.0,0.01
2010-06-15,231.15,265.0,231.15,265.0,263.5,3008.0,7.88
2010-06-16,260.1,262.0,250.0,251.0,255.9,5260.0,13.51
2010-06-17,258.8,259.0,252.0,255.9,255.9,251.0,0.65
2010-06-18,253.0,259.0,241.0,241.6,242.15,129.0,0.32
2010-06-21,234.0,258.5,234.0,251.0,251.6,3065.0,7.71
2010-06-22,246.5,250.0,246.5,250.0,250.0,23.0,0.06
