Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,442.0,442.0,420.0,420.0,423.55,10599.0,45.51
2010-01-05,439.0,439.0,420.0,422.1,422.55,5129.0,21.78
2010-01-06,430.0,430.0,413.1,415.0,417.15,4022.0,16.79
2010-01-07,417.0,421.0,411.25,415.1,415.4,2002.0,8.32
2010-01-08,440.0,440.0,411.15,411.5,414.35,4569.0,19.11
2010-01-11,415.0,425.5,405.0,409.95,410.7,1912.0,7.91
2010-01-12,400.75,403.8,382.2,382.2,388.4,3963.0,15.64
2010-01-13,400.0,400.0,386.0,390.0,390.85,3342.0,13.05
2010-01-14,391.05,399.0,391.0,391.05,392.05,2549.0,10.08
2010-01-15,395.0,431.3,389.0,413.0,421.0,64958.0,277.63
2010-01-18,424.95,424.95,402.0,411.6,412.5,10058.0,41.63
2010-01-19,412.0,415.0,394.0,395.25,396.25,4991.0,20.13
2010-01-20,400.0,410.0,394.0,394.0,395.5,4276.0,17.14
2010-01-21,395.0,395.0,375.0,386.0,384.45,3541.0,13.66
2010-01-22,368.35,390.0,367.0,383.0,382.15,1964.0,7.41
2010-01-25,383.0,395.0,363.25,378.5,375.85,2057.0,7.8
2010-01-27,392.5,392.5,352.2,353.0,355.85,5953.0,21.62
2010-01-28,365.1,374.9,349.9,359.0,353.2,1029.0,3.69
2010-01-29,369.45,379.9,340.0,379.9,377.1,5188.0,18.53
2010-02-01,375.0,394.4,375.0,392.0,388.6,4226.0,16.22
2010-02-02,393.0,395.0,366.15,375.0,371.55,2492.0,9.56
2010-02-03,375.0,380.0,370.0,375.0,375.35,3962.0,14.86
2010-02-04,375.0,380.0,356.6,360.0,362.3,1052.0,3.88
2010-02-05,356.0,372.25,356.0,358.0,359.15,2016.0,7.21
2010-02-06,365.0,365.0,355.1,365.0,359.65,62.0,0.22
2010-02-08,355.05,384.95,345.2,346.0,351.65,2879.0,10.22
2010-02-09,355.0,357.0,344.0,355.0,353.85,1991.0,7.06
2010-02-10,355.0,369.9,342.25,353.0,354.7,1355.0,4.82
2010-02-11,354.35,366.0,347.0,349.0,351.5,1018.0,3.59
2010-02-15,349.0,352.0,342.0,342.0,343.25,641.0,2.22
2010-02-16,356.0,356.0,345.0,352.95,350.65,462.0,1.62
2010-02-17,355.0,362.0,339.0,353.0,353.05,3370.0,11.86
2010-02-18,358.5,358.5,350.0,353.0,353.0,740.0,2.61
2010-02-19,345.0,352.9,341.0,342.1,344.95,516.0,1.79
2010-02-22,350.0,350.0,336.0,336.5,336.95,571.0,1.97
2010-02-23,349.9,349.9,337.75,344.0,343.3,370.0,1.26
2010-02-24,352.0,352.0,320.2,344.2,344.0,383.0,1.31
2010-02-25,345.9,346.0,338.55,345.0,345.0,1724.0,5.95
2010-02-26,339.0,350.0,323.0,342.3,342.3,1853.0,6.41
2010-03-02,335.05,360.0,335.05,345.0,346.85,3179.0,10.9
2010-03-03,364.95,373.9,348.0,361.0,360.9,4554.0,16.54
2010-03-04,369.0,369.0,356.0,362.55,362.7,551.0,2.0
2010-03-05,360.1,373.0,360.1,370.0,368.3,1189.0,4.35
2010-03-08,371.0,375.0,365.0,365.0,371.95,76032.0,282.8
2010-03-09,375.0,375.0,365.65,365.65,366.05,958.0,3.52
2010-03-10,355.25,372.25,355.2,366.0,366.0,458.0,1.66
2010-03-11,357.35,370.0,357.35,360.0,361.85,1135.0,4.12
2010-03-12,370.0,370.0,359.0,360.0,359.65,239.0,0.86
2010-03-15,360.0,360.0,348.15,356.0,356.0,1418.0,5.04
2010-03-16,352.0,361.8,352.0,356.85,354.05,921.0,3.26
2010-03-17,355.05,365.5,350.1,357.4,356.5,325.0,1.15
2010-03-18,355.0,357.0,350.15,352.05,352.05,445.0,1.57
2010-03-19,356.0,361.8,348.0,351.0,351.05,3433.0,12.09
2010-03-22,348.0,355.0,340.05,350.0,350.0,1779.0,6.21
2010-03-23,344.0,354.75,344.0,348.1,349.95,4274.0,14.96
2010-03-25,354.9,354.9,349.5,350.0,350.1,1350.0,4.73
2010-03-26,359.0,359.0,346.0,346.0,348.6,3255.0,11.38
2010-03-29,351.0,409.95,344.0,390.0,363.45,11940.0,43.0
2010-03-30,382.15,401.0,368.0,387.0,392.45,7895.0,30.46
2010-03-31,375.0,410.0,375.0,400.0,403.25,22205.0,88.83
