Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,578.0,590.65,575.9,589.0,587.35,19961.0,116.34
2010-01-05,588.0,588.0,575.3,575.35,580.35,8123.0,47.34
2010-01-06,589.9,589.9,570.15,570.3,572.95,6975.0,40.2
2010-01-07,576.0,576.0,560.0,570.0,570.0,6890.0,39.42
2010-01-08,570.15,577.75,552.65,564.0,560.9,13299.0,74.85
2010-01-11,570.0,602.0,562.25,601.0,600.55,42208.0,251.72
2010-01-12,575.1,629.9,575.1,592.0,598.8,93434.0,576.38
2010-01-13,587.1,647.9,587.1,615.0,615.2,73358.0,458.82
2010-01-14,623.0,629.0,608.1,608.35,611.9,13419.0,82.9
2010-01-15,623.0,674.0,613.15,645.0,648.9,316736.0,2062.22
2010-01-18,650.0,748.95,648.0,725.0,721.0,573716.0,4086.53
2010-01-19,734.4,753.9,686.8,694.1,701.05,263948.0,1917.83
2010-01-20,709.0,709.4,644.9,658.1,664.65,117154.0,804.23
2010-01-21,664.65,679.6,624.0,625.5,627.9,112912.0,727.34
2010-01-22,620.0,669.0,596.1,657.0,655.0,162419.0,1042.1
2010-01-25,655.0,670.0,615.9,618.0,622.85,57316.0,372.49
2010-01-27,621.8,626.9,580.1,585.0,586.0,52813.0,320.53
2010-01-28,600.0,609.4,575.0,580.0,579.9,42003.0,249.53
2010-01-29,574.95,599.0,566.0,592.0,592.8,44665.0,261.23
2010-02-01,570.1,644.0,570.1,644.0,638.5,75330.0,470.1
2010-02-02,644.0,654.4,610.0,613.0,611.65,28896.0,182.17
2010-02-03,619.9,647.0,617.0,635.05,636.75,22254.0,139.89
2010-02-04,639.9,645.0,615.0,616.0,617.8,22419.0,141.22
2010-02-05,603.0,614.7,582.0,604.8,603.8,31928.0,191.64
2010-02-06,607.0,614.0,602.0,606.0,605.05,2811.0,17.02
2010-02-08,609.0,614.0,591.25,597.0,602.4,11388.0,68.75
2010-02-09,590.0,636.7,585.1,626.0,629.0,50200.0,312.51
2010-02-10,635.0,638.0,608.1,608.1,614.25,30022.0,188.12
2010-02-11,610.5,626.0,610.5,615.5,615.05,20608.0,127.36
2010-02-15,610.0,624.7,607.0,607.1,610.1,5973.0,36.67
2010-02-16,610.0,618.85,603.0,615.0,613.75,12568.0,76.72
2010-02-17,612.1,625.0,607.0,610.95,608.55,8678.0,53.26
2010-02-18,614.0,614.0,605.0,605.0,606.05,4963.0,30.22
2010-02-19,605.0,617.0,600.0,602.8,601.75,9084.0,55.22
2010-02-22,605.0,613.4,588.0,588.5,590.4,7972.0,47.62
2010-02-23,581.0,596.0,577.0,578.0,578.8,8247.0,48.42
2010-02-24,575.0,584.7,575.0,584.0,579.45,7932.0,45.91
2010-02-25,600.0,600.0,570.1,576.95,574.0,8668.0,50.22
2010-02-26,588.0,601.0,581.5,591.3,588.3,11986.0,70.85
2010-03-02,590.0,602.0,590.0,591.0,593.85,10101.0,60.09
2010-03-03,595.05,614.5,592.9,599.9,600.95,13534.0,81.58
2010-03-04,604.0,613.0,598.75,599.5,600.8,14730.0,89.08
2010-03-05,601.5,624.4,601.5,605.0,607.25,27874.0,171.1
2010-03-08,611.0,617.95,601.5,604.0,603.1,10127.0,61.57
2010-03-09,595.3,608.7,591.6,593.0,598.55,7151.0,42.96
2010-03-10,592.3,600.0,588.1,594.5,593.25,9676.0,57.48
2010-03-11,594.9,596.95,588.25,590.0,590.15,2796.0,16.54
2010-03-12,586.1,603.95,584.0,593.0,587.8,7740.0,45.81
2010-03-15,600.0,600.0,576.5,578.25,579.6,4382.0,25.57
2010-03-16,580.0,584.95,577.0,579.0,578.9,5078.0,29.47
2010-03-17,589.0,630.0,583.05,598.0,600.5,59047.0,354.04
2010-03-18,606.0,608.0,585.0,589.1,590.1,21301.0,127.34
2010-03-19,593.0,624.5,590.0,606.0,606.35,36913.0,225.19
2010-03-22,606.35,609.0,595.1,595.1,599.45,16208.0,97.74
2010-03-23,602.0,610.0,600.0,600.2,603.2,15411.0,93.09
2010-03-25,606.0,610.9,600.0,603.95,603.5,13823.0,83.74
2010-03-26,604.95,604.95,585.5,586.05,589.15,10694.0,63.39
2010-03-29,585.0,592.0,580.3,582.0,581.9,7085.0,41.5
2010-03-30,590.0,609.9,580.0,605.0,602.55,20011.0,119.47
2010-03-31,602.25,611.8,595.0,600.95,598.75,6908.0,41.5
2010-04-01,602.0,605.75,592.55,596.0,597.05,9169.0,54.8
2010-04-05,599.9,648.0,596.1,637.0,638.0,111586.0,706.68
2010-04-06,647.0,647.7,624.0,639.0,636.9,36609.0,233.78
2010-04-07,641.0,660.0,638.0,642.1,641.45,38194.0,247.18
2010-04-08,644.5,677.1,638.0,654.9,655.9,94951.0,624.8
2010-04-09,662.0,664.0,655.0,655.0,656.25,32070.0,211.4
2010-04-12,650.0,657.45,641.0,643.0,643.9,14825.0,96.1
2010-04-13,647.0,650.0,640.0,640.25,641.3,14152.0,91.19
2010-04-15,637.3,650.55,630.2,642.0,641.5,13746.0,88.86
2010-04-16,645.65,645.65,636.0,638.9,638.0,4678.0,29.91
2010-04-19,626.0,635.0,614.05,616.0,615.65,13043.0,81.05
2010-04-20,623.75,626.0,616.0,616.0,618.45,12751.0,79.14
2010-04-21,620.0,639.85,620.0,633.45,632.1,10234.0,64.65
2010-04-22,630.0,646.0,626.0,634.85,636.35,17238.0,110.07
2010-04-23,636.5,643.9,626.55,630.9,629.5,6042.0,38.28
2010-04-26,637.0,685.0,633.0,680.0,680.45,74655.0,497.76
2010-04-27,650.7,685.0,650.7,660.0,664.7,17626.0,117.98
2010-04-28,650.1,663.2,642.6,648.4,651.65,17915.0,117.12
2010-04-29,664.9,666.0,647.0,666.0,663.2,8611.0,56.69
2010-04-30,664.0,666.5,653.05,657.0,658.7,12740.0,83.86
2010-05-03,665.75,665.75,640.0,640.1,645.15,5307.0,34.6
2010-05-04,655.0,658.0,631.15,642.0,642.65,23818.0,153.91
2010-05-05,627.0,637.0,620.1,626.15,631.75,6686.0,42.09
2010-05-06,640.0,647.9,630.0,636.0,639.4,14180.0,90.87
2010-05-07,618.2,632.5,605.1,627.5,624.55,8612.0,53.56
2010-05-10,638.0,645.45,630.45,637.0,635.95,4589.0,29.22
2010-05-11,641.0,641.0,624.0,627.0,628.15,3118.0,19.69
2010-05-12,622.0,637.0,615.0,621.95,618.55,6754.0,42.26
2010-05-13,639.0,659.0,628.0,645.0,650.3,60883.0,390.02
2010-05-14,649.95,653.95,622.0,622.0,628.3,23955.0,153.25
2010-05-17,606.0,620.0,606.0,616.1,616.65,15632.0,95.64
2010-05-18,621.95,627.0,615.0,617.95,617.6,10158.0,63.27
2010-05-19,611.0,613.5,597.0,597.2,599.95,9264.0,56.05
2010-05-20,638.65,638.65,598.0,599.0,601.7,3445.0,20.79
2010-05-21,590.0,600.0,582.1,586.0,590.7,6532.0,38.79
2010-05-24,601.0,607.0,591.1,592.0,593.35,5277.0,31.7
2010-05-25,590.0,590.0,563.0,565.0,569.9,9709.0,55.88
2010-05-26,577.0,587.9,573.0,579.0,579.35,4648.0,26.98
2010-05-27,593.0,593.0,575.25,584.0,581.85,2442.0,14.18
2010-05-28,587.0,599.0,587.0,594.0,593.7,4501.0,26.6
2010-05-31,596.0,629.9,591.0,617.0,621.45,34334.0,210.94
2010-06-01,621.45,625.0,595.0,595.0,601.95,16739.0,102.76
2010-06-02,680.0,680.0,601.1,607.0,608.75,4290.0,26.06
2010-06-03,614.0,623.0,604.0,605.0,606.25,5872.0,35.9
2010-06-04,610.0,610.0,601.15,603.7,603.2,2160.0,13.07
2010-06-07,598.1,603.7,585.55,603.7,599.2,3147.0,18.81
2010-06-08,611.9,616.0,596.0,597.0,604.05,7580.0,46.04
2010-06-09,598.0,608.0,588.0,589.0,592.5,4895.0,29.15
2010-06-10,598.0,609.0,590.0,601.9,601.95,55291.0,331.68
2010-06-11,602.15,606.0,598.6,599.0,599.7,3018.0,18.18
2010-06-14,606.95,618.0,600.05,610.0,612.75,58688.0,357.87
2010-06-15,593.0,649.0,592.0,630.0,632.9,73885.0,469.29
2010-06-16,630.0,637.95,620.0,628.75,624.25,8359.0,52.4
2010-06-17,617.0,625.0,597.0,601.0,603.35,13098.0,79.53
2010-06-18,610.0,624.8,604.8,606.1,609.25,6416.0,39.49
2010-06-21,610.0,624.0,606.0,609.1,611.4,17268.0,105.64
2010-06-22,612.0,627.95,612.0,618.8,618.05,13674.0,84.79
2010-06-23,618.05,625.95,615.0,618.05,619.4,12189.0,75.6
2010-06-24,620.2,633.95,620.2,622.0,623.0,15823.0,98.93
2010-06-25,623.05,660.25,623.05,640.0,641.35,90888.0,589.12
2010-06-28,645.0,651.05,627.55,630.5,631.45,48581.0,310.56
2010-06-29,634.0,664.0,629.0,655.05,655.5,54725.0,355.65
2010-06-30,633.55,650.25,624.0,627.5,627.55,32521.0,206.83
2010-07-01,628.0,633.5,621.0,621.15,622.75,28625.0,179.11
2010-07-02,621.0,647.0,621.0,627.0,626.2,49483.0,313.66
2010-07-05,633.5,633.5,624.0,626.0,625.75,18586.0,116.5
2010-07-06,626.0,638.0,623.15,625.0,625.7,10752.0,67.91
2010-07-07,628.0,636.0,618.0,619.0,621.3,17475.0,109.74
2010-07-08,600.1,633.0,519.7,628.0,627.8,14060.0,88.13
2010-07-09,625.25,642.0,625.25,635.9,638.8,19347.0,122.78
2010-07-12,638.0,644.0,629.0,641.8,641.0,10150.0,65.03
2010-07-13,635.0,646.05,635.0,643.0,643.45,5417.0,34.81
2010-07-14,646.95,673.8,637.0,637.55,640.45,16552.0,106.93
2010-07-15,640.05,647.0,640.0,646.0,645.3,11356.0,72.96
2010-07-16,606.6,651.05,601.2,646.0,646.65,11229.0,72.46
2010-07-19,650.0,673.0,646.0,668.0,668.85,44004.0,292.19
2010-07-20,670.0,692.6,647.1,650.0,651.75,28597.0,191.28
2010-07-21,653.0,665.0,653.0,663.25,660.55,8425.0,55.54
2010-07-22,659.0,665.9,646.6,647.15,650.7,7320.0,47.87
2010-07-23,657.85,657.85,640.2,642.15,643.3,8603.0,55.8
2010-07-26,641.35,650.05,636.6,642.5,640.5,5904.0,37.86
2010-07-27,642.5,659.0,636.6,637.0,637.45,62971.0,404.31
2010-07-28,640.0,657.9,637.0,641.0,642.4,12185.0,78.37
2010-07-29,647.0,650.0,640.5,647.0,644.2,3990.0,25.74
2010-07-30,651.0,665.0,645.0,647.0,646.65,29436.0,192.37
2010-08-02,648.9,659.95,648.9,650.0,651.3,14172.0,92.73
2010-08-03,656.95,656.95,649.0,653.5,652.45,6700.0,43.66
2010-08-04,652.45,670.05,650.1,661.15,662.4,18481.0,122.04
2010-08-05,665.45,665.45,653.0,653.0,658.9,19016.0,125.38
2010-08-06,653.15,721.0,653.15,705.0,707.1,222050.0,1559.38
2010-08-09,713.0,738.95,695.0,726.0,727.45,146904.0,1059.49
2010-08-10,738.0,742.0,712.0,714.5,718.1,57926.0,421.29
2010-08-11,724.0,747.0,715.1,728.0,730.9,137077.0,1004.91
2010-08-12,701.1,750.0,701.1,724.0,727.15,95061.0,699.9
2010-08-13,732.0,740.0,714.0,717.0,719.65,45205.0,329.05
2010-08-16,727.0,727.0,686.1,698.0,693.25,44082.0,310.48
2010-08-17,695.0,708.0,693.0,699.0,698.6,23818.0,166.41
2010-08-18,704.0,710.0,695.1,701.0,704.4,22348.0,157.3
2010-08-19,697.0,720.0,697.0,717.15,717.2,19253.0,137.35
2010-08-20,710.0,732.0,710.0,716.0,717.85,22710.0,163.5
2010-08-23,712.2,723.85,701.5,705.0,708.15,9630.0,68.75
2010-08-24,703.0,710.0,700.0,701.0,701.65,12018.0,84.68
2010-08-25,694.0,707.4,693.0,703.9,701.35,12239.0,85.67
2010-08-26,695.0,705.0,693.0,695.6,694.4,8904.0,61.98
2010-08-27,694.0,714.75,694.0,695.0,696.7,12128.0,85.32
2010-08-30,710.95,710.95,688.1,690.0,689.05,6023.0,41.77
2010-08-31,694.0,694.0,672.55,681.4,680.8,10159.0,68.97
2010-09-01,677.0,719.0,677.0,696.9,698.55,50821.0,354.43
2010-09-02,705.0,715.0,705.0,710.05,708.65,14371.0,102.04
2010-09-03,717.5,723.4,707.0,714.0,714.95,17150.0,123.0
2010-09-06,724.8,732.9,717.45,722.0,721.4,31799.0,230.46
2010-09-07,701.0,714.9,692.0,702.0,702.7,33578.0,236.61
2010-09-08,699.95,705.0,681.2,690.5,689.1,8765.0,60.87
2010-09-09,693.0,702.0,686.7,691.0,688.85,15720.0,108.86
2010-09-13,699.5,705.0,687.0,687.0,688.5,9940.0,68.97
2010-09-14,686.0,696.9,681.0,683.9,682.9,6425.0,44.11
2010-09-15,704.75,704.75,680.0,680.15,680.8,6126.0,41.83
2010-09-16,681.25,688.35,672.35,673.0,675.0,16077.0,109.03
2010-09-17,671.0,681.4,670.1,671.0,671.7,7144.0,48.19
2010-09-20,666.3,683.7,666.3,675.0,676.25,6071.0,41.19
2010-09-21,689.0,696.95,672.1,675.45,675.2,17728.0,120.59
2010-09-22,670.3,683.9,663.1,663.9,665.45,11691.0,78.36
2010-09-23,666.1,673.85,652.25,656.0,656.75,12391.0,82.22
2010-09-24,669.9,672.0,659.3,661.1,662.4,12113.0,80.35
2010-09-27,657.05,669.95,643.0,646.25,649.05,17333.0,113.2
2010-09-28,644.0,657.35,644.0,645.2,645.9,10451.0,67.94
2010-09-29,654.5,654.5,640.05,640.15,640.95,6002.0,38.75
2010-09-30,643.25,657.5,642.1,648.4,653.1,9372.0,60.86
2010-10-01,653.1,668.0,650.0,662.0,661.25,15717.0,103.7
2010-10-04,668.0,673.0,649.5,649.5,652.6,9620.0,63.6
2010-10-05,670.0,670.0,651.4,652.0,653.6,6030.0,39.57
2010-10-06,655.75,674.85,655.75,671.0,672.2,11900.0,79.5
2010-10-07,678.9,685.0,665.25,667.25,671.6,21120.0,142.66
2010-10-08,670.0,674.9,660.0,660.5,663.15,4426.0,29.58
2010-10-11,657.0,669.4,656.05,665.0,658.55,3023.0,20.02
2010-10-12,668.8,668.8,655.05,655.1,655.95,2782.0,18.28
2010-10-13,655.0,658.5,642.5,649.55,646.85,16675.0,108.23
2010-10-14,670.0,670.0,641.3,643.5,644.65,8757.0,57.01
2010-10-15,645.0,666.7,630.1,631.0,632.15,30400.0,196.96
2010-10-18,612.3,642.5,612.3,633.95,631.8,5311.0,33.57
2010-10-19,644.0,644.0,636.0,640.0,638.4,5851.0,37.4
2010-10-20,640.0,645.0,628.1,629.85,629.85,5546.0,35.17
2010-10-21,633.1,654.0,629.0,650.15,652.0,10035.0,64.96
2010-10-22,652.0,662.0,643.0,659.0,652.35,29089.0,191.02
2010-10-25,666.0,688.3,666.0,672.1,672.7,26042.0,176.49
2010-10-26,670.0,685.0,666.0,670.0,669.4,11889.0,80.27
2010-10-27,671.0,677.2,650.0,660.0,659.5,8757.0,57.89
2010-10-28,650.1,669.0,650.1,660.0,662.2,4311.0,28.48
2010-10-29,662.95,669.0,651.0,651.1,652.3,6975.0,45.97
2010-11-01,650.1,663.05,641.25,642.1,644.3,7442.0,48.1
2010-11-02,642.0,654.0,642.0,643.2,647.15,3173.0,20.55
2010-11-03,641.0,672.0,640.1,655.0,653.95,13542.0,88.96
2010-11-04,655.0,663.0,650.0,659.7,655.8,2905.0,19.03
2010-11-05,661.15,670.5,661.15,666.05,666.95,4527.0,30.19
2010-11-08,670.0,677.0,654.0,665.3,667.85,12180.0,81.53
2010-11-09,661.2,669.0,653.0,657.95,655.75,11064.0,72.76
2010-11-10,666.9,666.9,655.0,659.15,661.2,5668.0,37.47
2010-11-11,660.0,671.0,652.25,660.05,656.5,11183.0,73.78
2010-11-12,662.9,663.9,652.1,656.0,656.45,9189.0,60.2
2010-11-15,652.95,664.95,650.15,663.0,661.1,5440.0,35.8
2010-11-16,653.1,659.0,645.0,653.5,648.6,8540.0,55.78
2010-11-18,646.05,653.5,628.0,629.45,629.7,12258.0,77.57
