Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,49.1,49.95,49.0,49.25,49.3,16904.0,8.34
2010-01-05,50.0,50.9,49.75,50.0,50.1,27218.0,13.71
2010-01-06,49.25,52.65,49.25,52.65,52.65,41470.0,21.49
2010-01-07,54.0,55.2,53.0,54.2,53.85,85845.0,46.57
2010-01-08,54.85,54.9,52.6,52.9,53.05,33018.0,17.58
2010-01-11,53.5,54.75,52.5,53.5,53.65,23234.0,12.53
2010-01-12,53.85,58.05,53.85,55.1,55.3,128669.0,72.51
2010-01-13,55.4,56.75,55.05,55.7,55.4,28964.0,16.15
2010-01-14,56.0,56.5,55.15,55.9,55.65,18640.0,10.44
2010-01-15,56.0,56.0,54.1,54.1,54.2,18752.0,10.28
2010-01-18,52.2,54.9,52.15,54.15,54.25,19608.0,10.6
2010-01-19,53.3,54.5,53.2,53.75,53.95,27109.0,14.61
2010-01-20,53.6,55.0,53.25,53.25,53.45,14570.0,7.88
2010-01-21,53.2,55.0,50.55,51.1,51.1,40907.0,21.79
2010-01-22,50.0,52.0,46.8,49.3,50.0,25601.0,12.78
2010-01-25,50.5,51.6,50.0,50.6,50.35,9283.0,4.71
2010-01-27,50.4,50.4,47.5,47.5,48.05,8487.0,4.15
2010-01-28,50.0,50.0,47.0,47.0,47.3,15404.0,7.37
2010-01-29,46.0,47.8,45.55,46.65,46.8,11924.0,5.55
2010-02-01,46.7,48.9,46.65,48.0,47.85,12250.0,5.88
2010-02-02,49.25,49.4,47.05,47.1,47.25,12802.0,6.15
2010-02-03,47.5,48.5,47.05,47.15,47.5,10007.0,4.79
2010-02-04,47.0,47.85,46.05,47.2,46.75,5065.0,2.37
2010-02-05,44.55,46.5,44.55,45.0,45.25,9596.0,4.36
2010-02-06,46.0,46.45,45.0,45.5,45.9,2201.0,1.01
2010-02-08,46.0,46.05,44.65,44.65,45.0,8000.0,3.64
2010-02-09,45.7,45.9,44.7,45.15,45.25,6204.0,2.81
2010-02-10,45.8,46.85,45.0,45.85,45.45,5822.0,2.67
2010-02-11,46.2,46.6,45.25,45.25,45.4,4254.0,1.95
2010-02-15,46.45,47.0,45.5,46.4,46.6,9916.0,4.61
2010-02-16,47.2,47.2,45.9,47.2,47.05,13222.0,6.2
2010-02-17,47.8,48.45,46.0,48.45,47.8,11693.0,5.52
2010-02-18,47.9,47.95,47.0,47.4,47.4,2302.0,1.09
2010-02-19,46.5,48.0,46.5,47.2,47.4,13907.0,6.58
2010-02-22,47.0,48.8,47.0,47.55,47.9,11318.0,5.39
2010-02-23,47.5,48.0,46.7,48.0,47.75,9660.0,4.59
2010-02-24,48.85,48.85,45.15,46.5,46.35,9103.0,4.23
2010-02-25,47.9,47.9,45.55,46.1,46.5,16937.0,7.93
2010-02-26,47.0,47.2,45.1,45.1,45.55,8398.0,3.89
2010-03-02,47.0,47.0,45.1,46.0,45.7,8495.0,3.9
2010-03-03,45.55,47.25,45.5,46.6,46.4,7538.0,3.51
2010-03-04,45.25,46.95,45.25,46.35,45.9,7421.0,3.42
2010-03-05,47.0,47.0,45.75,46.4,46.3,6836.0,3.17
2010-03-08,47.0,47.45,46.4,46.5,46.5,6495.0,3.05
2010-03-09,46.0,47.0,46.0,46.7,46.55,2779.0,1.29
2010-03-10,46.6,47.15,46.0,46.0,46.3,7557.0,3.51
2010-03-11,46.45,46.5,45.05,46.1,45.75,6109.0,2.82
2010-03-12,46.1,46.5,45.6,46.25,46.05,4738.0,2.19
2010-03-15,45.35,47.0,45.2,45.2,45.4,3989.0,1.82
2010-03-16,46.0,46.0,44.35,45.5,44.85,7691.0,3.47
2010-03-17,45.0,45.6,44.0,44.0,44.35,5676.0,2.54
2010-03-18,44.1,44.9,44.1,44.25,44.45,2981.0,1.33
2010-03-19,44.0,45.4,44.0,44.1,44.05,10027.0,4.44
2010-03-22,44.95,44.95,43.2,43.85,43.5,7485.0,3.3
2010-03-23,43.55,44.25,43.1,43.8,43.45,6463.0,2.82
2010-03-25,43.9,44.1,42.2,42.2,43.25,5970.0,2.6
2010-03-26,43.9,43.9,40.0,40.6,40.55,18402.0,7.68
2010-03-29,42.45,48.45,40.5,40.95,40.75,9488.0,3.91
