Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-08,538.0,572.0,535.0,554.05,555.8,9286.0,51.88
2010-01-11,558.95,571.0,545.1,551.55,555.75,59841.0,334.86
2010-01-12,556.0,564.0,541.15,541.15,543.5,6180.0,34.2
2010-01-13,546.0,550.0,541.0,544.0,544.25,2487.0,13.56
2010-01-14,549.0,560.0,545.1,556.0,555.45,9078.0,50.43
2010-01-15,549.5,572.0,541.2,562.9,562.7,21057.0,118.85
2010-01-18,574.0,600.0,562.7,576.0,576.05,22052.0,127.68
2010-01-19,597.9,597.9,560.0,575.95,574.75,18238.0,105.82
2010-01-20,580.0,595.0,575.0,576.5,577.5,22403.0,130.92
2010-01-21,575.0,584.0,555.0,560.0,559.2,22590.0,128.16
2010-01-22,549.9,562.0,530.15,545.0,543.25,13994.0,75.99
2010-01-25,515.0,550.0,515.0,538.0,539.1,17146.0,92.84
2010-01-27,540.0,544.95,533.0,536.0,537.1,19279.0,103.77
2010-01-28,640.0,640.0,532.0,540.05,535.8,5837.0,31.53
2010-01-29,534.0,541.4,511.0,538.0,538.95,5094.0,27.25
2010-02-01,530.6,554.9,530.6,545.0,545.3,6666.0,36.34
2010-02-02,559.8,569.0,544.05,563.4,559.45,12666.0,70.72
2010-02-03,575.2,575.2,548.0,559.0,558.05,4412.0,24.84
2010-02-04,570.0,570.0,536.5,542.25,542.9,4339.0,23.81
2010-02-05,516.5,547.5,516.0,536.0,537.95,3048.0,16.34
2010-02-06,559.8,559.8,533.55,538.0,539.35,320.0,1.73
2010-02-08,542.0,574.0,537.05,558.0,559.1,12741.0,71.24
2010-02-09,555.0,562.95,550.0,557.0,557.05,5712.0,31.81
2010-02-10,553.1,564.0,546.05,550.0,550.25,5478.0,30.5
2010-02-11,551.55,559.95,548.05,550.1,552.75,1476.0,8.17
2010-02-15,555.0,558.75,530.35,542.0,541.35,2393.0,12.99
2010-02-16,550.0,563.0,550.0,557.1,558.85,2759.0,15.37
2010-02-17,566.0,588.35,560.0,578.0,573.65,14740.0,84.76
2010-02-18,594.75,595.0,580.25,586.4,591.75,16779.0,98.95
2010-02-19,595.0,595.0,580.0,588.2,586.6,8192.0,48.01
2010-02-22,590.1,606.85,580.0,580.0,587.1,9270.0,55.38
2010-02-23,595.0,595.0,581.6,589.0,586.25,3713.0,21.76
2010-02-24,589.95,591.95,583.35,585.0,585.7,4498.0,26.44
2010-02-25,593.5,595.0,585.0,593.0,593.55,12324.0,72.81
2010-02-26,595.0,599.0,589.95,590.0,590.0,7940.0,46.95
2010-03-02,561.05,615.0,561.05,604.0,606.65,17018.0,103.05
2010-03-03,610.7,613.85,596.1,608.0,609.6,5470.0,33.17
2010-03-04,610.0,610.0,591.5,604.5,603.05,4919.0,29.71
2010-03-05,605.0,621.5,605.0,615.0,614.35,11156.0,68.48
2010-03-08,623.0,639.75,616.0,639.5,635.0,12790.0,80.63
2010-03-09,641.7,691.0,635.5,677.4,676.8,59987.0,405.24
2010-03-10,652.0,680.0,652.0,660.05,662.8,7691.0,51.42
2010-03-11,650.0,670.0,650.0,658.15,659.65,4616.0,30.5
2010-03-12,670.0,674.45,650.1,660.0,658.05,3671.0,24.14
2010-03-15,662.0,662.0,650.1,653.5,653.8,4006.0,26.2
2010-03-16,659.8,659.8,635.25,640.0,641.65,4030.0,25.99
2010-03-17,641.0,649.8,638.0,643.85,646.3,4093.0,26.36
2010-03-18,648.0,648.0,615.25,630.0,626.85,3111.0,19.63
2010-03-19,621.05,641.05,621.0,624.5,626.75,6082.0,38.57
2010-03-22,616.0,623.9,592.65,618.05,618.7,26137.0,161.2
2010-03-23,618.7,622.95,606.5,612.15,612.3,5346.0,32.82
2010-03-25,606.5,620.0,605.0,605.0,606.0,5560.0,33.99
2010-03-26,607.3,619.9,605.0,609.9,613.05,14019.0,85.43
2010-03-29,615.0,618.85,591.0,601.0,606.75,12143.0,73.56
2010-03-30,608.65,645.0,596.05,643.0,635.15,14398.0,90.79
2010-03-31,635.0,655.8,625.0,648.0,651.4,32505.0,211.26
2010-04-01,684.55,684.55,641.0,642.05,651.2,2766.0,18.08
2010-04-05,651.0,664.0,641.0,663.0,657.9,2066.0,13.5
2010-04-06,650.0,669.8,650.0,650.95,653.45,2044.0,13.4
2010-04-07,664.4,664.4,636.0,650.0,650.05,4564.0,29.65
2010-04-08,644.0,684.45,644.0,672.25,674.45,12478.0,82.99
2010-04-09,675.0,694.35,640.55,647.0,647.45,8804.0,58.44
2010-04-12,648.45,667.35,645.25,650.0,650.05,5859.0,38.1
2010-04-13,652.8,652.8,635.55,645.0,640.45,1693.0,10.88
2010-04-15,650.0,738.0,645.15,684.9,682.85,86802.0,607.1
2010-04-16,682.85,718.0,672.5,695.0,695.05,40899.0,287.8
2010-04-19,677.0,715.0,677.0,712.0,708.2,24370.0,170.82
2010-04-20,707.6,760.0,707.6,755.0,750.2,57690.0,428.39
2010-04-21,765.0,809.0,753.0,809.0,796.7,49950.0,391.59
2010-04-22,805.0,841.1,770.0,796.9,787.75,55309.0,452.78
2010-04-23,805.0,818.0,792.1,807.0,802.6,18202.0,146.13
2010-04-26,814.95,827.0,795.25,808.0,807.45,10383.0,84.74
2010-04-27,808.0,812.95,774.0,786.0,780.0,10923.0,86.41
2010-04-28,753.4,793.95,753.4,778.5,779.6,6775.0,52.98
2010-04-29,796.0,818.0,791.0,805.0,802.2,14026.0,113.04
2010-04-30,810.0,815.0,792.05,798.9,799.7,4962.0,39.86
2010-05-03,807.8,807.8,785.1,792.0,791.7,2980.0,23.71
2010-05-04,800.0,804.85,765.25,769.0,770.45,2089.0,16.37
2010-05-05,726.0,777.0,701.2,761.25,765.65,4864.0,36.74
2010-05-06,768.5,785.0,768.5,780.0,780.35,8328.0,65.04
2010-05-07,732.35,783.0,732.35,774.0,771.75,4301.0,33.2
2010-05-10,790.0,804.0,776.55,790.5,792.85,6770.0,53.51
2010-05-11,798.8,798.8,775.0,776.5,777.4,1033.0,8.08
2010-05-12,774.25,792.9,771.1,782.0,777.9,3407.0,26.53
2010-05-13,770.05,792.9,770.05,790.0,790.25,5736.0,45.03
2010-05-14,767.5,815.0,767.5,806.2,805.3,9014.0,72.52
2010-05-17,778.1,874.0,778.1,850.5,845.5,18601.0,155.86
2010-05-18,850.0,912.0,850.0,868.95,860.35,32060.0,283.48
2010-05-19,870.0,889.0,830.0,830.0,833.8,8320.0,71.87
2010-05-20,850.0,907.75,815.0,824.1,821.95,6214.0,52.13
2010-05-21,778.3,835.0,778.3,829.8,822.55,4819.0,39.07
2010-05-24,857.0,857.0,765.8,775.0,793.95,6438.0,52.35
2010-05-25,788.0,790.0,740.3,769.0,758.25,7841.0,60.17
2010-05-26,768.05,798.0,766.3,785.1,791.1,6545.0,51.41
2010-05-27,816.3,816.3,758.15,769.0,766.55,4043.0,31.46
2010-05-28,776.85,790.0,755.0,773.0,774.65,11353.0,87.9
2010-05-31,774.0,774.0,695.55,716.0,711.4,95458.0,689.08
2010-06-01,720.0,739.9,706.0,716.0,715.15,14293.0,103.34
2010-06-02,718.3,727.0,704.0,719.8,718.6,3204.0,23.07
2010-06-03,729.0,740.0,710.0,714.0,714.0,5711.0,41.15
2010-06-04,712.6,760.0,702.35,739.0,737.1,22413.0,165.49
2010-06-07,720.1,757.0,700.0,736.1,737.4,6097.0,44.86
2010-06-08,740.0,777.95,739.95,745.0,747.95,52737.0,403.46
2010-06-09,769.0,769.0,725.3,745.0,739.15,34924.0,262.28
2010-06-10,727.0,755.0,727.0,748.1,752.45,9604.0,72.27
2010-06-11,753.55,754.0,731.0,739.95,738.7,3914.0,29.08
2010-06-14,742.1,799.0,742.1,778.0,777.1,91724.0,711.29
2010-06-15,784.9,790.0,772.0,786.0,786.1,14705.0,114.62
2010-06-16,788.0,852.4,786.0,814.0,817.1,78773.0,645.84
2010-06-17,815.0,839.8,815.0,820.0,821.95,9967.0,82.66
2010-06-18,830.0,835.0,797.1,805.9,802.95,7012.0,57.17
2010-06-21,834.65,843.95,805.5,821.0,827.05,115184.0,956.31
2010-06-22,824.0,838.0,816.5,824.0,823.8,15948.0,132.06
2010-06-23,816.0,864.0,816.0,840.0,841.4,41576.0,353.22
2010-06-24,850.0,850.0,831.1,833.0,835.2,3329.0,27.96
2010-06-25,832.0,843.85,810.55,816.95,819.9,5043.0,41.54
2010-06-28,825.0,829.9,810.1,816.0,814.65,2959.0,24.25
2010-06-29,817.0,824.0,792.15,796.4,799.75,5959.0,48.11
2010-06-30,813.0,830.0,772.6,799.8,798.7,12120.0,96.02
2010-07-01,783.0,806.0,783.0,785.0,793.85,3266.0,25.9
2010-07-02,792.05,812.0,790.0,790.0,790.15,2291.0,18.27
2010-07-05,790.0,813.9,788.2,791.0,791.45,3991.0,32.04
2010-07-06,792.1,821.1,792.1,812.0,815.05,115506.0,940.8
2010-07-07,821.0,821.0,791.05,794.0,794.15,44276.0,358.95
2010-07-08,808.9,820.0,799.0,803.0,806.4,4452.0,36.1
2010-07-09,806.4,808.0,781.55,792.0,798.65,36336.0,291.5
2010-07-12,798.85,805.0,791.0,795.0,793.0,5433.0,43.31
2010-07-13,808.0,832.9,784.0,822.0,817.45,33983.0,277.03
2010-07-14,854.6,887.65,840.0,841.15,847.0,204523.0,1770.66
2010-07-15,848.0,856.9,827.0,829.2,833.3,21960.0,185.29
2010-07-16,836.0,839.95,814.0,818.0,816.15,18941.0,156.41
2010-07-19,810.0,824.7,804.0,807.9,809.05,11553.0,94.25
2010-07-20,848.4,909.0,848.4,859.1,857.25,778286.0,6843.36
2010-07-21,868.0,879.9,824.0,830.35,829.95,145540.0,1237.43
2010-07-22,835.0,855.0,815.6,842.0,838.95,172165.0,1443.43
2010-07-23,838.9,850.05,824.2,826.0,828.4,39152.0,327.3
2010-07-26,823.0,836.8,820.0,820.0,820.9,24177.0,200.29
2010-07-27,825.0,834.7,807.1,810.5,813.0,13774.0,112.8
2010-07-28,814.0,828.0,795.05,805.0,801.0,17042.0,138.28
2010-07-29,800.05,842.0,800.05,833.0,832.4,35283.0,290.87
2010-07-30,825.0,837.9,809.0,812.2,813.0,108968.0,898.58
2010-08-02,814.65,884.0,814.65,882.0,874.65,134289.0,1147.98
2010-08-03,874.0,905.0,866.25,878.0,878.75,150577.0,1328.18
2010-08-04,874.65,957.0,874.65,945.0,941.45,291004.0,2713.43
2010-08-05,941.45,950.0,904.1,911.0,910.25,139816.0,1287.57
2010-08-06,911.0,988.0,907.2,953.7,949.8,172862.0,1655.26
2010-08-09,959.95,974.7,942.7,948.05,953.6,41378.0,398.54
2010-08-10,950.0,961.9,926.0,933.0,933.0,18235.0,172.01
2010-08-11,940.0,942.0,908.1,921.75,915.6,14551.0,134.09
2010-08-12,915.0,928.2,905.0,916.9,916.95,7001.0,64.41
2010-08-13,928.95,986.0,922.0,975.0,970.55,156136.0,1504.46
2010-08-16,975.0,1020.0,964.95,974.0,980.4,136830.0,1345.68
2010-08-17,985.45,994.0,952.5,980.0,985.65,76453.0,748.2
2010-08-18,985.0,1025.0,973.15,1011.3,1009.6,140654.0,1419.11
2010-08-19,1040.0,1069.7,1035.0,1044.0,1047.9,162872.0,1709.28
