Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,60.2,61.0,59.8,60.6,60.45,115840.0,70.14
2010-01-05,60.6,61.55,60.15,60.5,60.55,183787.0,111.86
2010-01-06,60.6,62.5,60.2,61.0,61.0,162261.0,99.56
2010-01-07,61.4,61.7,60.6,60.85,61.05,68512.0,41.78
2010-01-08,61.1,61.9,60.25,60.9,60.9,108841.0,66.68
2010-01-11,62.0,65.0,61.3,63.7,63.5,664478.0,423.2
2010-01-12,63.0,65.45,62.1,62.15,62.45,355932.0,227.36
2010-01-13,61.8,63.7,61.2,62.45,62.55,155063.0,97.2
2010-01-14,62.8,64.5,62.5,62.95,62.7,169177.0,107.14
2010-01-15,63.4,65.0,62.55,63.35,63.35,442435.0,283.1
2010-01-18,63.0,66.9,63.0,65.2,65.3,1210220.0,794.72
2010-01-19,64.8,65.95,62.15,62.7,62.8,300477.0,193.59
2010-01-20,63.4,63.9,61.15,61.75,62.0,160474.0,100.61
2010-01-21,62.0,62.25,59.6,60.0,60.05,146363.0,89.13
2010-01-22,58.0,59.85,56.8,58.7,58.4,204542.0,118.71
2010-01-25,58.0,61.0,57.55,57.85,58.05,164723.0,97.28
2010-01-27,58.0,58.6,56.0,56.35,56.1,167296.0,95.41
2010-01-28,56.0,57.5,55.2,56.0,55.9,99522.0,56.08
2010-01-29,55.25,56.5,54.25,56.0,56.05,92065.0,50.92
2010-02-01,56.6,59.25,55.9,58.1,58.25,157917.0,90.99
2010-02-02,59.3,59.3,56.1,56.2,56.35,98971.0,57.27
2010-02-03,57.0,57.7,55.1,56.95,56.85,80466.0,45.72
2010-02-04,57.7,58.6,55.3,55.65,55.85,141569.0,80.86
2010-02-05,55.0,55.0,51.05,54.7,54.55,98938.0,53.74
2010-02-06,55.35,55.85,54.7,55.5,55.4,13897.0,7.68
2010-02-08,56.0,56.6,54.85,55.3,55.15,60011.0,33.38
2010-02-09,55.1,56.5,55.0,55.9,55.6,40688.0,22.71
2010-02-10,56.1,57.0,55.05,55.1,55.25,79904.0,44.7
2010-02-11,55.75,56.25,55.3,55.45,55.5,41238.0,23.01
2010-02-15,55.6,56.9,54.9,55.05,55.15,40189.0,22.29
2010-02-16,55.65,58.0,55.0,56.2,56.3,171730.0,97.0
2010-02-17,56.9,59.25,56.15,57.2,56.95,1174857.0,673.66
2010-02-18,57.35,61.2,56.3,60.35,60.15,1392547.0,803.08
2010-02-19,60.25,60.25,56.05,56.7,56.65,1545951.0,883.48
2010-02-22,58.2,58.2,56.0,56.3,56.2,551236.0,311.58
2010-02-23,56.5,56.5,55.0,55.0,55.1,84685.0,46.99
2010-02-24,54.95,55.8,54.2,54.4,54.45,91270.0,50.0
2010-02-25,54.85,56.35,54.75,54.85,54.9,72834.0,40.23
2010-02-26,55.6,56.2,54.5,56.0,55.85,93662.0,51.99
2010-03-02,57.0,57.0,56.05,56.65,56.55,79850.0,45.07
2010-03-03,57.0,58.2,56.55,57.05,57.25,99673.0,57.17
2010-03-04,57.6,58.0,56.9,57.65,57.65,85672.0,49.31
2010-03-05,57.7,58.8,57.7,58.0,58.1,81218.0,47.25
2010-03-08,58.7,58.7,57.0,57.4,57.35,56844.0,32.9
2010-03-09,57.0,57.6,56.35,57.3,56.85,54580.0,31.08
2010-03-10,58.7,60.2,57.3,58.25,58.25,325308.0,191.43
2010-03-11,59.0,59.45,57.1,57.1,57.45,90064.0,52.35
2010-03-12,57.5,57.95,56.5,56.85,56.8,64565.0,36.93
2010-03-15,57.0,57.6,55.8,56.1,56.05,74673.0,42.25
2010-03-16,56.55,58.3,56.55,57.85,57.7,218572.0,126.2
2010-03-17,58.2,58.5,56.5,56.9,56.7,129091.0,73.98
2010-03-18,57.3,60.5,57.3,60.3,60.05,466749.0,276.43
2010-03-19,61.0,63.7,60.5,61.4,61.2,1465195.0,917.54
2010-03-22,61.0,61.5,58.55,59.0,59.05,234638.0,141.53
2010-03-23,59.35,60.45,58.5,58.8,58.9,145521.0,86.74
2010-03-25,58.4,59.9,58.0,58.4,58.35,156748.0,92.44
2010-03-26,58.95,60.2,58.5,58.55,58.6,156847.0,92.78
2010-03-29,58.95,59.4,58.5,58.6,58.5,104522.0,61.33
2010-03-30,59.5,59.5,57.5,58.55,58.55,76803.0,45.14
2010-03-31,58.5,59.45,58.5,59.0,58.8,54289.0,31.9
2010-04-01,59.4,61.5,58.5,60.1,60.25,190788.0,115.21
2010-04-05,59.05,61.95,59.05,60.7,60.4,72263.0,43.9
2010-04-06,60.6,61.3,60.25,60.6,60.55,91550.0,55.55
2010-04-07,61.0,61.2,60.0,60.65,60.45,109645.0,66.26
2010-04-08,60.8,64.3,60.3,62.5,62.4,683821.0,429.73
2010-04-09,63.2,64.9,63.0,63.1,63.15,518479.0,331.33
2010-04-12,63.3,63.75,61.25,62.3,62.1,83713.0,52.23
2010-04-13,62.35,63.0,61.45,62.4,62.3,92034.0,57.27
2010-04-15,63.3,63.3,61.05,61.05,61.15,98149.0,60.78
