Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,47.5,49.0,46.6,49.0,49.0,12699.0,6.18
2010-01-05,50.0,51.0,48.15,48.6,48.55,9275.0,4.63
2010-01-06,47.3,50.95,47.25,50.95,50.75,11322.0,5.62
2010-01-07,51.9,53.3,51.7,53.05,53.05,17661.0,9.38
2010-01-08,53.95,57.8,53.95,54.0,54.55,33281.0,18.26
2010-01-11,56.9,58.95,55.1,58.5,58.3,52724.0,30.59
2010-01-12,58.3,59.35,55.2,56.35,55.8,16159.0,9.27
2010-01-13,57.9,57.9,54.1,56.0,56.35,12794.0,7.13
2010-01-14,56.5,58.5,56.0,57.0,56.9,18692.0,10.7
2010-01-15,56.9,58.1,56.6,57.2,57.35,24731.0,14.19
2010-01-18,60.0,62.2,59.15,60.7,60.55,55669.0,33.96
2010-01-19,61.45,64.5,60.05,62.0,61.75,111202.0,69.88
2010-01-20,63.0,64.8,61.2,62.85,62.6,61141.0,38.62
2010-01-21,64.35,64.35,57.0,60.0,58.05,35609.0,21.25
2010-01-22,58.0,58.0,55.15,55.15,55.15,5111.0,2.84
2010-01-25,55.0,56.0,52.4,53.25,53.1,2218.0,1.19
2010-01-27,51.2,53.0,50.45,51.0,50.95,3007.0,1.55
2010-01-28,49.0,52.9,49.0,49.5,49.5,7999.0,3.99
2010-01-29,47.7,51.9,47.7,51.9,51.65,7757.0,3.86
2010-02-01,51.55,54.25,51.55,52.9,52.9,11260.0,6.02
2010-02-02,54.8,55.5,54.1,54.5,54.5,4994.0,2.73
2010-02-03,55.8,57.2,52.0,54.85,54.85,8841.0,4.82
2010-02-04,52.35,54.75,52.15,52.15,52.15,3810.0,2.02
2010-02-05,51.45,51.45,49.6,49.75,49.8,2805.0,1.4
2010-02-06,47.5,50.2,47.5,50.2,50.2,183.0,0.09
2010-02-08,52.4,52.75,51.0,52.1,52.1,10649.0,5.61
2010-02-09,54.5,54.5,51.85,52.2,52.2,976.0,0.51
2010-02-10,51.5,53.4,51.05,51.05,51.05,999.0,0.51
