Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-20,37.5,43.2,36.0,43.2,43.2,95754.0,40.51
2016-09-21,44.5,51.5,42.0,46.2,48.0,199006.0,98.1
2016-09-22,46.0,48.5,45.0,45.0,45.45,60863.0,28.1
2016-09-23,45.05,46.75,42.5,44.5,44.7,25766.0,11.62
2016-09-26,43.65,53.6,43.65,53.1,53.5,290588.0,152.89
2016-09-27,53.25,53.45,48.15,48.15,48.2,154096.0,77.08
2016-09-28,48.0,49.85,46.0,46.05,46.1,44853.0,20.98
2016-09-29,46.05,46.95,41.5,41.75,42.6,46679.0,20.57
2016-09-30,41.75,46.75,39.65,45.1,45.7,66172.0,28.25
2016-10-03,45.5,48.8,43.65,45.75,46.05,29196.0,13.52
2016-10-04,46.5,47.0,45.5,46.5,46.05,33968.0,15.69
2016-10-05,46.0,50.5,46.0,49.8,50.2,59778.0,29.34
2016-10-06,50.7,51.9,50.0,50.4,50.3,51341.0,26.06
2016-10-07,50.5,54.1,50.0,53.0,52.1,55895.0,28.7
2016-10-10,53.0,56.5,53.0,55.0,55.0,51064.0,27.78
2016-10-13,55.6,60.0,55.0,59.95,58.85,77383.0,44.43
2016-10-14,60.15,61.75,60.0,61.6,61.15,66040.0,40.46
2016-10-17,62.0,64.2,60.6,64.0,64.15,102864.0,65.11
2016-10-18,64.5,66.95,62.0,66.1,66.4,97644.0,63.6
2016-10-19,66.5,69.0,65.5,68.5,68.7,104422.0,70.71
2016-10-20,68.7,70.5,68.5,69.5,69.65,60366.0,41.98
2016-10-21,71.4,72.6,68.75,71.65,72.05,74942.0,53.19
2016-10-24,73.9,74.5,71.6,71.7,72.0,149819.0,109.37
2016-10-25,72.5,74.4,68.6,70.0,70.7,188786.0,136.95
2016-10-26,71.0,72.65,69.0,69.0,69.55,58176.0,41.15
2016-10-27,70.4,70.4,67.5,67.5,67.95,80190.0,55.46
2016-10-28,67.0,68.0,64.6,64.6,64.6,33384.0,21.6
2016-10-30,61.4,61.4,61.4,61.4,61.4,990.0,0.61
2016-11-01,58.35,58.35,58.35,58.35,58.35,1369.0,0.8
2016-11-02,55.45,55.45,55.45,55.45,55.45,1725.0,0.96
2016-11-03,52.7,52.7,52.7,52.7,52.7,8256.0,4.35
2016-11-04,53.0,53.0,50.1,50.1,50.1,389.0,0.2
2016-11-07,48.0,51.0,47.4,47.4,48.05,104049.0,49.71
2016-11-08,45.75,50.45,45.75,50.45,50.45,27689.0,13.81
2016-11-09,47.95,47.95,47.95,47.95,47.95,740.0,0.35
2016-11-10,45.6,47.95,45.6,45.6,45.6,34167.0,15.7
2016-11-11,45.0,45.0,43.35,43.35,43.35,1712.0,0.74
2016-11-15,41.2,41.35,41.2,41.2,41.2,2773.0,1.14
2016-11-16,42.95,42.95,39.15,39.15,39.15,821.0,0.33
2016-11-17,37.2,37.25,37.2,37.2,37.2,29766.0,11.07
2016-11-18,35.35,38.0,35.35,36.35,35.7,68061.0,24.16
2016-11-21,34.25,36.9,34.25,35.5,35.1,7631.0,2.71
2016-11-22,36.4,36.4,35.1,36.35,36.35,1082.0,0.39
2016-11-23,37.9,37.95,36.0,37.3,37.25,7118.0,2.63
2016-11-24,38.3,38.3,36.3,36.8,36.8,6869.0,2.54
2016-11-25,36.75,38.6,36.75,38.6,38.6,3930.0,1.5
2016-11-28,39.0,40.5,39.0,40.5,40.5,4109.0,1.65
2016-11-29,42.0,42.5,41.0,42.15,42.35,11346.0,4.81
2016-11-30,43.6,44.45,42.0,44.45,43.75,9213.0,4.01
2016-12-01,45.9,45.9,44.15,45.9,45.3,7625.0,3.45
2016-12-02,44.0,45.0,43.75,43.75,44.15,5590.0,2.47
2016-12-05,45.0,46.35,44.35,46.35,46.3,9869.0,4.5
2016-12-06,46.1,48.6,46.1,48.6,48.6,6602.0,3.16
2016-12-07,49.0,50.9,48.55,49.65,49.15,6581.0,3.27
2016-12-08,50.0,51.0,49.5,49.55,49.95,5632.0,2.82
2016-12-09,51.5,51.5,49.5,49.5,49.5,8908.0,4.46
2016-12-12,50.5,50.5,48.5,48.5,48.5,7574.0,3.73
2016-12-13,50.5,50.75,46.5,47.5,47.1,18282.0,8.73
2016-12-14,49.0,49.0,47.5,47.5,47.5,13832.0,6.59
2016-12-15,48.0,49.85,47.55,49.85,49.85,13116.0,6.34
2016-12-16,49.75,52.3,49.5,51.95,51.9,19670.0,10.16
2016-12-19,52.3,52.75,51.0,51.5,51.5,12335.0,6.37
2016-12-20,51.55,52.35,48.95,49.5,48.95,16408.0,8.37
2016-12-21,49.5,49.5,48.75,48.75,48.85,20323.0,9.98
2016-12-22,49.0,49.0,47.0,47.4,47.2,22494.0,10.65
2016-12-23,47.5,48.5,47.0,48.0,48.05,20796.0,9.82
2016-12-26,47.0,48.95,47.0,48.0,48.05,9655.0,4.6
2016-12-27,48.0,50.45,47.0,50.4,49.1,13295.0,6.39
2016-12-28,50.0,51.45,49.4,51.0,51.05,14660.0,7.35
2016-12-29,51.7,52.0,51.0,52.0,52.0,20507.0,10.49
2016-12-30,52.0,53.0,51.5,53.0,52.95,13435.0,6.98
2017-01-02,54.0,54.0,52.0,52.9,52.95,20849.0,11.04
2017-01-03,53.05,54.0,53.05,53.25,53.25,13428.0,7.15
2017-01-04,53.05,54.0,53.05,53.25,53.15,10540.0,5.63
2017-01-05,53.05,54.5,53.05,53.8,53.8,15313.0,8.16
2017-01-06,54.05,56.45,54.05,56.45,56.0,18995.0,10.41
2017-01-09,58.8,58.8,54.25,55.3,56.85,22744.0,13.05
2017-01-10,57.0,57.95,56.0,56.25,56.25,18929.0,10.64
2017-01-11,56.85,58.5,54.2,55.4,55.45,17781.0,10.08
2017-01-12,56.2,57.8,56.2,57.2,57.35,14608.0,8.37
2017-01-13,59.85,59.95,57.0,58.0,58.5,19995.0,11.7
2017-01-16,59.0,61.35,59.0,59.1,59.2,10734.0,6.37
2017-01-17,62.1,62.1,59.2,60.5,59.85,22413.0,13.48
2017-01-18,62.0,62.8,59.0,62.8,62.35,18023.0,10.88
2017-01-19,62.5,62.5,59.3,60.1,60.25,23164.0,13.92
2017-01-20,60.25,62.25,58.7,62.2,62.0,18633.0,11.27
2017-01-23,63.5,63.5,60.85,61.95,61.05,26450.0,16.14
2017-01-24,61.1,64.0,60.9,61.0,62.05,27254.0,16.7
2017-01-25,64.95,64.95,61.75,61.75,62.35,24969.0,15.57
2017-01-27,62.65,62.65,59.55,60.85,61.15,25537.0,15.65
2017-01-30,63.95,63.95,60.6,63.0,62.85,27081.0,16.84
2017-01-31,65.25,65.25,61.4,62.75,62.6,32808.0,20.33
2017-02-01,60.6,62.1,59.5,61.45,61.2,37718.0,23.05
2017-02-02,61.45,61.7,58.2,60.9,61.1,38153.0,23.26
2017-02-03,58.25,61.55,58.25,61.2,61.25,30465.0,18.67
2017-02-06,62.9,63.0,61.2,62.5,62.45,35296.0,21.99
2017-02-07,62.5,67.85,62.0,65.0,66.0,36742.0,23.42
2017-02-08,69.95,69.95,60.1,65.35,65.45,38176.0,24.88
