Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,19.4,21.65,19.3,21.55,21.05,2601474.0,535.31
2010-01-05,21.65,22.3,21.2,21.4,21.35,2498083.0,542.81
2010-01-06,21.5,21.8,20.8,21.2,21.3,1525931.0,326.04
2010-01-07,21.35,21.75,20.8,21.05,21.0,1398836.0,296.93
2010-01-08,21.15,21.55,21.0,21.2,21.05,736243.0,156.16
2010-01-11,21.3,23.0,21.1,21.5,21.5,930514.0,200.59
2010-01-12,21.9,22.15,21.0,21.2,21.1,1364594.0,294.49
2010-01-13,21.1,21.45,20.75,21.1,21.15,929565.0,196.08
2010-01-14,21.45,21.8,21.05,21.35,21.3,890152.0,191.63
2010-01-15,21.55,21.75,21.05,21.3,21.3,1251137.0,267.92
2010-01-18,21.3,22.05,21.15,21.6,21.7,1788527.0,388.4
2010-01-19,21.6,23.75,21.6,23.0,22.95,8066203.0,1850.55
2010-01-20,23.5,24.15,22.55,22.7,22.65,4623523.0,1080.01
2010-01-21,22.6,23.35,21.8,21.85,22.1,3282241.0,737.24
2010-01-22,21.4,21.5,20.4,20.9,21.15,2350453.0,492.83
2010-01-25,20.9,21.35,20.5,20.65,20.8,1084400.0,227.87
2010-01-27,20.45,20.85,18.5,18.8,18.9,1231124.0,243.25
2010-01-28,19.3,19.4,18.75,19.3,19.15,881044.0,168.06
2010-01-29,18.95,20.35,18.35,20.3,20.0,1323423.0,255.52
2010-02-01,19.9,20.6,19.7,20.3,20.25,935047.0,189.71
2010-02-02,20.45,20.95,19.85,19.85,20.05,1229672.0,252.47
2010-02-03,20.3,20.65,19.85,19.85,19.95,948155.0,191.98
2010-02-04,20.3,20.4,19.4,19.7,19.6,682093.0,136.73
2010-02-05,19.1,19.2,18.4,18.75,18.65,772771.0,145.08
2010-02-06,18.8,19.35,18.75,19.25,19.2,145152.0,27.76
2010-02-08,19.2,20.25,18.65,19.8,19.85,1275566.0,248.26
2010-02-09,20.05,20.2,19.4,19.6,19.7,954513.0,189.53
2010-02-10,19.9,20.0,19.0,19.2,19.1,591988.0,115.82
2010-02-11,19.35,19.55,19.15,19.4,19.35,456597.0,88.46
2010-02-15,19.5,19.5,19.05,19.2,19.1,323701.0,62.15
2010-02-16,19.35,19.35,19.0,19.15,19.2,408068.0,78.1
2010-02-17,19.4,19.8,19.15,19.2,19.25,456075.0,88.6
2010-02-18,19.4,20.15,19.0,20.1,19.75,624967.0,122.4
2010-02-19,20.9,20.9,19.05,19.05,19.2,1218581.0,238.9
2010-02-22,19.4,19.6,18.5,18.75,18.75,485173.0,91.92
2010-02-23,18.5,18.65,17.95,18.0,18.1,432039.0,79.11
2010-02-24,17.8,18.35,17.7,18.0,17.95,438278.0,79.12
2010-02-25,18.15,18.35,17.85,17.95,17.9,495507.0,89.49
2010-02-26,17.95,18.55,17.9,18.05,18.1,597011.0,108.77
2010-03-02,18.4,18.5,17.75,18.1,18.15,659556.0,119.56
2010-03-03,18.4,18.6,18.2,18.4,18.35,408391.0,75.11
2010-03-04,18.5,18.8,18.2,18.5,18.55,479900.0,88.83
2010-03-05,18.5,18.75,18.3,18.4,18.35,417772.0,77.41
2010-03-08,18.8,18.8,18.25,18.25,18.25,304846.0,56.46
2010-03-09,18.6,18.6,18.0,18.0,18.0,291721.0,52.97
2010-03-10,18.4,18.4,17.3,17.3,17.5,422112.0,75.05
2010-03-11,17.6,17.65,17.35,17.65,17.55,351919.0,61.55
2010-03-12,17.8,17.9,17.15,17.3,17.3,354933.0,62.17
2010-03-15,17.5,17.5,17.0,17.1,17.0,561875.0,96.1
2010-03-16,17.35,17.35,16.6,16.9,16.9,799890.0,135.02
2010-03-17,17.3,17.3,16.75,16.75,16.85,468218.0,79.69
2010-03-18,16.9,17.15,16.8,16.95,16.95,311019.0,52.78
2010-03-19,17.0,17.25,16.8,16.95,16.95,527571.0,89.69
2010-03-22,17.0,17.0,16.55,16.55,16.6,209419.0,35.12
2010-03-23,16.85,17.05,16.55,16.65,16.6,381065.0,63.83
2010-03-25,16.6,16.8,16.35,16.5,16.55,351621.0,58.23
2010-03-26,16.5,16.75,16.4,16.65,16.65,339797.0,56.34
2010-03-29,16.45,16.75,16.05,16.2,16.3,486254.0,79.4
2010-03-30,16.5,16.95,16.1,16.7,16.65,456117.0,75.95
2010-03-31,16.75,16.8,16.2,16.25,16.3,222883.0,36.76
2010-04-01,16.5,18.35,16.45,17.65,17.7,1118918.0,196.45
2010-04-05,17.9,18.75,17.3,18.35,18.35,823892.0,149.23
2010-04-06,18.5,18.65,17.9,18.6,18.4,587996.0,107.45
2010-04-07,18.4,19.35,18.35,18.65,18.75,840956.0,159.15
2010-04-08,18.9,19.2,18.4,18.65,18.5,633453.0,119.68
2010-04-09,18.7,19.0,18.55,18.7,18.65,302597.0,56.79
2010-04-12,18.85,18.85,18.35,18.6,18.65,273485.0,50.79
2010-04-13,18.55,19.1,18.55,18.6,18.65,432687.0,81.35
2010-04-15,18.65,19.25,18.4,18.6,18.65,478644.0,89.73
2010-04-16,18.5,18.85,18.15,18.5,18.55,272603.0,50.34
2010-04-19,18.4,18.45,18.0,18.0,18.1,196986.0,35.81
2010-04-20,18.3,18.8,18.1,18.3,18.4,249225.0,46.02
2010-04-21,18.4,18.7,18.1,18.15,18.25,166058.0,30.61
