Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-11-22,33.15,35.0,32.2,33.85,33.85,7452.0,2.49
2016-11-23,33.3,35.0,33.3,34.9,34.5,1587.0,0.55
2016-11-24,35.2,35.2,33.4,34.4,33.75,64463.0,21.72
2016-11-25,33.75,35.4,33.75,35.4,35.4,635.0,0.22
2016-11-28,37.0,37.15,36.8,37.15,37.15,1926.0,0.71
2016-11-29,38.05,39.0,38.05,39.0,39.0,3826.0,1.49
2016-11-30,40.95,40.95,38.6,39.0,39.0,5586.0,2.22
2016-12-01,40.9,40.95,40.1,40.95,40.95,46166.0,18.76
2016-12-02,40.95,42.65,40.6,42.0,41.55,16922.0,7.02
2016-12-05,42.0,43.6,40.55,42.0,42.05,39511.0,16.92
2016-12-06,42.3,43.0,41.5,42.15,42.4,2484.0,1.05
2016-12-07,42.4,42.5,42.0,42.0,42.0,5042.0,2.12
2016-12-08,43.0,43.0,41.0,41.2,41.25,9358.0,3.92
2016-12-09,40.1,43.0,40.1,41.4,41.25,17146.0,7.26
2016-12-12,41.95,42.0,40.65,41.75,41.4,4752.0,1.98
2016-12-13,39.4,43.25,39.4,41.5,41.6,9755.0,4.04
2016-12-14,41.1,42.5,40.5,41.9,41.7,5402.0,2.24
2016-12-15,40.1,41.85,40.1,41.0,40.9,3381.0,1.4
2016-12-16,40.15,41.9,40.15,41.4,41.3,4497.0,1.86
2016-12-19,41.85,42.0,40.3,40.35,40.5,2761.0,1.14
2016-12-20,42.0,42.0,39.05,39.05,39.2,5241.0,2.08
2016-12-21,39.0,40.0,39.0,39.4,39.45,2059.0,0.81
2016-12-22,38.0,39.9,37.55,38.0,38.0,10166.0,3.86
2016-12-23,38.0,38.95,38.0,38.05,38.15,1834.0,0.71
2016-12-26,39.35,39.35,36.75,38.65,38.15,1063.0,0.4
2016-12-27,39.0,39.0,37.0,39.0,38.9,1236.0,0.48
2016-12-28,37.1,40.0,37.1,38.75,38.1,5061.0,1.97
2016-12-29,38.0,39.0,38.0,38.4,38.4,637.0,0.25
2016-12-30,38.1,39.8,38.0,38.35,38.35,4715.0,1.82
2017-01-02,37.75,38.9,37.75,38.65,38.65,1908.0,0.74
2017-01-03,39.45,40.5,39.0,40.5,40.5,5243.0,2.1
2017-01-04,40.45,41.6,39.25,40.45,40.05,10694.0,4.33
2017-01-05,39.5,40.2,38.5,39.9,39.65,5702.0,2.24
2017-01-06,39.9,40.85,39.0,39.35,39.35,6331.0,2.52
2017-01-09,39.35,39.9,38.0,39.4,39.0,8157.0,3.18
2017-01-10,38.6,39.5,38.6,38.8,38.8,2815.0,1.1
2017-01-11,39.5,40.35,38.75,40.05,40.05,9116.0,3.61
2017-01-12,41.25,41.25,40.0,40.55,40.15,19539.0,7.93
2017-01-13,41.0,41.0,39.5,39.75,39.75,3853.0,1.55
2017-01-16,39.25,41.7,39.25,41.7,41.65,79348.0,32.7
