Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,406.6,416.5,403.0,414.0,411.55,123642.0,507.31
2010-01-05,418.8,427.4,411.0,422.0,423.05,361019.0,1522.83
2010-01-06,423.0,427.2,413.5,415.0,414.2,135964.0,570.21
2010-01-07,416.0,497.05,416.0,497.05,492.25,4730234.0,22421.28
2010-01-08,440.0,539.0,440.0,508.0,511.7,8489824.0,44007.89
2010-01-11,514.7,529.7,496.3,515.0,512.3,2233947.0,11490.88
2010-01-12,514.0,522.8,502.0,503.25,506.55,999221.0,5128.0
2010-01-13,502.8,505.0,488.8,490.05,495.1,760275.0,3769.98
2010-01-14,496.4,536.0,491.1,535.5,525.4,1574723.0,8119.44
2010-01-15,531.0,592.0,531.0,575.95,581.25,3757196.0,21180.83
2010-01-18,574.4,593.0,566.3,571.0,573.7,1887386.0,10940.42
2010-01-19,570.0,606.7,570.0,575.15,576.55,2000722.0,11852.53
2010-01-20,602.0,673.0,554.2,566.5,562.0,930441.0,5356.53
2010-01-21,572.4,615.9,570.0,582.0,579.2,4092337.0,24400.51
2010-01-22,566.25,581.0,541.15,559.9,559.85,1817244.0,10269.67
2010-01-25,556.8,574.8,544.05,546.0,550.95,771840.0,4338.72
2010-01-27,539.9,555.0,497.5,517.2,515.75,1184157.0,6193.77
2010-01-28,530.0,544.8,516.9,534.0,529.5,857146.0,4507.31
2010-01-29,520.0,553.0,505.25,541.9,541.95,1422032.0,7551.24
2010-02-01,541.4,555.0,531.7,545.5,546.45,867950.0,4730.25
2010-02-02,554.4,567.4,535.1,540.0,540.45,804015.0,4458.99
2010-02-03,545.0,558.8,536.1,545.0,545.05,820931.0,4489.99
2010-02-04,550.0,564.8,539.5,544.15,543.55,1099511.0,6082.57
2010-02-05,531.05,531.05,498.0,499.3,502.0,659225.0,3364.13
2010-02-06,509.0,524.0,505.1,524.0,519.75,313569.0,1622.22
2010-02-08,521.0,527.3,503.1,519.2,518.8,1032047.0,5349.76
2010-02-09,517.45,535.9,517.45,527.85,528.55,859723.0,4553.44
2010-02-10,535.45,542.0,514.0,521.0,519.8,669980.0,3560.23
2010-02-11,526.0,533.4,510.0,516.0,514.0,603584.0,3143.87
2010-02-15,519.0,521.0,505.55,510.35,512.3,557837.0,2869.48
2010-02-16,516.3,539.45,508.0,537.0,530.75,989987.0,5193.59
2010-02-17,538.4,543.7,526.2,528.65,530.55,794822.0,4261.64
2010-02-18,532.8,562.0,525.0,550.1,556.45,2422692.0,13322.33
2010-02-19,552.4,559.0,535.0,537.0,538.25,957489.0,5235.6
2010-02-22,549.85,553.0,523.25,527.0,527.85,536240.0,2884.32
2010-02-23,526.0,542.5,522.0,526.8,528.55,714397.0,3802.49
2010-02-24,506.7,531.9,506.7,514.05,514.3,406899.0,2120.67
2010-02-25,522.0,529.8,514.5,518.35,517.6,421090.0,2191.3
2010-02-26,516.0,539.0,512.7,527.0,524.3,761438.0,3994.18
2010-03-02,528.0,534.8,521.0,529.0,529.1,397473.0,2100.97
2010-03-03,534.5,547.4,528.05,543.35,543.8,635782.0,3441.77
2010-03-04,544.0,548.0,536.55,542.0,542.1,363333.0,1972.77
2010-03-05,545.0,553.0,540.1,545.5,543.45,513582.0,2811.23
2010-03-08,547.3,584.45,544.15,578.65,579.05,2324211.0,13318.61
2010-03-09,582.0,591.85,567.75,574.25,573.25,1230770.0,7173.19
2010-03-10,575.0,577.7,563.0,565.85,566.6,458976.0,2614.78
2010-03-11,563.0,581.8,563.0,572.0,570.15,817379.0,4696.48
2010-03-12,573.0,574.7,552.0,552.5,555.7,331199.0,1869.35
2010-03-15,555.0,555.9,532.0,532.2,536.0,358145.0,1939.56
2010-03-16,540.55,558.0,538.25,557.8,552.45,453642.0,2485.2
2010-03-17,554.0,565.2,551.25,556.0,555.3,494382.0,2766.09
2010-03-18,557.9,584.0,547.1,573.15,570.4,1435193.0,8189.4
