Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,190.0,195.4,190.0,194.95,194.3,536649.0,1035.92
2010-01-05,196.5,198.95,193.4,196.25,196.05,224118.0,438.51
2010-01-06,198.2,198.65,194.1,196.05,196.25,110917.0,217.76
2010-01-07,196.5,209.8,195.45,208.2,208.1,1207425.0,2478.48
2010-01-08,210.0,211.95,202.15,203.4,203.25,972545.0,2025.24
2010-01-11,204.0,206.25,201.25,202.15,202.4,278257.0,566.88
2010-01-12,203.5,206.2,195.05,197.0,196.3,342354.0,689.46
2010-01-13,194.7,205.9,192.05,204.65,204.8,608808.0,1225.59
2010-01-14,205.3,216.0,203.1,215.2,213.65,1098286.0,2309.47
2010-01-15,215.5,218.65,213.75,216.0,215.55,734803.0,1589.95
2010-01-18,215.0,220.95,213.5,216.1,216.6,509778.0,1112.48
2010-01-19,214.9,219.9,213.0,216.5,215.3,368403.0,800.23
2010-01-20,212.0,219.8,207.65,216.15,217.55,217094.0,472.23
2010-01-21,215.0,223.85,208.5,209.1,212.3,1006881.0,2213.52
2010-01-22,208.0,216.4,196.2,213.35,214.9,782343.0,1632.94
2010-01-25,210.0,218.0,203.5,204.0,206.4,275204.0,580.83
2010-01-27,200.0,210.0,199.0,201.05,202.9,448444.0,915.84
2010-01-28,203.8,212.0,203.25,208.0,206.8,597690.0,1241.29
2010-01-29,205.5,206.9,197.25,206.0,204.4,381661.0,774.26
2010-02-01,206.9,210.5,202.1,206.0,207.1,402234.0,832.92
2010-02-02,207.4,208.9,197.0,197.0,198.65,343343.0,700.11
2010-02-03,199.7,205.35,199.7,204.85,203.55,187619.0,380.57
2010-02-04,205.0,208.45,198.15,198.4,200.3,321775.0,658.94
2010-02-05,198.0,203.25,194.0,201.95,200.6,216386.0,428.82
2010-02-06,204.0,206.7,203.15,205.95,205.7,44408.0,91.11
2010-02-08,207.0,212.9,204.0,210.0,208.65,360576.0,751.96
2010-02-09,210.9,216.7,207.35,214.85,215.05,440652.0,939.58
2010-02-10,216.1,221.4,213.7,214.75,215.2,548319.0,1198.04
2010-02-11,216.25,219.5,215.9,217.7,217.15,143823.0,313.21
2010-02-15,218.0,218.4,210.2,212.4,211.85,85193.0,181.88
2010-02-16,205.0,212.95,205.0,212.0,211.85,544957.0,1145.09
2010-02-17,213.9,214.0,208.5,211.5,211.3,81637.0,172.61
2010-02-18,211.9,216.9,210.0,211.0,211.6,144648.0,308.89
2010-02-19,210.7,210.7,205.8,206.6,207.35,60490.0,125.84
2010-02-22,208.5,211.5,200.55,205.8,204.8,165877.0,340.41
2010-02-23,203.5,207.5,202.0,203.25,203.9,54056.0,110.66
2010-02-24,203.0,204.5,200.5,203.6,202.5,71311.0,144.25
2010-02-25,203.0,204.85,198.5,201.0,201.15,472568.0,950.6
2010-02-26,201.1,211.0,200.0,206.8,207.55,122324.0,252.67
2010-03-02,207.55,211.1,205.15,210.5,209.4,74121.0,153.58
2010-03-03,210.0,213.8,209.1,212.4,212.5,232096.0,492.05
2010-03-04,212.1,214.0,207.45,210.1,210.5,132796.0,279.58
2010-03-05,210.6,212.85,207.0,209.25,209.65,215980.0,454.24
2010-03-08,211.15,217.3,210.3,213.1,213.35,603917.0,1298.1
2010-03-09,215.0,216.9,208.35,209.0,209.6,318186.0,678.38
2010-03-10,210.0,217.8,209.95,217.05,216.4,554196.0,1192.92
2010-03-11,219.0,225.0,217.0,223.9,222.7,1047597.0,2326.36
2010-03-12,225.0,229.0,223.1,224.4,224.25,669935.0,1512.78
2010-03-15,225.0,225.8,217.05,218.3,217.95,338605.0,745.31
2010-03-16,218.0,222.5,217.6,219.5,220.0,166338.0,366.6
2010-03-17,221.9,223.7,216.5,219.2,218.85,269356.0,591.61
2010-03-18,218.7,225.8,217.0,220.0,221.05,962994.0,2148.72
2010-03-19,222.5,227.1,220.55,221.0,221.65,723651.0,1622.08
2010-03-22,218.0,225.0,218.0,219.55,220.4,344636.0,764.06
2010-03-23,221.0,223.0,217.6,218.05,218.5,203764.0,448.69
2010-03-25,219.55,219.75,213.5,216.9,215.05,452307.0,974.4
2010-03-26,216.95,220.5,215.55,216.4,216.7,147337.0,320.97
2010-03-29,216.6,218.5,215.0,216.95,216.95,124934.0,271.0
2010-03-30,219.45,219.45,213.55,217.1,216.15,103577.0,224.37
2010-03-31,215.75,218.55,211.05,217.1,216.3,336987.0,722.53
2010-04-01,219.1,219.45,213.6,214.9,214.3,119764.0,258.21
2010-04-05,216.65,221.1,214.7,219.75,219.65,175180.0,383.27
2010-04-06,219.0,221.95,216.65,217.0,217.25,165422.0,362.39
2010-04-07,218.7,220.4,214.1,215.1,215.8,273677.0,594.59
2010-04-08,220.0,225.0,211.7,212.25,212.8,206900.0,444.34
2010-04-09,214.0,215.65,212.3,213.75,213.6,98714.0,211.24
2010-04-12,217.9,219.85,213.05,219.85,218.6,218786.0,475.59
2010-04-13,219.0,222.0,214.4,214.7,215.35,529705.0,1157.52
2010-04-15,217.5,217.9,210.0,212.0,211.65,170453.0,364.89
2010-04-16,211.05,213.0,208.9,210.0,210.05,120251.0,253.2
2010-04-19,208.4,209.45,203.15,205.8,204.9,612141.0,1259.5
2010-04-20,206.0,212.0,200.25,212.0,209.8,243316.0,504.49
2010-04-21,210.2,217.4,210.2,214.7,214.55,464683.0,997.55
2010-04-22,214.2,219.0,213.95,215.0,216.6,477419.0,1037.28
2010-04-23,217.5,222.0,214.1,214.4,214.9,105608.0,228.36
2010-04-26,217.0,218.7,213.0,213.35,213.8,161983.0,349.47
2010-04-27,213.65,219.9,213.65,219.1,218.85,386167.0,841.13
