Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,158.1,158.1,154.35,156.0,156.0,55838.0,87.11
2010-01-05,156.1,164.0,156.1,162.95,161.6,25120.0,40.71
2010-01-06,159.0,172.05,159.0,170.0,169.65,84928.0,142.25
2010-01-07,172.0,178.55,165.1,166.15,168.05,390969.0,681.88
2010-01-08,168.5,182.4,165.0,176.35,176.0,319002.0,566.35
2010-01-11,179.0,181.8,174.0,175.0,174.8,130807.0,233.48
2010-01-12,173.55,179.0,169.1,170.7,171.0,49229.0,86.11
2010-01-13,163.0,173.8,163.0,172.9,171.6,67561.0,115.5
2010-01-14,171.0,177.8,171.0,172.85,172.1,57784.0,100.9
2010-01-15,171.15,178.0,171.15,172.3,172.9,58355.0,102.36
2010-01-18,171.0,183.1,171.0,178.85,178.95,93377.0,166.85
2010-01-19,179.5,188.3,177.15,179.0,179.8,287659.0,527.1
2010-01-20,180.2,188.0,180.05,186.0,185.85,173997.0,320.54
2010-01-21,183.25,195.0,183.25,193.0,190.7,224796.0,425.47
2010-01-22,189.5,198.0,182.0,188.0,187.95,163793.0,310.09
2010-01-25,185.5,204.65,185.5,193.75,194.3,242247.0,475.07
2010-01-27,186.1,195.8,186.1,186.4,189.45,105548.0,200.55
2010-01-28,186.4,190.75,180.25,187.9,188.2,66416.0,123.59
2010-01-29,181.95,189.5,181.95,185.25,187.55,30141.0,56.03
2010-02-01,186.1,200.8,186.0,191.4,188.35,323358.0,633.12
2010-02-02,190.9,194.4,182.1,183.35,184.1,65562.0,123.55
2010-02-03,185.05,188.5,181.0,182.6,181.9,32202.0,59.07
2010-02-04,181.0,191.0,181.0,183.0,183.25,78241.0,145.75
2010-02-05,180.2,182.6,176.0,177.5,177.55,27943.0,49.77
2010-02-06,176.05,183.0,176.05,180.1,181.2,6167.0,11.13
2010-02-08,176.0,184.4,175.05,179.2,180.05,21386.0,38.38
2010-02-09,171.95,186.0,171.95,179.25,178.8,50371.0,89.92
2010-02-10,179.1,188.0,179.1,182.8,182.3,31913.0,58.86
2010-02-11,180.1,185.8,180.0,181.0,181.05,15281.0,27.72
2010-02-15,180.0,189.4,179.05,187.9,187.75,414910.0,761.61
2010-02-16,188.15,193.6,183.0,185.45,185.55,39540.0,74.51
2010-02-17,185.0,190.65,185.0,185.25,186.05,49447.0,92.63
2010-02-18,185.0,187.0,182.0,184.55,184.25,11329.0,20.88
2010-02-19,184.25,184.9,180.0,180.0,180.55,5564.0,10.09
2010-02-22,181.5,184.1,178.0,180.0,180.05,5987.0,10.82
2010-02-23,176.6,182.95,176.6,180.0,180.0,15512.0,27.89
2010-02-24,177.0,183.0,177.0,180.0,180.35,7992.0,14.43
2010-02-25,178.0,179.1,174.9,175.25,175.6,7196.0,12.7
2010-02-26,175.0,179.0,174.0,178.9,178.25,5304.0,9.37
2010-03-02,178.05,182.8,175.0,179.0,179.65,5963.0,10.73
2010-03-03,179.65,184.5,178.0,178.5,179.2,4324.0,7.75
2010-03-04,181.0,187.0,177.0,184.8,185.05,34199.0,63.14
2010-03-05,184.0,185.9,182.15,183.05,183.65,6475.0,11.92
2010-03-08,186.0,187.9,182.0,183.3,183.45,13325.0,24.42
2010-03-09,182.15,196.8,180.55,181.2,182.2,475833.0,910.21
2010-03-10,183.0,186.0,178.25,180.0,180.2,34677.0,63.49
2010-03-11,182.0,184.0,178.25,180.0,179.2,12419.0,22.54
2010-03-12,180.5,184.45,177.0,177.0,177.5,14974.0,26.72
2010-03-15,177.5,178.5,172.0,173.7,172.9,18321.0,31.97
2010-03-16,172.5,181.9,172.5,178.45,176.95,51612.0,92.38
2010-03-17,178.5,180.0,173.0,173.0,173.8,14401.0,25.44
2010-03-18,172.1,178.8,170.15,177.0,177.55,66659.0,116.32
2010-03-19,176.05,177.55,170.55,170.55,172.3,35572.0,61.94
2010-03-22,169.0,175.0,168.1,170.5,170.6,10043.0,17.28
2010-03-23,165.0,173.0,165.0,170.5,170.65,45462.0,77.6
2010-03-25,170.65,172.0,170.15,170.5,170.65,22568.0,38.52
2010-03-26,169.65,172.5,168.6,170.95,170.6,37611.0,64.21
2010-03-29,170.0,172.5,168.6,170.75,170.6,41482.0,70.72
2010-03-30,169.0,171.65,169.0,170.6,170.85,12569.0,21.45
2010-03-31,169.3,177.9,168.5,168.65,169.8,27628.0,47.9
2010-04-01,169.9,173.0,169.0,171.1,171.55,17965.0,30.76
2010-04-05,170.35,178.9,170.35,177.0,177.1,22560.0,39.75
2010-04-06,177.1,179.0,173.7,176.25,175.95,22115.0,39.02
2010-04-07,174.15,183.5,174.15,180.0,179.05,37038.0,66.63
2010-04-08,175.1,192.25,175.1,184.6,185.8,371706.0,699.33
2010-04-09,188.8,188.8,184.35,186.4,186.15,43765.0,81.67
2010-04-12,180.0,189.45,180.0,185.1,185.15,26985.0,50.28
2010-04-13,178.95,187.0,178.95,185.0,185.0,27952.0,51.73
2010-04-15,185.05,188.3,185.0,186.0,185.6,20228.0,37.56
2010-04-16,180.2,188.0,180.2,186.0,186.6,36629.0,68.08
2010-04-19,175.05,184.75,174.5,180.25,181.1,16370.0,29.76
2010-04-20,184.6,185.0,175.15,181.0,180.15,18553.0,33.73
2010-04-21,177.2,190.1,177.2,185.4,186.25,31323.0,58.32
2010-04-22,182.3,190.0,182.3,184.0,184.8,16132.0,29.93
2010-04-23,180.1,187.3,180.1,186.0,185.25,12039.0,22.35
2010-04-26,181.0,197.0,181.0,193.25,192.9,109655.0,211.25
2010-04-27,195.0,197.0,191.0,191.4,191.75,26157.0,50.5
2010-04-28,185.05,192.0,185.05,187.5,187.55,7460.0,14.01
2010-04-29,182.5,195.0,182.5,192.0,191.8,26063.0,50.04
2010-04-30,192.5,195.0,189.9,191.1,191.4,25152.0,48.37
2010-05-03,186.1,194.2,186.1,192.7,192.35,11282.0,21.72
2010-05-04,193.8,193.8,189.0,192.0,190.3,39662.0,75.72
2010-05-05,185.1,193.7,185.1,191.0,190.45,48061.0,91.34
