Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,191.15,198.95,190.0,190.0,192.05,3782.0,7.32
2010-01-05,193.0,195.5,190.0,190.0,190.6,3200.0,6.18
2010-01-06,188.1,209.7,188.1,209.7,209.7,62903.0,129.14
2010-01-07,216.0,219.4,210.0,215.0,215.2,32862.0,70.67
2010-01-08,181.0,234.95,181.0,212.45,216.45,179713.0,405.41
2010-01-11,212.25,225.0,212.25,214.15,215.75,31194.0,68.43
2010-01-12,215.5,219.0,205.3,206.55,207.7,13113.0,27.82
2010-01-13,208.0,214.0,203.0,209.0,209.85,16189.0,33.72
2010-01-14,211.05,216.5,211.0,212.0,212.2,9348.0,19.97
2010-01-15,215.9,216.0,206.0,208.0,208.05,13194.0,27.88
2010-01-18,208.05,232.0,200.2,218.7,219.7,66202.0,146.29
2010-01-19,218.0,224.4,213.0,216.0,216.5,18874.0,41.48
2010-01-20,214.0,219.7,209.15,212.0,210.6,12170.0,26.0
2010-01-21,212.8,212.8,206.0,207.4,208.75,13383.0,27.94
2010-01-22,194.1,216.0,194.05,214.5,212.75,28340.0,58.56
2010-01-25,208.0,232.0,208.0,227.0,228.0,85270.0,192.77
2010-01-27,230.3,238.5,210.5,211.1,212.7,77544.0,178.06
2010-01-28,215.7,230.9,215.7,223.85,224.75,66524.0,149.61
2010-01-29,224.95,228.8,216.0,225.0,224.7,11581.0,25.65
2010-02-01,231.95,234.4,222.2,225.0,224.0,27887.0,63.39
2010-02-02,223.0,237.0,223.0,227.0,226.15,26769.0,61.91
2010-02-03,229.7,231.95,227.55,228.1,228.35,7894.0,18.08
2010-02-04,226.0,258.0,226.0,238.0,238.05,252100.0,619.69
2010-02-05,230.0,245.0,223.0,233.3,234.9,80587.0,192.39
2010-02-06,232.0,251.0,232.0,251.0,243.65,39446.0,95.99
2010-02-08,250.0,252.6,237.25,246.0,247.9,51268.0,126.83
2010-02-09,245.6,250.0,237.25,238.2,241.0,21113.0,51.29
2010-02-10,238.85,249.0,238.85,240.1,240.85,29286.0,71.61
2010-02-11,240.5,244.05,225.25,229.0,229.25,19627.0,45.72
2010-02-15,233.75,233.9,226.05,231.0,229.35,7572.0,17.52
2010-02-16,230.0,247.0,224.35,241.0,240.35,25566.0,61.47
2010-02-17,244.8,244.8,235.0,236.5,239.0,10093.0,24.21
2010-02-18,239.0,240.55,232.15,233.0,233.35,10383.0,24.42
2010-02-19,232.5,245.0,228.0,238.0,237.75,21568.0,51.7
2010-02-22,237.45,241.0,231.15,231.15,234.2,4300.0,10.15
2010-02-23,232.0,234.7,226.0,226.0,226.7,9500.0,21.76
2010-02-24,225.0,229.0,225.0,227.0,226.95,11474.0,25.98
2010-02-25,234.9,240.0,221.0,223.15,224.55,19191.0,44.59
2010-02-26,226.05,229.0,225.3,226.0,226.85,4525.0,10.26
2010-03-02,227.3,231.95,216.65,221.0,220.55,15631.0,34.63
2010-03-03,224.45,225.85,219.75,222.9,222.1,14712.0,32.55
2010-03-04,223.0,233.0,220.0,230.25,231.05,8286.0,18.92
2010-03-05,229.0,235.0,222.05,225.0,225.15,12247.0,27.79
2010-03-08,225.0,229.8,223.8,223.8,224.7,4320.0,9.77
2010-03-09,224.2,238.0,222.25,232.05,232.55,19283.0,44.63
2010-03-10,238.0,238.0,230.0,234.0,234.1,15148.0,35.59
2010-03-11,234.95,245.0,229.1,242.5,240.65,205470.0,493.74
2010-03-12,242.5,244.95,239.05,242.6,240.95,12072.0,29.19
2010-03-15,244.9,244.9,233.5,236.65,238.25,3536.0,8.39
2010-03-16,237.0,239.5,235.05,236.35,237.15,1791.0,4.25
2010-03-17,234.5,238.95,234.5,235.05,235.55,5961.0,14.05
2010-03-18,233.5,236.0,227.95,230.2,230.95,17128.0,39.68
2010-03-19,230.1,249.0,229.5,244.0,242.6,28788.0,69.49
2010-03-22,235.65,240.0,233.0,235.0,235.5,4943.0,11.74
2010-03-23,239.95,244.0,235.0,240.0,238.25,4813.0,11.49
2010-03-25,238.9,242.0,233.2,235.0,234.85,11151.0,26.34
2010-03-26,235.0,237.0,229.1,232.5,231.45,19203.0,44.7
2010-03-29,229.6,232.45,225.15,225.55,225.6,3992.0,9.06
2010-03-30,226.7,233.9,226.5,232.9,231.7,4954.0,11.45
2010-03-31,230.05,232.5,228.0,228.0,228.55,2226.0,5.11
2010-04-01,231.85,235.85,229.0,233.0,233.0,2874.0,6.66
2010-04-05,231.0,235.7,231.0,233.0,233.65,3928.0,9.16
2010-04-06,231.15,237.0,231.15,234.9,234.35,4415.0,10.37
2010-04-07,233.0,236.0,231.0,232.0,233.2,3859.0,9.03
2010-04-08,233.0,234.0,230.0,232.05,231.65,5466.0,12.7
2010-04-09,232.3,234.0,226.25,226.4,227.55,8354.0,19.15
2010-04-12,228.85,233.65,225.1,229.0,228.95,12951.0,29.78
2010-04-13,229.8,232.75,225.0,225.4,225.55,3760.0,8.55
2010-04-15,223.0,228.0,223.0,226.7,224.9,3887.0,8.78
2010-04-16,223.0,226.5,223.0,226.0,224.6,1819.0,4.08
2010-04-19,223.0,224.0,218.25,220.0,219.8,5195.0,11.44
2010-04-20,224.0,226.9,218.0,218.0,218.4,3926.0,8.63
2010-04-21,221.95,223.0,219.95,220.0,220.45,5184.0,11.47
2010-04-22,222.0,223.55,219.15,221.0,222.7,2576.0,5.73
2010-04-23,220.5,223.55,218.15,219.95,219.2,1851.0,4.09
