Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,30.5,30.95,30.0,30.25,30.45,21231.0,6.47
2010-01-05,30.1,31.9,30.1,31.2,31.45,42459.0,13.11
2010-01-06,31.55,33.0,30.6,30.7,30.95,55344.0,17.37
2010-01-07,30.95,31.75,30.5,30.85,30.95,24960.0,7.76
2010-01-08,31.25,35.95,31.25,33.4,33.25,281167.0,95.62
2010-01-11,33.5,37.2,33.5,35.85,35.95,376669.0,135.47
2010-01-12,39.7,39.7,35.85,37.7,38.2,295392.0,111.81
2010-01-13,38.2,44.0,37.7,41.85,42.35,702323.0,295.33
2010-01-14,42.6,45.0,40.15,40.7,41.2,190396.0,81.09
2010-01-15,41.0,41.8,38.45,39.0,38.95,160856.0,64.1
2010-01-18,38.6,40.45,38.25,38.5,38.55,62810.0,24.75
2010-01-19,38.65,39.45,36.35,36.45,37.1,102147.0,38.84
2010-01-20,37.9,38.75,37.1,38.45,38.05,58396.0,22.18
2010-01-21,37.5,39.85,37.05,37.6,37.8,101298.0,38.78
2010-01-22,37.0,37.1,34.1,36.85,36.55,75145.0,26.96
2010-01-25,36.45,37.5,35.1,35.4,35.35,29044.0,10.45
2010-01-27,35.05,35.1,32.0,33.15,32.7,91585.0,30.76
2010-01-28,32.0,33.55,30.1,31.65,32.15,29081.0,9.52
2010-01-29,30.55,33.2,30.1,33.2,32.95,48387.0,15.21
2010-02-01,33.0,36.45,32.95,34.15,34.45,115956.0,40.38
2010-02-02,35.8,36.8,34.8,35.25,35.8,188702.0,67.58
2010-02-03,36.9,36.9,34.1,34.45,34.85,40978.0,14.63
2010-02-04,35.0,35.0,33.1,33.1,33.25,25036.0,8.48
2010-02-05,33.4,34.0,30.15,33.0,32.95,40270.0,13.0
2010-02-06,32.3,34.0,32.3,33.45,33.05,6077.0,2.02
2010-02-08,33.5,34.35,32.3,32.35,32.8,20354.0,6.74
2010-02-09,33.45,33.55,32.4,32.5,32.45,27666.0,9.1
2010-02-10,32.45,33.55,32.4,32.4,32.6,19952.0,6.52
2010-02-11,32.0,38.8,32.0,36.55,36.45,233107.0,83.53
2010-02-15,37.5,38.4,35.6,36.25,36.2,90322.0,33.5
2010-02-16,36.4,36.8,35.5,36.0,36.0,39652.0,14.33
2010-02-17,36.5,36.5,35.0,35.1,35.25,37524.0,13.39
2010-02-18,35.1,35.5,33.4,33.95,34.0,21479.0,7.31
2010-02-19,33.95,33.95,32.8,32.8,33.0,20763.0,6.88
2010-02-22,32.0,33.8,32.0,32.0,32.3,35832.0,11.82
2010-02-23,32.0,32.5,31.0,31.2,31.05,27644.0,8.72
2010-02-24,31.0,33.0,30.15,32.5,32.85,31928.0,10.19
2010-02-25,32.9,33.15,32.3,32.6,32.55,12843.0,4.21
2010-02-26,32.7,33.3,32.1,33.2,32.7,13114.0,4.3
2010-03-02,33.95,35.0,33.5,34.2,34.3,37506.0,12.91
2010-03-03,34.9,35.75,33.7,34.0,34.2,77920.0,26.92
2010-03-04,34.0,34.45,33.0,33.6,33.75,50522.0,17.04
2010-03-05,34.4,34.75,34.05,34.2,34.15,16772.0,5.76
2010-03-08,35.45,36.5,34.25,35.45,35.0,48057.0,16.94
2010-03-09,35.6,35.6,34.45,34.5,34.55,18278.0,6.36
2010-03-10,34.5,34.9,33.85,33.95,33.95,9936.0,3.42
2010-03-11,34.8,34.9,33.3,33.95,33.9,9223.0,3.13
2010-03-12,34.0,34.4,33.35,33.5,33.5,12235.0,4.13
2010-03-15,34.0,34.0,32.5,32.5,32.7,22192.0,7.34
2010-03-16,33.0,33.75,32.55,33.05,32.95,12393.0,4.09
2010-03-17,33.85,37.9,33.25,35.2,35.2,245652.0,89.07
2010-03-18,35.0,35.2,34.1,34.3,34.2,13771.0,4.76
2010-03-19,34.2,36.15,31.25,34.25,34.05,45281.0,15.72
2010-03-22,33.95,35.0,33.75,34.0,34.0,23148.0,7.93
2010-03-23,34.5,36.0,34.2,34.75,34.65,55289.0,19.39
2010-03-25,35.45,37.15,35.15,36.3,35.95,127779.0,46.44
2010-03-26,36.0,36.65,34.7,34.7,35.0,53859.0,19.21
2010-03-29,35.0,37.0,35.0,35.5,35.45,97215.0,35.31
2010-03-30,35.95,36.5,35.1,35.5,35.5,19564.0,7.02
2010-03-31,35.25,37.0,35.05,36.15,36.2,75559.0,27.46
2010-04-01,36.2,36.65,35.5,35.9,36.05,17871.0,6.41
2010-04-05,35.6,36.8,35.6,36.1,36.1,18979.0,6.88
2010-04-06,36.4,37.0,35.85,36.65,36.45,45158.0,16.52
2010-04-07,36.0,37.1,35.25,35.4,35.55,62010.0,22.4
2010-04-08,35.6,36.4,35.4,35.4,35.55,22424.0,8.01
2010-04-09,36.0,39.3,35.8,38.5,38.6,136055.0,51.21
2010-04-12,40.4,40.4,38.5,38.55,38.7,68640.0,26.91
2010-04-13,38.6,39.95,37.65,38.2,37.95,29745.0,11.53
2010-04-15,38.7,41.4,36.6,37.0,37.1,24561.0,9.26
2010-04-16,36.5,37.15,36.5,36.5,36.6,11781.0,4.32
2010-04-19,36.8,36.8,35.4,36.0,35.95,10771.0,3.85
2010-04-20,37.0,37.45,35.9,37.25,37.05,11739.0,4.33
2010-04-21,37.25,39.5,37.1,37.6,37.75,62157.0,23.78
2010-04-22,38.4,39.95,37.3,38.05,38.35,93084.0,36.37
