Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,309.7,309.7,296.4,298.55,298.95,214454.0,645.15
2010-01-05,303.0,313.5,297.0,299.7,299.55,287056.0,879.32
2010-01-06,301.8,304.8,292.5,293.95,293.95,103413.0,308.75
2010-01-07,295.6,305.9,292.0,297.05,297.3,161540.0,484.1
2010-01-08,298.9,302.8,294.0,294.55,295.15,63163.0,188.31
2010-01-11,302.4,302.4,292.0,296.6,295.7,120524.0,359.16
2010-01-12,298.0,300.0,289.1,292.4,290.9,69229.0,204.08
2010-01-13,288.1,300.9,286.0,291.0,291.55,117534.0,346.17
2010-01-14,295.4,312.85,294.5,308.0,306.2,333152.0,1022.82
2010-01-15,308.5,325.35,304.5,323.5,323.2,486728.0,1547.7
2010-01-18,320.1,330.9,320.0,327.0,324.6,139500.0,455.18
2010-01-19,327.9,327.9,312.45,315.0,314.65,62183.0,199.15
2010-01-20,315.5,319.4,301.1,303.0,303.1,74652.0,229.8
2010-01-21,303.5,312.9,289.5,293.0,293.3,85538.0,258.96
2010-01-22,290.4,291.6,279.5,281.05,282.05,78981.0,224.59
2010-01-25,281.05,292.0,281.0,281.4,283.1,63319.0,181.15
2010-01-27,280.0,285.9,251.6,254.0,256.25,167855.0,451.21
2010-01-28,265.0,274.8,254.5,259.5,258.1,157641.0,417.03
2010-01-29,255.0,273.9,251.1,273.0,271.7,109315.0,288.53
2010-02-01,271.8,280.25,265.55,273.95,273.45,69414.0,191.47
2010-02-02,278.8,282.45,263.05,263.5,264.95,79574.0,218.47
2010-02-03,270.0,280.95,264.95,273.0,274.1,123444.0,338.27
2010-02-04,272.95,273.0,261.0,264.4,262.85,46194.0,123.98
2010-02-05,255.0,264.9,246.0,256.25,257.1,79848.0,207.29
2010-02-06,261.7,272.0,258.0,264.5,263.2,10413.0,27.35
2010-02-08,255.0,277.9,255.0,266.8,265.75,94628.0,256.19
2010-02-09,266.4,271.95,264.2,265.25,265.9,32903.0,88.09
2010-02-10,267.9,274.9,261.0,266.55,265.85,61392.0,165.77
2010-02-11,269.4,269.8,264.0,267.0,266.2,36608.0,97.68
2010-02-15,269.0,270.55,261.25,263.7,263.15,15115.0,40.24
2010-02-16,265.0,266.4,261.0,262.45,262.75,21273.0,56.06
2010-02-17,266.8,271.8,266.5,270.7,268.75,39130.0,105.17
2010-02-18,275.0,277.0,262.25,263.9,265.8,73691.0,199.04
2010-02-19,266.0,266.0,259.25,261.5,261.05,17226.0,45.07
