Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,525.1,554.0,517.0,553.9,549.05,1126027.0,6020.3
2010-01-05,558.85,559.8,545.25,545.95,548.3,864315.0,4771.43
2010-01-06,550.9,553.7,541.6,548.15,550.0,583018.0,3196.08
2010-01-07,552.0,576.7,544.15,570.5,572.3,1924150.0,10897.94
2010-01-08,577.0,577.0,555.3,562.2,560.5,1138616.0,6451.84
2010-01-11,560.0,570.0,557.05,558.7,559.4,463106.0,2603.49
2010-01-12,560.7,565.7,537.25,542.2,542.25,656984.0,3629.49
2010-01-13,542.0,562.85,534.75,562.0,559.05,630720.0,3469.37
2010-01-14,566.65,574.8,553.15,572.5,572.05,1113066.0,6292.47
2010-01-15,572.5,591.0,566.75,589.0,587.65,1383271.0,8009.01
2010-01-18,585.0,596.05,581.0,587.3,587.6,1117884.0,6590.06
2010-01-19,592.9,592.9,566.15,566.2,568.5,681173.0,3958.56
2010-01-20,572.7,576.55,555.25,560.5,560.45,606858.0,3430.81
2010-01-21,561.0,573.8,543.0,547.0,546.4,965566.0,5413.31
2010-01-22,536.6,548.85,520.9,544.75,542.85,849298.0,4567.76
2010-01-25,542.5,545.5,508.5,511.0,513.55,703262.0,3681.79
2010-01-27,516.0,517.0,474.0,478.0,477.55,1129454.0,5595.47
2010-01-28,487.35,498.45,481.95,487.0,486.55,907118.0,4435.63
2010-01-29,484.8,518.8,469.0,517.05,512.5,1203826.0,5954.85
2010-02-01,509.7,520.0,504.2,510.5,510.85,765545.0,3928.51
2010-02-02,516.0,522.9,488.0,491.75,490.45,1015281.0,5141.38
2010-02-03,495.0,506.65,488.2,502.9,503.7,1211263.0,6042.39
2010-02-04,500.3,503.65,477.0,477.0,480.2,728976.0,3584.0
2010-02-05,470.0,474.1,449.25,455.0,454.65,866596.0,3975.78
2010-02-06,455.0,480.5,455.0,479.8,477.55,382915.0,1810.65
2010-02-08,477.5,486.0,462.1,480.0,481.9,1127506.0,5360.36
2010-02-09,480.0,486.6,474.45,484.65,483.5,576433.0,2773.92
2010-02-10,485.2,491.9,470.1,472.0,472.65,817650.0,3950.57
2010-02-11,476.9,487.5,474.85,480.5,479.85,679900.0,3270.43
2010-02-15,479.85,487.2,474.45,477.1,476.75,382957.0,1838.03
2010-02-16,480.4,498.5,474.75,497.55,496.5,744868.0,3635.27
2010-02-17,500.0,503.5,490.05,495.1,494.25,841384.0,4185.99
2010-02-18,493.0,501.85,481.15,488.0,490.75,1053818.0,5223.77
2010-02-19,486.75,489.85,469.25,473.05,474.75,901431.0,4297.47
2010-02-22,481.5,483.5,470.1,471.0,471.75,480046.0,2291.87
2010-02-23,470.6,475.45,462.55,468.1,467.15,371414.0,1748.48
2010-02-24,464.1,476.65,464.1,471.45,472.4,511449.0,2409.09
2010-02-25,481.0,481.0,461.0,464.65,463.65,568965.0,2648.55
2010-02-26,468.0,496.0,462.3,474.7,476.75,896891.0,4274.09
2010-03-02,481.65,492.9,475.9,491.0,490.0,851782.0,4127.79
2010-03-03,493.0,499.0,489.1,493.0,493.95,513879.0,2543.94
2010-03-04,492.8,508.35,490.55,501.9,502.75,1080667.0,5439.17
2010-03-05,505.8,515.9,505.5,510.2,511.5,843579.0,4313.34
2010-03-08,518.0,525.0,512.15,519.7,520.2,980635.0,5096.07
2010-03-09,521.0,521.0,506.15,507.05,508.5,417721.0,2141.33
2010-03-10,509.0,525.5,505.5,525.2,522.4,684621.0,3540.63
2010-03-11,525.0,529.85,517.35,523.0,522.85,927351.0,4873.13
2010-03-12,524.0,534.3,520.0,522.6,522.6,980407.0,5167.13
2010-03-15,522.4,527.85,507.0,508.05,508.9,463127.0,2384.23
2010-03-16,512.4,521.45,508.0,521.45,519.45,455823.0,2343.14
2010-03-17,522.0,529.8,516.65,517.55,519.4,629592.0,3299.6
2010-03-18,522.45,526.9,511.4,520.5,520.05,932254.0,4850.03
2010-03-19,523.0,527.0,519.15,521.5,522.45,603301.0,3157.21
2010-03-22,515.0,519.85,501.45,503.7,505.05,482391.0,2472.57
2010-03-23,510.0,514.7,508.0,512.1,512.6,456189.0,2333.59
2010-03-25,513.55,514.4,502.6,504.6,504.5,806723.0,4080.87
2010-03-26,508.0,521.85,507.35,518.6,519.35,578514.0,2970.21
2010-03-29,601.0,601.0,512.2,516.0,515.0,512763.0,2668.25
2010-03-30,517.5,519.85,507.25,510.0,509.8,274919.0,1412.82
2010-03-31,512.0,514.9,502.4,510.5,508.9,617551.0,3145.0
2010-04-01,513.6,520.9,510.0,519.35,518.9,449753.0,2319.39
2010-04-05,523.75,525.9,517.5,525.8,523.5,593677.0,3097.86
2010-04-06,527.9,539.4,523.0,532.5,530.55,1019401.0,5435.26
2010-04-07,534.0,539.25,525.7,534.8,533.45,751525.0,4015.15
2010-04-08,532.25,542.0,521.45,524.1,525.25,685261.0,3656.23
2010-04-09,526.55,537.5,526.55,532.65,532.65,675890.0,3605.57
2010-04-12,535.0,535.95,523.4,532.5,532.05,528467.0,2800.45
2010-04-13,535.0,551.0,530.6,549.5,549.95,1494277.0,8122.6
2010-04-15,554.0,558.9,535.0,537.6,539.7,995392.0,5483.88
2010-04-16,539.4,542.9,530.35,535.0,535.4,442088.0,2369.84
2010-04-19,525.85,530.0,514.1,516.0,516.35,501640.0,2609.62
2010-04-20,522.0,532.5,518.25,528.45,527.85,536387.0,2824.06
2010-04-21,532.3,537.8,526.7,530.3,531.3,568906.0,3036.29
2010-04-22,530.0,542.25,526.75,532.5,531.35,700064.0,3750.07
2010-04-23,531.0,544.7,526.7,544.0,538.2,649633.0,3474.05
2010-04-26,545.0,549.0,536.15,538.8,538.6,388794.0,2108.5
2010-04-27,539.0,550.9,537.0,550.1,548.0,800535.0,4369.41
2010-04-28,540.0,543.9,526.2,530.75,528.8,571748.0,3062.75
2010-04-29,531.0,536.15,525.25,529.3,528.65,548557.0,2909.82
2010-04-30,536.0,540.9,521.25,524.0,524.1,540771.0,2878.9
2010-05-03,521.25,530.8,506.0,512.35,509.85,1240342.0,6391.95
2010-05-04,513.5,519.1,490.0,493.5,492.95,864273.0,4374.67
2010-05-05,485.0,499.9,480.3,499.9,496.8,654741.0,3202.98
2010-05-06,496.0,500.0,478.0,485.35,487.2,647605.0,3160.07
2010-05-07,475.0,482.85,460.65,471.0,470.55,601147.0,2843.03
2010-05-10,476.65,494.95,475.0,493.85,492.65,527453.0,2562.7
2010-05-11,496.35,496.35,475.0,475.1,477.35,363593.0,1754.37
