Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,480.0,486.3,469.15,471.95,472.0,110539.0,527.78
2010-01-05,479.5,482.0,473.05,475.8,475.95,34628.0,165.38
2010-01-06,478.0,478.8,470.0,476.0,475.0,9391.0,44.37
2010-01-07,470.0,484.0,470.0,479.95,479.3,24980.0,119.61
2010-01-08,484.0,487.5,471.0,472.95,471.55,13965.0,66.94
2010-01-11,473.1,485.5,472.3,479.85,478.45,28710.0,138.18
2010-01-12,474.0,482.9,472.0,473.0,473.95,2677.0,12.76
2010-01-13,458.0,480.0,458.0,476.0,475.55,4954.0,23.32
2010-01-14,466.1,481.95,466.1,478.0,478.5,2724.0,12.92
2010-01-15,471.1,477.0,468.4,468.4,469.85,1288.0,6.09
2010-01-18,468.1,470.0,456.0,465.0,462.45,6851.0,31.75
2010-01-19,467.0,475.0,448.15,448.25,451.7,2891.0,13.21
2010-01-20,442.25,458.75,435.55,436.05,438.7,5427.0,24.1
2010-01-21,441.6,444.9,430.55,444.9,439.6,8854.0,38.65
2010-01-22,438.5,438.5,415.7,433.05,432.35,4988.0,21.45
2010-01-25,441.75,441.75,426.2,428.5,427.55,6458.0,27.77
2010-01-27,423.0,433.0,411.05,415.0,415.35,11453.0,48.07
2010-01-28,415.0,420.0,410.15,420.0,418.4,8176.0,33.87
2010-01-29,422.1,449.9,401.0,449.9,436.0,10820.0,44.81
2010-02-01,442.0,445.0,426.0,445.0,438.8,5948.0,25.99
2010-02-02,445.0,447.0,425.0,435.0,434.05,6430.0,28.23
2010-02-03,441.0,448.0,429.55,444.0,444.3,5539.0,24.38
2010-02-04,443.9,462.0,440.0,442.0,441.0,21110.0,95.76
2010-02-05,420.0,435.0,416.8,424.4,422.8,9443.0,40.28
2010-02-06,428.0,430.0,427.95,430.0,428.6,347.0,1.49
2010-02-08,431.0,434.0,420.45,423.0,424.95,1705.0,7.27
2010-02-09,425.0,450.0,425.0,441.0,442.45,3623.0,15.76
2010-02-10,442.25,455.0,431.0,435.25,433.9,66403.0,295.79
2010-02-11,435.25,444.0,429.15,432.0,437.25,11924.0,51.66
2010-02-15,425.0,439.9,421.15,428.0,430.35,7874.0,33.93
2010-02-16,438.5,438.5,427.0,430.0,430.35,9690.0,41.63
2010-02-17,435.0,454.0,430.0,454.0,450.35,14518.0,64.23
2010-02-18,448.0,465.75,448.0,460.0,455.35,17990.0,82.41
2010-02-19,459.95,459.95,438.0,453.0,451.95,13946.0,62.79
2010-02-22,465.05,485.55,458.7,462.0,461.05,77897.0,366.91
2010-02-23,425.15,468.7,425.15,460.0,460.65,18200.0,83.87
2010-02-24,455.0,471.0,455.0,462.5,457.8,10223.0,47.22
2010-02-25,459.05,459.5,446.5,447.0,447.25,14172.0,63.93
2010-02-26,457.8,457.8,450.0,453.0,454.4,5523.0,25.08
2010-03-02,461.9,461.9,447.0,450.65,448.0,24505.0,110.18
2010-03-03,447.0,468.0,447.0,468.0,465.75,7003.0,32.25
2010-03-04,460.0,500.0,457.2,487.1,487.45,77776.0,380.3
2010-03-05,493.0,495.0,476.15,478.0,480.95,17038.0,83.48
2010-03-08,493.0,513.0,471.1,508.0,507.7,56130.0,281.12
2010-03-09,505.0,520.85,500.1,505.5,504.35,43641.0,223.28
2010-03-10,500.0,509.9,495.0,498.5,498.85,8574.0,43.05
2010-03-11,495.0,506.0,492.0,500.0,498.4,13145.0,65.41
2010-03-12,493.0,506.9,493.0,501.8,499.4,15696.0,78.82
2010-03-15,502.4,504.7,495.75,499.85,498.7,5122.0,25.55
2010-03-16,495.5,511.0,495.45,508.0,503.55,14584.0,73.79
2010-03-17,509.45,528.0,503.5,513.0,515.4,191127.0,995.24
2010-03-18,490.0,524.0,490.0,511.0,512.05,16913.0,87.51
2010-03-19,516.9,516.9,507.0,510.4,509.75,11032.0,56.32
2010-03-22,509.9,521.0,506.0,512.3,513.1,9745.0,50.32
2010-03-23,518.8,519.9,511.1,519.9,518.1,15833.0,81.84
2010-03-25,521.0,527.0,517.1,517.1,518.7,17278.0,90.26
2010-03-26,520.5,521.5,517.0,517.0,519.7,105761.0,549.92
2010-03-29,524.0,609.0,512.0,527.9,528.3,232116.0,1382.45
2010-03-30,535.0,546.0,532.0,542.4,541.05,118001.0,636.41
2010-03-31,545.9,552.95,540.0,552.95,545.1,52047.0,283.9
2010-04-01,545.1,570.0,545.1,568.0,568.7,58898.0,331.45
2010-04-05,570.0,589.95,568.7,579.4,579.8,57815.0,336.8
2010-04-06,584.2,585.0,574.85,577.0,576.35,23308.0,135.29
2010-04-07,580.0,581.0,572.5,578.0,577.0,20363.0,117.32
2010-04-08,580.0,584.9,571.0,571.0,572.7,23264.0,134.07
2010-04-09,564.9,566.0,549.0,556.0,552.5,24923.0,139.26
2010-04-12,559.2,560.0,540.0,550.0,549.7,9319.0,50.92
2010-04-13,550.0,557.7,546.1,552.0,553.65,5220.0,28.85
2010-04-15,551.0,567.0,551.0,560.0,552.7,12600.0,69.92
2010-04-16,551.5,561.45,551.5,558.0,555.25,5155.0,28.74
2010-04-19,551.0,554.0,532.35,550.0,549.75,11988.0,65.96
2010-04-20,544.0,559.0,542.25,559.0,553.7,2621.0,14.36
2010-04-21,548.0,557.85,548.0,555.3,555.4,4651.0,25.79
2010-04-22,555.0,567.05,552.0,562.0,560.2,9435.0,52.92
2010-04-23,561.0,571.7,561.0,570.0,568.45,10223.0,58.12
2010-04-26,574.9,630.95,574.9,625.1,620.25,104261.0,637.97
2010-04-27,626.0,649.9,616.6,645.55,644.15,46619.0,297.12
2010-04-28,630.0,673.0,621.1,665.4,667.85,70514.0,464.9
2010-04-29,670.5,697.0,661.1,675.05,675.55,42687.0,289.83
2010-04-30,688.0,688.0,641.1,660.0,657.25,33679.0,221.53
2010-05-03,674.0,674.0,637.0,640.9,641.2,6815.0,44.1
2010-05-04,652.9,658.9,635.0,639.0,641.5,16268.0,105.19
2010-05-05,641.5,666.0,606.05,651.1,658.75,17685.0,113.59
2010-05-06,650.0,658.45,635.0,635.0,639.15,6539.0,42.06
2010-05-07,634.8,639.5,623.0,627.1,628.8,8957.0,56.5
2010-05-10,665.0,665.0,637.0,638.0,639.15,8186.0,52.65
2010-05-11,640.0,640.0,625.25,627.0,626.1,2573.0,16.21
2010-05-12,642.9,642.9,625.0,632.7,632.9,5059.0,31.92
2010-05-13,634.0,641.95,625.2,625.6,626.05,7866.0,49.8
2010-05-14,623.1,638.95,623.1,623.5,624.7,4651.0,29.19
2010-05-17,612.0,620.0,605.0,618.0,617.7,8139.0,49.93
2010-05-18,645.0,667.0,610.0,662.0,660.3,28133.0,183.18
2010-05-19,640.5,680.0,640.5,665.0,661.85,23604.0,156.82
2010-05-20,660.2,679.0,652.0,678.0,672.95,11006.0,73.34
2010-05-21,664.9,674.0,640.0,674.0,664.75,11740.0,76.93
2010-05-24,676.0,677.0,655.0,659.6,661.2,12920.0,86.57
2010-05-25,659.0,659.8,630.0,630.0,638.25,11508.0,74.11
2010-05-26,637.0,652.85,637.0,649.0,646.7,12893.0,83.14
2010-05-27,679.0,679.0,643.0,649.05,651.7,6163.0,39.9
