Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,421.5,435.0,421.05,431.0,430.4,227077.0,964.55
2010-01-05,438.45,452.0,434.9,447.1,447.9,74169.0,329.21
2010-01-06,454.95,454.95,443.0,448.7,449.8,41187.0,184.92
2010-01-07,450.0,452.7,439.2,440.7,441.9,19867.0,87.89
2010-01-08,452.5,452.5,441.05,443.0,442.7,15163.0,67.21
2010-01-11,449.9,461.7,449.7,453.8,455.7,111130.0,505.84
2010-01-12,461.9,470.0,446.05,448.0,449.45,73819.0,334.14
2010-01-13,440.1,448.0,432.1,440.1,441.45,204937.0,904.17
2010-01-14,449.7,449.7,442.05,445.0,444.95,158267.0,704.26
2010-01-15,449.7,459.7,444.0,458.0,454.25,32929.0,148.16
2010-01-18,454.0,464.75,446.4,450.0,449.3,52420.0,237.82
2010-01-19,453.0,459.0,439.05,447.95,448.05,50567.0,229.01
2010-01-20,456.7,456.7,447.0,453.0,452.2,24282.0,109.62
2010-01-21,454.0,454.0,446.0,448.0,448.95,19343.0,86.76
2010-01-22,435.3,455.0,430.1,453.0,450.5,96004.0,428.03
2010-01-25,451.1,451.85,431.05,435.0,437.0,33371.0,146.92
2010-01-27,430.0,437.8,421.1,424.0,424.5,20200.0,86.48
2010-01-28,427.1,432.0,413.05,414.85,415.2,44026.0,184.35
2010-01-29,415.0,427.5,408.0,425.0,425.3,74008.0,311.4
2010-02-01,427.2,434.7,425.9,429.0,429.45,36301.0,155.68
2010-02-02,434.8,445.7,432.0,441.95,440.15,57716.0,253.96
2010-02-03,440.3,443.0,430.25,435.0,437.1,18366.0,80.66
2010-02-04,432.0,443.0,432.0,438.75,437.5,73546.0,323.51
2010-02-05,421.1,429.3,418.0,427.95,425.25,19040.0,81.2
2010-02-06,427.95,438.9,427.0,430.25,431.1,2202.0,9.49
2010-02-08,436.0,443.0,420.0,442.95,438.65,28607.0,123.09
2010-02-09,438.65,442.75,429.0,430.2,431.7,16133.0,70.32
2010-02-10,444.9,444.9,430.25,432.0,435.4,10265.0,44.94
2010-02-11,439.9,440.85,429.1,430.0,432.25,12454.0,53.96
2010-02-15,431.0,436.95,428.0,429.9,429.35,10008.0,43.08
2010-02-16,431.0,435.0,430.05,435.0,432.9,5722.0,24.71
2010-02-17,435.0,452.4,430.0,449.0,446.7,35316.0,156.8
2010-02-18,453.9,458.85,440.0,440.0,441.55,64133.0,289.59
2010-02-19,432.1,445.0,430.0,430.3,432.85,21782.0,95.01
2010-02-22,439.65,439.65,433.05,435.0,435.65,11230.0,49.09
2010-02-23,434.0,436.0,428.0,428.0,430.75,11159.0,48.3
2010-02-24,428.0,432.95,418.5,419.0,422.15,18236.0,77.49
2010-02-25,420.0,426.9,412.15,423.0,417.7,46535.0,195.17
2010-02-26,426.0,447.05,418.5,439.9,440.65,51351.0,224.52
2010-03-02,447.7,460.0,442.0,447.6,448.3,116979.0,528.1
2010-03-03,451.0,458.95,447.0,450.0,449.9,85184.0,385.88
2010-03-04,452.85,459.8,448.55,450.0,449.75,36615.0,165.31
2010-03-05,450.0,460.0,450.0,456.05,456.7,42757.0,195.25
2010-03-08,457.0,462.25,450.1,452.55,453.3,26185.0,119.86
2010-03-09,453.5,470.0,453.4,470.0,467.1,49721.0,230.02
2010-03-10,467.1,478.85,467.1,470.0,471.65,84727.0,401.45
2010-03-11,480.0,492.0,468.15,468.3,469.85,35052.0,165.59
2010-03-12,470.0,472.8,460.05,461.8,462.15,14677.0,68.38
2010-03-15,462.15,465.7,453.5,458.0,455.85,16949.0,77.36
2010-03-16,455.0,458.0,448.0,451.95,450.45,46310.0,209.84
2010-03-17,458.5,464.9,445.1,446.05,447.0,17457.0,79.1
2010-03-18,457.0,457.0,438.4,441.1,443.05,31079.0,137.77
2010-03-19,409.9,449.9,409.9,442.0,442.6,23180.0,102.88
2010-03-22,441.0,446.9,432.1,441.0,438.9,22607.0,99.47
2010-03-23,447.0,449.7,440.3,443.05,443.9,9646.0,42.72
2010-03-25,443.1,461.5,440.0,453.0,455.35,29338.0,132.2
2010-03-26,454.0,463.8,451.0,454.05,452.2,15867.0,72.03
2010-03-29,457.95,466.8,452.0,453.55,456.0,47056.0,217.04
2010-03-30,453.55,515.0,453.55,480.0,496.05,179201.0,880.61
2010-03-31,489.8,498.0,475.25,475.25,480.55,228267.0,1102.68
2010-04-01,515.0,515.0,477.0,479.85,479.0,41511.0,199.85
2010-04-05,456.0,489.95,456.0,487.5,487.85,35661.0,172.83
2010-04-06,497.0,499.0,481.15,495.0,493.2,42792.0,209.9
2010-04-07,495.0,509.4,490.0,497.75,498.35,146784.0,736.75
2010-04-08,480.6,510.0,480.6,497.5,504.7,71603.0,359.45
2010-04-09,482.0,509.5,482.0,495.6,497.85,27095.0,135.39
2010-04-12,501.35,504.9,490.2,491.95,492.25,33787.0,168.59
2010-04-13,490.1,503.7,490.1,500.0,499.3,28165.0,139.84
2010-04-15,496.1,506.0,496.1,501.85,501.05,40465.0,202.57
2010-04-16,500.0,501.95,482.0,484.0,487.9,57930.0,286.83
2010-04-19,491.0,499.85,475.3,492.15,492.7,59000.0,290.93
2010-04-20,490.0,500.0,487.4,487.5,492.3,36249.0,179.55
2010-04-21,488.5,505.0,488.5,496.3,497.4,28366.0,141.87
2010-04-22,498.0,507.1,498.0,501.85,501.9,54229.0,273.27
2010-04-23,504.7,514.8,492.1,495.7,497.3,330034.0,1664.96
2010-04-26,510.0,528.9,505.0,523.3,524.9,281705.0,1465.65
2010-04-27,527.0,534.0,517.0,520.0,520.5,110394.0,580.89
2010-04-28,421.15,520.0,421.15,512.0,510.4,61783.0,315.82
2010-04-29,510.0,577.0,510.0,551.65,552.1,591107.0,3240.1
2010-04-30,555.0,557.9,537.05,538.0,543.8,161358.0,882.54
2010-05-03,530.1,555.4,527.1,538.5,541.55,66872.0,363.6
2010-05-04,542.0,558.35,537.0,544.0,544.7,175840.0,962.44
2010-05-05,539.0,543.85,526.0,536.05,540.7,83883.0,451.84
2010-05-06,541.0,549.0,532.5,539.0,540.9,63268.0,343.15
2010-05-07,530.1,540.0,507.0,525.0,519.7,134049.0,701.62
2010-05-10,530.05,544.7,526.0,536.45,532.85,76870.0,413.67
2010-05-11,524.1,545.0,524.1,530.2,531.8,45647.0,245.05
2010-05-12,536.7,537.95,522.0,530.0,531.65,37129.0,197.41
2010-05-13,534.5,540.95,533.0,536.0,535.0,37300.0,200.42
2010-05-14,531.05,540.0,520.2,525.95,522.95,32423.0,172.49
2010-05-17,525.0,525.0,506.35,509.0,509.2,59656.0,304.3
2010-05-18,516.45,524.85,510.0,521.0,520.3,38215.0,198.21
2010-05-19,517.0,524.95,495.0,502.0,505.25,61588.0,313.65
2010-05-20,506.0,515.0,501.0,510.05,509.95,26288.0,134.28
2010-05-21,505.0,510.95,490.0,508.0,508.6,28104.0,140.79
2010-05-24,514.9,520.0,505.65,507.55,508.95,533780.0,2772.61
2010-05-25,507.95,507.95,494.2,495.15,497.15,16240.0,81.13
2010-05-26,498.4,507.0,490.0,493.0,492.4,27774.0,137.95
2010-05-27,492.5,512.0,492.5,511.0,510.55,32750.0,165.02
2010-05-28,515.0,523.9,515.0,519.0,519.0,40054.0,208.19
2010-05-31,514.1,545.0,514.1,538.05,541.4,67506.0,359.8
2010-06-01,541.4,548.95,522.15,526.0,526.0,58254.0,314.05
2010-06-02,530.0,545.0,525.0,528.25,529.55,27975.0,148.22
2010-06-03,535.0,542.0,532.1,539.0,538.1,27975.0,150.5
2010-06-04,553.0,553.0,535.0,536.5,536.2,32722.0,176.32
2010-06-07,533.9,533.9,523.05,528.0,528.3,17561.0,92.85
2010-06-08,539.95,539.95,522.6,525.55,525.55,38092.0,202.51
2010-06-09,530.0,535.9,520.0,523.0,522.0,15805.0,83.25
2010-06-10,523.0,538.0,523.0,533.0,532.5,39275.0,209.11
2010-06-11,533.0,539.45,531.0,534.0,534.3,16576.0,88.59
2010-06-14,532.1,545.0,524.5,545.0,541.15,24823.0,133.92
2010-06-15,544.7,556.9,542.2,546.9,549.6,79809.0,439.09
2010-06-16,552.05,557.0,549.0,552.0,551.65,91864.0,507.71
2010-06-17,551.5,554.0,546.1,547.0,547.4,117833.0,646.09
2010-06-18,549.7,555.9,547.0,550.0,549.75,81890.0,450.45
2010-06-21,520.15,543.9,520.15,539.0,538.3,117055.0,632.4
2010-06-22,538.3,546.0,530.1,537.5,536.55,70873.0,383.24
2010-06-23,538.0,538.7,530.1,531.45,532.25,34108.0,182.03
2010-06-24,530.0,537.75,522.15,525.5,526.45,49554.0,262.1
2010-06-25,526.45,529.45,508.05,508.05,512.9,38207.0,197.98
2010-06-28,510.0,526.0,508.15,520.9,523.2,75450.0,392.07
2010-06-29,523.0,526.9,515.95,518.5,518.0,27677.0,144.26
2010-06-30,517.9,530.0,512.8,525.0,525.25,35264.0,183.44
2010-07-01,506.6,529.85,490.3,520.0,522.9,28818.0,150.63
2010-07-02,518.0,526.5,513.15,513.15,514.9,49174.0,255.17
2010-07-05,520.7,523.95,514.05,519.15,519.55,24469.0,127.47
2010-07-06,521.95,527.3,519.0,525.35,526.05,42244.0,222.08
2010-07-07,528.7,533.75,521.0,530.1,531.75,45289.0,240.19
2010-07-08,535.0,539.8,526.1,528.05,528.05,33425.0,178.57
2010-07-09,524.05,537.45,519.0,522.5,522.6,51375.0,271.63
2010-07-12,525.0,533.7,525.0,529.0,530.0,49174.0,260.44
2010-07-13,528.0,538.5,528.0,534.0,534.1,34909.0,186.41
2010-07-14,538.7,540.0,531.2,535.0,534.85,32941.0,176.59
2010-07-15,534.85,540.0,531.05,532.0,533.8,62503.0,334.18
2010-07-16,536.9,539.9,532.9,534.4,534.4,49836.0,266.77
