Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,8.55,8.55,8.0,8.4,8.3,46403.0,3.84
2010-01-05,8.45,8.5,8.05,8.2,8.15,27182.0,2.24
2010-01-06,8.45,8.45,7.7,8.0,8.05,12317.0,1.0
2010-01-07,8.35,8.9,8.0,8.3,8.4,56004.0,4.76
2010-01-08,7.8,8.6,7.8,8.5,8.5,20841.0,1.76
2010-01-11,8.15,9.3,8.15,8.65,8.7,101250.0,8.94
2010-01-12,8.85,9.2,8.65,8.8,8.75,40912.0,3.66
2010-01-13,8.65,8.95,8.4,8.95,8.75,19268.0,1.67
2010-01-14,8.6,9.05,8.5,8.5,8.55,65203.0,5.6
2010-01-15,8.4,9.2,8.4,8.75,8.75,37988.0,3.37
2010-01-18,8.35,9.0,8.35,8.55,8.55,15582.0,1.38
2010-01-19,8.55,8.9,8.25,8.3,8.3,24514.0,2.09
2010-01-20,8.3,8.7,8.3,8.7,8.7,25445.0,2.18
2010-01-21,8.2,9.2,8.0,8.55,8.45,93180.0,7.97
2010-01-22,8.8,8.8,7.9,8.05,8.05,19967.0,1.62
2010-01-25,8.45,8.5,7.8,8.0,7.9,9043.0,0.73
2010-01-27,7.8,7.8,6.8,7.4,7.25,30845.0,2.26
2010-01-28,7.2,7.5,7.05,7.05,7.15,6256.0,0.45
2010-01-29,6.8,7.55,6.7,7.55,7.4,16678.0,1.2
2010-02-01,7.4,7.9,7.2,7.9,7.85,12833.0,0.98
2010-02-02,7.95,8.25,7.3,7.3,7.4,7241.0,0.55
2010-02-03,7.55,7.9,7.4,7.5,7.5,6312.0,0.48
2010-02-04,7.35,8.25,7.3,7.5,7.75,36179.0,2.87
2010-02-05,7.3,7.75,7.15,7.4,7.4,14203.0,1.05
2010-02-06,7.3,7.6,7.3,7.35,7.35,345.0,0.03
2010-02-08,7.25,7.85,7.25,7.85,7.75,13381.0,1.01
2010-02-09,7.8,7.95,7.45,7.7,7.7,4236.0,0.33
2010-02-10,7.5,9.2,7.5,8.1,8.1,58730.0,4.94
2010-02-11,8.55,8.55,7.8,8.05,7.95,34808.0,2.84
2010-02-15,8.0,8.35,7.85,8.0,8.0,6421.0,0.51
2010-02-16,8.0,8.4,7.15,7.6,7.65,39692.0,2.96
2010-02-17,8.2,8.2,7.5,7.75,7.75,11526.0,0.89
2010-02-18,7.75,7.9,7.55,7.75,7.75,2939.0,0.23
2010-02-19,7.65,7.8,7.35,7.75,7.75,34141.0,2.58
2010-02-22,7.6,7.8,7.4,7.6,7.5,34698.0,2.63
2010-02-23,7.4,7.8,7.1,7.3,7.4,3238.0,0.25
2010-02-24,7.15,8.15,7.15,7.8,7.95,15002.0,1.18
2010-02-25,7.65,7.7,7.4,7.45,7.45,6446.0,0.48
2010-02-26,7.35,8.4,7.25,7.35,7.45,13627.0,1.05
2010-03-02,7.5,7.8,7.4,7.4,7.55,9919.0,0.76
2010-03-03,7.45,7.75,7.35,7.6,7.6,12511.0,0.95
2010-03-04,7.6,7.95,7.5,7.95,7.9,8290.0,0.64
2010-03-05,7.65,7.9,7.6,7.9,7.85,8368.0,0.65
2010-03-08,7.85,7.9,7.55,7.6,7.6,26334.0,2.02
2010-03-09,7.5,7.85,7.5,7.85,7.8,5457.0,0.42
2010-03-10,7.7,7.75,7.6,7.6,7.6,2513.0,0.19
2010-03-11,7.6,7.6,7.3,7.4,7.4,7112.0,0.53
2010-03-12,7.65,7.65,7.3,7.5,7.5,22621.0,1.71
2010-03-15,7.4,7.5,7.1,7.45,7.25,525.0,0.04
2010-03-16,7.05,7.35,7.0,7.0,7.05,15103.0,1.07
2010-03-17,6.8,7.35,6.8,7.0,7.0,23695.0,1.67
2010-03-18,7.15,7.35,6.85,7.1,7.15,13297.0,0.94
2010-03-19,7.2,8.0,6.95,7.3,7.45,53139.0,4.07
2010-03-22,7.25,7.4,7.05,7.05,7.05,13376.0,0.97
2010-03-23,6.9,7.25,6.9,7.05,7.15,14013.0,1.0
2010-03-25,7.15,7.15,6.85,7.05,7.05,5839.0,0.41
2010-03-26,6.85,8.5,6.75,8.5,8.5,180591.0,14.95
2010-03-29,10.0,10.2,8.9,9.3,9.3,1580199.0,153.26
2010-03-30,9.5,9.5,8.5,8.7,8.7,89005.0,7.97
2010-03-31,8.8,10.45,8.2,10.25,10.05,543341.0,53.95
2010-04-01,10.7,10.9,10.1,10.5,10.65,578465.0,61.28
2010-04-05,10.65,10.95,10.15,10.25,10.4,190639.0,20.39
2010-04-06,10.15,10.55,10.0,10.0,10.05,64743.0,6.6
2010-04-07,10.0,10.2,9.1,9.3,9.4,101020.0,9.76
2010-04-08,9.2,9.7,9.2,9.45,9.45,41375.0,3.93
2010-04-09,9.05,9.7,9.05,9.25,9.25,25040.0,2.33
2010-04-12,9.1,10.2,9.05,9.95,9.8,306062.0,30.0
2010-04-13,9.85,9.85,9.2,9.35,9.4,45658.0,4.29
2010-04-15,9.35,9.7,9.15,9.3,9.25,35248.0,3.3
2010-04-16,9.2,9.35,9.0,9.1,9.1,20696.0,1.9
2010-04-19,8.7,9.0,8.55,8.6,8.7,30531.0,2.67
2010-04-20,8.75,9.1,8.6,8.8,8.75,13938.0,1.23
2010-04-21,8.8,9.15,8.65,8.65,8.7,11313.0,1.0
2010-04-22,8.5,9.5,8.5,9.0,9.05,66744.0,6.12
2010-04-23,9.0,9.15,8.8,9.0,8.85,16361.0,1.46
2010-04-26,8.7,8.95,8.55,8.55,8.6,15107.0,1.31
2010-04-27,8.85,8.85,8.5,8.7,8.6,7499.0,0.65
