Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,23.8,23.8,21.6,21.6,21.65,25558.0,5.62
2010-01-05,22.0,22.0,20.6,20.6,20.65,34142.0,7.17
2010-01-06,20.0,20.9,20.0,20.45,20.45,5833.0,1.19
2010-01-07,20.45,21.5,20.45,21.2,21.2,15931.0,3.38
2010-01-08,22.0,22.3,21.5,22.0,22.25,11865.0,2.63
2010-01-11,21.65,22.9,21.65,22.35,22.35,5780.0,1.29
2010-01-12,22.0,22.25,21.4,21.4,21.4,3975.0,0.87
2010-01-13,21.0,21.5,20.6,20.9,20.9,1799.0,0.38
2010-01-14,20.9,21.95,20.9,21.95,21.95,5510.0,1.19
2010-01-15,21.8,22.0,21.25,21.25,21.95,1223.0,0.27
2010-01-18,20.85,21.55,20.85,21.05,21.2,5500.0,1.16
2010-01-19,22.25,22.3,21.35,21.35,21.35,1950.0,0.43
2010-01-20,21.05,21.35,20.4,20.65,20.65,3140.0,0.66
2010-01-21,20.05,21.35,19.8,19.8,19.8,1101.0,0.23
2010-01-22,18.85,20.4,18.85,19.5,19.5,1422.0,0.28
2010-01-25,19.7,19.7,19.7,19.7,19.7,100.0,0.02
2010-01-27,20.4,20.5,19.4,19.4,19.4,4090.0,0.83
2010-01-28,19.1,19.2,18.45,18.45,18.65,294.0,0.06
2010-01-29,18.1,18.4,18.1,18.1,18.1,1136.0,0.21
2010-02-01,18.6,18.6,18.6,18.6,18.6,250.0,0.05
2010-02-02,19.5,19.5,19.5,19.5,19.5,100.0,0.02
2010-02-03,18.8,18.8,18.8,18.8,18.8,350.0,0.07
2010-02-05,18.2,18.2,17.95,17.95,17.95,350.0,0.06
2010-02-06,17.95,17.95,17.95,17.95,17.95,50.0,0.01
2010-02-08,17.6,17.6,17.6,17.6,17.6,250.0,0.04
2010-02-09,17.35,18.5,17.35,17.8,17.8,724.0,0.13
2010-02-16,18.25,18.25,18.1,18.1,18.1,205.0,0.04
2010-02-18,17.85,17.85,17.85,17.85,17.85,1000.0,0.18
2010-02-19,17.35,18.75,17.35,18.6,18.6,350.0,0.06
2010-02-22,18.0,18.8,17.7,17.7,17.7,1228.0,0.22
2010-02-23,17.05,18.6,16.85,17.15,17.65,12923.0,2.28
2010-02-24,17.15,17.15,16.9,16.9,16.9,40.0,0.01
2010-02-25,17.75,17.75,16.85,16.85,16.85,40.0,0.01
