Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,429.0,433.7,425.0,426.05,426.95,48542.0,207.71
2010-01-05,430.0,432.0,420.7,422.0,424.4,28378.0,121.23
2010-01-06,426.0,440.0,423.0,438.5,436.65,107246.0,463.98
2010-01-07,435.25,440.05,426.5,427.95,429.1,113145.0,489.28
2010-01-08,434.0,449.7,427.05,443.0,444.9,574107.0,2480.72
2010-01-11,448.25,448.25,436.0,438.9,440.45,241465.0,1064.22
2010-01-12,440.0,446.75,432.1,432.1,435.85,128383.0,564.26
2010-01-13,435.0,442.9,427.1,439.0,439.0,198411.0,863.06
2010-01-14,440.0,450.0,435.15,449.0,446.7,213707.0,946.27
2010-01-15,445.3,454.0,437.1,441.0,440.0,439949.0,1945.17
2010-01-18,453.9,458.9,438.1,458.9,451.9,128408.0,576.85
2010-01-19,453.15,455.0,443.2,445.0,445.55,82199.0,367.48
2010-01-20,442.1,450.9,440.0,445.9,446.75,42190.0,187.82
2010-01-21,445.0,449.9,435.85,439.0,440.3,139360.0,617.29
2010-01-22,440.0,440.0,427.0,435.05,437.4,33679.0,145.96
2010-01-25,430.0,438.0,427.0,429.15,434.6,43774.0,189.48
2010-01-27,432.15,467.5,430.15,449.8,445.45,729688.0,3298.89
2010-01-28,450.0,459.85,443.0,445.0,447.8,147459.0,660.49
2010-01-29,437.6,454.8,433.6,450.0,450.3,349892.0,1551.87
2010-02-01,454.2,475.4,444.0,471.95,471.35,241591.0,1132.81
2010-02-02,470.0,479.6,458.05,460.2,460.85,109013.0,512.49
2010-02-03,469.7,480.0,462.2,478.0,477.85,103941.0,492.56
2010-02-04,475.0,486.5,463.0,470.0,469.1,170580.0,816.77
2010-02-05,440.25,487.25,440.25,475.0,467.95,68541.0,318.08
2010-02-06,450.25,479.8,450.25,478.0,475.95,7520.0,35.62
2010-02-08,463.15,483.45,461.0,465.0,464.2,115571.0,543.1
2010-02-09,479.4,479.4,460.0,466.2,468.9,70231.0,329.94
2010-02-10,463.25,473.95,458.1,460.0,459.95,91537.0,424.08
2010-02-11,461.0,474.0,456.35,459.2,460.3,133676.0,615.08
2010-02-15,463.0,465.9,450.05,450.5,451.35,56502.0,257.73
2010-02-16,457.5,465.0,446.6,463.0,463.35,138219.0,629.1
2010-02-17,465.7,473.7,460.15,471.05,470.3,87315.0,407.92
2010-02-18,471.65,482.8,469.05,475.9,476.7,87545.0,417.58
2010-02-19,474.5,484.0,466.0,470.4,473.25,147246.0,698.84
2010-02-22,474.0,474.0,452.2,454.0,453.7,155169.0,716.72
2010-02-23,453.0,457.0,444.0,444.0,445.4,51481.0,231.2
2010-02-24,444.45,452.95,437.1,452.0,451.5,229991.0,1029.89
2010-02-25,455.0,457.95,450.0,453.5,455.8,126002.0,573.52
2010-02-26,449.2,465.0,442.5,455.0,456.25,54925.0,250.39
