Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-16,331.0,348.9,301.0,308.45,308.3,229821.0,755.22
2016-09-19,314.5,321.7,310.0,314.1,317.0,51068.0,161.69
2016-09-20,316.15,321.85,315.15,319.5,318.65,27511.0,87.43
2016-09-21,318.0,326.0,312.15,319.95,319.75,50781.0,163.66
2016-09-22,320.95,324.0,315.0,316.0,317.2,18350.0,58.43
2016-09-23,319.75,319.9,309.15,312.8,312.6,12837.0,40.37
2016-09-26,310.0,319.0,305.0,317.0,316.0,21190.0,66.07
2016-09-27,316.0,317.0,310.0,312.0,310.2,11379.0,35.61
2016-09-28,311.0,314.85,302.5,306.0,305.9,19224.0,59.35
2016-09-29,309.0,310.9,282.0,294.0,288.9,34734.0,103.06
2016-09-30,287.0,299.95,275.0,296.0,293.95,19738.0,57.26
2016-10-03,294.2,305.0,291.0,304.4,303.3,15717.0,47.12
2016-10-04,301.4,307.5,300.0,300.0,301.4,11048.0,33.45
2016-10-05,303.0,303.85,282.55,302.0,301.55,18265.0,54.36
2016-10-06,303.0,313.0,296.0,302.1,300.2,22796.0,69.36
2016-10-07,308.0,312.4,305.0,307.6,307.85,18311.0,56.46
2016-10-10,307.0,307.65,302.2,306.3,304.75,8830.0,26.85
2016-10-13,304.95,305.0,295.1,297.05,296.65,13823.0,41.53
2016-10-14,292.55,308.5,292.55,308.5,306.35,13776.0,41.56
2016-10-17,315.0,325.0,309.0,316.0,315.25,114134.0,361.14
2016-10-18,315.0,324.0,314.95,318.55,319.75,45956.0,146.67
2016-10-19,317.5,329.0,317.0,327.0,327.2,68185.0,220.84
2016-10-20,331.5,333.95,319.0,322.25,322.55,63347.0,206.05
2016-10-21,326.1,326.1,315.0,315.0,316.05,34864.0,110.75
2016-10-24,319.75,321.95,314.0,318.0,317.55,57779.0,183.55
2016-10-25,316.05,320.0,315.0,319.0,318.55,16976.0,54.09
2016-10-26,320.0,325.95,318.15,320.0,320.25,65353.0,211.3
2016-10-27,323.0,324.25,313.85,315.0,315.85,24429.0,78.02
2016-10-28,334.8,373.95,326.95,357.5,359.35,698984.0,2496.34
2016-10-30,365.0,370.85,364.45,365.0,366.8,61826.0,227.36
2016-11-01,369.5,374.85,350.0,350.5,352.55,110721.0,398.19
2016-11-02,354.8,354.8,333.0,335.0,335.0,68205.0,232.03
2016-11-03,337.75,337.75,316.0,319.8,320.15,73434.0,240.49
2016-11-04,319.95,332.2,308.1,312.2,313.65,78978.0,249.64
2016-11-07,319.85,332.0,312.0,315.0,315.1,81760.0,262.19
2016-11-08,317.45,322.0,309.1,311.3,314.35,45892.0,144.13
2016-11-09,289.5,310.0,275.0,306.0,305.35,116755.0,349.47
2016-11-10,317.9,320.6,307.05,311.2,311.75,42264.0,133.37
2016-11-11,309.8,309.95,301.05,304.9,303.55,41701.0,127.02
2016-11-15,309.8,309.8,287.0,290.0,291.1,55315.0,162.45
2016-11-16,300.0,305.0,292.0,292.5,295.7,34589.0,103.52
2016-11-17,297.0,301.25,287.0,289.6,288.2,27371.0,80.16
2016-11-18,292.0,300.0,282.15,300.0,294.75,38756.0,113.31
2016-11-21,299.95,305.05,280.05,288.0,286.9,36129.0,104.99
2016-11-22,290.0,298.85,283.0,286.8,285.35,22106.0,63.17
2016-11-23,289.85,294.7,282.0,291.5,290.4,37261.0,106.75
2016-11-24,288.6,300.0,285.0,295.0,293.85,26207.0,76.77
2016-11-25,299.95,300.0,292.25,294.0,294.05,42279.0,124.93
2016-11-28,294.0,299.0,291.25,292.3,292.85,42882.0,126.06
2016-11-29,294.05,300.0,290.0,295.5,296.75,28478.0,84.26
2016-11-30,298.9,320.0,296.0,318.0,317.2,87482.0,275.31
2016-12-01,317.95,322.55,309.5,311.25,312.35,31486.0,99.09
2016-12-02,310.05,310.05,302.6,304.1,304.1,22319.0,68.3
2016-12-05,304.9,315.0,304.05,305.1,306.15,22260.0,68.73
2016-12-06,308.75,309.0,300.0,306.05,304.75,23583.0,71.76
2016-12-07,306.6,309.0,301.25,306.0,305.1,12642.0,38.59
2016-12-08,307.45,314.8,305.25,311.3,310.1,20962.0,65.09
2016-12-09,311.0,314.45,304.0,307.0,307.25,19940.0,61.22
2016-12-12,307.35,314.95,305.95,314.8,312.65,23187.0,71.81
2016-12-13,314.9,317.0,307.0,313.85,312.6,24596.0,77.09
2016-12-14,310.15,314.9,307.2,308.4,308.45,8460.0,26.29
2016-12-15,310.0,313.95,307.0,312.9,311.8,18837.0,58.77
2016-12-16,313.95,320.0,308.05,314.95,314.15,14760.0,46.15
2016-12-19,320.0,320.0,309.6,310.05,311.05,17208.0,53.65
2016-12-20,314.0,314.0,297.0,303.0,303.1,33791.0,102.98
2016-12-21,305.35,308.0,290.0,293.5,294.1,54834.0,164.27
2016-12-22,297.45,297.45,285.0,294.0,291.3,41796.0,121.01
2016-12-23,293.25,297.0,288.5,291.45,290.85,15875.0,46.17
2016-12-26,290.05,291.95,282.8,284.65,283.85,24710.0,70.71
2016-12-27,288.85,294.0,280.95,290.5,291.25,12013.0,34.46
2016-12-28,289.05,329.0,289.0,304.3,305.75,294021.0,923.08
2016-12-29,304.95,314.85,304.9,305.3,306.3,63216.0,195.34
2016-12-30,308.8,309.75,301.1,301.6,302.25,41921.0,128.32
2017-01-02,303.9,308.8,297.95,298.5,299.25,26261.0,78.88
2017-01-03,302.8,304.8,297.0,301.5,302.0,25162.0,75.91
2017-01-04,303.95,311.0,300.45,306.1,306.8,44800.0,137.18
2017-01-05,309.9,312.95,301.55,303.0,304.1,86214.0,265.23
2017-01-06,305.05,305.05,288.0,294.9,294.7,61841.0,183.27
2017-01-09,295.15,295.9,290.1,295.0,294.3,29234.0,86.0
2017-01-10,295.05,301.0,292.0,293.0,294.05,33198.0,97.92
2017-01-11,296.3,304.3,294.05,299.9,298.9,45231.0,134.97
2017-01-12,300.8,303.3,295.25,302.0,301.9,37374.0,111.88
2017-01-13,300.55,302.4,296.0,297.1,296.8,11476.0,34.16
