Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,17.55,21.0,17.5,21.0,21.0,463174.0,92.63
2010-01-05,22.5,24.5,21.5,22.05,22.4,550164.0,124.37
2010-01-06,23.5,23.5,21.4,21.65,21.85,115830.0,25.32
2010-01-07,22.0,23.9,21.6,23.0,23.1,255136.0,59.11
2010-01-08,23.5,23.5,22.3,22.45,22.55,53450.0,12.13
2010-01-11,22.45,23.5,22.35,22.8,22.95,35507.0,8.15
2010-01-12,22.9,25.05,22.4,24.0,23.4,148272.0,35.23
2010-01-13,23.2,24.25,22.9,23.85,23.95,73286.0,17.3
2010-01-14,24.0,26.85,23.8,25.65,25.9,307028.0,79.33
2010-01-15,26.2,27.3,25.3,25.55,25.7,135829.0,36.04
2010-01-18,26.3,26.35,23.9,24.25,24.15,64838.0,16.13
2010-01-19,23.8,23.95,21.65,22.35,22.15,84497.0,19.3
2010-01-20,22.5,24.95,21.0,21.9,22.15,267091.0,63.04
2010-01-21,24.0,24.0,21.25,21.65,21.7,38986.0,8.58
2010-01-22,20.5,21.9,20.5,21.4,21.6,47650.0,10.11
2010-01-25,21.0,21.25,20.0,20.05,20.25,41762.0,8.53
2010-01-27,19.1,20.7,18.55,18.8,18.65,34191.0,6.62
2010-01-28,19.0,19.5,18.75,19.0,19.25,19001.0,3.64
2010-01-29,18.1,19.0,15.65,18.45,18.55,51634.0,9.46
2010-02-01,19.35,19.35,17.8,18.7,18.15,42363.0,7.68
2010-02-02,18.65,18.85,18.0,18.0,18.0,20598.0,3.8
2010-02-03,18.5,18.55,17.6,17.8,17.65,55543.0,9.95
2010-02-04,17.4,17.95,17.3,17.5,17.65,11135.0,1.96
2010-02-05,17.1,18.0,16.85,17.15,17.55,7235.0,1.25
2010-02-06,17.25,17.85,17.25,17.25,17.3,1048.0,0.18
2010-02-08,17.8,17.8,17.25,17.3,17.3,6383.0,1.11
2010-02-09,17.5,19.0,17.4,18.35,18.3,57612.0,10.65
2010-02-10,18.85,19.15,17.55,18.5,18.15,31891.0,5.93
2010-02-11,19.0,19.0,17.75,18.2,18.35,15670.0,2.88
2010-02-15,19.45,19.5,18.05,18.2,18.2,12169.0,2.26
2010-02-16,18.7,18.7,18.0,18.1,18.1,17682.0,3.22
2010-02-17,18.3,18.55,18.0,18.0,18.05,12489.0,2.27
2010-02-18,18.2,18.3,17.5,18.1,17.95,28844.0,5.18
2010-02-19,17.75,17.8,17.45,17.55,17.65,11096.0,1.96
2010-02-22,17.65,17.9,16.85,16.85,17.05,13655.0,2.4
2010-02-23,16.8,19.9,16.25,18.4,18.9,368146.0,70.85
2010-02-24,19.0,19.0,17.6,18.1,18.1,57906.0,10.43
2010-02-25,18.45,18.55,18.05,18.4,18.3,7546.0,1.38
2010-02-26,18.05,18.35,17.3,17.95,17.95,14363.0,2.58
2010-03-02,17.05,18.45,17.05,18.0,17.95,8744.0,1.58
2010-03-03,17.15,18.4,17.15,18.3,18.2,8807.0,1.6
2010-03-04,17.45,18.35,17.45,17.85,17.95,5862.0,1.06
2010-03-05,18.0,18.5,17.85,18.0,18.15,9225.0,1.68
2010-03-08,18.5,19.4,18.2,18.4,18.4,19815.0,3.7
2010-03-09,18.5,18.55,18.0,18.0,18.15,4390.0,0.8
2010-03-10,18.35,18.35,17.9,17.9,18.0,4939.0,0.89
2010-03-11,18.0,18.35,18.0,18.0,18.05,6747.0,1.22
2010-03-12,17.9,19.9,17.9,18.95,19.0,55071.0,10.58
2010-03-15,18.75,19.15,18.0,18.2,18.15,19952.0,3.7
2010-03-16,18.25,19.0,18.1,18.35,18.45,14865.0,2.77
2010-03-17,18.35,18.95,17.85,17.9,17.95,28190.0,5.11
2010-03-18,17.85,18.3,17.8,17.8,17.9,5198.0,0.94
2010-03-19,17.9,18.3,17.7,18.3,18.1,10810.0,1.94
2010-03-22,18.35,18.5,17.9,18.35,18.05,11695.0,2.12
2010-03-23,18.6,18.6,18.0,18.45,18.3,6213.0,1.13
2010-03-25,17.55,18.45,17.55,18.3,18.15,3102.0,0.56
2010-03-26,17.85,18.8,17.5,18.8,18.65,20631.0,3.8
2010-03-29,18.7,18.7,17.6,18.0,17.7,7959.0,1.43
2010-03-30,18.0,18.4,17.5,18.25,18.15,15191.0,2.74
2010-03-31,18.05,18.4,18.05,18.3,18.3,4613.0,0.85
2010-04-01,18.15,18.75,18.0,18.75,18.65,11672.0,2.13
2010-04-05,18.5,21.9,18.4,19.75,19.7,57813.0,11.4
2010-04-06,19.7,20.0,19.05,19.05,19.45,14852.0,2.93
2010-04-07,20.0,20.0,18.6,18.6,18.7,2505.0,0.47
2010-04-08,18.45,19.0,18.4,18.45,18.65,5999.0,1.12
2010-04-09,18.25,21.0,18.25,20.0,19.8,32129.0,6.4
2010-04-12,20.0,20.5,19.3,19.6,19.65,13830.0,2.76
2010-04-13,20.0,20.5,19.7,19.8,19.8,12180.0,2.44
2010-04-15,20.2,20.35,18.75,18.85,18.85,17343.0,3.41
2010-04-16,20.4,20.4,18.6,19.0,18.9,10128.0,1.95
2010-04-19,18.6,19.05,18.2,18.2,18.4,12252.0,2.28
2010-04-20,18.5,19.2,18.45,19.2,18.75,9781.0,1.83
2010-04-21,18.7,19.2,18.7,19.15,19.05,2933.0,0.56
2010-04-22,18.7,19.25,18.7,18.85,18.85,3000.0,0.57
2010-04-23,19.0,19.6,18.7,18.7,18.8,8141.0,1.55
2010-04-26,19.6,19.85,18.75,19.1,18.95,22927.0,4.37
2010-04-27,18.65,19.05,18.3,18.3,18.35,8861.0,1.64
2010-04-28,18.25,18.55,18.1,18.3,18.2,3168.0,0.58
2010-04-29,18.45,18.75,18.3,18.4,18.45,5681.0,1.04
2010-04-30,18.9,18.9,18.05,18.5,18.25,6260.0,1.16
