Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,160.0,162.2,159.25,162.0,161.4,252519.0,406.3
2010-01-05,163.35,167.4,161.4,164.2,165.3,472718.0,775.28
2010-01-06,163.85,168.5,162.25,168.3,168.0,1134459.0,1878.14
2010-01-07,169.0,169.0,163.55,164.15,164.0,1075405.0,1768.71
2010-01-08,164.15,167.8,164.05,164.5,165.15,399171.0,662.35
2010-01-11,166.8,168.15,164.05,166.4,166.8,901309.0,1500.44
2010-01-12,166.85,166.85,161.75,162.0,162.25,245052.0,401.77
2010-01-13,162.8,163.4,161.0,161.6,162.1,331616.0,538.17
2010-01-14,163.0,163.8,162.0,162.8,162.45,134624.0,219.3
2010-01-15,164.8,164.8,160.2,161.0,160.85,408665.0,660.58
2010-01-18,160.5,162.75,160.0,162.6,161.95,241128.0,390.61
2010-01-19,162.05,162.5,158.1,158.75,158.95,350835.0,561.38
2010-01-20,161.0,161.9,157.55,160.8,161.0,594962.0,950.84
2010-01-21,160.45,160.45,157.6,158.25,158.55,163724.0,260.52
2010-01-22,156.2,157.9,153.5,157.4,157.35,727999.0,1137.39
2010-01-25,155.0,158.7,155.0,157.8,158.0,495407.0,774.22
2010-01-27,158.0,160.5,146.45,154.2,155.2,1313685.0,2024.32
2010-01-28,157.6,161.0,154.55,158.1,158.6,675884.0,1070.24
2010-01-29,162.5,162.5,157.5,159.6,160.8,781705.0,1248.43
2010-02-01,161.8,166.9,160.8,165.8,165.7,928704.0,1535.95
2010-02-02,167.0,168.0,163.35,164.25,164.25,445834.0,740.74
2010-02-03,165.7,169.8,163.1,169.0,168.35,663026.0,1111.86
2010-02-04,167.05,171.5,167.05,170.5,169.55,586016.0,996.9
2010-02-05,165.0,171.2,164.2,168.05,170.0,825036.0,1394.09
2010-02-06,170.2,172.8,168.45,168.9,169.3,56607.0,96.6
2010-02-08,169.1,177.0,168.55,176.85,175.9,746674.0,1300.49
2010-02-09,177.0,178.95,174.55,177.0,177.1,2283966.0,4044.11
2010-02-10,178.0,178.9,174.55,175.0,175.45,674826.0,1190.56
2010-02-11,175.55,175.95,172.15,172.5,172.8,248203.0,429.75
2010-02-15,173.55,173.55,169.35,169.95,170.7,606120.0,1034.79
2010-02-16,170.15,172.4,169.5,172.25,170.6,300709.0,513.39
2010-02-17,171.9,172.05,167.5,168.9,168.6,1064824.0,1812.85
2010-02-18,168.0,170.8,167.7,168.8,168.85,144044.0,243.27
2010-02-19,168.6,171.9,167.7,169.3,170.25,837692.0,1424.01
2010-02-22,171.8,171.8,166.0,166.35,166.65,862224.0,1460.44
2010-02-23,166.4,168.5,164.95,165.05,165.15,222403.0,369.93
2010-02-24,165.0,167.65,164.25,167.4,166.4,282514.0,469.81
2010-02-25,167.0,172.0,164.7,169.4,169.1,1324525.0,2227.25
2010-02-26,170.5,171.7,168.55,169.3,169.25,215535.0,366.15
2010-03-02,171.0,172.0,165.75,168.0,168.4,437352.0,734.45
2010-03-03,168.6,169.9,167.55,169.1,168.85,235042.0,396.46
2010-03-04,170.9,171.1,167.1,170.5,170.35,286248.0,484.52
2010-03-05,171.4,174.95,168.6,170.0,169.95,693745.0,1190.88
2010-03-08,173.0,173.75,169.5,171.1,172.0,728344.0,1252.35
2010-03-09,173.1,175.0,172.2,172.55,173.0,557182.0,966.27
2010-03-10,174.0,174.4,170.55,172.4,172.6,219093.0,378.2
2010-03-11,164.1,173.35,164.1,168.55,170.05,397021.0,678.27
2010-03-12,171.0,171.35,167.1,167.55,167.45,149663.0,252.4
2010-03-15,168.45,168.45,164.5,165.85,166.65,244691.0,407.05
2010-03-16,165.15,166.2,163.1,164.65,164.65,284779.0,469.72
2010-03-17,165.65,166.3,164.5,164.85,164.9,115897.0,191.56
2010-03-18,166.4,166.4,164.25,165.0,164.75,612768.0,1012.37
2010-03-19,165.1,165.85,163.55,163.8,164.1,296999.0,489.12
2010-03-22,162.5,163.0,159.1,159.5,159.85,427931.0,689.55
2010-03-23,160.2,162.0,159.4,159.6,159.9,452555.0,726.69
2010-03-25,161.45,161.5,158.1,161.4,160.25,430888.0,688.7
2010-03-26,161.5,166.0,160.05,165.2,165.2,445019.0,726.61
2010-03-29,166.5,167.85,159.45,160.5,160.1,435332.0,706.1
2010-03-30,160.0,162.2,159.5,161.2,161.0,245347.0,395.58
2010-03-31,161.0,162.0,157.55,158.85,158.8,868195.0,1382.75
2010-04-01,159.3,160.75,157.65,158.35,158.75,477321.0,758.96
2010-04-05,159.0,165.95,158.0,163.45,163.7,508078.0,820.76
2010-04-06,161.0,169.65,160.5,169.0,167.9,1141360.0,1888.92
2010-04-07,167.9,169.1,164.55,167.4,166.65,322483.0,537.11
2010-04-08,167.0,171.15,165.15,170.9,170.0,588005.0,988.89
2010-04-09,171.0,177.9,171.0,177.2,176.8,1101017.0,1925.18
2010-04-12,179.0,179.5,176.15,178.95,178.05,2136300.0,3811.28
2010-04-13,178.0,178.1,175.4,176.9,176.8,220017.0,389.07
2010-04-15,177.75,180.0,175.3,177.3,178.5,354243.0,630.22
2010-04-16,179.0,180.0,175.1,179.6,178.9,228401.0,404.6
2010-04-19,177.15,182.7,174.6,175.15,175.05,546195.0,973.07
2010-04-20,175.05,176.5,173.0,176.4,175.35,329913.0,575.01
2010-04-21,176.0,177.55,175.0,175.0,175.75,159635.0,281.08
2010-04-22,175.0,178.4,174.25,178.4,176.6,1048488.0,1842.07
2010-04-23,178.0,180.0,176.0,177.3,177.3,208815.0,371.4
2010-04-26,178.0,178.5,177.0,177.6,177.55,365324.0,648.64
2010-04-27,177.5,179.75,176.9,178.0,177.85,250561.0,446.83
2010-04-28,177.1,181.6,174.25,181.55,180.35,703888.0,1258.57
2010-04-29,182.75,185.75,180.1,181.5,181.35,631504.0,1153.63
2010-04-30,183.0,183.5,178.8,179.1,180.3,152185.0,274.9
2010-05-03,181.0,186.8,177.35,182.0,181.9,380231.0,691.8
2010-05-04,181.9,184.4,181.0,184.4,182.35,498136.0,909.44
2010-05-05,181.0,187.0,180.0,184.95,185.8,2862127.0,5214.61
2010-05-06,186.0,190.0,184.15,189.2,188.65,1118862.0,2098.07
2010-05-07,185.0,190.85,179.5,180.0,180.05,615762.0,1120.94
2010-05-10,183.1,183.9,179.1,181.0,180.8,563655.0,1020.93
2010-05-11,183.0,183.0,176.9,178.0,178.0,658785.0,1177.26
2010-05-12,178.0,178.9,176.35,177.75,177.15,270768.0,481.2
2010-05-13,181.2,182.9,177.0,178.75,177.85,297502.0,530.76
