Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-21,350.0,367.5,333.2,352.0,352.05,1718707.0,6012.35
2017-09-22,345.0,345.0,334.45,336.0,334.75,551969.0,1853.73
2017-09-25,322.0,334.8,318.05,328.9,329.9,558820.0,1819.3
2017-09-26,320.0,326.0,313.45,313.45,313.45,295170.0,929.64
2017-09-27,305.0,313.45,297.8,300.0,306.35,360172.0,1103.22
2017-09-28,300.0,321.65,291.05,321.65,321.65,738254.0,2334.62
2017-09-29,324.9,337.7,324.9,337.7,337.7,706606.0,2385.43
2017-10-03,347.8,347.8,322.2,335.0,337.9,249948.0,852.83
2017-10-04,332.05,340.0,321.05,327.0,327.75,99059.0,326.07
2017-10-05,328.0,332.0,311.4,327.8,323.25,167534.0,527.64
2017-10-06,330.0,344.0,324.05,324.15,327.0,278393.0,925.52
2017-10-09,325.0,329.9,314.3,315.0,316.75,175505.0,566.53
2017-10-10,316.1,321.85,293.7,300.8,301.35,202788.0,623.07
2017-10-11,301.0,305.35,295.1,298.5,296.8,144848.0,434.33
2017-10-12,298.0,299.0,293.0,296.3,296.2,133374.0,396.56
2017-10-13,298.95,299.9,291.25,291.25,294.9,85816.0,253.53
2017-10-16,296.75,320.0,290.0,309.05,309.5,314744.0,973.97
2017-10-17,301.5,308.1,299.0,299.65,300.4,118592.0,357.35
2017-10-18,298.1,307.25,297.05,301.0,300.4,136200.0,410.63
2017-10-19,300.4,304.0,296.15,298.9,298.55,39115.0,117.52
2017-10-23,300.0,303.9,293.1,300.4,297.75,165510.0,491.8
2017-10-24,300.4,310.5,296.25,301.5,302.7,288776.0,879.33
2017-10-25,302.55,308.65,295.5,295.5,296.8,88617.0,264.27
2017-10-26,296.55,299.85,293.0,294.3,295.15,88335.0,261.7
2017-10-27,295.0,298.45,293.05,294.25,295.7,77851.0,230.32
2017-10-30,297.05,297.05,291.5,293.7,295.3,93823.0,276.09
2017-10-31,295.85,298.35,293.1,296.25,297.15,94174.0,278.18
2017-11-01,296.0,299.05,293.2,295.0,296.8,138981.0,411.91
2017-11-02,295.1,307.4,294.35,303.0,303.55,168978.0,511.55
2017-11-03,305.05,313.8,303.4,309.0,308.8,321811.0,992.38
2017-11-06,308.0,308.65,302.0,305.0,306.9,74365.0,227.92
2017-11-07,306.1,307.0,296.0,303.1,301.0,125349.0,378.02
2017-11-08,301.0,304.2,292.0,300.95,297.95,90519.0,268.8
2017-11-09,300.05,305.65,283.2,285.0,287.15,242145.0,705.94
2017-11-10,297.5,309.0,286.95,305.05,305.65,452927.0,1350.24
2017-11-13,305.0,305.0,290.1,290.5,292.15,215384.0,632.53
2017-11-14,293.0,294.95,286.25,289.8,291.0,79781.0,232.02
2017-11-15,291.0,294.0,281.0,281.05,282.85,104399.0,296.9
2017-11-16,287.95,288.0,277.0,278.1,278.5,75365.0,210.93
2017-11-17,280.9,285.0,274.95,281.0,282.25,124076.0,348.9
2017-11-20,285.0,285.0,276.35,279.5,282.85,57676.0,162.76
2017-11-21,283.65,293.95,282.6,292.9,292.35,145621.0,423.27
2017-11-22,295.05,296.95,290.5,293.0,292.05,113218.0,331.83
2017-11-23,297.1,305.0,297.1,300.2,300.85,252457.0,761.43
2017-11-24,296.25,308.5,296.25,303.0,305.85,157486.0,478.41
