Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,215.0,223.0,215.0,223.0,218.9,1395.0,3.02
2010-01-05,218.0,229.0,218.0,229.0,226.25,1863.0,4.21
2010-01-06,234.8,235.0,227.25,231.5,229.5,1458.0,3.36
2010-01-07,226.25,234.7,225.2,225.4,226.6,2647.0,6.09
2010-01-08,234.0,235.0,225.05,226.25,226.45,1227.0,2.8
2010-01-11,226.25,248.0,226.25,234.5,233.75,5438.0,12.76
2010-01-12,234.1,240.0,234.0,234.0,234.85,3374.0,8.03
2010-01-13,236.9,239.95,230.0,234.0,233.75,1513.0,3.56
2010-01-14,239.0,239.25,233.0,237.0,235.55,1174.0,2.78
2010-01-15,247.85,247.85,234.0,234.0,237.45,2204.0,5.29
2010-01-18,239.5,240.0,230.3,230.3,234.2,1432.0,3.41
2010-01-19,239.95,239.95,234.0,234.0,234.85,1172.0,2.77
2010-01-20,235.0,235.0,220.25,228.3,228.5,1535.0,3.54
2010-01-21,234.5,234.5,220.25,224.8,222.55,960.0,2.16
2010-01-22,217.0,227.2,215.0,219.25,219.45,385.0,0.84
2010-01-25,220.15,220.9,215.4,218.4,217.85,605.0,1.32
2010-01-27,219.95,219.95,210.0,210.0,210.0,486.0,1.04
2010-01-28,214.5,218.0,213.25,215.0,215.0,441.0,0.95
2010-01-29,209.0,210.0,200.35,208.0,205.4,1073.0,2.2
2010-02-01,200.0,200.0,193.2,194.5,194.85,5195.0,10.16
2010-02-02,195.6,198.7,190.5,191.05,192.05,2313.0,4.51
2010-02-03,192.1,195.0,190.0,193.0,193.45,1588.0,3.06
2010-02-04,199.5,199.5,190.35,190.35,191.9,508.0,0.98
2010-02-05,199.0,200.0,191.0,191.05,191.6,5953.0,11.56
2010-02-06,191.7,191.7,191.7,191.7,191.7,310.0,0.59
2010-02-08,191.0,191.0,188.0,190.0,190.0,1260.0,2.39
2010-02-09,191.0,194.95,189.0,190.0,190.1,863.0,1.65
2010-02-10,186.65,194.8,186.65,192.8,190.3,856.0,1.63
2010-02-11,190.25,191.8,190.0,190.75,190.75,706.0,1.35
2010-02-15,191.0,193.0,190.0,192.0,191.4,683.0,1.3
2010-02-16,190.0,195.8,190.0,195.8,194.15,292.0,0.56
2010-02-17,195.0,195.0,188.05,190.5,190.5,4846.0,9.24
2010-02-18,200.0,200.0,190.0,190.55,190.55,805.0,1.54
2010-02-19,190.45,194.5,180.5,192.95,192.95,210.0,0.4
2010-02-22,199.0,199.0,187.0,187.0,187.4,4067.0,7.69
2010-02-23,185.3,188.25,185.0,187.0,187.0,4508.0,8.43
2010-02-24,182.25,187.95,181.2,183.4,183.45,2981.0,5.48
2010-02-25,184.0,184.0,184.0,184.0,184.0,51.0,0.09
2010-02-26,181.2,189.75,180.0,189.75,189.75,2024.0,3.68
2010-03-02,198.0,198.0,183.95,187.9,184.6,2806.0,5.19
2010-03-03,196.0,196.0,183.0,183.0,183.3,1280.0,2.36
2010-03-04,187.0,187.0,183.5,183.5,183.55,257.0,0.48
