Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,63.0,64.0,61.4,63.05,63.05,1056.0,0.67
2010-01-05,64.75,65.25,62.55,64.0,64.0,1231.0,0.79
2010-01-06,65.25,67.2,64.7,66.9,66.75,761.0,0.5
2010-01-07,64.05,68.75,64.05,64.75,64.75,124.0,0.08
2010-01-08,64.9,66.9,64.9,66.9,66.9,302.0,0.2
2010-01-11,69.3,72.9,68.25,69.1,71.3,1953.0,1.38
2010-01-12,71.0,71.0,68.0,68.6,68.6,525.0,0.36
2010-01-13,71.95,72.5,68.1,68.75,68.9,2626.0,1.85
2010-01-14,69.0,70.95,68.15,69.0,69.0,1570.0,1.09
2010-01-15,64.0,71.0,64.0,71.0,71.0,829.0,0.58
2010-01-18,69.0,69.0,68.1,68.15,68.15,175.0,0.12
2010-01-19,70.0,71.25,70.0,71.25,70.7,299.0,0.21
2010-01-20,70.0,71.0,68.0,68.15,68.15,1527.0,1.05
2010-01-21,68.05,68.05,68.0,68.0,68.0,900.0,0.61
2010-01-22,61.5,68.0,61.5,63.55,63.55,123.0,0.08
2010-01-25,64.5,64.5,64.45,64.45,64.45,150.0,0.1
2010-01-27,69.95,69.95,63.2,63.2,63.2,645.0,0.43
2010-01-28,65.1,68.3,63.0,63.0,63.0,922.0,0.6
2010-01-29,63.0,65.85,61.0,61.0,61.85,1115.0,0.71
2010-02-01,65.2,66.2,61.8,66.2,66.2,1245.0,0.79
2010-02-02,64.1,68.35,64.0,64.0,64.25,543.0,0.36
2010-02-04,67.5,67.5,62.1,62.1,62.2,136.0,0.09
2010-02-05,59.0,60.0,59.0,59.55,59.55,219.0,0.13
2010-02-06,57.0,57.0,57.0,57.0,57.0,50.0,0.03
2010-02-10,60.15,60.15,60.15,60.15,60.15,1.0,0.0
2010-02-11,59.5,59.5,58.0,58.0,58.0,20.0,0.01
2010-02-15,58.6,63.0,58.6,63.0,61.1,3383.0,2.06
2010-02-16,66.5,66.5,63.0,63.1,63.1,7153.0,4.63
2010-02-17,60.0,63.0,60.0,61.0,61.0,125.0,0.08
2010-02-18,63.0,63.0,60.05,60.05,60.55,206.0,0.13
2010-02-19,59.0,59.0,58.3,58.3,58.3,102.0,0.06
2010-02-22,58.25,63.95,58.25,60.1,60.15,1040.0,0.64
2010-02-23,57.8,61.0,57.0,60.0,59.0,1031.0,0.6
2010-02-24,59.0,60.55,58.15,60.55,60.55,2075.0,1.23
2010-02-25,58.05,58.25,58.0,58.25,58.25,190.0,0.11
2010-02-26,63.9,63.9,56.4,59.9,59.9,2601.0,1.58
2010-03-02,56.85,61.85,56.85,60.0,60.0,500.0,0.3
2010-03-03,62.0,63.95,58.1,62.3,62.15,759.0,0.46
2010-03-04,57.9,66.3,57.9,62.8,60.05,1306.0,0.8
2010-03-05,57.0,64.4,57.0,62.85,62.85,1600.0,0.97
2010-03-08,64.25,67.4,62.45,62.75,63.9,14204.0,9.21
2010-03-09,70.0,70.0,62.0,62.0,62.0,2417.0,1.56
2010-03-10,62.5,65.25,62.5,64.5,64.5,193.0,0.12
2010-03-11,61.0,65.9,61.0,64.7,64.7,2252.0,1.44
2010-03-12,64.95,65.0,64.95,65.0,65.0,1445.0,0.94
2010-03-15,65.5,66.1,63.0,63.15,63.2,1067.0,0.69
2010-03-16,63.1,65.6,63.0,63.0,63.0,202.0,0.13
2010-03-17,64.5,64.5,62.0,62.45,62.75,550.0,0.35
2010-03-18,64.5,65.9,61.05,61.05,61.75,4621.0,2.9
2010-03-19,62.15,63.95,61.6,61.7,61.7,2266.0,1.41
2010-03-22,64.5,72.0,63.0,67.05,67.6,37555.0,25.97
2010-03-23,67.25,78.75,67.25,75.5,76.25,59618.0,44.81
2010-03-25,77.5,81.9,75.35,79.65,77.7,18110.0,14.32
2010-03-26,75.25,80.0,72.1,72.2,72.35,6647.0,5.03
2010-03-29,79.8,79.8,67.0,68.0,67.85,3829.0,2.73
2010-03-30,71.5,71.5,66.0,66.5,66.55,2309.0,1.57
2010-03-31,70.0,70.0,67.0,70.0,69.95,612.0,0.42
2010-04-01,73.8,73.8,68.6,70.0,69.95,3883.0,2.71
2010-04-05,70.0,82.25,68.8,79.2,79.9,21769.0,16.86
2010-04-06,85.0,86.5,79.05,82.25,82.6,26609.0,22.13
2010-04-07,82.15,91.8,80.8,86.55,87.2,39535.0,34.68
2010-04-08,87.8,89.0,82.3,83.05,83.1,13203.0,11.24
2010-04-09,85.0,86.75,81.1,81.1,84.6,1881.0,1.6
2010-04-12,83.25,84.4,81.25,82.0,82.5,2440.0,2.02
2010-04-13,86.9,86.9,81.0,81.05,81.75,3380.0,2.84
2010-04-15,82.0,84.5,78.3,82.1,79.15,7956.0,6.4
2010-04-16,79.2,79.7,76.5,76.5,76.7,2430.0,1.89
2010-04-19,76.55,82.0,71.75,78.05,78.6,10180.0,8.04
2010-04-20,78.15,81.2,78.15,80.9,80.9,433.0,0.35
2010-04-21,76.6,94.0,76.6,93.85,90.3,31355.0,27.71
2010-04-22,95.0,103.0,94.0,96.3,95.8,345153.0,339.05
2010-04-23,97.0,97.0,90.35,91.45,91.65,46115.0,43.42
2010-04-26,89.5,92.0,85.6,92.0,90.65,17573.0,15.52
2010-04-27,85.65,88.75,85.65,87.45,86.55,4582.0,4.01
2010-04-28,85.0,85.0,80.35,83.0,83.3,12563.0,10.4
2010-04-29,84.15,85.55,81.55,83.7,83.45,6051.0,5.05
2010-04-30,83.6,85.0,81.55,81.55,82.45,6040.0,5.04
2010-05-03,81.6,81.6,76.15,77.1,77.05,5131.0,4.03
2010-05-04,77.5,85.0,76.2,78.1,77.95,44690.0,36.77
2010-05-05,75.0,79.45,75.0,76.8,77.75,4227.0,3.26
2010-05-06,80.0,80.4,76.05,76.25,76.55,7803.0,6.06
2010-05-07,76.0,76.0,70.55,70.65,71.85,8004.0,5.9
2010-05-10,72.95,74.5,72.1,72.1,73.1,4063.0,2.98
2010-05-11,73.0,77.8,71.6,73.8,73.55,51662.0,38.91
2010-05-12,87.0,87.0,72.0,74.55,73.65,4204.0,3.13
2010-05-13,88.0,88.0,72.95,74.5,73.7,1184.0,0.89
2010-05-14,88.0,88.0,72.0,72.0,72.45,2274.0,1.68
2010-05-17,85.0,85.0,70.0,70.05,70.0,2274.0,1.61
2010-05-18,84.0,84.0,70.0,71.7,72.4,1256.0,0.9
2010-05-19,85.0,85.0,69.7,70.0,70.0,1219.0,0.86
2010-05-20,71.65,71.65,68.15,69.2,68.6,1214.0,0.84
2010-05-21,68.0,68.0,64.6,65.95,65.55,12504.0,8.2
2010-05-24,66.0,67.75,65.6,65.6,65.8,2418.0,1.61
2010-05-25,65.0,65.0,60.0,60.0,61.05,2881.0,1.78
2010-05-26,61.0,64.0,59.95,60.85,60.95,6715.0,4.11
2010-05-27,60.9,62.85,60.45,60.5,60.5,3900.0,2.41
2010-05-28,61.25,72.6,61.25,72.6,72.1,83494.0,58.77
2010-05-31,72.65,76.65,70.0,71.6,71.3,23830.0,17.26
2010-06-01,71.9,71.9,67.0,67.0,67.85,2450.0,1.69
2010-06-02,66.05,72.8,66.05,71.4,71.3,6737.0,4.77
2010-06-03,71.2,72.5,70.05,72.0,70.55,1339.0,0.95
2010-06-04,72.0,72.0,69.1,69.5,69.5,536.0,0.37
2010-06-07,64.2,73.5,64.2,69.55,69.7,9588.0,6.67
2010-06-08,66.2,70.5,66.2,68.9,68.9,810.0,0.56
2010-06-09,67.05,69.95,67.05,68.45,67.4,737.0,0.5
2010-06-10,66.2,70.4,66.2,70.0,68.95,1751.0,1.22
2010-06-11,67.25,71.2,67.25,68.9,68.4,655.0,0.45
2010-06-14,68.1,70.8,68.1,69.15,69.15,1047.0,0.73
2010-06-15,70.0,70.0,68.4,68.4,68.4,275.0,0.19
2010-06-16,69.75,70.95,69.0,69.0,69.0,1093.0,0.76
2010-06-17,69.95,70.0,68.1,68.15,68.55,3787.0,2.6
2010-06-18,69.85,69.85,66.55,66.6,68.0,4565.0,3.15
2010-06-21,68.0,69.0,67.0,67.0,67.55,3047.0,2.08
2010-06-22,69.4,69.4,65.45,65.9,66.95,4537.0,3.06
2010-06-23,67.0,67.9,66.0,66.65,66.65,1093.0,0.73
2010-06-24,65.8,69.8,65.8,69.75,69.25,972.0,0.67
2010-06-25,66.55,68.7,66.55,66.6,66.7,527.0,0.36
2010-06-28,69.85,69.85,66.85,67.3,67.3,1142.0,0.78
2010-06-29,67.2,69.2,66.75,67.9,67.9,2575.0,1.75
2010-06-30,68.8,69.0,66.3,66.3,67.45,3785.0,2.57
2010-07-01,64.2,68.75,64.2,66.55,66.9,436.0,0.29
2010-07-02,66.05,68.6,65.25,66.4,66.3,3243.0,2.15
2010-07-05,66.0,69.5,64.85,65.6,65.6,2224.0,1.5
2010-07-06,68.4,69.45,67.1,69.0,68.5,3454.0,2.36
2010-07-07,68.0,69.0,66.65,66.65,67.15,1493.0,1.01
2010-07-08,69.95,69.95,67.3,67.55,67.55,477.0,0.33
2010-07-09,68.35,70.0,68.1,68.4,68.4,920.0,0.63
2010-07-12,70.4,72.5,67.4,71.5,71.05,16313.0,11.42
2010-07-13,71.5,72.6,70.6,71.6,72.4,9813.0,7.01
2010-07-14,71.05,73.85,71.05,72.25,72.85,7032.0,5.09
2010-07-15,75.0,75.0,71.5,72.7,72.35,11036.0,8.02
2010-07-16,74.0,74.0,68.65,70.5,71.85,13013.0,9.37
2010-07-19,70.05,71.95,69.0,69.75,69.7,1750.0,1.22
2010-07-20,71.5,71.5,68.15,68.15,68.8,943.0,0.65
2010-07-21,69.15,70.6,68.4,70.35,70.35,572.0,0.4
2010-07-22,69.65,71.0,69.6,71.0,71.0,119.0,0.08
2010-07-23,69.5,71.25,68.15,68.15,68.15,3027.0,2.09
2010-07-26,67.0,72.4,67.0,68.0,69.15,16884.0,11.74
2010-07-27,70.3,71.0,68.1,68.35,68.45,7081.0,4.93
2010-07-28,72.0,72.0,68.0,69.8,70.6,3203.0,2.26
2010-07-29,71.45,71.5,66.55,66.55,67.6,2689.0,1.85
2010-07-30,68.0,72.5,67.3,71.6,71.7,4525.0,3.18
2010-08-02,73.8,86.0,73.8,78.0,79.15,86513.0,69.61
2010-08-03,77.5,78.95,75.7,75.7,76.2,5771.0,4.45
2010-08-04,81.0,81.45,76.0,79.0,79.8,37194.0,29.63
2010-08-05,78.15,80.95,76.7,78.0,77.2,5332.0,4.19
2010-08-06,80.0,80.0,73.6,75.3,75.95,6316.0,4.91
2010-08-09,73.0,79.5,73.0,77.3,78.3,3756.0,2.93
2010-08-10,78.3,89.95,75.5,89.5,88.15,132599.0,115.95
2010-08-11,89.0,89.0,81.4,81.95,82.55,23154.0,19.86
2010-08-12,82.0,83.0,78.15,81.5,81.2,11765.0,9.55
2010-08-13,82.45,96.0,80.0,94.55,94.55,297498.0,269.68
2010-08-16,95.6,98.5,91.1,93.5,95.5,505482.0,486.48
2010-08-17,94.95,94.95,86.45,87.35,87.65,34148.0,30.83
2010-08-18,87.0,87.0,83.6,84.0,84.15,14943.0,12.75
2010-08-19,84.25,88.0,84.25,84.25,84.9,12853.0,11.07
2010-08-20,82.0,85.5,81.7,81.8,82.2,4729.0,3.91
2010-08-23,81.7,81.7,78.1,79.15,79.15,5848.0,4.65
2010-08-24,78.2,78.9,77.0,77.25,77.25,2299.0,1.79
2010-08-25,75.4,77.75,75.4,77.75,77.7,3134.0,2.41
2010-08-26,75.35,77.9,75.25,76.1,76.75,1787.0,1.36
2010-08-27,79.0,79.0,76.55,77.0,77.0,1886.0,1.47
2010-08-30,74.35,76.5,74.1,75.0,74.7,3156.0,2.38
2010-08-31,72.6,74.5,72.5,72.7,72.7,1116.0,0.81
2010-09-01,74.5,75.0,72.3,75.0,75.0,2136.0,1.57
2010-09-02,77.9,77.9,72.3,76.8,76.65,391.0,0.3
2010-09-03,74.2,78.95,74.2,76.45,76.45,1405.0,1.08
2010-09-06,74.2,79.4,74.05,79.2,79.2,1545.0,1.21
2010-09-07,79.4,80.4,78.15,79.75,79.8,2542.0,2.03
2010-09-08,76.25,79.55,76.25,77.45,77.45,868.0,0.68
2010-09-09,77.5,81.35,77.5,79.1,80.95,2978.0,2.37
2010-09-13,79.95,80.0,78.2,80.0,80.0,2955.0,2.36
2010-09-14,76.7,80.0,76.7,78.0,78.0,1746.0,1.37
2010-09-15,77.05,79.4,77.0,78.0,78.0,1157.0,0.89
2010-09-16,77.0,78.15,77.0,78.15,78.15,60.0,0.05
2010-09-17,78.0,79.5,77.0,77.15,77.5,1326.0,1.03
2010-09-20,78.6,79.0,77.05,77.3,77.3,1256.0,0.98
2010-09-21,76.05,80.6,76.0,80.6,79.45,5276.0,4.08
2010-09-22,80.7,82.0,77.4,79.95,78.15,751.0,0.59
2010-09-23,77.1,79.8,77.0,79.6,78.95,968.0,0.76
2010-09-24,79.0,79.0,78.0,79.0,78.6,658.0,0.52
2010-09-27,78.5,81.9,78.25,80.75,79.95,817.0,0.65
2010-09-28,82.0,82.0,77.0,78.6,77.15,2859.0,2.24
2010-09-29,79.0,79.4,78.5,78.5,78.5,898.0,0.71
2010-09-30,76.75,77.5,75.7,76.65,76.7,901.0,0.69
2010-10-01,78.9,78.9,77.35,78.7,78.7,1015.0,0.79
2010-10-04,78.0,79.5,77.0,77.55,77.9,1495.0,1.17
2010-10-05,79.2,79.5,77.5,77.5,78.75,554.0,0.44
2010-10-06,79.8,80.5,78.0,80.0,80.0,1927.0,1.53
2010-10-07,78.25,81.0,78.25,78.5,78.5,1773.0,1.4
2010-10-08,78.5,80.2,78.3,78.3,78.3,735.0,0.59
2010-10-11,81.95,81.95,76.25,77.0,77.0,51.0,0.04
2010-10-12,76.15,76.3,76.0,76.3,76.3,1180.0,0.9
2010-10-13,77.5,77.5,76.15,76.15,76.15,1229.0,0.94
2010-10-14,76.5,76.6,76.5,76.6,76.6,325.0,0.25
2010-10-15,77.0,77.0,77.0,77.0,77.0,50.0,0.04
2010-10-18,80.5,80.5,75.25,78.0,78.0,740.0,0.58
2010-10-19,78.6,79.0,76.75,78.0,78.0,396.0,0.31
2010-10-20,76.5,76.5,76.5,76.5,76.5,50.0,0.04
2010-10-21,79.5,79.5,77.0,79.0,78.3,151.0,0.12
2010-10-22,79.0,79.0,77.15,77.3,77.3,446.0,0.35
2010-10-25,78.0,79.0,77.15,78.5,78.5,576.0,0.45
2010-10-26,77.5,77.7,77.5,77.7,77.7,300.0,0.23
2010-10-27,80.75,80.75,77.0,77.8,77.8,721.0,0.56
2010-10-28,79.0,79.0,77.0,77.0,77.0,201.0,0.16
2010-10-29,76.2,78.75,76.0,78.75,77.05,702.0,0.53
2010-11-01,76.05,77.8,76.0,77.2,77.2,166.0,0.13
2010-11-02,76.0,76.0,75.05,75.05,75.05,160.0,0.12
2010-11-03,74.55,77.0,74.55,77.0,77.0,1360.0,1.04
2010-11-04,75.05,77.45,75.05,77.45,77.45,325.0,0.25
2010-11-08,77.5,77.5,75.35,76.85,77.1,2785.0,2.14
2010-11-09,77.25,77.25,73.25,75.5,75.4,14146.0,10.53
2010-11-10,74.5,76.3,74.4,76.3,76.3,520.0,0.39
2010-11-11,76.0,78.0,75.85,76.15,77.05,1735.0,1.33
2010-11-12,77.0,77.75,74.35,74.45,74.45,1650.0,1.24
2010-11-15,75.55,75.55,71.55,71.7,72.7,2134.0,1.59
2010-11-16,72.0,72.45,71.0,71.7,71.7,2879.0,2.07
2010-11-18,70.0,70.0,70.0,70.0,70.0,1900.0,1.33
2010-11-19,70.0,70.0,67.35,69.0,69.5,705.0,0.49
2010-11-22,69.5,69.85,67.3,69.85,67.45,264.0,0.18
2010-11-23,66.65,69.5,66.5,69.5,69.5,310.0,0.21
2010-11-24,68.0,68.0,66.8,66.8,66.8,470.0,0.32
2010-11-25,65.05,65.05,65.05,65.05,65.05,10.0,0.01
2010-11-26,65.05,66.0,63.0,66.0,64.55,2905.0,1.86
2010-11-29,62.0,62.5,62.0,62.5,62.5,100.0,0.06
2010-11-30,64.0,65.6,64.0,64.6,64.6,313.0,0.2
2010-12-01,65.0,67.85,65.0,67.8,67.8,1030.0,0.68
2010-12-02,67.0,69.45,66.95,69.45,69.45,80.0,0.05
2010-12-03,69.95,69.95,68.0,68.0,68.0,113.0,0.08
2010-12-06,71.0,71.15,69.0,69.0,69.1,425.0,0.3
2010-12-07,71.0,71.0,67.95,67.95,67.95,752.0,0.51
2010-12-08,65.1,68.7,65.1,66.05,66.05,328.0,0.22
2010-12-10,66.5,67.0,64.25,67.0,66.95,398.0,0.27
2010-12-13,66.5,67.0,64.15,67.0,67.0,947.0,0.63
2010-12-14,66.75,69.4,66.75,67.0,67.8,960.0,0.65
2010-12-15,65.55,67.8,65.55,66.55,66.6,55.0,0.04
2010-12-16,67.6,68.7,65.05,68.7,67.85,17.0,0.01
2010-12-20,64.85,67.6,64.85,64.9,64.9,200.0,0.13
2010-12-21,66.25,66.25,64.0,64.0,64.0,201.0,0.13
2010-12-22,62.8,66.7,62.8,66.7,65.4,66.0,0.04
2010-12-23,64.1,66.75,64.1,66.75,65.45,1303.0,0.85
2010-12-24,67.0,67.0,65.0,65.9,65.75,340.0,0.22
2010-12-27,63.0,64.0,62.85,64.0,64.0,95.0,0.06
2010-12-28,64.15,64.35,64.1,64.35,64.35,421.0,0.27
2010-12-29,63.3,66.0,63.3,66.0,66.0,456.0,0.3
2010-12-30,66.1,66.5,64.8,66.5,66.5,365.0,0.24
2010-12-31,64.25,67.0,64.25,66.9,66.45,699.0,0.46
2011-01-03,65.6,69.7,65.6,68.25,68.65,1471.0,1.01
2011-01-04,68.25,72.1,68.25,72.1,72.1,1186.0,0.85
2011-01-05,73.8,75.75,73.5,74.5,74.45,1104.0,0.83
2011-01-06,76.0,76.0,70.9,70.9,71.15,1660.0,1.19
2011-01-07,69.0,69.1,69.0,69.0,69.0,234.0,0.16
2011-01-10,68.05,69.9,68.0,68.0,68.1,203.0,0.14
2011-01-11,66.6,72.9,66.5,67.1,67.0,1022.0,0.69
2011-01-12,66.6,68.0,66.6,68.0,68.0,410.0,0.28
2011-01-13,66.65,68.55,66.65,66.75,67.75,690.0,0.47
2011-01-14,72.9,72.9,67.5,68.5,68.35,1001.0,0.68
2011-01-17,75.0,75.0,62.0,68.0,66.4,352.0,0.22
2011-01-18,64.75,68.5,64.75,68.0,67.9,2476.0,1.68
2011-01-19,66.3,67.05,65.2,67.0,67.0,406.0,0.27
2011-01-20,68.8,70.0,66.5,70.0,69.15,406.0,0.28
2011-01-21,72.0,76.0,66.7,66.7,67.5,4114.0,2.87
2011-01-24,70.8,70.8,68.0,70.0,70.0,1220.0,0.84
2011-01-25,68.0,68.0,68.0,68.0,68.0,20.0,0.01
2011-01-27,66.55,70.0,66.55,68.5,68.75,1506.0,1.04
2011-01-28,68.5,68.8,63.8,64.5,64.4,2252.0,1.48
2011-01-31,61.1,64.9,60.8,63.25,62.15,2388.0,1.49
2011-02-01,62.0,64.2,62.0,64.2,64.2,1110.0,0.7
2011-02-02,62.0,63.75,62.0,62.6,62.6,1295.0,0.81
2011-02-03,65.3,68.6,65.0,67.0,66.95,442.0,0.3
2011-02-04,67.0,68.0,66.0,66.0,66.0,1390.0,0.93
2011-02-07,69.0,69.9,67.0,67.15,67.75,657.0,0.45
2011-02-08,66.6,68.0,66.3,67.75,67.75,658.0,0.44
2011-02-09,64.1,66.0,64.1,66.0,64.4,168.0,0.11
2011-02-10,61.5,63.3,61.5,63.3,63.3,582.0,0.37
2011-02-11,62.75,65.0,62.7,62.7,62.7,100.0,0.06
2011-02-14,63.0,67.7,63.0,67.7,67.7,1318.0,0.86
2011-02-15,65.55,65.55,63.5,63.65,63.65,3760.0,2.41
2011-02-16,63.7,68.0,63.65,68.0,68.0,1121.0,0.75
2011-02-17,69.5,74.8,69.0,74.8,74.8,32114.0,23.73
2011-02-18,75.0,79.9,74.25,76.0,75.0,17371.0,13.5
2011-02-21,74.25,75.5,73.55,75.1,75.3,2488.0,1.86
2011-02-22,75.5,76.75,74.75,75.5,75.25,2568.0,1.93
2011-02-23,74.0,74.7,73.6,74.7,74.35,2395.0,1.77
2011-02-24,73.0,77.7,72.25,72.25,74.75,1700.0,1.26
2011-02-25,72.25,75.6,71.0,75.6,73.3,551.0,0.4
2011-02-28,72.5,75.45,72.5,75.45,73.95,30.0,0.02
2011-03-01,72.5,76.85,72.5,76.85,76.85,1541.0,1.16
2011-03-03,76.85,78.0,75.9,78.0,77.75,2297.0,1.77
2011-03-04,78.0,81.0,78.0,78.2,78.25,3242.0,2.58
2011-03-07,76.5,79.4,75.75,77.3,77.4,1436.0,1.11
