Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,100.6,103.25,100.0,103.25,103.25,17669.0,18.09
2010-01-05,107.95,108.45,107.95,108.45,108.45,15118.0,16.39
2010-01-06,113.7,113.9,109.0,112.0,112.1,69028.0,77.28
2010-01-07,116.8,116.8,107.55,109.05,109.55,23023.0,25.56
2010-01-08,108.6,111.5,108.45,110.0,110.45,34090.0,37.58
2010-01-11,115.0,115.0,105.95,111.0,110.55,30096.0,33.84
2010-01-12,113.2,113.2,106.0,108.0,107.35,15728.0,17.18
2010-01-13,104.2,111.95,103.0,111.4,110.75,8737.0,9.28
2010-01-14,103.2,113.05,103.2,109.9,108.85,6386.0,6.97
2010-01-15,106.4,119.75,106.4,119.75,118.55,89390.0,103.78
2010-01-18,122.0,125.25,116.0,121.0,124.55,65212.0,79.98
2010-01-19,119.05,122.95,114.0,114.0,114.6,29457.0,34.59
2010-01-20,113.8,115.0,110.05,112.0,112.05,16465.0,18.5
2010-01-21,108.1,113.0,106.0,106.95,106.85,15680.0,16.96
2010-01-22,105.95,106.75,100.0,103.25,103.3,18890.0,19.5
2010-01-25,105.0,105.0,100.0,100.0,101.2,29194.0,29.66
2010-01-27,99.1,101.1,94.0,95.7,95.0,14603.0,14.3
2010-01-28,98.55,100.4,92.05,93.1,93.2,8682.0,8.32
2010-01-29,90.0,94.85,88.0,94.0,93.5,24693.0,22.41
2010-02-01,94.0,102.85,94.0,102.85,102.85,36430.0,36.36
2010-02-02,102.1,110.45,99.0,102.75,102.2,22125.0,23.05
2010-02-03,102.65,102.65,99.0,100.0,100.5,13620.0,13.82
2010-02-04,99.0,100.95,90.45,91.3,90.5,34598.0,31.88
2010-02-05,85.0,91.5,81.45,82.0,81.95,33872.0,28.03
2010-02-06,82.0,88.0,82.0,87.9,86.55,9342.0,7.96
2010-02-08,87.9,87.9,77.9,79.4,78.85,43103.0,34.59
2010-02-09,80.0,82.0,74.95,76.5,75.3,35407.0,27.63
2010-02-10,78.0,78.0,71.55,72.0,71.8,34572.0,25.72
2010-02-11,73.9,75.4,73.25,75.4,75.4,26063.0,19.5
2010-02-15,77.3,78.05,72.0,74.0,73.65,11029.0,8.28
2010-02-16,76.8,76.8,72.65,74.25,73.15,9132.0,6.75
2010-02-17,71.0,76.85,71.0,76.35,76.65,13957.0,10.58
2010-02-18,76.6,78.5,72.85,72.85,72.85,22453.0,16.83
2010-02-19,72.7,72.7,69.25,69.25,69.3,9183.0,6.44
2010-02-22,71.0,72.8,66.05,66.1,66.8,39976.0,27.57
2010-02-23,66.85,67.0,63.6,63.6,63.95,15616.0,10.15
2010-02-24,63.05,65.75,60.75,65.0,65.05,34433.0,21.66
2010-02-25,66.0,66.0,61.8,61.8,62.15,25250.0,16.03
2010-02-26,60.55,65.0,60.0,62.05,63.0,23473.0,14.84
2010-03-02,62.5,62.85,59.85,60.0,60.1,56448.0,34.15
2010-03-03,57.55,63.15,57.55,63.15,63.15,23846.0,14.84
2010-03-04,63.65,66.2,61.5,63.1,62.9,70879.0,45.82
2010-03-05,65.0,65.4,63.0,63.9,63.55,20408.0,13.09
2010-03-08,65.95,66.75,63.95,66.75,66.75,27968.0,18.43
2010-03-09,68.05,69.1,65.0,66.0,65.8,18957.0,12.77
2010-03-10,64.6,64.6,62.55,62.55,62.75,22092.0,13.94
2010-03-11,63.0,64.9,59.65,63.0,62.7,65475.0,41.0
2010-03-12,62.5,62.5,59.6,59.6,59.75,37188.0,22.33
2010-03-15,57.0,59.5,56.8,57.95,57.85,30468.0,17.52
2010-03-16,57.5,59.65,55.65,57.05,57.65,40615.0,23.36
2010-03-17,58.7,58.7,54.8,54.8,54.8,36506.0,20.47
2010-03-18,54.5,54.95,52.1,52.1,52.1,28165.0,15.07
2010-03-19,53.7,53.7,49.5,50.7,50.4,38370.0,19.31
2010-03-22,49.5,51.9,49.5,50.3,50.05,33338.0,16.84
2010-03-23,51.0,51.0,49.35,50.1,50.0,30707.0,15.38
2010-03-25,50.55,50.55,49.0,50.0,49.35,16086.0,7.97
2010-03-26,49.15,50.75,48.0,48.5,48.8,15092.0,7.41
2010-03-29,46.65,48.85,46.5,47.65,47.4,21195.0,10.05
2010-03-30,47.65,49.8,47.65,49.8,49.8,32723.0,16.19
2010-03-31,51.0,51.0,48.05,48.6,48.85,8805.0,4.38
2010-04-01,46.5,47.9,46.5,47.35,47.1,48019.0,22.58
2010-04-05,47.5,47.5,45.1,47.0,46.95,27379.0,12.78
2010-04-06,47.1,47.85,45.0,47.1,47.1,51743.0,24.33
2010-04-07,46.9,49.5,45.5,49.1,49.3,61250.0,29.58
2010-04-08,50.8,50.9,48.35,50.0,49.65,11328.0,5.66
2010-04-09,49.9,49.9,48.0,49.75,49.55,7352.0,3.62
2010-04-12,49.05,49.9,47.9,48.45,48.3,38806.0,18.85
2010-04-13,48.3,49.5,48.3,48.7,48.9,10565.0,5.17
2010-04-15,49.75,50.9,49.05,49.75,49.8,13750.0,6.86
2010-04-16,50.5,50.5,49.0,49.05,49.5,12182.0,6.06
2010-04-19,48.9,50.9,47.05,48.5,49.35,8620.0,4.16
2010-04-20,50.65,50.65,48.5,50.1,49.8,3459.0,1.71
2010-04-21,50.0,50.35,49.1,49.75,49.75,10684.0,5.29
2010-04-22,51.75,51.75,48.4,49.35,49.2,5305.0,2.61
2010-04-23,50.3,50.3,48.0,48.0,48.4,10346.0,5.04
2010-04-26,49.65,49.65,47.15,47.7,47.7,9212.0,4.39
2010-04-27,47.9,49.9,47.4,47.6,47.85,9378.0,4.5
2010-04-28,46.05,49.0,46.05,48.35,48.3,8175.0,3.87
2010-04-29,47.8,48.7,46.05,47.5,47.55,5719.0,2.7
2010-04-30,47.15,49.4,47.1,47.95,47.85,6660.0,3.22
2010-05-03,48.05,48.05,45.55,45.95,45.8,15282.0,7.09
2010-05-04,47.75,47.75,44.0,44.1,44.2,38359.0,17.49
2010-05-05,43.0,44.0,42.5,43.8,43.65,23259.0,10.13
2010-05-06,43.45,45.85,42.45,45.05,45.5,9996.0,4.46
2010-05-07,44.9,44.9,41.5,43.75,43.8,6238.0,2.71
2010-05-10,44.05,44.85,40.5,43.8,43.8,3101.0,1.36
2010-05-11,44.0,44.9,42.5,42.5,42.55,5453.0,2.36
2010-05-12,41.85,43.35,41.75,42.75,42.8,7696.0,3.26
2010-05-13,43.15,43.85,42.1,43.2,43.35,10141.0,4.33
2010-05-14,43.85,44.0,42.0,42.0,42.3,3451.0,1.48
2010-05-17,42.9,44.9,40.0,44.5,44.4,7915.0,3.43
2010-05-18,45.5,45.75,43.15,43.25,43.7,6335.0,2.86
2010-05-19,44.9,45.35,43.05,43.15,44.55,6073.0,2.7
2010-05-20,43.2,44.7,40.15,42.0,42.3,9117.0,3.92
2010-05-21,38.75,42.9,38.75,42.0,42.1,9982.0,4.16
2010-05-24,44.7,44.7,42.3,43.35,43.0,5273.0,2.26
2010-05-25,44.55,44.6,41.15,42.25,42.0,7264.0,3.05
2010-05-26,43.0,43.5,41.1,42.0,41.95,4219.0,1.78
2010-05-27,42.95,42.95,41.5,42.65,42.4,1422.0,0.6
2010-05-28,44.0,45.0,41.4,44.3,44.7,22614.0,9.86
2010-05-31,43.0,45.65,43.0,43.75,43.75,3322.0,1.49
2010-06-01,46.0,46.0,43.5,43.5,43.55,4441.0,2.0
2010-06-02,47.5,47.5,42.0,43.5,43.9,6789.0,2.97
