Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,42.85,44.6,42.65,43.95,43.9,3155913.0,1384.24
2010-01-05,43.8,44.6,43.45,44.1,44.15,2510794.0,1105.6
2010-01-06,45.4,45.4,43.85,44.0,44.0,3930724.0,1739.91
2010-01-07,44.0,44.4,42.85,43.15,43.1,1851609.0,804.2
2010-01-08,43.4,43.6,41.9,42.1,42.2,2863436.0,1223.31
2010-01-11,42.45,43.1,41.75,41.9,41.95,3438258.0,1453.13
2010-01-12,42.1,45.8,41.85,44.1,44.45,21827614.0,9749.76
2010-01-13,42.1,46.5,39.1,46.05,46.15,10472355.0,4766.86
2010-01-14,46.5,48.3,45.6,47.45,47.25,14824504.0,7009.65
2010-01-15,46.75,51.1,46.25,49.6,50.35,19430279.0,9605.64
2010-01-18,49.45,49.95,48.0,48.7,48.4,7314970.0,3569.38
2010-01-19,48.05,50.95,47.9,48.5,48.3,9725445.0,4846.6
2010-01-20,48.8,50.6,48.45,50.15,50.15,9601398.0,4782.34
2010-01-21,49.9,50.3,47.65,48.1,48.2,8850284.0,4308.64
2010-01-22,47.4,50.0,45.55,45.75,47.65,11015348.0,5287.61
2010-01-25,46.45,46.45,43.3,43.5,43.6,6050749.0,2693.98
2010-01-27,44.0,44.8,41.15,41.3,41.75,4595498.0,1975.98
2010-01-28,43.2,43.2,40.05,42.55,40.75,8027780.0,3333.92
2010-01-29,40.75,43.0,40.25,42.6,42.55,3895622.0,1622.1
2010-02-01,42.35,43.1,41.45,42.95,42.8,1468103.0,626.57
2010-02-02,43.1,43.8,40.8,40.95,41.25,2269861.0,961.77
2010-02-03,41.85,42.3,41.5,41.8,41.75,1756999.0,735.56
2010-02-04,41.75,42.2,40.0,40.3,40.2,2014854.0,827.8
2010-02-05,39.0,40.2,37.65,39.4,39.55,2898715.0,1137.66
2010-02-06,39.9,41.2,39.75,41.0,40.7,454871.0,184.13
2010-02-08,41.0,41.65,39.7,41.25,41.1,2793114.0,1136.15
2010-02-09,41.1,41.5,40.75,41.05,41.2,893192.0,367.09
2010-02-10,41.8,42.0,40.85,41.9,41.7,1575260.0,654.4
2010-02-11,41.8,42.5,41.3,41.5,41.55,1700180.0,711.96
2010-02-15,41.3,42.3,40.65,40.95,41.15,1555562.0,639.18
2010-02-16,41.6,42.5,40.75,41.7,41.75,2792862.0,1168.21
2010-02-17,42.35,42.4,41.7,41.7,41.75,930655.0,390.94
2010-02-18,42.3,42.3,39.65,39.8,39.8,3325715.0,1346.53
2010-02-19,39.5,40.05,39.05,39.4,39.4,2110678.0,831.21
2010-02-22,40.0,40.7,38.1,38.35,38.8,1367024.0,536.92
2010-02-23,38.5,39.15,37.35,38.1,37.85,3124274.0,1200.21
2010-02-24,37.15,38.6,36.85,37.15,37.2,3394137.0,1276.67
2010-02-25,37.6,37.7,35.75,36.1,36.05,8298301.0,3018.13
2010-02-26,36.2,37.85,36.05,37.2,37.15,3141057.0,1162.83
2010-03-02,37.4,38.8,37.25,38.1,37.8,2371767.0,897.07
2010-03-03,38.6,39.85,37.9,39.7,39.7,5128834.0,2009.19
2010-03-04,40.3,40.5,38.85,39.2,39.1,2304467.0,903.78
2010-03-05,39.9,41.3,39.5,40.25,40.3,5101396.0,2065.46
2010-03-08,40.95,41.25,40.05,40.25,40.35,1737474.0,706.69
2010-03-09,40.4,40.4,38.8,38.95,38.9,1805969.0,710.98
2010-03-10,39.9,40.1,38.65,39.45,39.45,1664829.0,658.65
2010-03-11,39.6,39.95,38.5,39.0,38.75,2423508.0,952.57
2010-03-12,39.0,39.35,37.05,37.55,37.4,3279337.0,1251.75
2010-03-15,38.1,38.1,36.35,36.95,36.6,2891183.0,1065.43
2010-03-16,37.5,37.8,36.75,37.25,37.3,3264987.0,1211.42
2010-03-17,37.9,38.05,36.15,36.45,36.4,3751060.0,1393.04
2010-03-18,36.55,37.45,36.2,37.15,37.2,2777558.0,1029.96
2010-03-19,37.5,37.5,36.9,37.2,37.1,1117031.0,415.08
2010-03-22,36.8,37.0,36.2,36.65,36.55,1069453.0,391.96
2010-03-23,37.0,37.75,36.05,37.15,37.05,3994057.0,1480.12
2010-03-25,37.1,37.45,36.2,37.0,36.5,4464623.0,1637.23
2010-03-26,36.6,37.7,36.55,36.8,36.9,2012674.0,748.89
2010-03-29,37.0,37.45,36.55,36.75,36.75,1232265.0,455.54
2010-03-30,36.95,37.5,36.6,36.8,36.75,1931603.0,713.87
2010-03-31,36.5,37.3,36.5,36.6,36.65,2195618.0,809.25
2010-04-01,36.8,37.25,36.8,36.9,37.0,1143434.0,423.51
2010-04-05,37.4,37.45,36.9,37.0,37.05,1721972.0,639.29
2010-04-06,37.35,38.25,36.65,38.15,37.9,2405967.0,905.71
2010-04-07,38.5,39.15,38.3,38.65,38.65,4746643.0,1839.68
2010-04-08,38.0,39.0,37.35,37.5,37.55,3020785.0,1152.83
2010-04-09,38.0,38.2,37.6,37.8,37.8,1230960.0,466.74
2010-04-12,38.05,38.5,37.7,38.0,38.0,1786473.0,679.44
2010-04-13,38.1,38.1,37.6,37.75,37.8,1286488.0,486.81
2010-04-15,38.3,38.3,37.35,37.45,37.55,1392389.0,526.69
2010-04-16,37.5,37.65,36.8,36.95,37.05,1082713.0,401.37
2010-04-19,36.4,36.8,35.95,36.8,36.6,1768317.0,643.25
2010-04-20,37.05,37.3,36.55,36.9,36.8,1162856.0,429.79
2010-04-21,37.0,37.45,36.8,36.95,36.9,1058161.0,392.96
2010-04-22,37.3,37.8,37.05,37.15,37.15,1928445.0,720.34
2010-04-23,37.15,37.4,36.95,37.15,37.25,890381.0,331.16
2010-04-26,37.25,37.55,37.05,37.1,37.1,958077.0,357.06
2010-04-27,37.0,37.5,36.45,36.6,36.55,1735852.0,639.72
2010-04-28,36.2,37.0,35.3,35.7,35.65,2388035.0,860.59
2010-04-29,35.7,36.25,35.3,35.8,35.5,2828198.0,1007.99
2010-04-30,35.9,36.6,35.8,35.8,35.9,1581964.0,569.87
2010-05-03,35.95,38.5,35.8,38.0,38.05,5639938.0,2129.34
2010-05-04,38.35,38.8,36.55,36.75,36.7,3390354.0,1275.55
2010-05-05,36.0,37.2,35.1,37.0,36.9,3469728.0,1254.3
2010-05-06,35.6,37.1,35.55,36.4,36.45,1730326.0,631.36
2010-05-07,35.1,36.25,34.8,35.6,35.3,2415273.0,855.29
2010-05-10,35.5,38.65,35.5,38.4,38.35,8156403.0,3078.72
2010-05-11,38.0,40.6,38.0,39.45,39.6,14715951.0,5863.64
2010-05-12,40.1,40.25,38.25,38.9,39.1,4436969.0,1743.09
2010-05-13,39.35,39.8,37.55,39.15,39.1,3590797.0,1392.79
2010-05-14,38.6,39.2,38.0,38.5,38.2,1680832.0,647.16
2010-05-17,37.2,38.7,36.6,38.5,38.5,3212915.0,1207.47
2010-05-18,38.25,38.45,37.75,37.95,38.0,1767903.0,672.57
2010-05-19,37.05,38.0,37.0,37.2,37.15,1516539.0,568.41
2010-05-20,37.5,37.9,36.65,37.35,37.2,1420029.0,528.4
2010-05-21,36.4,38.8,36.05,37.7,37.75,1935881.0,725.41
2010-05-24,38.15,38.5,37.4,37.45,37.5,1537678.0,582.19
2010-05-25,37.15,37.7,35.5,36.2,36.1,1659603.0,607.52
2010-05-26,36.6,37.9,36.2,37.2,37.0,2045363.0,756.99
2010-05-27,37.35,38.5,36.55,38.15,38.05,2575387.0,961.49
2010-05-28,38.75,39.1,38.15,38.7,38.85,3022921.0,1168.94
2010-05-31,39.0,39.15,38.1,38.55,38.55,2724501.0,1053.19
2010-06-01,38.5,38.75,36.8,37.9,37.7,1652216.0,632.08
2010-06-02,37.7,38.65,37.45,38.6,38.5,1384843.0,527.33
2010-06-03,38.65,39.05,38.25,38.7,38.65,1408410.0,545.21
2010-06-04,38.65,41.85,38.35,41.4,41.15,10021913.0,4109.12
2010-06-07,40.1,41.8,39.9,40.7,40.7,7208055.0,2947.55
2010-06-08,40.5,41.5,40.4,40.6,40.75,3259715.0,1334.16
2010-06-09,41.0,41.3,39.9,40.2,40.1,1817446.0,736.36
2010-06-10,40.7,42.6,40.7,42.2,42.3,8422351.0,3537.94
2010-06-11,43.0,43.5,41.2,41.75,41.6,7380638.0,3132.4
2010-06-14,42.0,43.45,41.4,43.35,43.25,3658909.0,1556.78
2010-06-15,43.5,43.85,42.85,43.5,43.45,4097564.0,1781.87
2010-06-16,43.6,44.45,43.0,43.3,43.35,2216788.0,971.2
2010-06-17,43.5,43.85,42.65,43.15,43.35,1360329.0,587.71
2010-06-18,43.4,43.6,42.75,43.05,42.95,1498392.0,646.44
2010-06-21,43.5,43.6,42.45,43.3,42.95,2464170.0,1059.28
2010-06-22,42.5,43.7,41.85,43.25,43.35,1773271.0,763.42
2010-06-23,43.15,45.4,42.85,45.3,45.05,6260207.0,2757.99
2010-06-24,45.6,46.5,45.15,46.35,45.8,10460636.0,4794.92
2010-06-25,45.75,46.05,45.0,45.35,45.2,984940.0,447.63
2010-06-28,45.8,45.9,44.85,45.35,45.45,1768284.0,802.4
2010-06-29,45.4,45.4,44.75,45.25,45.0,777295.0,350.7
2010-06-30,44.75,49.05,44.55,47.7,47.4,10364688.0,4932.35
2010-07-01,47.9,47.9,45.4,45.85,45.8,3748033.0,1733.94
2010-07-02,46.0,46.9,45.3,45.4,45.55,1574637.0,724.58
2010-07-05,45.8,45.9,44.85,45.2,45.15,1046596.0,473.15
2010-07-06,45.4,45.6,44.35,44.5,44.75,1320598.0,594.48
2010-07-07,44.9,45.45,44.25,44.6,44.45,1654917.0,739.82
2010-07-08,45.0,46.3,44.6,44.9,44.75,3277275.0,1474.17
2010-07-09,45.1,45.85,44.7,44.8,44.8,1676977.0,753.63
2010-07-12,45.25,46.2,44.8,46.0,45.75,2624574.0,1200.11
2010-07-13,46.4,46.75,46.0,46.75,46.65,2359006.0,1094.85
2010-07-14,46.85,47.4,45.4,45.65,45.65,1070463.0,495.56
2010-07-15,45.65,46.1,45.1,45.6,45.55,768624.0,350.2
2010-07-16,45.6,46.55,45.05,46.25,46.0,2070530.0,946.79
2010-07-19,43.65,46.85,43.65,46.45,46.25,1947590.0,901.98
2010-07-20,46.4,47.0,45.4,46.25,45.7,1267546.0,583.53
2010-07-21,46.5,46.9,45.65,46.4,46.45,1476209.0,684.39
2010-07-22,46.9,47.0,45.6,45.9,45.85,2974966.0,1371.73
2010-07-23,45.85,46.4,45.0,45.15,45.1,1489089.0,677.28
2010-07-26,45.45,45.65,44.55,44.95,44.8,2134386.0,957.91
2010-07-27,45.0,45.2,44.25,44.65,44.6,554785.0,247.62
2010-07-28,44.3,44.7,44.3,44.3,44.4,1388963.0,617.43
2010-07-29,44.25,44.8,43.7,44.45,43.95,1124079.0,497.08
2010-07-30,43.5,44.8,43.5,44.3,44.45,856195.0,380.8
2010-08-02,44.8,46.35,44.6,46.25,46.2,1963555.0,893.62
2010-08-03,46.5,46.9,45.6,46.4,46.4,2397739.0,1112.38
2010-08-04,46.9,46.9,46.25,46.6,46.7,2280490.0,1062.97
2010-08-05,47.0,47.75,46.55,46.95,46.85,3171367.0,1501.67
2010-08-06,47.45,51.4,47.45,49.75,49.8,21642191.0,10833.45
2010-08-09,49.0,50.6,48.55,49.95,49.95,6559961.0,3249.12
2010-08-10,50.0,50.4,49.05,49.45,49.4,2331987.0,1160.16
2010-08-11,49.85,49.9,48.7,49.0,49.05,1508227.0,743.35
2010-08-12,48.5,50.2,48.3,49.45,49.45,4483580.0,2193.11
2010-08-13,49.9,50.5,48.8,49.8,49.8,2677714.0,1333.24
2010-08-16,49.15,51.9,49.15,51.8,51.6,6364349.0,3239.21
2010-08-17,51.8,52.1,50.4,51.45,51.6,2752203.0,1411.22
2010-08-18,52.0,52.0,50.3,50.75,50.7,1070417.0,546.32
2010-08-19,50.95,51.0,49.25,49.5,49.65,1509865.0,754.8
2010-08-20,49.65,50.65,49.2,50.0,50.0,1149255.0,575.53
2010-08-23,50.1,51.6,49.5,50.9,51.15,1206673.0,609.95
2010-08-24,52.0,52.0,50.0,50.25,50.3,1026108.0,516.52
2010-08-25,49.65,50.1,48.75,48.8,48.95,770039.0,379.91
2010-08-26,49.25,51.2,48.8,49.9,50.35,2703273.0,1349.89
