Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,112.05,120.25,112.0,118.55,119.1,268673.0,315.55
2010-01-05,120.9,122.5,117.1,118.0,117.65,159167.0,191.41
2010-01-06,119.4,123.95,119.1,123.5,122.15,240442.0,292.21
2010-01-07,123.35,125.0,120.6,122.8,123.1,202763.0,249.63
2010-01-08,124.0,124.5,121.6,123.0,122.5,92826.0,114.41
2010-01-11,124.5,124.8,123.0,124.3,124.1,124956.0,154.94
2010-01-12,124.0,124.0,115.3,119.0,118.2,71688.0,87.34
2010-01-13,117.95,119.75,115.6,117.8,117.7,79501.0,93.62
2010-01-14,117.95,118.7,115.0,117.5,116.85,74943.0,87.52
2010-01-15,115.15,118.8,114.95,118.0,118.15,28382.0,33.43
2010-01-18,120.95,120.95,117.35,117.6,117.75,65395.0,77.76
2010-01-19,117.45,117.5,112.0,114.0,113.45,57557.0,65.99
2010-01-20,113.05,118.0,112.75,114.5,115.45,93464.0,107.87
2010-01-21,110.5,114.7,102.05,106.5,104.7,106340.0,115.8
2010-01-22,106.05,106.35,101.0,103.05,103.4,56489.0,58.76
2010-01-25,101.55,107.7,101.55,106.0,106.5,47916.0,50.7
2010-01-27,107.0,108.5,101.9,102.0,102.4,47520.0,49.61
2010-01-28,102.1,102.65,97.1,97.75,97.8,48265.0,48.55
2010-01-29,97.0,98.5,93.5,96.0,96.95,56900.0,54.71
2010-02-01,99.0,116.35,99.0,116.35,115.65,373346.0,415.83
2010-02-02,119.3,121.2,113.3,115.1,115.9,445623.0,524.94
2010-02-03,115.0,118.4,114.5,116.0,116.2,106012.0,123.71
2010-02-04,117.45,117.45,106.3,108.5,109.45,66014.0,75.22
2010-02-05,108.25,108.25,98.0,105.0,105.05,67507.0,69.87
2010-02-06,106.9,108.55,106.5,108.55,107.9,18320.0,19.75
2010-02-08,109.5,109.95,102.25,106.0,106.25,47558.0,51.17
2010-02-09,105.5,107.75,103.7,103.7,104.85,26857.0,28.38
2010-02-10,105.85,113.8,104.05,111.0,111.15,177231.0,196.94
2010-02-11,114.0,114.0,110.05,112.15,112.3,85555.0,95.99
2010-02-15,113.5,116.4,112.2,113.0,114.1,44371.0,50.56
2010-02-16,114.7,115.8,112.0,115.0,115.15,76292.0,87.25
2010-02-17,115.85,117.5,114.5,115.0,115.05,48751.0,56.46
2010-02-18,113.15,116.5,111.05,111.35,112.5,51347.0,58.88
2010-02-19,111.0,112.9,104.05,105.5,104.95,44317.0,47.29
2010-02-22,107.4,114.85,103.1,103.35,104.4,37343.0,39.82
2010-02-23,102.75,102.75,98.4,99.4,99.05,58354.0,58.59
2010-02-24,95.25,105.6,95.1,104.0,104.2,78415.0,79.07
2010-02-25,104.5,106.0,101.15,104.35,103.3,32442.0,33.76
2010-02-26,123.95,123.95,101.35,103.8,103.9,23578.0,24.47
2010-03-02,105.0,105.0,98.5,100.0,99.95,53846.0,54.04
2010-03-03,100.0,104.5,99.0,102.7,102.7,92316.0,95.03
2010-03-04,104.0,104.75,101.0,102.5,102.0,32396.0,33.29
2010-03-05,102.85,104.9,102.0,102.9,102.65,57312.0,59.26
2010-03-08,104.3,104.3,102.5,102.95,102.85,21739.0,22.42
2010-03-09,100.5,103.1,100.5,101.5,101.5,17708.0,18.09
2010-03-10,101.15,101.15,95.1,96.35,96.6,59248.0,57.84
2010-03-11,97.3,101.0,92.5,94.8,94.0,79154.0,76.13
2010-03-12,94.9,96.0,85.85,86.0,86.4,99942.0,88.57
2010-03-15,86.0,89.9,84.5,88.05,88.4,78577.0,68.53
2010-03-16,89.0,91.4,87.5,89.35,89.85,51971.0,46.76
2010-03-17,90.0,90.0,85.0,85.4,85.5,42878.0,37.3
2010-03-18,86.0,87.5,84.3,85.6,85.75,18462.0,15.86
2010-03-19,86.95,86.95,84.0,84.5,84.45,23193.0,19.69
2010-03-22,83.0,86.9,81.75,81.95,82.3,21478.0,18.08
2010-03-23,83.95,83.95,78.3,79.5,78.95,21189.0,17.03
2010-03-25,79.3,81.0,76.65,77.0,77.95,24765.0,19.59
2010-03-26,78.0,81.1,75.25,78.0,76.8,28408.0,22.26
2010-03-29,76.1,78.0,74.0,74.45,74.7,28730.0,21.76
2010-03-30,75.95,77.8,73.25,75.95,75.35,27873.0,20.89
2010-03-31,76.1,77.55,76.0,76.8,76.4,15433.0,11.86
2010-04-01,75.3,79.4,74.55,76.9,75.55,18932.0,14.29
2010-04-05,77.0,78.5,75.3,77.3,77.2,59187.0,45.63
2010-04-06,78.0,79.45,77.0,77.0,77.45,25906.0,20.26
2010-04-07,79.8,81.0,78.5,79.0,79.0,38221.0,30.56
2010-04-08,79.2,80.55,77.0,77.0,77.65,15730.0,12.42
2010-04-09,78.95,79.4,75.2,76.65,76.0,14033.0,10.77
2010-04-12,77.95,79.9,76.0,78.4,78.45,12361.0,9.7
2010-04-13,79.0,81.9,79.0,80.6,81.1,31567.0,25.48
2010-04-15,82.4,83.0,80.0,80.0,80.6,26389.0,21.62
2010-04-16,81.85,81.85,79.0,80.6,80.7,20274.0,16.3
2010-04-19,79.2,79.7,75.8,76.5,76.4,11132.0,8.61
2010-04-20,78.8,78.8,76.4,77.0,76.95,6489.0,5.02
2010-04-21,75.55,77.9,75.3,75.3,75.5,14458.0,11.02
2010-04-22,77.9,77.9,75.05,75.45,75.35,17130.0,12.98
2010-04-23,77.4,77.4,73.25,73.3,73.7,13228.0,9.85
2010-04-26,73.55,76.0,72.55,73.0,73.3,26404.0,19.62
2010-04-27,73.5,74.7,70.5,71.4,71.25,16692.0,12.03
2010-04-28,71.4,73.1,70.0,72.9,72.5,15109.0,10.79
2010-04-29,72.05,74.2,72.0,74.15,73.85,15031.0,11.05
2010-04-30,74.2,77.4,74.15,76.5,76.2,29311.0,22.39
2010-05-03,77.0,77.0,74.4,74.4,74.95,10999.0,8.31
2010-05-04,77.0,78.0,60.65,61.6,64.35,217957.0,148.62
2010-05-05,64.25,64.25,56.5,60.85,60.35,341381.0,206.43
2010-05-06,60.0,62.1,59.05,60.5,61.0,305767.0,186.09
