Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,930.1,960.0,930.1,958.5,945.65,334.0,3.17
2010-01-05,938.05,965.5,934.0,941.0,942.05,1172.0,11.04
2010-01-06,930.7,974.0,930.7,957.05,962.1,1465.0,14.17
2010-01-07,965.0,978.0,960.1,971.5,968.65,953.0,9.25
2010-01-08,972.1,1059.0,972.0,1020.0,1005.3,4768.0,48.93
2010-01-11,1049.0,1065.0,975.0,1010.0,1007.65,666.0,6.74
2010-01-12,1010.0,1015.0,985.2,985.2,998.15,838.0,8.42
2010-01-13,1000.0,1000.0,970.0,970.0,974.9,4001.0,39.05
2010-01-14,971.05,1019.9,971.05,996.0,1000.1,280.0,2.81
2010-01-15,991.05,1045.0,982.1,992.0,988.5,3423.0,34.72
2010-01-18,985.1,1014.05,985.1,992.0,992.05,346.0,3.47
2010-01-19,988.1,1063.5,988.1,1030.0,1030.1,5665.0,59.1
2010-01-20,1035.05,1199.0,1035.05,1125.0,1124.35,13362.0,151.37
2010-01-21,1134.0,1140.0,1051.05,1060.0,1077.6,987.0,10.8
2010-01-22,1040.0,1150.0,1015.0,1129.1,1132.65,3035.0,33.95
2010-01-25,1149.0,1180.0,1125.0,1135.6,1144.2,1544.0,17.76
2010-01-27,1105.0,1140.0,1056.0,1092.0,1064.05,936.0,10.33
2010-01-28,1045.05,1085.0,1035.0,1056.05,1064.35,137.0,1.47
2010-01-29,1026.05,1080.0,1026.05,1077.5,1077.5,1143.0,12.28
2010-02-01,1081.0,1140.0,1055.0,1120.0,1110.95,1314.0,14.62
2010-02-02,1125.0,1132.0,1090.1,1115.0,1102.85,206.0,2.29
2010-02-03,1085.6,1240.0,1085.6,1200.0,1210.95,6115.0,73.15
2010-02-04,1202.0,1239.0,1147.05,1154.0,1155.7,4552.0,55.55
2010-02-05,1102.0,1146.0,1102.0,1121.0,1121.0,168.0,1.91
2010-02-06,1148.0,1148.0,1115.3,1138.0,1127.7,148.0,1.67
2010-02-08,1120.0,1174.9,1075.1,1127.0,1132.45,3356.0,38.3
2010-02-09,1149.0,1172.0,1121.0,1125.05,1127.3,1500.0,17.27
2010-02-10,1110.0,1133.0,1105.0,1124.0,1109.55,998.0,11.18
2010-02-11,1105.05,1124.5,1089.0,1100.0,1096.5,98.0,1.08
2010-02-15,1080.0,1124.0,1079.0,1100.0,1104.8,228.0,2.51
2010-02-16,1072.05,1110.0,1071.15,1110.0,1106.85,196.0,2.16
2010-02-17,1106.05,1187.0,1100.0,1107.55,1114.05,2342.0,26.96
2010-02-18,1086.05,1121.9,1086.0,1110.0,1110.0,77.0,0.85
2010-02-19,1105.0,1123.9,1095.0,1117.0,1111.45,1619.0,17.99
2010-02-22,1086.05,1139.9,1085.1,1114.9,1108.85,914.0,10.15
2010-02-23,1092.3,1109.9,1060.55,1060.55,1074.7,194.0,2.1
2010-02-24,1071.0,1084.9,1071.0,1084.9,1084.9,20.0,0.22
2010-02-25,1089.0,1089.0,1075.0,1080.0,1080.0,15.0,0.16
2010-02-26,1056.05,1139.95,1056.05,1080.0,1084.05,4205.0,45.94
2010-03-02,1066.0,1195.0,1066.0,1140.05,1153.6,10937.0,126.6
2010-03-03,1165.0,1165.0,1111.15,1111.15,1114.65,4643.0,53.09
2010-03-04,1105.0,1118.9,1090.0,1092.0,1091.35,149.0,1.64
2010-03-05,1091.0,1110.0,1073.2,1090.0,1085.3,496.0,5.41
2010-03-08,1143.0,1143.0,1075.0,1075.0,1076.55,1140.0,12.54
2010-03-09,1104.0,1129.0,1048.95,1109.0,1107.55,285.0,3.18
2010-03-10,1112.0,1112.0,1085.0,1104.5,1104.5,147.0,1.62
2010-03-11,1085.2,1100.0,1075.0,1089.0,1081.95,692.0,7.56
2010-03-12,1083.0,1124.0,1083.0,1120.0,1115.25,888.0,9.7
2010-03-15,1101.1,1110.0,1085.1,1110.0,1097.85,218.0,2.39
2010-03-16,1111.0,1124.0,1091.1,1101.0,1101.25,2074.0,23.0
2010-03-17,1114.0,1119.0,1082.0,1099.9,1096.65,816.0,8.95
2010-03-18,1118.0,1118.0,1071.2,1078.0,1087.0,201.0,2.21
2010-03-19,1077.1,1130.0,1075.2,1130.0,1114.35,849.0,9.38
2010-03-22,1148.9,1168.9,1095.1,1095.1,1098.25,4528.0,51.44
2010-03-23,1100.0,1120.0,1065.1,1077.1,1079.45,833.0,9.06
2010-03-25,1139.9,1184.0,1102.0,1169.0,1152.75,4564.0,52.31
2010-03-26,1175.0,1189.0,1115.15,1130.0,1129.25,3470.0,39.78
2010-03-29,1118.05,1128.95,1068.05,1076.0,1085.75,267.0,2.92
2010-03-30,1134.95,1134.95,1070.0,1070.0,1082.05,390.0,4.26
2010-03-31,1085.05,1094.0,1061.0,1090.0,1072.55,785.0,8.39
2010-04-01,1122.0,1122.0,1070.0,1099.0,1093.95,40.0,0.44
2010-04-05,1100.0,1181.0,1100.0,1180.0,1167.9,3178.0,36.49
2010-04-06,1162.0,1174.9,1143.0,1143.0,1143.0,20.0,0.23
2010-04-07,1186.85,1234.0,1120.0,1180.0,1202.1,29008.0,355.92
2010-04-08,1198.0,1200.0,1135.0,1150.0,1141.05,534.0,6.22
2010-04-09,1151.0,1158.95,1134.0,1134.0,1141.1,947.0,10.81
2010-04-12,1173.8,1212.0,1165.6,1170.2,1175.7,2317.0,27.67
2010-04-13,1196.9,1196.9,1160.0,1160.0,1171.8,246.0,2.89
2010-04-15,1175.0,1195.0,1157.0,1165.2,1165.2,679.0,7.95
2010-04-16,1163.2,1184.0,1128.0,1184.0,1178.35,326.0,3.78
2010-04-19,1165.0,1165.0,1130.1,1140.0,1140.0,348.0,3.97
2010-04-20,1179.0,1194.0,1160.0,1180.0,1173.7,1315.0,15.53
2010-04-21,1180.0,1180.0,1150.0,1150.0,1151.75,213.0,2.48
2010-04-22,1160.0,1160.0,1150.1,1150.1,1150.1,26.0,0.3
2010-04-23,1145.7,1159.9,1140.0,1140.0,1140.0,276.0,3.15
2010-04-26,1065.05,1150.0,1065.05,1130.0,1132.3,616.0,6.92
2010-04-27,1130.05,1150.0,1130.0,1130.0,1130.0,233.0,2.65
2010-04-28,1130.0,1130.0,1130.0,1130.0,1130.0,640.0,7.23
2010-04-29,1150.0,1150.0,1100.0,1100.0,1102.4,178.0,1.97
2010-04-30,1120.0,1120.0,1097.0,1114.8,1111.9,170.0,1.89
2010-05-03,1100.0,1134.0,1096.0,1108.0,1108.0,481.0,5.33
2010-05-04,1103.0,1103.0,1070.0,1080.0,1074.9,342.0,3.68
2010-05-05,1067.5,1088.0,1065.0,1065.0,1069.75,291.0,3.11
2010-05-06,1097.0,1127.65,1041.5,1095.0,1082.55,195.0,2.12
2010-05-07,1090.0,1095.0,1058.0,1058.0,1064.7,42.0,0.46
2010-05-10,1066.0,1123.95,1065.2,1109.0,1110.25,856.0,9.41
2010-05-11,1070.15,1075.0,1064.95,1065.0,1065.0,73.0,0.78
2010-05-12,1060.0,1086.0,1050.1,1086.0,1078.5,231.0,2.48
2010-05-13,1061.3,1098.95,1060.0,1078.0,1061.3,330.0,3.52
2010-05-14,1040.3,1074.55,1035.0,1035.0,1040.15,34.0,0.35
2010-05-17,1035.0,1060.0,1020.0,1040.0,1039.65,1059.0,10.96
2010-05-18,1040.0,1040.0,1031.0,1037.9,1037.9,180.0,1.87
2010-05-19,1034.9,1035.0,1006.0,1029.9,1025.15,350.0,3.58
2010-05-20,1010.0,1020.0,991.5,995.1,995.1,150.0,1.51
2010-05-21,971.0,996.0,971.0,982.0,986.75,281.0,2.76
2010-05-24,961.0,1037.95,961.0,1003.85,991.35,516.0,5.17
2010-05-25,993.9,993.9,938.0,947.3,943.1,158.0,1.5
2010-05-26,945.0,945.0,915.0,933.75,919.25,276.0,2.55
2010-05-27,960.0,979.95,912.15,920.0,919.75,2037.0,19.2
2010-05-28,940.0,940.0,922.05,934.0,934.0,137.0,1.27
2010-05-31,898.0,948.2,898.0,931.15,931.15,1907.0,17.76
2010-06-02,925.0,956.9,917.3,922.1,943.85,866.0,8.08
2010-06-03,944.0,1048.95,934.0,1044.95,1008.7,655.0,6.48
2010-06-04,1040.0,1065.0,982.15,983.1,995.9,1709.0,17.59
2010-06-07,989.0,990.0,960.0,960.15,960.4,3131.0,30.56
2010-06-08,979.0,985.0,957.0,958.0,957.5,494.0,4.81
2010-06-09,937.3,960.0,937.3,942.0,942.0,506.0,4.79
2010-06-10,944.0,960.0,944.0,960.0,960.0,616.0,5.86
2010-06-11,960.05,970.0,933.0,933.0,954.1,139.0,1.33
2010-06-14,937.15,999.0,937.15,962.15,969.05,956.0,9.33
2010-06-15,978.0,985.5,951.6,985.0,983.55,1681.0,16.44
2010-06-16,994.95,1084.0,980.0,1015.0,1016.8,2878.0,30.17
2010-06-17,986.1,1010.0,978.0,990.0,987.8,30.0,0.3
2010-06-18,978.65,1008.0,950.0,971.0,983.9,472.0,4.59
2010-06-21,975.05,990.0,901.05,970.3,971.3,181.0,1.75
2010-06-22,990.0,990.0,962.0,985.0,979.65,149.0,1.46
2010-06-23,957.1,976.9,936.5,960.05,960.7,233.0,2.23
2010-06-24,987.95,989.9,961.1,989.9,986.8,24.0,0.24
2010-06-25,998.85,998.9,970.0,970.0,970.0,318.0,3.13
2010-06-28,970.0,987.0,970.0,980.0,980.0,627.0,6.13
2010-06-29,980.0,1002.0,980.0,980.2,980.2,482.0,4.75
2010-06-30,970.0,984.95,951.3,965.0,965.05,33.0,0.32
2010-07-01,965.0,985.0,961.0,984.95,985.0,152.0,1.48
2010-07-02,965.6,987.95,965.6,971.3,971.25,424.0,4.15
2010-07-05,989.9,989.9,975.1,975.1,975.1,42.0,0.41
