Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,506.5,515.0,496.3,497.0,500.7,17584.0,89.13
2010-01-05,503.0,508.8,499.25,505.85,505.65,20988.0,105.84
2010-01-06,508.0,512.9,501.1,501.1,502.5,19195.0,97.26
2010-01-07,504.1,504.7,490.1,494.9,493.6,11942.0,59.36
2010-01-08,498.95,498.95,481.0,482.8,483.3,25768.0,126.53
2010-01-11,484.15,493.9,480.0,490.45,489.45,70308.0,342.99
2010-01-12,494.0,494.0,480.65,489.6,485.05,44887.0,218.6
2010-01-13,485.0,526.0,477.2,482.1,483.2,311646.0,1546.46
2010-01-14,486.0,496.0,483.0,486.0,485.55,52915.0,258.74
2010-01-15,489.35,499.0,486.0,488.9,488.15,30658.0,150.93
2010-01-18,485.0,491.9,483.0,487.85,488.0,14749.0,71.97
2010-01-19,489.4,493.95,480.0,485.5,481.25,30104.0,145.58
2010-01-20,484.0,486.8,479.0,480.0,480.2,43722.0,210.06
2010-01-21,475.1,479.95,465.05,474.0,468.85,31059.0,146.29
2010-01-22,461.0,465.0,447.0,452.0,452.3,59847.0,271.05
2010-01-25,450.0,460.0,441.15,451.5,450.55,20583.0,92.7
2010-01-27,450.0,464.0,431.5,438.0,444.95,254514.0,1144.76
2010-01-28,445.0,469.95,428.1,440.0,439.4,58002.0,257.82
2010-01-29,429.0,447.0,423.0,443.0,442.7,23943.0,104.49
2010-02-01,442.7,448.95,431.7,437.5,438.3,19308.0,84.99
2010-02-02,442.1,447.9,433.0,436.0,436.0,16569.0,72.94
2010-02-03,440.0,449.95,435.0,443.0,444.35,21413.0,95.06
2010-02-04,444.3,446.95,437.0,445.0,440.6,13854.0,61.1
2010-02-05,435.0,448.0,422.65,430.0,434.15,28055.0,122.04
2010-02-06,434.0,443.95,433.05,434.2,437.0,1895.0,8.29
2010-02-08,444.0,444.0,430.0,432.5,433.2,8999.0,39.15
2010-02-09,432.0,439.0,432.0,433.5,433.8,8395.0,36.47
2010-02-10,433.0,439.95,430.0,432.0,431.85,11071.0,48.05
2010-02-11,428.0,436.0,428.0,432.0,432.95,6501.0,28.2
2010-02-15,432.0,441.75,429.0,429.0,429.2,7380.0,31.79
2010-02-16,431.0,442.0,423.0,426.2,426.0,25240.0,109.17
2010-02-17,432.4,444.9,423.0,423.2,425.25,24688.0,106.05
2010-02-18,422.0,430.0,421.0,423.0,423.95,8843.0,37.66
2010-02-19,423.0,426.0,411.35,414.0,412.95,12166.0,50.95
2010-02-22,416.0,420.0,411.1,415.0,415.35,13822.0,57.62
2010-02-23,415.0,425.0,410.1,417.5,418.7,949712.0,3964.9
2010-02-24,417.05,418.8,404.0,405.05,405.25,14133.0,57.83
2010-02-25,409.1,422.8,405.05,408.0,407.35,7656.0,31.35
2010-02-26,409.0,420.0,406.0,408.4,410.15,29023.0,119.62
2010-03-02,443.0,443.0,412.0,425.0,420.75,10758.0,44.88
2010-03-03,420.0,433.8,418.0,433.0,431.2,23931.0,102.59
2010-03-04,426.0,435.5,426.0,432.0,432.0,37348.0,160.78
2010-03-05,430.0,438.0,430.0,432.0,432.4,9893.0,42.81
2010-03-08,438.8,441.65,435.05,438.0,438.05,11351.0,49.75
2010-03-09,435.05,437.45,425.5,425.5,426.1,6252.0,26.93
2010-03-10,423.5,431.95,421.75,431.8,427.3,11804.0,50.15
2010-03-11,434.8,440.0,428.0,428.3,429.2,14124.0,60.87
2010-03-12,429.5,429.5,424.55,427.05,427.05,5278.0,22.54
2010-03-15,432.5,434.4,421.1,433.0,426.95,11743.0,49.91
2010-03-16,430.0,439.9,426.3,430.0,430.05,7506.0,32.29
2010-03-17,431.3,434.0,430.0,431.25,431.3,18187.0,78.46
