Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,138.1,140.7,138.1,140.0,140.0,173685.0,243.01
2010-01-05,141.8,142.0,137.2,137.75,137.85,182466.0,252.71
2010-01-06,139.4,146.3,137.75,141.0,141.05,805812.0,1149.65
2010-01-07,145.05,145.05,139.65,141.0,141.5,219214.0,311.05
2010-01-08,141.1,143.2,137.7,140.95,139.95,355123.0,498.61
2010-01-11,140.0,141.85,138.05,138.9,138.95,189301.0,264.7
2010-01-12,139.8,140.45,137.0,137.25,137.6,150757.0,208.75
2010-01-13,136.3,141.25,136.25,139.0,138.75,271283.0,377.88
2010-01-14,136.5,141.5,136.5,140.7,140.75,195793.0,275.32
2010-01-15,142.0,142.5,139.0,140.0,139.5,103069.0,145.18
2010-01-18,140.0,140.85,137.8,138.5,138.25,99933.0,139.1
2010-01-19,139.9,139.9,137.1,137.25,137.45,73916.0,102.12
2010-01-20,137.7,138.8,135.3,135.7,135.6,77424.0,105.78
2010-01-21,137.0,137.0,128.8,130.8,130.7,207821.0,279.23
2010-01-22,130.7,130.7,115.6,129.5,128.8,103273.0,131.68
2010-01-25,129.8,132.15,126.5,128.3,128.1,79390.0,101.56
2010-01-27,127.0,129.9,125.2,125.8,126.25,131045.0,166.87
2010-01-28,125.0,129.45,122.55,128.9,126.75,152443.0,190.09
2010-01-29,126.0,127.3,123.65,125.5,125.1,57041.0,71.49
2010-02-01,125.0,126.7,121.25,126.45,125.7,50059.0,62.51
2010-02-02,125.25,127.95,125.1,125.5,125.7,58396.0,73.43
2010-02-03,126.0,127.95,125.15,125.5,125.65,37179.0,47.04
2010-02-04,125.75,126.5,121.05,122.4,122.85,114155.0,141.1
2010-02-05,121.8,121.8,117.0,119.4,119.1,119319.0,141.89
2010-02-06,120.0,120.9,119.55,120.2,120.15,7444.0,8.95
2010-02-08,122.5,122.5,119.6,120.1,120.75,54778.0,65.94
2010-02-09,121.35,121.85,119.4,121.65,120.8,85858.0,103.39
2010-02-10,122.0,125.5,121.1,124.2,124.4,107040.0,132.1
2010-02-11,124.0,125.35,123.05,123.9,123.8,39327.0,48.71
2010-02-15,119.0,127.9,119.0,126.4,126.8,94632.0,119.2
2010-02-16,125.0,127.95,124.65,125.15,125.1,47953.0,60.72
2010-02-17,125.45,126.95,119.0,124.85,124.5,129455.0,161.24
2010-02-18,124.0,125.9,123.5,124.45,123.9,26344.0,32.81
2010-02-19,123.0,124.5,120.8,123.05,122.9,34293.0,41.92
2010-02-22,123.0,133.3,122.65,124.55,124.4,631951.0,816.4
2010-02-23,124.5,126.5,122.5,124.05,124.65,83349.0,103.69
2010-02-24,123.0,124.0,119.45,120.15,120.3,58454.0,70.97
2010-02-25,120.1,122.95,117.0,118.6,117.85,124638.0,148.84
2010-02-26,119.0,122.8,118.3,121.5,121.45,80209.0,96.62
2010-03-02,121.2,124.35,121.2,122.3,122.1,50412.0,61.95
2010-03-03,122.95,125.45,122.25,125.25,124.4,74357.0,91.81
2010-03-04,124.95,126.3,123.5,124.35,124.55,55145.0,68.7
2010-03-05,125.7,126.95,124.4,125.3,125.1,97260.0,122.38
2010-03-08,125.3,126.9,124.15,124.15,124.45,48969.0,61.64
2010-03-09,125.2,125.5,123.7,124.55,124.15,21261.0,26.45
2010-03-10,124.0,125.45,123.0,125.0,125.05,57447.0,71.68
2010-03-11,124.5,126.4,123.2,123.65,123.8,23147.0,28.84
2010-03-12,121.5,125.2,120.1,121.2,120.55,113215.0,138.09
2010-03-15,126.9,126.9,118.1,119.5,118.7,47375.0,57.16
2010-03-16,119.0,121.8,119.0,121.3,120.8,70259.0,84.85
2010-03-17,122.8,123.0,121.0,122.25,122.1,45822.0,55.9
2010-03-18,122.45,123.5,120.4,122.55,122.15,74052.0,90.35
2010-03-19,122.1,122.7,120.6,120.65,120.9,47347.0,57.48
2010-03-22,120.9,123.5,120.65,121.6,122.0,53296.0,65.28
2010-03-23,122.3,126.0,121.25,123.4,123.65,132512.0,163.79
2010-03-25,123.75,124.95,120.0,121.35,121.25,40825.0,49.64
2010-03-26,121.0,123.0,118.25,119.0,119.0,76459.0,91.83
2010-03-29,120.0,121.45,117.55,118.25,118.1,142065.0,169.55
2010-03-30,119.45,122.5,118.35,119.6,118.95,67288.0,80.95
2010-03-31,119.8,121.9,118.5,120.5,120.7,112245.0,134.78
2010-04-01,120.0,125.0,119.5,124.1,124.55,98562.0,121.36
2010-04-05,124.55,127.0,124.5,126.5,126.35,80025.0,100.74
2010-04-06,126.5,141.5,126.0,130.2,130.75,644813.0,854.99
2010-04-07,132.8,133.5,127.25,128.05,128.35,293758.0,383.12
2010-04-08,127.4,131.4,127.25,129.7,130.1,131703.0,170.47
2010-04-09,130.4,135.6,129.2,131.9,131.75,315078.0,419.57
2010-04-12,131.9,135.7,129.4,130.0,129.9,200048.0,264.69
2010-04-13,130.0,132.9,129.8,130.2,130.25,63550.0,83.09
2010-04-15,130.0,131.8,128.3,129.0,129.1,207160.0,270.51
2010-04-16,129.0,130.6,127.6,128.0,128.3,78262.0,101.1
2010-04-19,127.5,127.5,124.0,125.65,125.5,46413.0,58.22
2010-04-20,127.1,128.0,123.5,123.95,124.25,99088.0,123.84
2010-04-21,125.9,128.5,124.6,126.0,125.65,219215.0,277.48
2010-04-22,126.65,131.6,126.65,130.5,130.5,424272.0,553.11
2010-04-23,131.5,133.7,127.5,128.1,128.4,294034.0,385.04
2010-04-26,130.0,131.5,128.7,128.7,128.95,145777.0,189.49
2010-04-27,130.3,130.3,128.0,128.8,128.75,89074.0,114.79
2010-04-28,128.9,128.95,125.0,126.35,126.3,101196.0,128.69
2010-04-29,126.1,129.0,126.1,129.0,128.25,50671.0,64.67
2010-04-30,129.8,129.8,126.8,128.35,128.05,53855.0,69.15
2010-05-03,127.8,129.9,124.55,126.5,126.05,119357.0,152.14
2010-05-04,127.5,127.75,124.5,125.5,125.15,53244.0,67.04
2010-05-05,123.8,125.0,121.25,124.75,124.2,67219.0,82.93
2010-05-06,124.2,129.35,122.4,125.8,126.05,209740.0,266.59
2010-05-07,124.3,124.3,117.3,122.45,121.5,108705.0,132.18
2010-05-10,121.3,124.0,115.45,123.0,123.0,63622.0,77.88
2010-05-11,124.4,125.5,121.5,122.0,122.55,66545.0,82.24
2010-05-12,122.0,126.9,122.0,124.85,125.3,130578.0,162.91
2010-05-13,125.0,126.05,124.0,125.45,124.95,51529.0,64.37
2010-05-14,124.0,125.5,123.45,124.4,124.2,44236.0,55.05
2010-05-17,123.5,125.8,120.5,122.6,122.6,30521.0,37.29
2010-05-18,122.55,124.0,121.0,121.65,121.55,24050.0,29.47
2010-05-19,121.0,121.75,118.0,118.5,118.5,53411.0,64.18
2010-05-20,118.5,122.0,118.0,118.15,118.3,65651.0,78.06
2010-05-21,116.0,119.0,113.5,117.75,116.95,60527.0,70.15
2010-05-24,119.0,125.3,118.75,119.4,119.55,67364.0,82.01
2010-05-25,118.0,119.1,115.25,116.75,116.05,52817.0,61.66
2010-05-26,116.8,117.8,113.2,113.65,114.4,78322.0,90.27
2010-05-27,114.5,116.0,114.25,115.5,115.35,26992.0,31.08
2010-05-28,116.0,119.25,115.5,118.0,117.95,94041.0,111.03
2010-05-31,117.0,119.25,116.15,117.15,116.95,34414.0,40.29
2010-06-01,117.0,117.95,114.7,115.05,115.2,43840.0,50.85
2010-06-02,115.2,116.45,114.5,115.25,115.3,24893.0,28.69
2010-06-03,116.0,117.1,115.55,116.5,116.5,38705.0,45.08
2010-06-04,117.0,117.4,115.1,115.7,115.9,25828.0,29.98
2010-06-07,112.6,114.95,112.6,114.05,114.05,29381.0,33.44
2010-06-08,115.0,115.7,112.5,113.2,112.85,39424.0,44.92
2010-06-09,114.9,114.9,113.3,114.0,113.85,50886.0,58.0
2010-06-10,115.0,116.5,113.05,116.5,116.0,28318.0,32.6
2010-06-11,117.5,119.35,115.7,118.0,117.8,31786.0,37.48
2010-06-14,117.45,118.9,117.0,118.4,118.25,23527.0,27.71
2010-06-15,117.35,119.9,117.35,118.4,118.2,42374.0,50.3
2010-06-16,118.0,118.9,116.75,117.1,117.05,29835.0,35.06
2010-06-17,117.05,122.0,114.5,119.5,119.6,166566.0,197.5
2010-06-18,120.1,123.95,119.6,122.85,122.45,166740.0,204.59
2010-06-21,123.9,124.3,120.5,121.15,121.35,56998.0,69.75
2010-06-22,122.75,125.0,120.3,123.5,123.2,86234.0,106.49
2010-06-23,122.5,124.3,122.2,123.5,123.7,29513.0,36.46
2010-06-24,123.7,123.8,120.8,121.0,121.3,41673.0,50.76
2010-06-25,121.15,127.9,120.75,122.5,122.6,154021.0,191.29
2010-06-28,123.0,124.95,122.6,123.15,123.2,47400.0,58.58
2010-06-29,123.0,123.6,121.0,121.2,121.25,29951.0,36.55
2010-06-30,120.15,121.75,119.55,120.0,120.2,28132.0,33.89
2010-07-01,119.55,125.5,119.55,121.5,122.05,154943.0,190.74
2010-07-02,122.65,124.5,120.4,121.3,120.95,44460.0,54.37
2010-07-05,120.7,122.55,120.7,121.0,121.1,30867.0,37.54
2010-07-06,121.9,122.45,118.6,119.1,119.25,73941.0,88.81
2010-07-07,119.35,122.0,119.1,120.9,120.05,47410.0,57.06
2010-07-08,121.0,122.65,120.95,121.6,121.65,50200.0,61.1
2010-07-09,121.55,124.0,121.3,121.5,121.7,49019.0,59.87
2010-07-12,122.0,125.2,122.0,123.65,123.6,105384.0,130.82
2010-07-13,123.0,124.0,122.2,124.0,123.8,40685.0,50.24
2010-07-14,124.7,125.6,122.1,122.25,122.4,41246.0,51.01
2010-07-15,122.3,124.8,122.0,122.65,122.8,17961.0,22.04
2010-07-16,122.95,123.9,122.0,122.4,122.5,22583.0,27.68
2010-07-19,122.0,131.95,122.0,127.95,128.55,1046344.0,1350.48
2010-07-20,129.75,134.4,125.65,127.0,126.85,693206.0,908.67
2010-07-21,130.0,130.0,127.05,127.5,127.75,108185.0,138.54
2010-07-22,127.75,129.8,125.55,128.0,127.9,104646.0,133.79
2010-07-23,128.95,131.4,126.8,127.8,127.7,200255.0,258.54
2010-07-26,129.55,130.9,125.75,125.75,126.2,320585.0,412.06
2010-07-27,127.85,129.0,125.05,125.65,125.75,60837.0,76.89
2010-07-28,126.0,127.0,124.3,127.0,126.1,75547.0,94.95
2010-07-29,126.4,127.9,125.65,126.1,126.4,41377.0,52.42
2010-07-30,126.25,131.45,124.5,128.9,128.3,314307.0,405.82
2010-08-02,126.5,126.9,123.3,125.6,126.2,125505.0,157.24
2010-08-03,126.5,128.2,126.2,127.0,127.2,54973.0,70.01
2010-08-04,127.0,127.9,125.0,125.4,125.35,89184.0,112.68
2010-08-05,125.1,127.0,124.7,127.0,126.0,199189.0,250.62
2010-08-06,126.9,128.0,124.1,124.4,125.0,138762.0,174.57
2010-08-09,125.0,127.3,125.0,127.3,126.95,494269.0,626.85
2010-08-10,125.35,135.0,125.35,132.0,131.95,667142.0,884.29
2010-08-11,133.0,134.8,131.55,132.1,133.2,642830.0,853.19
2010-08-12,132.0,134.5,131.1,131.1,131.3,125043.0,165.52
2010-08-13,131.3,133.1,131.05,132.4,131.45,151721.0,200.41
2010-08-16,132.0,136.9,131.7,135.1,135.25,538002.0,727.78
2010-08-17,136.9,140.0,132.6,133.9,133.35,489470.0,667.42
2010-08-18,134.8,136.0,132.1,134.0,133.8,324558.0,435.98
2010-08-19,134.1,137.4,134.1,135.0,134.8,235402.0,319.25
2010-08-20,134.7,137.8,134.55,136.75,136.7,378265.0,516.67
2010-08-23,137.3,141.7,137.05,140.25,140.5,695827.0,971.72
2010-08-24,141.9,146.9,140.15,145.15,145.15,1265998.0,1831.28
2010-08-25,146.95,146.95,135.0,135.3,135.9,437383.0,607.58
2010-08-26,136.9,138.15,133.3,133.75,134.1,179222.0,243.33
2010-08-27,134.6,139.7,133.5,134.0,135.35,495838.0,683.07
2010-08-30,137.0,154.0,137.0,151.75,150.9,4086058.0,6096.06
