Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,270.0,285.75,264.1,282.0,280.3,5415.0,15.04
2010-01-05,290.0,298.0,282.0,283.2,286.3,4002.0,11.57
2010-01-06,289.5,298.0,283.65,283.65,283.75,1528.0,4.45
2010-01-07,285.0,292.0,281.0,290.0,286.7,683.0,1.96
2010-01-08,285.0,305.0,285.0,293.0,297.2,4109.0,12.19
2010-01-11,299.0,299.0,287.5,288.75,291.25,1173.0,3.42
2010-01-12,290.0,291.9,276.1,276.1,278.85,518.0,1.46
2010-01-13,293.5,293.5,273.3,293.0,292.95,422.0,1.23
2010-01-14,294.25,299.75,287.15,287.15,287.15,313.0,0.92
2010-01-15,299.75,299.75,287.6,287.6,291.45,3210.0,9.36
2010-01-18,297.9,298.25,291.0,291.0,291.0,260.0,0.77
2010-01-19,291.9,294.0,286.1,286.25,286.25,808.0,2.36
2010-01-20,287.1,292.75,285.0,292.75,290.85,813.0,2.34
2010-01-21,286.0,329.9,280.0,283.0,283.55,3203.0,9.34
2010-01-22,270.05,290.0,270.05,288.8,285.3,343.0,0.96
2010-01-25,296.0,296.9,275.0,285.0,285.0,86.0,0.24
2010-01-27,275.0,275.0,246.0,261.0,263.0,3217.0,8.3
2010-01-28,288.0,288.0,254.4,254.4,254.45,654.0,1.71
2010-01-29,250.1,253.0,235.5,249.9,249.9,235.0,0.58
2010-02-01,249.5,250.0,249.5,250.0,250.0,65.0,0.16
2010-02-02,252.0,252.0,252.0,252.0,252.0,50.0,0.13
2010-02-03,260.0,267.75,252.0,267.0,263.45,2112.0,5.33
2010-02-04,246.0,262.9,244.0,244.0,246.25,688.0,1.71
2010-02-05,240.0,243.35,235.0,235.05,235.05,1122.0,2.68
2010-02-08,235.05,264.0,235.0,247.0,249.3,1839.0,4.54
2010-02-09,263.85,263.85,245.1,253.75,253.75,203.0,0.52
2010-02-10,246.1,256.45,242.0,251.75,246.95,333.0,0.83
2010-02-15,236.8,249.9,236.8,240.05,240.05,61.0,0.15
2010-02-16,233.7,240.05,233.7,240.0,238.5,15.0,0.04
2010-02-17,240.15,254.6,240.0,254.6,254.2,531.0,1.32
2010-02-18,259.0,259.0,245.1,245.1,245.1,100.0,0.25
2010-02-19,240.0,248.0,238.4,238.4,241.5,112.0,0.27
2010-02-22,240.0,240.0,232.6,239.9,239.9,253.0,0.6
2010-02-23,239.8,241.25,234.0,234.0,234.8,388.0,0.92
2010-02-24,235.0,235.0,230.0,235.0,235.0,290.0,0.67
2010-02-25,230.0,230.0,225.0,229.7,229.45,1385.0,3.15
2010-02-26,231.0,241.15,230.0,241.15,241.15,170.0,0.4
2010-03-02,236.3,242.95,233.0,234.25,236.1,167.0,0.4
2010-03-03,239.9,246.5,237.0,243.75,243.75,340.0,0.82
2010-03-04,240.0,240.0,240.0,240.0,240.0,50.0,0.12
2010-03-05,238.1,243.9,235.0,235.0,237.05,428.0,1.02
2010-03-08,233.8,245.0,233.8,238.2,238.65,1314.0,3.17
2010-03-09,248.4,248.4,231.8,239.15,240.2,1272.0,3.06
2010-03-10,240.0,240.0,230.6,235.1,235.1,520.0,1.22
2010-03-11,240.0,243.0,238.0,238.0,238.1,1275.0,3.05
2010-03-12,235.05,239.6,228.1,231.3,231.65,990.0,2.32
2010-03-15,232.1,237.15,228.0,232.0,232.0,289.0,0.67
2010-03-16,238.8,238.8,230.05,230.05,231.85,276.0,0.64
2010-03-17,235.0,239.9,230.0,230.5,231.3,1592.0,3.69
2010-03-18,234.75,234.75,223.05,227.7,225.5,1059.0,2.4
2010-03-19,223.0,228.0,222.0,228.0,225.15,700.0,1.58
2010-03-22,232.0,232.0,220.0,220.0,222.1,2094.0,4.68
2010-03-23,228.6,228.6,221.25,226.85,224.05,31.0,0.07
2010-03-25,225.0,225.0,219.0,219.0,220.4,785.0,1.74
2010-03-26,228.95,231.65,216.0,224.0,221.6,2586.0,5.72
2010-03-29,221.0,265.0,221.0,235.15,237.7,13274.0,32.12
2010-03-30,232.1,242.9,232.1,239.95,240.35,449.0,1.07
2010-03-31,241.0,241.0,225.25,230.0,230.25,286.0,0.67
2010-04-01,239.0,239.2,224.2,239.2,239.05,590.0,1.36
2010-04-05,240.0,248.0,237.0,239.9,238.0,2483.0,6.0
2010-04-06,242.0,242.5,234.1,235.0,235.0,3365.0,8.02
2010-04-07,239.95,249.0,236.6,241.25,245.65,2222.0,5.37
2010-04-08,245.0,265.0,245.0,245.0,245.15,4666.0,11.79
2010-04-09,251.95,251.95,239.05,239.05,240.4,2317.0,5.67
2010-04-12,249.0,253.65,245.0,245.0,245.2,2014.0,4.98
2010-04-13,242.0,249.5,241.5,245.0,245.0,447.0,1.1
2010-04-15,250.0,252.0,244.5,248.4,248.4,2834.0,6.99
2010-04-16,242.0,246.0,242.0,245.95,245.95,1096.0,2.69
2010-04-19,245.85,245.85,234.3,236.3,236.85,1718.0,4.07
2010-04-20,235.3,243.5,235.3,239.0,239.0,531.0,1.27
2010-04-21,244.9,252.95,243.0,244.0,244.25,1647.0,4.05
2010-04-22,254.0,256.0,243.0,243.0,244.8,7412.0,18.24
2010-04-23,248.0,260.0,248.0,259.5,256.6,2374.0,6.02
2010-04-26,260.0,260.0,248.5,248.5,250.1,7461.0,18.88
2010-04-27,252.0,260.0,251.35,258.4,258.4,5188.0,13.19
2010-04-28,257.95,274.0,255.0,270.2,269.55,7132.0,19.03
2010-04-29,255.15,286.4,255.15,278.0,275.75,8081.0,22.71
2010-04-30,269.2,283.9,268.2,272.0,271.05,5439.0,15.1
2010-05-03,265.0,273.15,250.0,252.0,252.75,3430.0,8.89
2010-05-04,260.9,260.9,238.15,239.0,241.35,8357.0,20.63
2010-05-05,233.0,252.0,233.0,252.0,251.65,1473.0,3.63
2010-05-06,261.9,261.9,245.0,247.0,245.7,1311.0,3.24
2010-05-07,245.0,247.75,240.0,243.2,243.4,1007.0,2.45
2010-05-10,242.0,252.9,242.0,248.15,248.75,1069.0,2.65
2010-05-11,250.0,250.0,238.0,240.3,240.4,2587.0,6.3
2010-05-12,238.0,261.0,236.1,238.5,241.2,18696.0,47.07
2010-05-13,243.0,244.7,238.1,238.1,239.65,794.0,1.93
2010-05-14,240.0,248.9,235.15,241.0,241.05,3129.0,7.54
2010-05-17,237.0,239.25,235.1,239.25,238.25,454.0,1.07
2010-05-18,240.0,243.0,238.0,238.5,239.3,528.0,1.27
2010-05-19,236.0,238.0,233.0,233.05,233.05,515.0,1.21
2010-05-20,239.9,239.9,230.0,230.0,230.35,1215.0,2.85
2010-05-21,225.05,233.0,225.0,232.45,232.45,1148.0,2.63
2010-05-24,212.3,243.5,212.3,235.0,235.2,1241.0,2.91
2010-05-25,233.0,233.0,233.0,233.0,233.0,176.0,0.41
2010-05-26,234.95,244.65,230.5,231.0,242.35,1470.0,3.52
2010-05-27,239.9,239.9,232.0,232.0,232.95,118.0,0.28
2010-05-28,235.0,238.0,229.6,234.0,234.45,442.0,1.03
2010-05-31,239.4,242.9,238.0,238.0,240.05,334.0,0.8
2010-06-01,234.5,241.0,228.0,231.0,233.1,317.0,0.75
