Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,87.1,89.25,87.0,87.8,88.1,47264.0,41.72
2010-01-05,89.35,91.9,88.3,89.5,90.35,91285.0,82.35
2010-01-06,90.75,92.0,89.6,90.25,90.3,47275.0,42.83
2010-01-07,88.6,98.3,88.6,93.5,93.4,554294.0,530.54
2010-01-08,93.8,94.85,90.5,91.35,91.4,77042.0,71.1
2010-01-11,93.8,94.1,92.0,92.6,92.8,58981.0,55.05
2010-01-12,92.8,94.1,91.1,91.1,91.6,49512.0,45.79
2010-01-13,90.0,91.8,88.6,89.0,88.95,45134.0,40.5
2010-01-14,89.95,91.9,88.6,89.9,90.0,69981.0,62.98
2010-01-15,91.0,92.0,88.7,91.0,91.2,42622.0,38.52
2010-01-18,94.5,94.5,89.85,90.5,90.6,40698.0,36.86
2010-01-19,90.0,91.45,88.75,89.1,89.25,26495.0,23.83
2010-01-20,89.0,93.0,88.15,88.15,88.55,43737.0,39.49
2010-01-21,86.1,89.55,85.65,85.65,86.15,36379.0,31.73
2010-01-22,82.1,86.5,82.0,86.5,86.0,47737.0,40.61
2010-01-25,85.4,88.4,84.1,84.1,84.8,27342.0,23.51
2010-01-27,84.8,85.35,82.0,82.3,82.35,51217.0,42.37
2010-01-28,82.0,84.0,82.0,82.4,82.45,48955.0,40.47
2010-01-29,80.2,82.95,78.55,82.0,81.55,50556.0,40.83
2010-02-01,81.85,93.4,81.85,92.75,92.3,196780.0,177.12
2010-02-02,93.35,95.35,87.1,87.95,87.85,75132.0,67.87
2010-02-03,88.7,89.85,87.15,87.45,87.4,28187.0,24.86
2010-02-04,88.2,88.5,85.05,85.55,85.2,31312.0,27.18
2010-02-05,83.3,85.95,81.15,84.9,84.95,29651.0,24.73
2010-02-06,85.0,86.5,84.2,85.05,84.7,8116.0,6.9
2010-02-08,85.0,87.9,84.1,85.6,85.2,11284.0,9.67
2010-02-09,85.75,86.6,85.0,85.5,85.7,15424.0,13.25
2010-02-10,88.75,88.75,85.0,85.2,85.2,14583.0,12.55
2010-02-11,85.0,86.5,85.0,85.05,85.35,12926.0,11.1
2010-02-15,85.05,86.8,83.8,84.05,84.05,31572.0,26.74
2010-02-16,83.0,85.9,82.0,85.0,85.0,29346.0,24.87
2010-02-17,85.1,86.9,84.0,84.45,84.0,40278.0,34.07
2010-02-18,85.45,86.5,83.1,83.75,83.5,20634.0,17.51
2010-02-19,83.15,84.5,81.15,81.25,81.5,16286.0,13.37
2010-02-22,85.9,88.0,78.5,81.6,81.85,26742.0,22.28
2010-02-23,81.0,83.0,80.0,80.0,80.2,26780.0,21.54
2010-02-24,80.9,80.9,79.0,80.4,80.45,13170.0,10.56
2010-02-25,83.25,83.9,79.1,79.15,79.35,29101.0,23.64
2010-02-26,80.5,81.0,76.55,80.0,80.05,36498.0,29.25
2010-03-02,84.9,84.9,81.55,82.75,82.5,52447.0,43.48
2010-03-03,84.0,85.0,83.5,84.3,84.5,35340.0,29.84
2010-03-04,84.5,88.0,84.5,87.2,87.05,45484.0,39.62
2010-03-05,88.5,88.8,85.3,86.5,86.1,66004.0,57.2
2010-03-08,88.3,88.3,86.5,87.65,87.3,44568.0,38.92
2010-03-09,87.95,91.5,86.0,90.0,89.95,509768.0,445.96
2010-03-10,91.0,93.0,86.1,87.0,86.95,34811.0,30.96
2010-03-11,86.0,88.2,86.0,86.45,86.45,21226.0,18.43
2010-03-12,88.0,88.0,86.0,87.0,86.75,57906.0,50.32
2010-03-15,87.2,87.6,85.75,86.25,86.55,39316.0,34.07
2010-03-16,85.25,87.9,85.25,86.5,86.5,15403.0,13.35
2010-03-17,91.85,91.85,87.0,89.5,89.25,69555.0,62.06
2010-03-18,89.95,89.95,87.0,88.5,88.6,25636.0,22.75
2010-03-19,87.2,89.5,87.2,89.15,88.75,12536.0,11.11
2010-03-22,86.1,89.0,86.1,87.1,87.45,13216.0,11.57
2010-03-23,87.25,88.7,87.05,88.7,88.0,20547.0,18.09
2010-03-25,90.0,92.2,87.0,89.9,90.1,163276.0,148.05
2010-03-26,90.5,90.5,88.75,89.35,88.95,26694.0,23.87
2010-03-29,89.0,89.0,87.5,88.0,88.0,22736.0,20.02
2010-03-30,89.8,91.9,87.2,90.1,90.8,24948.0,22.44
2010-03-31,91.3,94.4,89.3,91.0,91.25,63815.0,59.05
2010-04-01,92.8,95.7,91.7,93.5,93.45,43641.0,41.0
2010-04-05,94.0,100.9,93.5,100.35,99.55,283471.0,278.19
2010-04-06,100.5,101.1,98.5,99.6,99.7,82745.0,82.38
2010-04-07,101.4,105.6,98.95,103.5,103.65,150397.0,155.84
2010-04-08,104.4,104.8,102.2,104.1,103.75,55477.0,57.34
2010-04-09,104.2,107.0,104.0,106.5,106.2,58775.0,62.37
2010-04-12,106.7,108.0,104.25,106.5,106.65,47276.0,50.31
2010-04-13,106.65,109.9,106.5,107.0,108.1,38947.0,42.24
2010-04-15,108.45,109.55,105.3,106.7,106.95,43235.0,46.41
2010-04-16,107.0,107.0,100.55,102.25,102.3,14323.0,14.64
2010-04-19,102.25,104.0,98.0,104.0,103.15,45235.0,45.88
2010-04-20,104.8,107.5,102.85,103.1,103.35,25003.0,26.05
2010-04-21,107.0,107.0,103.6,105.0,105.1,25135.0,26.31
2010-04-22,106.1,107.0,104.05,106.0,106.05,65550.0,69.53
2010-04-23,107.3,112.0,106.0,107.5,108.15,155759.0,170.93
2010-04-26,109.1,110.4,105.0,108.75,107.85,43567.0,46.66
2010-04-27,106.0,108.5,106.0,107.5,107.5,21304.0,22.84
2010-04-28,105.55,106.9,104.1,105.15,105.4,21350.0,22.5
2010-04-29,106.0,110.2,105.0,105.2,105.7,21479.0,23.03
2010-04-30,109.0,109.0,102.55,104.5,103.5,57193.0,59.59
2010-05-03,107.0,108.5,103.0,105.0,104.65,43559.0,46.29
2010-05-04,105.0,113.5,103.75,111.45,111.0,282429.0,310.73
2010-05-05,110.0,112.9,106.0,107.0,107.45,91552.0,99.27
2010-05-06,112.0,112.0,105.5,107.2,107.7,39027.0,42.23
2010-05-07,105.0,105.5,103.0,104.35,103.5,18894.0,19.62
2010-05-10,103.0,112.3,103.0,109.1,110.5,111712.0,121.15
2010-05-11,109.2,120.4,109.2,111.25,112.15,318588.0,367.16
2010-05-12,114.0,117.7,114.0,116.4,116.1,103756.0,120.47
2010-05-13,116.8,117.0,113.0,115.25,115.15,45836.0,52.99
2010-05-14,110.95,116.0,110.6,111.0,111.7,21413.0,24.3
2010-05-17,110.6,113.4,108.2,110.75,112.45,31650.0,35.24
2010-05-18,112.35,113.4,110.7,112.1,112.75,24185.0,27.25
2010-05-19,111.7,112.0,106.4,106.4,107.9,21920.0,23.96
2010-05-20,110.2,111.0,104.1,105.5,105.1,18925.0,20.02
2010-05-21,102.5,108.95,101.25,102.75,103.0,16210.0,16.73
2010-05-24,103.0,108.9,101.0,101.05,102.25,15226.0,16.01
2010-05-25,101.0,104.7,100.0,101.5,101.1,70181.0,71.0
2010-05-26,102.0,105.0,101.1,104.45,103.65,55097.0,56.82
2010-05-27,103.0,103.95,100.55,102.55,103.1,8754.0,8.94
2010-05-28,102.0,104.9,101.2,101.2,101.95,7623.0,7.84
2010-05-31,101.95,104.9,100.2,104.5,104.5,50642.0,52.25
2010-06-01,103.0,106.0,100.55,100.55,100.95,17875.0,18.49
2010-06-02,104.0,104.0,101.55,102.5,102.9,24033.0,24.71
2010-06-03,103.0,105.4,102.75,103.4,103.5,8348.0,8.68
2010-06-04,106.0,111.85,103.5,109.0,108.75,50662.0,55.11
2010-06-07,108.0,110.95,104.8,108.5,109.85,42947.0,46.94
2010-06-08,109.0,112.85,105.15,106.05,106.15,27788.0,30.19
2010-06-09,108.8,112.0,106.7,107.0,107.1,66993.0,73.39
2010-06-10,107.0,109.75,107.0,107.55,108.6,12395.0,13.42
2010-06-11,110.55,110.55,107.2,107.25,107.5,16134.0,17.42
2010-06-14,108.5,109.5,107.0,108.5,108.9,24915.0,26.95
2010-06-15,107.15,112.0,106.2,110.95,110.1,94730.0,104.2
2010-06-16,112.95,114.35,110.35,112.0,111.95,27299.0,30.68
2010-06-17,111.05,114.0,110.1,113.65,113.35,36011.0,40.51
2010-06-18,114.4,114.95,112.5,114.0,113.95,35673.0,40.62
2010-06-21,115.0,116.0,112.1,113.0,113.45,17918.0,20.41
2010-06-22,113.0,113.45,110.1,112.6,112.9,13133.0,14.76
2010-06-23,112.0,121.8,111.7,121.5,119.35,63659.0,75.05
2010-06-24,121.0,122.35,116.1,118.2,118.4,34589.0,41.3
2010-06-25,119.9,120.0,117.1,118.5,118.9,39480.0,46.95
2010-06-28,116.0,120.0,116.0,117.5,117.05,12068.0,14.18
2010-06-29,118.9,118.9,115.05,116.6,115.45,9428.0,10.97
2010-06-30,114.8,117.8,114.8,117.05,116.15,8754.0,10.13
2010-07-01,116.0,130.1,115.0,123.0,122.45,275468.0,338.37
2010-07-02,124.0,125.85,120.0,120.1,120.95,29534.0,36.13
2010-07-05,121.0,124.3,120.3,120.4,120.75,8675.0,10.56
2010-07-06,122.8,122.9,118.5,118.5,119.5,17737.0,21.35
2010-07-07,119.0,119.65,116.5,116.6,116.95,23668.0,27.86
2010-07-08,119.0,122.9,116.15,120.0,120.1,282282.0,333.96
2010-07-09,121.9,122.5,120.0,120.05,120.35,40681.0,49.18
2010-07-12,121.5,121.5,120.0,120.5,120.55,13068.0,15.74
2010-07-13,121.85,121.85,117.6,119.95,119.9,10782.0,12.84
2010-07-14,121.4,121.4,118.7,120.0,120.0,14105.0,16.91
2010-07-15,122.0,122.0,117.4,117.5,117.85,15678.0,18.65
2010-07-16,117.4,123.1,115.0,120.25,121.8,26365.0,31.96
2010-07-19,121.5,122.9,118.55,119.65,119.55,43857.0,52.6
2010-07-20,121.6,121.7,118.0,120.0,120.25,142580.0,171.86
2010-07-21,121.95,121.95,118.5,120.0,120.25,11991.0,14.36
2010-07-22,119.0,120.5,116.25,116.85,117.05,79820.0,95.24
2010-07-23,117.9,119.5,115.25,115.25,116.0,26032.0,30.55
2010-07-26,104.9,117.0,104.9,115.0,114.7,15210.0,17.49
2010-07-27,116.9,116.9,114.1,115.0,115.15,7942.0,9.12
2010-07-28,117.0,118.0,114.25,115.7,115.25,44452.0,51.13
2010-07-29,116.0,117.9,114.35,116.0,114.9,16980.0,19.7
2010-07-30,118.5,124.85,116.9,123.05,123.2,171117.0,209.02
2010-08-02,124.0,128.5,123.8,127.9,127.0,71222.0,90.11
2010-08-03,128.0,130.5,125.5,125.5,127.15,64580.0,83.1
2010-08-04,128.4,132.5,125.5,129.0,128.9,57802.0,75.38
2010-08-05,130.4,133.8,127.1,133.7,132.8,382609.0,505.04
2010-08-06,133.0,136.25,126.6,128.7,128.1,53636.0,71.19
2010-08-09,129.95,132.0,122.2,128.2,130.1,82390.0,106.68
2010-08-10,131.4,135.0,128.9,130.0,130.05,63669.0,84.14
2010-08-11,134.0,134.0,128.05,128.5,128.65,22939.0,29.7
2010-08-12,127.9,129.9,124.0,128.95,128.25,35408.0,45.02
2010-08-13,129.05,131.9,128.05,130.2,130.3,39947.0,52.09
2010-08-16,132.0,132.85,127.1,127.9,128.4,34784.0,44.86
2010-08-17,128.0,131.95,127.2,129.0,129.35,25236.0,32.84
2010-08-18,132.8,132.8,129.0,129.65,129.75,19129.0,24.98
2010-08-19,130.0,136.9,129.5,136.75,135.95,91091.0,122.28
2010-08-20,136.9,138.9,134.2,135.05,135.05,82044.0,111.44
2010-08-23,135.05,136.25,132.0,135.2,135.5,24898.0,33.6
2010-08-24,135.0,138.45,132.2,132.6,133.35,32357.0,44.01
2010-08-25,133.4,135.3,131.5,133.55,134.2,26544.0,35.58
2010-08-26,135.5,135.5,131.25,134.0,133.65,20990.0,27.91
2010-08-27,133.0,134.2,128.5,129.0,129.45,10488.0,13.77
2010-08-30,130.1,132.0,123.1,127.0,124.25,98762.0,123.81
2010-08-31,124.0,127.8,121.05,126.0,126.45,24461.0,30.7
2010-09-01,126.0,131.0,126.0,128.5,128.05,39428.0,50.77
2010-09-02,129.9,131.0,125.1,126.3,125.75,34439.0,43.61
2010-09-03,125.5,129.8,125.5,128.0,128.5,21228.0,27.16
2010-09-06,130.0,133.35,129.0,131.0,130.85,35209.0,46.21
2010-09-07,131.25,133.0,130.0,130.5,130.75,17790.0,23.45
2010-09-08,129.0,135.45,127.65,134.5,134.15,40346.0,53.65
2010-09-09,134.2,141.75,134.0,134.4,135.4,136036.0,187.85
2010-09-13,137.0,143.35,137.0,140.3,140.2,102637.0,144.08
2010-09-14,142.0,144.8,140.0,140.8,140.95,100412.0,142.61
2010-09-15,142.35,149.2,141.25,147.0,145.85,215288.0,314.82
2010-09-16,146.0,147.2,141.55,142.5,142.7,35659.0,51.43
2010-09-17,144.2,147.8,143.0,145.9,146.1,60242.0,87.57
2010-09-20,147.7,154.3,145.6,153.85,151.5,131175.0,197.93
2010-09-21,153.0,153.75,147.1,148.0,147.8,39589.0,59.29
2010-09-22,147.0,147.2,143.05,146.4,145.5,27011.0,39.17
2010-09-23,143.05,146.05,142.5,144.0,144.0,21049.0,30.32
2010-09-24,144.0,150.0,144.0,148.0,149.15,36977.0,54.8
2010-09-27,151.0,151.5,146.85,147.5,148.05,29604.0,44.25
2010-09-28,149.3,150.9,146.05,149.55,150.2,29500.0,44.06
2010-09-29,150.5,156.0,149.1,155.0,155.05,134628.0,208.16
2010-09-30,156.0,159.75,154.45,155.0,155.75,118196.0,185.42
2010-10-01,156.25,157.9,155.35,155.45,156.15,29326.0,45.8
2010-10-04,158.0,158.0,150.6,151.5,151.8,30297.0,46.21
2010-10-05,158.0,158.2,151.1,157.0,157.3,44197.0,68.93
2010-10-06,159.0,162.5,154.0,155.5,154.85,34700.0,54.53
2010-10-07,154.85,158.5,154.85,156.45,155.9,26575.0,41.73
2010-10-08,157.9,157.9,151.35,155.1,156.55,19403.0,30.25
2010-10-11,162.0,162.0,152.3,155.0,153.6,9394.0,14.49
2010-10-12,153.05,156.75,151.6,152.5,152.5,7321.0,11.19
2010-10-13,155.8,155.8,151.45,151.75,151.7,20806.0,31.76
2010-10-14,154.6,154.6,151.05,151.2,151.25,22279.0,33.83
2010-10-15,151.2,152.0,149.95,150.95,150.1,24151.0,36.28
2010-10-18,150.0,153.9,150.0,150.45,150.8,9203.0,13.99
2010-10-19,153.85,153.85,150.0,150.05,150.15,13748.0,20.69
2010-10-20,150.0,157.0,150.0,154.75,154.75,24637.0,37.85
2010-10-21,155.1,155.75,153.15,155.5,155.05,22709.0,35.2
2010-10-22,155.0,158.0,155.0,155.0,155.05,14934.0,23.21
2010-10-25,155.0,156.95,153.0,155.25,155.3,6029.0,9.37
2010-10-26,165.0,176.0,162.3,163.0,163.7,133154.0,222.05
2010-10-27,164.6,170.7,163.0,165.1,165.05,81520.0,136.25
2010-10-28,168.0,173.75,164.2,169.3,172.25,150330.0,253.92
2010-10-29,177.9,192.4,175.2,184.45,184.6,514225.0,947.96
2010-11-01,187.0,198.0,185.1,197.0,194.85,193402.0,369.62
2010-11-02,199.25,199.25,190.15,193.0,193.3,50416.0,97.95
2010-11-03,195.0,196.9,192.05,193.35,193.55,20666.0,40.06
2010-11-04,194.5,195.5,191.0,195.0,194.7,29003.0,56.07
2010-11-05,196.0,198.95,193.0,196.0,196.65,17158.0,33.73
2010-11-08,197.5,198.0,193.1,196.5,195.55,17230.0,33.57
2010-11-09,196.0,199.75,193.55,199.0,197.0,46772.0,91.86
2010-11-10,199.8,199.8,195.0,199.75,199.15,45476.0,90.04
2010-11-11,197.5,199.15,196.2,199.15,197.8,19291.0,38.1
2010-11-12,197.8,198.5,195.0,197.05,197.9,36950.0,72.73
2010-11-15,198.0,209.75,194.0,207.9,205.75,215696.0,441.8
2010-11-16,207.8,213.2,195.5,203.85,204.05,180345.0,372.26
2010-11-18,205.0,209.0,198.25,200.75,201.1,67349.0,137.32
2010-11-19,202.0,206.8,198.5,204.8,203.4,88745.0,181.2
2010-11-22,206.65,209.75,204.35,204.65,205.2,136459.0,281.2
2010-11-23,204.0,205.9,194.0,194.3,196.25,157107.0,312.16
2010-11-24,196.3,202.0,194.0,194.15,195.1,27172.0,53.66
2010-11-25,199.55,201.8,193.65,195.0,194.5,24242.0,47.66
2010-11-26,195.35,199.0,183.6,186.4,185.95,67868.0,128.78
2010-11-29,191.0,195.0,184.0,190.0,187.45,41765.0,79.61
