Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-08-10,25.25,42.2,25.25,32.0,34.0,47594.0,17.15
2011-08-11,32.3,34.7,32.3,32.3,32.3,8715.0,2.85
2011-08-12,30.7,33.25,30.7,32.8,31.95,6033.0,1.91
2011-08-16,31.0,31.0,30.35,30.35,30.35,4656.0,1.41
2011-08-17,28.85,30.45,28.85,28.85,28.85,7675.0,2.24
2011-08-18,27.5,27.5,27.45,27.45,27.45,5028.0,1.38
2011-08-19,26.1,26.1,26.1,26.1,26.1,2277.0,0.59
2011-08-22,24.8,27.45,24.8,27.45,27.45,9923.0,2.62
2011-08-23,27.45,28.85,27.4,28.85,28.85,4332.0,1.22
2011-08-24,29.1,30.3,27.45,27.5,27.5,17056.0,4.81
2011-08-25,29.75,29.75,26.3,26.55,26.55,819.0,0.22
2011-08-26,25.0,27.0,23.5,23.75,24.9,7557.0,1.89
2011-08-29,21.0,25.55,21.0,24.0,24.05,6525.0,1.51
2011-08-30,24.0,27.0,23.25,27.0,26.8,15310.0,3.88
2011-09-02,25.4,26.9,25.35,26.0,26.0,1722.0,0.44
2011-09-05,25.25,27.0,25.25,26.8,26.8,2890.0,0.77
2011-09-06,27.5,30.8,25.7,26.5,26.5,10778.0,2.9
2011-09-07,27.0,27.55,26.55,27.4,27.45,2401.0,0.65
2011-09-08,30.9,30.9,27.0,27.1,27.5,3280.0,0.9
2011-09-09,26.5,28.5,26.2,26.2,26.6,9057.0,2.44
2011-09-12,25.35,26.9,25.35,25.8,25.75,9383.0,2.41
2011-09-13,25.7,26.5,25.7,26.0,26.0,5305.0,1.38
2011-09-14,25.8,26.05,25.75,25.9,25.9,6859.0,1.77
2011-09-15,25.0,26.8,23.6,25.7,25.7,3280.0,0.85
2011-09-16,25.3,26.5,25.3,26.4,26.4,938.0,0.24
2011-09-19,25.65,26.3,25.65,26.3,26.3,3421.0,0.89
2011-09-20,25.85,26.25,25.8,25.8,25.95,2412.0,0.63
2011-09-21,25.8,29.0,25.8,27.6,27.6,65914.0,18.18
2011-09-22,26.65,27.4,24.65,26.2,25.15,26348.0,6.7
2011-09-23,24.0,26.5,24.0,25.7,25.7,3549.0,0.9
2011-09-26,25.35,25.55,25.2,25.2,25.2,1336.0,0.34
2011-09-27,26.9,26.9,25.35,25.5,25.55,3803.0,0.97
2011-09-28,25.2,26.05,25.2,25.9,25.65,3462.0,0.88
2011-09-29,25.5,26.0,25.2,25.5,25.5,5286.0,1.35
2011-09-30,26.35,26.35,26.1,26.1,26.1,820.0,0.22
2011-10-03,25.0,25.1,23.6,25.0,24.85,10272.0,2.55
2011-10-04,24.75,25.1,24.7,24.85,24.85,1367.0,0.34
2011-10-05,24.0,27.0,24.0,25.4,25.4,484.0,0.12
