Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-10-19,572.0,654.4,572.0,654.4,646.9,36506028.0,221527.13
2016-10-20,660.0,674.5,608.0,617.0,613.45,8610390.0,54881.38
2016-10-21,614.0,632.0,605.15,626.5,626.25,3193161.0,19819.3
2016-10-24,631.9,634.0,620.05,628.0,627.4,942296.0,5916.19
2016-10-25,627.4,634.45,618.75,627.0,626.4,633022.0,3971.41
2016-10-26,622.55,627.45,607.0,615.05,615.15,514571.0,3178.49
2016-10-27,615.0,617.95,605.0,617.15,612.05,359111.0,2191.56
2016-10-28,612.05,628.7,612.05,621.0,624.4,401342.0,2496.22
2016-10-30,622.0,624.95,616.0,617.6,619.15,76807.0,476.99
2016-11-01,618.0,621.75,606.1,606.8,608.65,214674.0,1312.83
2016-11-02,604.9,614.4,588.2,599.1,601.9,644219.0,3888.07
2016-11-03,599.1,619.4,599.1,605.0,604.55,354758.0,2165.85
2016-11-04,605.1,608.75,582.0,596.1,594.05,322506.0,1922.58
2016-11-07,603.0,621.85,598.0,614.0,614.35,532110.0,3252.07
2016-11-08,615.0,632.0,606.25,621.5,624.3,398604.0,2474.01
2016-11-09,548.0,646.95,526.0,632.0,633.3,685896.0,4148.43
2016-11-10,644.4,648.25,624.0,635.0,632.35,341773.0,2176.5
2016-11-11,620.0,629.0,588.0,601.0,595.4,337195.0,2043.98
2016-11-15,599.95,599.95,548.5,585.1,586.45,552423.0,3143.2
2016-11-16,595.1,598.7,558.5,565.0,567.05,260799.0,1495.02
2016-11-17,567.05,573.0,543.3,546.0,547.8,382901.0,2116.04
2016-11-18,547.9,554.0,527.0,535.0,542.4,472679.0,2557.9
2016-11-21,538.75,538.75,518.75,524.0,522.95,514445.0,2695.92
2016-11-22,527.85,534.7,522.0,528.0,529.75,268588.0,1421.16
2016-11-23,534.25,550.3,528.0,548.65,545.45,264459.0,1428.73
2016-11-24,543.0,548.0,534.0,540.4,540.6,174139.0,942.75
2016-11-25,548.0,555.0,541.3,544.5,545.4,165067.0,903.34
2016-11-28,548.9,576.85,542.45,558.0,562.65,246027.0,1381.43
2016-11-29,564.4,594.85,559.2,580.5,583.7,520680.0,3008.49
2016-11-30,584.0,601.75,580.3,590.75,593.2,309485.0,1829.15
2016-12-01,596.0,597.55,577.1,585.0,584.45,92939.0,543.39
2016-12-02,584.45,586.3,565.1,571.0,572.9,98655.0,568.56
2016-12-05,570.0,583.75,559.0,564.3,566.35,151236.0,858.82
2016-12-06,569.45,574.45,563.5,567.5,566.55,103540.0,585.74
2016-12-07,571.0,600.45,569.95,590.0,590.45,586912.0,3461.72
2016-12-08,593.9,600.75,582.1,582.9,584.1,193847.0,1144.44
2016-12-09,585.4,590.85,577.0,579.8,579.25,43010.0,251.13
2016-12-12,575.3,582.5,568.55,569.0,571.85,70120.0,402.68
2016-12-13,571.0,580.0,568.1,569.0,569.25,35633.0,204.4
2016-12-14,573.95,578.0,567.0,572.0,570.2,75435.0,430.65
2016-12-15,566.65,574.45,562.6,566.5,564.55,35556.0,202.2
2016-12-16,565.25,580.5,565.25,573.0,573.15,115222.0,661.85
2016-12-19,576.95,583.85,568.1,574.9,574.0,81711.0,468.96
2016-12-20,575.0,576.5,566.0,569.2,569.65,20829.0,118.86
