Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,49.75,52.5,48.5,52.5,52.25,1222866.0,627.78
2010-01-05,52.3,53.35,50.25,51.4,51.45,661444.0,342.72
2010-01-06,52.0,52.0,50.0,50.1,50.15,280338.0,142.29
2010-01-07,50.7,52.4,50.15,50.6,50.65,250150.0,127.98
2010-01-08,51.0,51.9,49.0,51.65,50.65,299059.0,152.97
2010-01-11,50.2,53.9,50.2,51.85,51.9,815867.0,428.53
2010-01-12,52.25,53.8,51.65,51.95,52.25,889134.0,466.23
2010-01-13,51.8,55.7,51.8,54.7,54.85,898155.0,487.72
2010-01-14,55.4,57.5,54.4,56.5,56.35,615236.0,344.83
2010-01-15,56.95,57.45,54.9,55.3,55.15,299955.0,168.87
2010-01-18,55.5,58.3,55.45,56.5,56.55,508107.0,291.45
2010-01-19,57.0,58.25,54.55,55.5,55.2,315450.0,179.31
2010-01-20,55.75,56.85,54.4,54.9,55.1,173847.0,96.49
2010-01-21,54.95,55.45,51.5,51.75,51.9,118829.0,63.41
2010-01-22,48.25,51.25,45.5,50.35,50.45,131707.0,66.37
2010-01-25,50.45,51.7,49.75,50.35,50.45,79380.0,40.21
2010-01-27,50.45,51.15,46.0,46.2,46.3,204099.0,98.52
2010-01-28,47.5,49.0,47.25,47.65,47.4,195161.0,93.9
2010-01-29,47.1,47.25,45.2,46.1,46.15,158544.0,72.81
2010-02-01,46.0,49.5,45.15,48.5,48.4,97470.0,46.68
2010-02-02,49.8,50.8,46.5,47.25,47.25,129618.0,63.11
2010-02-03,48.4,48.9,46.0,46.9,46.95,90298.0,42.61
2010-02-04,47.0,48.15,44.6,44.8,44.9,112224.0,51.46
2010-02-05,42.5,44.75,42.5,43.55,43.65,52689.0,23.06
2010-02-06,44.4,45.2,44.0,44.9,45.0,17294.0,7.72
2010-02-08,45.7,45.7,44.45,44.5,44.8,47358.0,21.3
2010-02-09,44.5,46.0,44.5,45.1,45.5,29741.0,13.43
2010-02-10,46.0,46.5,44.55,44.55,45.0,23425.0,10.62
2010-02-11,46.9,46.9,44.55,44.9,44.85,23306.0,10.57
2010-02-15,45.0,45.9,44.2,44.2,44.6,30767.0,13.8
2010-02-16,45.0,45.0,44.1,44.1,44.4,11741.0,5.22
2010-02-17,44.5,47.9,44.5,45.65,45.4,72118.0,33.17
2010-02-18,45.15,47.0,45.15,45.25,45.5,53168.0,24.55
2010-02-19,45.1,45.65,44.0,44.35,44.4,34768.0,15.51
2010-02-22,45.0,45.9,42.75,42.8,43.0,32247.0,14.08
2010-02-23,43.5,44.0,42.15,42.8,43.1,53968.0,23.44
2010-02-24,43.0,43.35,41.0,41.1,41.3,26436.0,11.15
2010-02-25,41.5,42.75,41.25,42.0,42.3,31183.0,13.11
2010-02-26,41.75,43.9,41.75,43.45,43.05,43396.0,18.64
2010-03-02,43.9,44.2,43.0,43.1,43.2,37194.0,16.13
2010-03-03,43.5,45.2,43.05,44.3,44.5,75705.0,33.79
2010-03-04,44.6,45.2,44.05,44.35,44.4,22499.0,10.01
2010-03-05,45.0,45.5,44.25,44.6,44.4,29081.0,13.03
2010-03-08,45.4,46.4,45.4,45.85,45.9,77652.0,35.64
2010-03-09,46.3,46.5,45.5,45.55,45.6,31716.0,14.54
2010-03-10,45.5,45.9,44.5,44.8,44.7,70939.0,31.91
2010-03-11,44.8,44.85,43.75,43.8,43.95,34061.0,15.02
2010-03-12,44.0,44.25,43.5,44.0,43.8,23111.0,10.12
2010-03-15,43.5,44.0,42.7,43.0,42.9,34408.0,14.81
2010-03-16,43.3,43.75,42.5,42.65,42.65,22773.0,9.77
2010-03-17,43.4,43.55,42.5,42.6,42.6,24077.0,10.36
2010-03-18,43.35,43.35,42.3,42.95,42.7,73283.0,31.24
2010-03-19,42.0,43.25,42.0,42.7,42.9,29924.0,12.82
2010-03-22,42.5,42.7,40.75,41.25,41.2,87525.0,36.3
2010-03-23,42.0,42.0,40.05,40.3,40.4,42103.0,17.25
2010-03-25,40.75,43.05,40.05,42.5,41.9,88476.0,36.48
2010-03-26,42.0,44.5,42.0,43.0,42.9,155963.0,68.15
2010-03-29,36.0,45.8,36.0,44.4,44.4,266523.0,118.55
2010-03-30,45.25,45.75,44.0,44.65,44.3,132781.0,59.46
2010-03-31,43.75,44.6,42.7,42.7,43.1,53791.0,23.51
2010-04-01,40.1,44.4,40.1,44.0,44.0,282227.0,124.08
2010-04-05,45.0,45.5,43.05,43.85,43.95,115305.0,50.82
2010-04-06,44.4,52.75,44.3,51.65,52.15,3826248.0,1945.18
2010-04-07,52.05,53.0,48.8,49.2,49.25,732929.0,370.68
2010-04-08,49.75,51.75,49.0,50.0,50.05,427568.0,216.92
2010-04-09,50.6,52.55,49.9,50.3,50.4,394958.0,203.64
2010-04-12,51.6,51.6,49.55,49.8,50.1,116366.0,58.73
2010-04-13,49.75,51.5,49.6,50.0,50.25,78894.0,39.84
2010-04-15,51.0,51.0,49.1,49.5,49.45,91266.0,45.7
2010-04-16,50.1,50.1,48.45,49.0,48.5,305782.0,148.62
2010-04-19,48.1,49.3,47.55,47.9,48.35,106203.0,51.51
2010-04-20,48.5,49.35,48.0,48.25,48.45,101718.0,49.7
2010-04-21,48.9,50.95,48.7,49.2,48.95,110194.0,54.96
2010-04-22,49.75,50.6,48.3,48.45,48.65,104860.0,51.91
2010-04-23,49.25,51.3,48.5,50.5,50.3,205705.0,103.3
2010-04-26,50.3,51.3,49.25,49.3,49.4,111123.0,55.7
2010-04-27,49.9,50.5,48.5,49.5,49.25,110083.0,54.51
2010-04-28,49.2,49.45,48.0,48.3,48.25,60124.0,29.35
2010-04-29,49.1,51.0,49.0,49.5,49.65,317878.0,158.98
2010-04-30,49.6,49.95,48.6,49.0,48.8,71350.0,35.11
2010-05-03,48.5,51.3,48.1,49.4,49.3,133188.0,66.24
2010-05-04,50.0,50.0,48.3,48.4,48.5,64186.0,31.63
2010-05-05,48.0,48.0,46.15,47.35,47.45,121233.0,57.15
2010-05-06,47.6,48.3,47.1,48.15,47.95,65140.0,31.05
2010-05-07,46.5,47.6,45.25,45.3,45.85,41378.0,19.25
2010-05-10,46.0,47.0,45.3,47.0,46.8,24412.0,11.39
2010-05-11,46.5,47.4,45.4,45.9,45.85,40017.0,18.6
2010-05-12,45.8,46.7,44.8,44.8,45.05,31566.0,14.32
2010-05-13,45.1,46.0,44.7,44.8,44.85,54612.0,24.76
2010-05-14,45.3,45.45,44.0,44.35,44.1,44436.0,19.89
2010-05-17,43.8,44.95,40.25,42.0,42.25,100333.0,42.55
2010-05-18,42.4,43.4,42.4,42.7,42.65,19255.0,8.25
2010-05-19,41.45,42.45,41.0,41.45,41.15,45023.0,18.75
2010-05-20,41.6,41.65,40.4,40.4,40.6,31610.0,12.96
2010-05-21,40.0,41.9,39.0,39.5,39.75,56340.0,22.58
2010-05-24,40.0,41.45,40.0,40.2,40.55,33236.0,13.56
2010-05-25,40.05,40.8,39.1,40.05,39.45,35591.0,14.2
2010-05-26,40.0,40.25,39.0,39.0,39.0,32759.0,12.93
2010-05-27,38.1,41.25,38.1,40.9,40.7,47911.0,19.0
2010-05-28,41.0,41.4,40.5,40.6,40.9,26910.0,11.03
2010-05-31,41.75,41.9,39.45,41.0,41.2,52321.0,21.15
2010-06-01,40.9,41.6,40.0,40.35,40.35,33295.0,13.59
2010-06-02,40.05,40.9,40.0,40.3,40.5,26006.0,10.51
2010-06-03,40.9,46.3,40.0,43.5,43.35,1197865.0,527.16
2010-06-04,43.95,45.3,42.75,43.2,43.45,243921.0,107.82
2010-06-07,42.1,42.1,41.4,41.7,41.7,48926.0,20.48
2010-06-08,42.75,43.95,40.7,41.35,41.35,102717.0,43.53
2010-06-09,42.4,42.4,39.55,39.55,39.75,113861.0,46.16
2010-06-10,40.6,42.9,40.0,41.5,41.6,117228.0,48.84
2010-06-11,41.9,43.5,41.25,42.4,42.4,163878.0,69.82
2010-06-14,42.4,43.85,40.8,41.5,41.6,152437.0,64.88
2010-06-15,40.55,42.5,40.55,42.3,42.2,230233.0,96.85
2010-06-16,42.5,42.85,42.0,42.3,42.3,51436.0,21.82
2010-06-17,42.25,46.0,42.05,45.05,45.4,324798.0,145.37
2010-06-18,45.3,46.35,45.0,45.0,45.05,101515.0,46.14
2010-06-21,45.5,46.3,45.05,45.95,45.5,106102.0,48.39
2010-06-22,45.5,45.7,44.75,45.0,45.1,57566.0,26.0
2010-06-23,45.05,45.85,45.0,45.5,45.55,31631.0,14.36
2010-06-24,46.0,47.6,45.5,46.6,46.6,140034.0,65.48
2010-06-25,46.85,46.9,46.0,46.0,46.4,29962.0,13.92
2010-06-28,46.75,48.25,46.35,47.05,47.3,62771.0,29.74
2010-06-29,47.0,47.75,45.8,46.05,46.15,31949.0,14.9
2010-06-30,46.0,46.25,45.1,45.25,45.45,44737.0,20.4
2010-07-01,45.2,48.0,45.0,45.8,46.2,127728.0,58.81
2010-07-02,46.1,47.0,45.4,45.4,45.8,37761.0,17.51
2010-07-05,45.8,46.65,45.4,46.3,46.05,27688.0,12.77
2010-07-06,46.9,48.0,45.8,47.4,47.1,112382.0,53.33
2010-07-07,46.1,48.35,46.1,48.3,47.65,144861.0,69.17
2010-07-08,48.6,49.0,48.0,48.3,48.2,138471.0,67.15
2010-07-09,48.1,54.2,48.1,51.85,52.1,2101100.0,1104.82
2010-07-12,52.5,52.5,49.2,49.5,49.5,237853.0,119.72
2010-07-13,49.65,52.3,49.3,51.45,51.5,497371.0,255.39
2010-07-14,54.0,54.1,51.1,51.3,51.4,613284.0,323.99
2010-07-15,53.0,53.1,51.35,51.8,51.9,262450.0,136.73
2010-07-16,52.0,52.5,51.4,51.7,51.85,174383.0,90.54
2010-07-19,51.85,52.0,50.3,50.35,50.5,131999.0,67.48
2010-07-20,50.5,51.75,48.5,48.6,49.2,151857.0,76.09
2010-07-21,49.5,49.65,48.8,48.9,48.85,78055.0,38.31
2010-07-22,48.6,49.3,48.05,48.9,48.7,71667.0,34.89
2010-07-23,49.3,49.3,47.0,47.2,47.3,131973.0,63.14
2010-07-26,47.3,49.9,47.2,48.4,48.6,145805.0,70.73
2010-07-27,48.85,49.05,47.65,48.0,47.8,76516.0,37.0
2010-07-28,48.05,49.5,47.3,47.55,47.65,132751.0,64.26
2010-07-29,48.4,49.1,47.75,48.0,48.25,159858.0,77.33
2010-07-30,48.5,48.5,46.15,46.6,46.45,103771.0,48.71
2010-08-02,46.5,48.25,46.5,47.6,47.6,193732.0,92.38
2010-08-03,48.6,48.6,46.6,46.7,46.9,81882.0,38.75
2010-08-04,46.9,47.3,45.8,45.8,46.2,117161.0,54.29
2010-08-05,46.65,48.0,46.0,46.9,46.95,156714.0,73.91
2010-08-06,46.2,47.7,46.2,47.0,47.0,94452.0,44.68
2010-08-09,47.5,47.5,46.5,47.1,47.2,70309.0,33.15
2010-08-10,47.0,47.9,46.2,46.4,46.45,51781.0,24.26
2010-08-11,46.6,47.0,45.6,45.6,45.85,36576.0,16.89
2010-08-12,46.2,46.2,45.15,46.15,45.8,48302.0,22.12
2010-08-13,45.15,47.4,45.15,46.0,46.15,97552.0,45.59
2010-08-16,46.85,47.3,45.8,46.1,46.3,55784.0,26.0
2010-08-17,46.45,47.6,45.3,47.5,47.05,108504.0,50.63
2010-08-18,47.1,49.0,47.1,48.3,48.2,204387.0,98.99
2010-08-19,49.1,49.5,48.2,48.5,48.5,165122.0,80.61
2010-08-20,48.5,49.9,48.2,49.4,49.35,183445.0,90.54
2010-08-23,50.6,50.65,49.5,49.7,49.75,149859.0,75.05
2010-08-24,48.5,50.5,48.25,49.3,49.65,106499.0,52.57
2010-08-25,50.0,53.0,49.65,50.6,50.85,476193.0,244.51
2010-08-26,52.0,52.6,51.0,51.0,51.15,321508.0,166.55
2010-08-27,51.15,51.5,47.1,47.6,47.7,260568.0,127.65
2010-08-30,48.4,49.4,48.1,48.2,48.35,107068.0,52.09
2010-08-31,48.0,48.45,47.0,47.65,47.4,60025.0,28.53
2010-09-01,48.1,48.5,47.5,47.9,47.7,55766.0,26.73
2010-09-02,48.0,48.4,47.75,47.95,47.95,74850.0,35.97
2010-09-03,47.75,48.8,47.75,48.3,48.35,181659.0,87.7
2010-09-06,49.5,51.9,49.0,50.75,50.6,517384.0,262.2
2010-09-07,52.05,52.65,51.0,51.4,51.25,485961.0,252.71
2010-09-08,51.5,51.8,50.2,50.55,50.45,127847.0,64.82
2010-09-09,50.4,51.4,50.1,50.1,50.35,148872.0,75.72
2010-09-13,51.0,51.25,49.4,50.35,50.15,189442.0,95.21
2010-09-14,50.0,50.85,49.15,49.25,49.4,114456.0,56.95
2010-09-15,50.0,50.5,48.75,49.4,49.6,109356.0,54.47
2010-09-16,49.25,50.9,49.05,49.5,49.3,205742.0,103.03
2010-09-17,49.35,50.6,49.1,49.2,49.45,101273.0,50.41
2010-09-20,49.6,51.1,49.6,50.0,50.0,223722.0,112.63
2010-09-21,50.0,50.8,47.4,47.5,47.6,169222.0,81.99
2010-09-22,47.6,48.5,46.75,47.2,47.15,147663.0,70.6
2010-09-23,47.15,47.9,45.9,45.9,46.3,202146.0,94.63
2010-09-24,46.3,48.2,46.3,48.0,47.55,198517.0,94.08
2010-09-27,48.0,48.35,46.5,46.7,46.65,138085.0,65.44
2010-09-28,46.65,46.85,45.5,45.9,45.75,131464.0,60.64
2010-09-29,45.75,46.85,45.75,46.35,46.1,102727.0,47.58
2010-09-30,46.25,46.45,45.45,45.9,45.75,75061.0,34.51
2010-10-01,46.45,47.1,45.9,46.7,46.55,120125.0,56.04
2010-10-04,46.95,48.0,46.35,46.75,46.75,156532.0,73.91
2010-10-05,47.8,47.8,46.45,47.1,46.95,70333.0,33.04
2010-10-06,47.25,48.5,47.0,48.35,48.1,225588.0,108.1
2010-10-07,48.0,50.55,48.0,49.0,48.95,437496.0,216.52
2010-10-08,49.3,49.6,47.55,47.85,48.0,124747.0,60.72
2010-10-11,49.0,49.75,48.0,48.4,48.4,203270.0,98.98
2010-10-12,48.5,49.8,47.85,49.3,49.2,178238.0,87.01
2010-10-13,49.6,50.5,48.9,49.25,49.2,249111.0,123.26
