Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-06-20,46.95,46.95,43.3,43.5,43.7,37596.0,16.77
2011-06-21,41.55,44.9,41.55,42.25,42.2,21133.0,9.09
2011-06-22,43.25,43.25,41.0,41.5,41.35,18783.0,7.91
2011-06-23,40.75,43.45,40.75,41.05,41.1,15454.0,6.47
2011-06-24,42.0,42.9,41.3,42.5,42.15,21384.0,9.06
2011-06-27,43.7,43.8,42.15,42.65,42.75,13464.0,5.79
2011-06-28,44.5,44.5,42.0,43.1,43.05,11373.0,4.88
2011-06-29,43.25,43.85,43.15,43.7,43.7,15408.0,6.7
2011-06-30,44.1,45.9,44.1,45.9,45.9,73379.0,33.45
2011-07-01,46.9,48.15,45.9,47.8,47.85,97163.0,45.51
2011-07-04,48.8,49.5,48.25,48.6,48.85,49308.0,24.07
2011-07-05,49.0,49.7,47.4,47.7,47.8,28247.0,13.61
2011-07-06,47.1,49.2,47.1,48.2,48.05,24202.0,11.63
2011-07-07,48.05,50.9,47.9,49.15,49.3,57493.0,28.53
2011-07-08,49.5,50.2,47.75,48.3,48.25,46938.0,22.92
2011-07-11,48.5,48.9,47.6,48.15,48.05,23445.0,11.29
2011-07-12,46.8,47.9,46.5,47.4,47.05,35155.0,16.56
2011-07-13,45.9,46.5,45.5,45.7,45.65,51852.0,23.71
2011-07-14,45.0,45.7,44.3,45.0,45.05,31267.0,14.1
2011-07-15,45.0,45.5,44.05,44.5,44.5,21946.0,9.81
2011-07-18,44.25,44.85,43.1,44.3,44.3,17249.0,7.68
2011-07-19,44.0,44.7,43.9,44.4,44.15,17723.0,7.85
2011-07-20,44.85,45.3,43.55,43.95,43.75,21169.0,9.36
2011-07-21,44.25,44.5,42.1,42.3,42.25,38777.0,16.67
2011-07-22,44.0,44.0,41.65,43.0,43.1,30453.0,13.1
2011-07-25,44.0,44.5,43.0,44.25,44.2,29968.0,13.15
2011-07-26,45.2,45.2,43.5,43.9,43.8,21566.0,9.51
2011-07-27,43.6,45.0,42.4,42.85,43.0,26141.0,11.34
2011-07-28,43.3,43.3,42.3,42.45,42.45,12793.0,5.44
2011-07-29,42.0,43.0,42.0,42.6,42.25,17580.0,7.45
2011-08-01,42.0,42.25,41.0,41.5,41.65,21964.0,9.1
2011-08-02,41.25,41.3,40.0,40.4,40.2,20774.0,8.4
2011-08-03,40.0,40.5,39.0,40.3,40.3,24229.0,9.59
2011-08-04,40.55,43.4,40.5,41.45,41.05,38411.0,16.0
2011-08-05,36.95,36.95,36.95,36.95,36.95,64541.0,23.85
2011-08-08,33.25,34.75,33.25,33.25,33.25,93793.0,31.41
2011-08-09,29.95,32.4,29.95,30.5,30.45,103321.0,31.61
2011-08-10,31.9,32.0,29.15,31.85,31.7,56719.0,17.96
2011-08-11,31.3,32.5,31.1,31.9,31.95,26841.0,8.54
2011-08-12,32.0,32.55,31.75,32.2,32.05,22126.0,7.11
2011-08-16,32.05,32.1,30.45,30.5,30.65,20560.0,6.38
2011-08-17,31.45,31.45,29.15,29.2,29.4,21182.0,6.24
2011-08-18,29.05,30.9,28.0,28.2,28.15,41464.0,12.01
2011-08-19,27.0,27.9,26.95,27.5,27.35,15621.0,4.27
2011-08-22,27.2,28.5,26.1,27.0,26.65,16530.0,4.4
2011-08-23,27.4,28.0,27.1,28.0,28.0,13390.0,3.72
2011-08-24,28.0,29.4,28.0,29.4,29.4,1411.0,0.41
2011-08-25,30.9,30.9,30.0,30.75,30.4,53000.0,16.24
2011-08-26,30.9,31.7,29.0,29.5,29.45,24116.0,7.3
2011-08-29,30.9,30.95,29.5,30.15,30.15,39488.0,11.9
2011-08-30,30.6,31.0,30.3,30.7,30.75,10732.0,3.29
2011-09-02,30.3,30.9,29.5,29.8,29.8,15780.0,4.69
2011-09-05,29.5,29.5,28.4,28.95,28.85,15643.0,4.52
2011-09-06,29.5,30.0,27.5,28.4,28.6,22530.0,6.4
2011-09-07,29.5,29.5,28.8,28.95,28.9,5422.0,1.58
2011-09-08,29.9,31.45,29.1,30.8,31.05,21005.0,6.34
2011-09-09,31.8,32.0,30.5,30.6,30.65,29065.0,9.02
2011-09-12,30.0,30.0,28.05,29.85,29.15,87502.0,25.41
2011-09-13,29.0,30.5,28.55,29.0,29.05,11362.0,3.34
2011-09-14,29.1,30.25,29.0,29.2,29.45,18957.0,5.58
2011-09-15,29.3,29.95,29.0,29.25,29.2,7875.0,2.29
2011-09-16,30.6,30.6,28.5,29.4,29.35,10792.0,3.18
2011-09-19,29.35,30.0,29.0,29.5,29.25,38933.0,11.42
2011-09-20,29.8,30.5,29.2,29.5,29.45,10248.0,3.03
2011-09-21,29.5,30.45,28.3,29.45,29.3,27248.0,8.03
2011-09-22,29.25,29.5,28.4,28.8,28.55,14650.0,4.21
2011-09-23,28.7,29.0,28.0,28.5,28.55,18020.0,5.14
2011-09-26,28.95,28.95,27.3,28.1,28.0,46021.0,12.76
2011-09-27,27.6,28.5,27.1,28.05,28.1,17955.0,5.02
2011-09-28,28.0,28.5,27.5,27.9,27.65,5751.0,1.61
2011-09-29,27.5,28.25,27.5,28.1,28.15,2855.0,0.8
2011-09-30,26.9,28.5,26.9,27.95,27.7,9608.0,2.68
2011-10-03,27.05,27.8,27.05,27.15,27.15,5328.0,1.45
2011-10-04,26.9,27.85,26.9,27.2,27.0,7082.0,1.91
2011-10-05,26.8,27.0,26.65,26.65,26.65,11509.0,3.08
2011-10-07,27.0,28.0,27.0,27.7,27.4,10523.0,2.89
2011-10-10,27.25,28.45,27.25,28.4,28.4,4036.0,1.13
2011-10-11,28.8,28.8,28.1,28.5,28.75,6310.0,1.8
2011-10-12,28.6,29.5,28.55,29.45,29.4,4278.0,1.24
2011-10-13,29.5,30.9,29.2,29.6,29.6,10598.0,3.17
2011-10-14,29.6,30.0,29.0,29.0,29.15,9164.0,2.7
2011-10-17,29.2,30.0,28.4,28.4,28.65,35114.0,10.29
2011-10-18,28.4,29.0,28.25,28.5,28.5,4230.0,1.2
2011-10-19,28.1,28.95,28.1,28.75,28.65,5800.0,1.66
2011-10-20,29.4,29.4,28.0,28.0,28.3,3838.0,1.09
2011-10-21,29.0,29.45,28.55,28.55,28.85,13134.0,3.81
2011-10-24,28.0,29.65,28.0,28.75,29.05,3469.0,1.01
2011-10-25,28.0,29.0,28.0,28.9,28.75,25572.0,7.34
2011-10-26,29.0,30.25,28.15,29.0,29.25,2560.0,0.75
2011-10-28,29.1,29.9,28.7,29.0,29.2,21433.0,6.25
2011-10-31,30.0,32.15,30.0,32.15,32.15,41011.0,13.1
2011-11-01,34.7,35.4,33.65,35.4,35.4,186445.0,65.83
2011-11-02,37.0,38.75,36.0,37.5,37.6,163513.0,61.48
2011-11-03,38.0,38.0,35.75,35.75,35.75,44784.0,16.21
2011-11-04,34.0,36.45,34.0,34.1,34.25,46093.0,15.88
2011-11-08,34.2,34.85,32.55,32.55,32.55,59912.0,19.78
2011-11-09,33.0,33.0,30.95,31.05,31.05,61884.0,19.29
