Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,115.9,119.5,115.5,118.9,118.75,1050464.0,1240.9
2010-01-05,119.0,124.85,119.0,122.6,122.25,1522955.0,1870.02
2010-01-06,123.4,124.1,119.55,121.2,121.1,3714410.0,4470.97
2010-01-07,121.8,124.25,116.7,117.15,118.15,2023440.0,2429.09
2010-01-08,118.7,122.9,114.9,115.0,115.9,2464692.0,2945.27
2010-01-11,116.95,122.4,116.95,121.8,121.35,2862769.0,3431.59
2010-01-12,120.05,128.15,120.05,122.45,122.05,3773665.0,4723.52
2010-01-13,120.7,122.1,119.95,122.0,121.55,700097.0,846.5
2010-01-14,122.95,124.5,118.2,119.55,119.05,1263622.0,1539.68
2010-01-15,120.6,121.05,116.0,118.6,117.25,937769.0,1114.95
2010-01-18,118.2,120.45,117.0,120.0,119.3,513988.0,612.76
2010-01-19,120.9,124.4,119.1,119.95,119.65,1108883.0,1351.85
2010-01-20,120.0,123.3,118.1,119.7,119.55,1750554.0,2126.04
2010-01-21,119.3,119.95,116.2,118.4,118.0,620531.0,733.44
2010-01-22,117.6,122.95,112.5,120.2,120.05,1584993.0,1862.38
2010-01-25,119.5,120.45,115.15,115.6,115.65,654141.0,769.12
2010-01-27,116.0,116.7,108.5,108.5,110.0,1474980.0,1635.82
2010-01-28,110.9,112.9,108.0,109.45,108.75,1052632.0,1150.47
2010-01-29,108.1,113.0,101.6,111.1,111.6,2102843.0,2237.53
2010-02-01,112.7,113.9,110.0,113.8,112.75,888238.0,996.91
2010-02-02,113.9,117.9,113.55,115.65,115.4,753782.0,872.49
2010-02-03,116.8,119.0,114.5,115.5,115.9,861481.0,1004.02
2010-02-04,117.0,118.3,112.15,113.3,112.85,574396.0,665.26
2010-02-05,110.0,111.0,106.3,109.05,109.1,717990.0,784.94
2010-02-06,109.9,111.0,108.9,111.0,110.25,100145.0,110.24
2010-02-08,110.1,112.7,108.0,108.45,108.9,353882.0,390.05
2010-02-09,107.3,111.95,107.3,108.9,109.55,1142217.0,1256.28
2010-02-10,110.4,111.7,109.15,109.6,109.75,288191.0,318.79
2010-02-11,110.5,112.85,108.55,111.15,111.25,414906.0,460.49
2010-02-15,112.35,112.65,110.5,110.8,110.9,393099.0,437.58
2010-02-16,111.3,111.4,108.6,110.8,110.75,335979.0,369.21
2010-02-17,111.9,113.0,109.1,109.3,109.55,994828.0,1104.71
2010-02-18,109.0,110.8,108.55,108.6,109.0,408226.0,446.57
2010-02-19,108.2,108.85,106.7,107.6,107.2,234460.0,252.54
2010-02-22,108.9,109.15,106.3,106.35,106.9,313770.0,337.59
2010-02-23,106.95,108.2,105.2,105.8,106.7,439579.0,470.07
2010-02-24,106.0,107.8,104.9,104.95,105.0,2095537.0,2209.21
2010-02-25,106.3,107.2,104.2,104.2,105.2,472350.0,501.05
2010-02-26,106.0,109.7,105.2,107.0,107.25,1015416.0,1099.48
2010-03-02,109.0,110.9,107.4,108.65,108.2,679117.0,741.16
2010-03-03,108.7,112.25,108.5,110.6,110.75,720136.0,794.86
2010-03-04,111.8,111.8,110.3,111.5,110.95,489645.0,543.63
2010-03-05,111.9,112.6,109.1,109.3,109.5,551500.0,610.53
2010-03-08,111.4,113.6,110.0,110.5,110.3,827062.0,926.2
2010-03-09,110.3,117.85,109.5,114.4,114.65,3811345.0,4396.09
2010-03-10,116.0,117.8,112.15,113.0,112.9,1556603.0,1799.71
2010-03-11,110.05,113.9,109.1,109.5,109.95,1557015.0,1721.95
2010-03-12,109.0,111.1,108.55,109.75,109.85,2715577.0,2966.61
2010-03-15,109.45,112.2,109.2,110.3,110.1,884757.0,977.49
2010-03-16,111.15,112.75,110.3,112.0,111.95,589934.0,659.33
2010-03-17,112.25,116.4,112.25,113.7,113.5,2229951.0,2565.71
2010-03-18,117.0,117.0,113.6,116.8,116.55,1258368.0,1453.42
2010-03-19,116.45,119.35,115.0,115.2,115.25,1856072.0,2179.09
2010-03-22,114.0,116.85,113.05,115.2,114.05,946130.0,1086.99
2010-03-23,114.35,116.0,113.1,113.7,113.9,1555541.0,1775.36
2010-03-25,114.1,117.75,113.3,115.25,115.15,2301633.0,2671.22
2010-03-26,116.0,118.2,115.5,116.8,116.55,1008899.0,1180.32
2010-03-29,117.0,118.2,116.55,117.5,117.5,816369.0,958.0
2010-03-30,118.45,120.95,118.25,120.3,120.0,1706612.0,2047.89
2010-03-31,120.9,125.5,120.5,124.0,123.2,1820491.0,2229.27
2010-04-01,123.75,126.85,122.1,122.9,122.85,943326.0,1170.26
2010-04-05,123.8,126.4,121.9,122.65,123.15,998197.0,1238.49
2010-04-06,123.45,123.45,119.6,122.2,122.45,993968.0,1213.2
2010-04-07,123.0,123.85,121.15,121.8,122.15,659826.0,808.22
2010-04-08,121.8,122.8,119.1,120.0,119.8,644321.0,775.33
2010-04-09,120.45,121.55,120.0,120.9,120.4,245180.0,296.13
2010-04-12,121.35,121.35,119.5,119.7,119.8,211713.0,254.46
2010-04-13,120.0,123.6,117.65,118.5,119.35,1557773.0,1880.04
2010-04-15,119.8,121.0,118.8,119.9,119.6,949070.0,1136.96
2010-04-16,118.6,120.85,118.6,120.65,120.15,935166.0,1118.41
2010-04-19,118.75,119.9,118.1,119.9,118.9,814708.0,968.94
2010-04-20,119.15,120.0,117.6,117.8,118.35,518831.0,616.16
2010-04-21,118.9,119.75,115.4,119.0,119.2,1060813.0,1256.3
2010-04-22,119.6,122.05,118.9,121.8,121.25,1303179.0,1576.82
2010-04-23,121.75,122.9,120.9,122.0,122.1,393462.0,479.4
2010-04-26,123.0,123.4,120.5,122.0,121.75,272804.0,332.81
2010-04-27,121.8,125.25,121.2,123.25,123.0,1046878.0,1294.33
2010-04-28,121.75,125.95,120.1,123.75,123.75,3655405.0,4498.49
2010-04-29,124.75,124.75,118.5,122.0,122.1,2226485.0,2698.96
2010-04-30,122.9,124.2,122.0,122.7,122.75,521293.0,640.78
2010-05-03,122.2,124.5,119.1,119.65,119.7,429528.0,522.63
2010-05-04,120.7,123.5,120.15,123.1,122.75,515223.0,629.54
2010-05-05,121.0,122.5,119.0,122.0,122.05,496580.0,599.26
2010-05-06,121.7,122.5,119.4,120.0,119.95,334861.0,402.62
2010-05-07,119.0,121.0,117.2,120.7,119.6,387601.0,462.55
2010-05-10,120.25,122.5,119.1,119.5,119.6,260814.0,313.68
2010-05-11,119.2,120.9,118.1,118.1,118.6,322252.0,384.25
2010-05-12,119.3,119.8,116.1,117.7,117.6,302544.0,356.17
2010-05-13,118.5,121.7,117.05,121.2,121.15,406797.0,485.94
2010-05-14,120.8,122.9,119.25,119.7,119.85,403127.0,488.56
2010-05-17,118.8,119.3,117.1,118.0,118.3,234199.0,277.7
2010-05-18,118.15,119.7,117.1,117.75,117.55,203512.0,240.99
2010-05-19,118.9,122.25,115.35,115.95,116.3,781869.0,930.09
2010-05-20,116.9,118.0,113.6,114.5,114.0,1116308.0,1279.46
