Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-15,239.95,249.85,230.0,230.0,246.05,63143.0,154.9
2015-01-16,244.0,244.0,226.1,235.9,236.0,4194.0,9.89
2015-01-19,241.0,251.0,241.0,244.5,249.35,33143.0,81.82
2015-01-20,250.0,250.0,242.95,242.95,242.95,120.0,0.3
2015-01-21,239.75,246.95,237.3,246.95,244.25,95.0,0.23
2015-01-22,244.0,248.5,220.1,247.85,220.65,142.0,0.33
2015-01-23,242.7,242.7,239.5,240.0,242.45,535.0,1.29
2015-01-27,266.65,266.65,232.25,242.85,243.95,4518.0,11.46
2015-01-28,243.0,251.0,235.2,239.25,238.65,1052.0,2.59
2015-01-29,235.15,260.0,214.8,251.45,257.9,4254.0,10.6
2015-01-30,264.7,265.0,250.0,259.75,259.05,99309.0,257.21
2015-02-02,262.65,262.7,252.25,259.9,258.7,42898.0,112.09
2015-02-03,264.0,264.65,256.0,259.9,259.25,2332.0,6.07
2015-02-04,260.0,268.0,250.0,264.5,263.25,1582.0,4.14
2015-02-05,266.0,267.0,251.3,251.3,257.0,1845.0,4.81
2015-02-06,254.0,263.9,249.25,257.15,258.65,8033.0,20.7
2015-02-09,266.0,270.0,249.05,251.95,253.4,15419.0,39.16
2015-02-10,255.0,255.0,214.95,245.05,246.5,36514.0,90.03
2015-02-11,248.0,277.1,236.0,265.15,270.1,33785.0,90.25
2015-02-12,148.9,148.9,118.55,129.85,125.15,27006.0,35.56
2015-02-13,133.95,133.95,120.5,123.05,124.85,3682.0,4.69
2015-02-16,124.0,132.0,121.0,121.0,121.65,2904.0,3.62
2015-02-18,118.0,137.0,116.0,130.0,127.65,3398.0,4.32
2015-02-19,129.5,134.9,127.5,127.5,127.5,5111.0,6.73
2015-02-20,123.3,137.9,107.0,135.0,135.05,395643.0,522.16
2015-02-23,137.8,139.8,129.5,131.1,131.65,52840.0,70.96
2015-02-24,136.75,136.8,125.0,126.6,126.95,48431.0,64.05
2015-02-25,127.0,143.9,127.0,134.0,134.2,92129.0,126.77
2015-02-26,135.0,149.9,130.0,133.0,131.2,57512.0,78.92
2015-02-27,140.0,142.0,124.0,125.0,126.0,141997.0,184.7
2015-02-28,129.9,145.5,128.0,128.55,129.25,171857.0,229.31
2015-03-02,133.8,138.0,128.5,129.0,129.05,158068.0,207.8
2015-03-03,131.8,135.25,126.65,127.95,127.35,40951.0,53.18
2015-03-04,129.0,140.0,127.55,129.0,128.95,275287.0,362.23
2015-03-05,129.9,133.7,125.05,130.0,129.9,331264.0,424.06
2015-03-09,127.0,131.85,124.0,124.0,126.3,316607.0,399.8
2015-03-10,129.0,129.0,120.95,121.5,122.0,17448.0,21.54
2015-03-11,129.0,129.0,120.5,123.15,123.7,45825.0,56.65
2015-03-12,126.6,128.8,120.0,121.0,122.25,77824.0,95.36
2015-03-13,123.0,125.0,119.0,120.0,120.75,48003.0,58.36
2015-03-16,124.85,124.85,118.0,122.0,121.8,42588.0,51.87
2015-03-17,123.95,123.95,117.1,117.1,118.9,11528.0,13.87
2015-03-18,119.0,119.0,111.0,113.0,112.95,10373.0,11.85
2015-03-19,111.8,115.55,108.0,110.75,111.2,19727.0,21.99
2015-03-20,111.0,115.0,109.0,110.0,110.15,8434.0,9.36
2015-03-23,109.0,113.5,108.1,110.5,111.1,6018.0,6.7
2015-03-24,110.0,112.85,102.0,104.0,103.7,61630.0,67.21
2015-03-25,107.95,107.95,95.0,100.0,99.8,56472.0,55.6
2015-03-26,97.0,102.85,95.0,98.4,96.6,5695.0,5.54
2015-03-27,96.0,108.0,96.0,98.0,100.0,182533.0,182.37
2015-03-30,99.0,120.0,98.5,108.65,110.6,65011.0,71.08
2015-03-31,110.6,117.9,108.0,110.3,111.0,94013.0,104.85
2015-04-01,116.8,119.9,110.0,116.5,117.55,68690.0,79.76
2015-04-06,116.5,119.95,115.0,116.5,116.45,15760.0,18.58
2015-04-07,117.0,119.0,112.1,113.9,114.8,6147.0,7.22
2015-04-08,119.0,129.7,116.0,117.55,118.7,24539.0,29.68
2015-04-09,122.4,127.0,117.5,123.8,123.65,194498.0,239.99
2015-04-10,128.0,130.0,122.0,126.0,126.6,96917.0,122.87
2015-04-13,128.0,134.8,126.2,128.0,128.75,195544.0,251.22
2015-04-15,131.45,131.5,126.1,126.15,126.15,54032.0,69.1
2015-04-16,127.9,127.9,123.25,123.45,123.7,70151.0,87.21
2015-04-17,126.5,140.0,121.0,135.65,134.8,258515.0,341.71
2015-04-20,132.0,133.5,127.4,128.0,128.15,22248.0,28.99
2015-04-21,127.45,129.0,125.0,125.6,125.6,8567.0,10.87
2015-04-22,128.95,143.85,124.25,139.0,138.9,186703.0,251.93
2015-04-23,142.0,146.7,135.0,138.95,140.3,165451.0,232.76
2015-04-24,140.6,146.7,131.1,134.3,132.25,20421.0,27.98
2015-04-27,135.1,136.95,126.1,126.2,129.0,45982.0,59.85
2015-04-28,126.0,130.0,126.0,126.55,126.65,24341.0,30.98
2015-04-29,126.1,134.0,125.15,125.9,125.85,13979.0,18.03
2015-04-30,128.0,131.0,122.0,123.0,122.05,9212.0,11.44
2015-05-04,127.95,128.0,122.0,123.3,123.6,24079.0,29.8
2015-05-05,125.0,131.0,120.0,125.0,126.55,77858.0,97.6
2015-05-06,126.0,126.0,120.2,120.2,122.5,7480.0,9.28
2015-05-07,123.0,124.85,116.25,116.5,117.65,3586.0,4.3
2015-05-08,120.1,123.45,117.9,121.0,120.6,39191.0,47.44
2015-05-11,122.0,125.75,115.1,119.0,119.7,1527.0,1.84
2015-05-12,114.0,122.9,114.0,116.2,117.2,2391.0,2.82
2015-05-13,123.0,129.9,117.3,128.85,128.85,61906.0,77.63
2015-05-14,126.55,135.0,122.05,134.0,134.35,107423.0,140.13
2015-05-15,131.6,133.95,131.0,132.0,132.25,3009.0,3.96
2015-05-18,127.0,138.0,127.0,135.4,136.95,103856.0,141.09
2015-05-19,135.9,145.0,133.0,141.05,141.45,111976.0,158.38
2015-05-20,141.45,151.5,141.45,150.0,150.4,104786.0,154.86
2015-05-21,151.8,155.8,140.1,141.0,142.15,56817.0,85.69
2015-05-22,145.0,154.0,144.9,150.55,151.1,25694.0,38.68
2015-05-25,150.55,156.4,150.0,154.5,153.75,128800.0,199.08
2015-05-26,150.0,164.0,150.0,163.0,162.35,131002.0,209.31
2015-05-27,164.0,180.0,163.7,171.0,171.05,143337.0,246.93
2015-05-28,172.6,179.0,166.05,170.05,169.3,18414.0,31.55
2015-05-29,166.0,174.0,164.1,167.0,166.8,20728.0,35.11
2015-06-01,172.0,175.9,169.0,170.0,171.55,12613.0,21.85
2015-06-02,170.0,176.0,169.1,170.6,171.25,14515.0,24.95
2015-06-03,176.3,176.3,150.05,156.3,157.95,21670.0,34.78
2015-06-04,159.0,164.95,156.4,160.1,160.9,2508.0,4.03
2015-06-05,162.0,193.05,157.6,184.8,186.55,202871.0,372.97
2015-06-08,193.8,194.95,174.0,174.1,176.0,41265.0,75.58
2015-06-09,178.3,178.3,161.0,163.5,164.0,84147.0,141.26
2015-06-10,163.45,183.4,163.0,176.5,176.9,43416.0,77.2
2015-06-11,36.65,36.65,33.3,34.0,33.9,491376.0,166.97
2015-06-12,33.7,33.85,32.1,33.0,33.25,360818.0,119.74
2015-06-15,35.0,38.0,33.0,37.0,35.6,1117635.0,396.3
2015-06-16,37.35,38.8,34.35,34.5,34.55,805315.0,283.05
2015-06-17,35.25,36.35,33.8,34.2,34.1,776330.0,266.64
2015-06-18,34.25,36.4,32.65,33.7,33.4,470670.0,160.45
2015-06-19,33.75,35.4,32.7,33.1,33.2,478859.0,159.01
2015-06-22,33.9,34.65,33.0,33.8,33.6,185479.0,62.01
2015-06-23,33.8,34.5,32.5,33.95,33.5,433482.0,144.17
2015-06-24,33.05,34.5,32.7,33.0,33.15,152873.0,51.59
2015-06-25,32.9,37.9,32.75,37.5,36.15,614451.0,212.5
2015-06-26,37.0,38.4,35.5,36.0,35.9,413385.0,150.88
2015-06-29,35.5,36.25,34.1,34.8,35.15,474290.0,167.86
2015-06-30,35.2,41.8,34.8,39.8,39.2,573047.0,217.57
2015-07-01,41.1,42.8,37.5,38.0,37.85,1594696.0,621.83
2015-07-02,38.5,40.45,36.9,37.25,37.25,502378.0,191.12
2015-07-03,37.25,40.9,36.8,40.05,39.8,1534782.0,590.75
2015-07-06,39.1,44.6,39.0,42.75,41.9,709366.0,290.87
2015-07-07,42.35,46.4,39.4,39.5,39.7,2376436.0,984.62
2015-07-08,39.4,41.0,38.5,39.2,39.05,760044.0,300.56
2015-07-09,39.9,41.9,38.8,39.35,39.05,1375436.0,544.7
2015-07-10,39.8,40.7,38.5,39.0,38.75,754837.0,294.79
2015-07-13,38.6,39.8,37.1,38.9,39.3,751645.0,290.92
2015-07-14,39.0,40.75,37.2,37.45,37.6,532249.0,205.62
2015-07-15,37.85,37.85,36.05,37.0,37.05,1310086.0,484.03
2015-07-16,37.4,38.5,36.0,36.2,36.4,331008.0,121.47
2015-07-17,36.65,37.8,35.15,36.25,36.55,315234.0,115.13
2015-07-20,36.4,37.9,35.55,37.15,37.15,300427.0,110.45
2015-07-21,37.15,38.4,35.5,36.25,35.85,275367.0,99.99
2015-07-22,35.85,37.8,35.3,35.5,35.95,470811.0,170.8
2015-07-23,36.1,37.0,35.0,35.45,35.55,448051.0,160.76
2015-07-24,35.5,36.4,35.25,35.5,35.5,1262456.0,448.36
2015-07-27,35.5,36.4,34.85,35.0,35.0,186963.0,66.25
2015-07-28,35.1,35.5,34.25,34.4,34.6,105743.0,36.78
2015-07-29,34.55,35.35,33.35,33.55,33.65,210426.0,71.69
2015-07-30,34.3,37.85,33.75,37.0,37.15,490959.0,179.39
2015-07-31,37.5,39.9,37.25,38.0,38.2,332749.0,127.06
2015-08-03,38.5,39.4,37.5,37.8,37.85,212713.0,81.35
2015-08-04,38.0,38.1,36.55,37.0,37.05,161053.0,59.89
2015-08-05,37.85,38.3,36.6,38.05,37.7,777914.0,292.07
2015-08-06,37.35,38.45,36.4,36.6,36.7,46330.0,17.3
2015-08-07,37.35,37.35,33.5,34.5,34.75,369240.0,127.45
2015-08-10,35.0,36.3,34.95,35.9,35.4,45322.0,16.12
2015-08-11,35.9,36.0,34.1,34.55,34.6,67856.0,23.57
2015-08-12,34.4,34.8,34.1,34.7,34.6,535762.0,184.56
2015-08-13,34.2,37.0,33.0,33.0,33.0,159775.0,53.69
2015-08-14,32.5,35.9,32.0,33.45,33.25,585953.0,196.39
2015-08-17,32.5,34.05,30.2,30.4,30.5,227578.0,70.88
2015-08-18,31.0,31.85,27.3,28.9,28.8,290844.0,84.19
2015-08-19,28.8,28.8,23.05,23.05,23.4,584214.0,143.6
2015-08-20,21.1,22.3,21.1,21.1,21.1,362744.0,77.25
2015-08-21,19.05,21.95,19.0,21.85,21.4,334520.0,65.6
2015-08-24,20.0,22.2,19.3,19.7,19.8,201129.0,41.68
2015-08-25,20.9,21.75,17.85,19.4,19.35,117262.0,23.25
2015-08-26,19.5,20.5,18.25,18.55,18.65,671202.0,125.82
2015-08-27,18.2,19.7,18.2,19.65,19.5,58562.0,11.17
2015-08-28,19.6,21.45,18.5,21.45,21.45,116241.0,24.75
2015-08-31,21.45,23.55,20.8,23.55,23.15,261823.0,59.85
2015-09-01,23.4,25.45,22.65,25.45,25.45,278064.0,70.18
2015-09-02,26.5,26.7,25.6,26.3,26.45,406501.0,107.39
2015-09-03,27.7,27.7,25.15,25.15,25.15,52432.0,13.61
2015-09-04,23.9,23.9,23.9,23.9,23.9,10253.0,2.45
2015-09-07,22.75,23.4,22.75,22.75,22.75,39723.0,9.05
2015-09-08,21.65,21.7,21.65,21.65,21.65,11543.0,2.5
2015-09-09,21.5,22.65,20.7,20.8,21.0,119752.0,26.06
2015-09-10,21.3,21.3,19.95,20.0,20.0,68518.0,13.79
2015-09-11,20.0,21.0,19.2,21.0,21.0,47747.0,9.82
2015-09-14,21.0,22.05,21.0,22.05,22.05,56097.0,12.34
2015-09-15,22.9,23.15,22.1,22.8,23.0,66235.0,15.23
2015-09-16,22.75,23.95,21.85,22.3,22.2,100385.0,23.02
2015-09-18,22.2,23.0,22.05,22.35,22.35,26345.0,5.96
2015-09-21,22.45,22.5,21.7,21.9,21.75,46628.0,10.26
2015-09-22,21.9,22.5,21.1,21.1,21.3,33822.0,7.49
2015-09-23,20.95,21.75,20.95,21.4,21.2,45121.0,9.6
2015-09-24,21.2,21.8,20.7,21.0,21.05,10200.0,2.17
2015-09-28,21.8,21.8,20.4,20.7,20.75,26707.0,5.61
2015-09-29,19.85,20.95,19.75,20.0,20.0,23761.0,4.75
2015-09-30,20.15,20.7,20.0,20.0,20.05,10458.0,2.12
2015-10-01,20.7,21.05,19.5,21.05,20.95,26537.0,5.44
2015-10-05,21.25,22.8,21.25,22.25,22.35,24458.0,5.45
