Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,16.0,17.7,15.3,15.65,15.55,28216841.0,4488.22
2010-01-05,16.2,16.25,14.35,14.45,14.55,24754532.0,3701.4
2010-01-06,14.5,15.1,13.95,14.05,14.0,19502954.0,2796.48
2010-01-07,14.35,14.6,14.1,14.4,14.3,6685968.0,956.33
2010-01-08,14.55,14.95,14.4,14.9,14.75,5113396.0,747.75
2010-01-11,15.2,15.6,14.75,15.0,14.9,5784687.0,873.75
2010-01-12,14.8,14.9,14.35,14.5,14.45,4194757.0,611.15
2010-01-13,14.3,15.1,14.1,14.7,14.85,4529127.0,659.54
2010-01-14,14.9,15.05,14.55,14.75,14.7,2574753.0,379.44
2010-01-15,14.9,15.7,14.6,15.6,15.55,16214911.0,2461.15
2010-01-18,15.55,16.45,15.55,15.95,15.8,23034841.0,3676.01
2010-01-19,16.0,16.25,15.15,15.2,15.25,6720791.0,1050.49
2010-01-20,15.05,15.5,14.85,15.0,14.95,3209679.0,485.7
2010-01-21,14.95,14.95,14.5,14.6,14.55,2821057.0,414.01
2010-01-22,14.45,14.45,13.7,14.2,14.15,3632785.0,511.64
2010-01-25,14.0,14.45,14.0,14.15,14.1,1870616.0,266.28
2010-01-27,14.1,14.3,13.0,13.1,13.25,3132350.0,426.14
2010-01-28,13.5,13.65,13.05,13.2,13.1,2605368.0,347.69
2010-01-29,13.25,14.5,12.6,14.1,14.1,4309379.0,582.61
2010-02-01,14.5,14.8,13.75,14.0,13.95,5435561.0,770.35
2010-02-02,14.35,14.5,13.55,13.7,13.65,5417419.0,758.36
2010-02-03,14.05,14.5,13.85,14.0,14.0,2601884.0,364.52
2010-02-04,14.1,14.5,13.5,13.95,14.0,4445410.0,629.3
2010-02-05,13.9,13.9,13.2,13.25,13.3,2380146.0,318.97
2010-02-06,13.5,13.8,13.4,13.75,13.7,543979.0,74.05
2010-02-08,13.8,13.85,13.35,13.45,13.45,1918858.0,259.43
2010-02-09,13.55,13.55,13.3,13.45,13.35,1139942.0,152.44
2010-02-10,13.5,13.6,13.25,13.35,13.35,1785904.0,239.86
2010-02-11,13.5,13.55,13.3,13.3,13.3,1018813.0,136.45
2010-02-15,13.55,13.65,12.9,13.0,13.05,1205937.0,159.73
2010-02-16,13.4,13.45,13.1,13.3,13.25,1615772.0,214.01
2010-02-17,13.45,13.5,13.25,13.35,13.35,1473773.0,197.27
2010-02-18,13.55,13.55,13.2,13.3,13.2,956089.0,127.04
2010-02-19,13.1,13.25,12.85,13.05,13.0,1174338.0,152.97
2010-02-22,13.5,13.5,12.85,13.0,12.9,1011004.0,131.51
2010-02-23,12.95,12.95,12.7,12.85,12.75,1142505.0,146.27
2010-02-24,12.8,12.85,12.3,12.55,12.45,1208809.0,151.45
2010-02-25,12.55,12.6,12.1,12.1,12.15,1103358.0,134.97
2010-02-26,6.9,7.35,6.75,7.35,7.35,4914521.0,358.37
2010-03-02,8.25,8.25,7.35,7.65,7.55,7031559.0,541.24
2010-03-03,7.5,7.85,7.05,7.4,7.35,2262732.0,166.63
2010-03-04,7.45,7.5,7.1,7.1,7.15,2040725.0,147.03
2010-03-05,7.4,7.4,6.85,6.95,6.95,3957939.0,277.36
2010-03-08,7.0,7.1,6.7,6.8,6.8,3931047.0,269.01
2010-03-09,6.8,6.8,6.55,6.6,6.6,2285668.0,151.22
2010-03-10,6.6,6.7,6.3,6.35,6.35,3385422.0,217.46
2010-03-11,6.25,6.35,6.05,6.25,6.25,2177981.0,136.27
2010-03-12,6.25,6.35,6.0,6.05,6.05,3240656.0,198.0
2010-03-15,6.1,6.15,5.9,5.95,5.95,2203030.0,132.68
2010-03-16,6.0,6.1,5.85,5.85,5.85,2439704.0,145.0
2010-03-17,5.9,6.75,5.85,5.9,5.9,13859103.0,840.56
2010-03-18,6.05,6.15,5.95,6.05,6.0,2893840.0,174.41
2010-03-19,6.1,6.1,6.0,6.05,6.0,1704152.0,102.98
2010-03-22,6.0,6.0,5.9,5.9,5.9,1514733.0,90.2
2010-03-23,6.0,6.05,5.85,5.9,5.85,1656860.0,98.29
2010-03-25,6.0,6.25,5.45,5.75,5.7,9968813.0,575.96
2010-03-26,5.9,5.9,5.6,5.6,5.6,1849529.0,105.82
2010-03-29,5.9,5.9,5.35,5.4,5.4,2311372.0,127.89
2010-03-30,5.65,5.7,5.3,5.3,5.35,1796709.0,97.0
2010-03-31,5.6,5.6,5.25,5.3,5.3,1437096.0,76.73
2010-04-01,5.35,5.8,4.9,5.05,5.05,24395462.0,1246.78
2010-04-05,5.45,5.45,4.95,5.05,5.0,10004263.0,508.47
2010-04-06,5.1,5.25,4.8,5.05,5.0,4586339.0,231.69
2010-04-07,5.1,5.15,4.95,5.0,5.0,4135070.0,207.89
2010-04-08,5.1,5.2,4.95,4.95,4.95,5005159.0,251.52
2010-04-09,5.0,5.1,4.95,4.95,5.0,6199002.0,310.03
2010-04-12,5.1,6.0,5.0,5.95,5.95,25372328.0,1442.36
2010-04-13,6.25,6.7,5.9,6.0,6.0,20435860.0,1275.75
2010-04-15,6.25,6.25,5.95,6.0,6.0,7811926.0,475.67
2010-04-16,5.95,6.45,5.95,6.3,6.3,13500304.0,842.5
2010-04-19,6.25,6.6,5.95,6.05,6.05,27309186.0,1692.8
2010-04-20,6.1,6.3,5.15,5.3,5.25,48324564.0,2679.43
2010-04-21,5.4,6.25,4.95,5.05,5.0,50179500.0,2578.01
2010-04-22,5.1,5.45,4.95,5.05,5.0,32650769.0,1644.95
2010-04-23,5.05,5.55,5.05,5.4,5.45,33488394.0,1791.89
2010-04-26,5.5,5.9,4.95,5.05,5.0,63113920.0,3227.91
2010-04-27,5.05,5.2,4.95,5.1,5.05,26033407.0,1311.77
2010-04-28,5.05,5.25,4.45,4.6,4.55,45496463.0,2129.35
2010-04-29,4.75,4.9,4.45,4.5,4.5,34472972.0,1566.05
2010-04-30,4.6,4.7,3.95,4.25,4.15,54787010.0,2262.9
2010-05-03,4.2,4.2,4.05,4.2,4.15,8709419.0,359.25
2010-05-04,4.2,4.3,4.0,4.1,4.1,13037575.0,547.57
2010-05-05,4.0,4.1,3.8,4.1,4.05,11434111.0,452.76
2010-05-06,4.1,4.1,3.95,4.05,4.05,5899052.0,237.73
2010-05-07,4.0,4.0,3.85,3.9,3.9,5656852.0,221.14
2010-05-10,4.0,4.05,3.95,4.05,4.0,5120493.0,205.5
2010-05-11,4.1,4.1,3.9,3.95,3.95,3120668.0,124.39
2010-05-12,3.95,4.0,3.9,3.9,3.9,3369873.0,132.63
2010-05-13,4.0,4.0,3.8,3.85,3.85,3415402.0,133.11
2010-05-14,3.85,3.85,3.65,3.7,3.7,5345226.0,200.32
2010-05-17,3.7,3.7,3.45,3.6,3.55,5149573.0,182.66
2010-05-18,3.6,3.95,3.5,3.95,3.95,7107356.0,267.83
2010-05-19,3.9,4.15,3.85,3.9,3.9,8020273.0,322.61
